AA, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36, Bin37, Bin38, Bin39, Bin40
1, -2.44824, -2.20056, -1.759, -1.41428, -1.04181, -0.742221, -0.450182, -0.0194727, 0.378449, 0.882028, 1.32426, 1.75246, 2.18412, 2.48069, 2.41727, 2.46299, 3.56161, 4.34656, 4.9656, 6.91151, 7.60466, 21.4202, 21.4202, 21.4202, 21.4202, 21.4202, 21.4202, 21.4202, 21.4202, 21.4202, 21.4202, 21.4202, 21.4202, 21.4202, 21.4202, 21.4202, 21.4202, 21.4202, 21.4202, 21.4202
2, -1.35487, -1.32014, -1.23498, -1.20856, -1.17309, -1.07614, -0.989369, -0.936183, -0.926232, -0.746528, -0.563628, -0.454848, -0.360477, -0.0742106, 0.119657, 0.390793, 0.553994, 1.00123, 1.30323, 1.4665, 1.73303, 2.04902, 2.3367, 2.58033, 2.52445, 3.26204, 3.51987, 3.71403, 4.10179, 4.84901, 4.56133, 4.74365, 6.35309, 7.04623, 6.35309, 6.35309, 7.04623, 20.8617, 20.8617, 20.8617
3, -1.50187, -1.52681, -1.56946, -1.47503, -1.43675, -1.35265, -1.1335, -0.849722, -0.616357, -0.39439, -0.178701, 0.0606544, 0.253307, 0.474155, 0.855705, 1.26772, 1.68452, 2.00404, 2.06466, 2.55487, 2.98096, 3.844, 3.96178, 4.43179, 6.44669, 5.75354, 20.9553, 20.9553, 20.9553, 20.9553, 7.13984, 20.9553, 20.9553, 20.9553, 20.9553, 20.9553, 20.9553, 20.9553, 20.9553, 20.9553
4, -1.55663, -1.61498, -1.68656, -1.54556, -1.38301, -1.21933, -1.04621, -0.861551, -0.636615, -0.426158, -0.201736, 0.192334, 0.411533, 0.75591, 1.02706, 1.61158, 2.09341, 2.31128, 2.83535, 3.30981, 3.59749, 4.07706, 4.11629, 4.93727, 5.72572, 7.33516, 6.23655, 21.1507, 7.33516, 7.33516, 21.1507, 21.1507, 21.1507, 21.1507, 21.1507, 21.1507, 21.1507, 21.1507, 21.1507, 21.1507
5, -2.51483, -2.40696, -1.73055, -1.13535, -0.791554, -0.399751, -0.372844, 0.229964, 0.512124, 0.85567, 1.73238, 1.91172, 2.32616, 2.80158, 2.1994, 2.41071, 2.80158, 3.85763, 3.73985, 4.55078, 5.93707, 5.93707, 5.93707, 19.7526, 5.93707, 19.7526, 19.7526, 19.7526, 19.7526, 19.7526, 19.7526, 19.7526, 19.7526, 19.7526, 19.7526, 19.7526, 19.7526, 19.7526, 19.7526, 19.7526
6, -1.66801, -1.5739, -1.50836, -1.41743, -1.38115, -1.18433, -1.0174, -0.800289, -0.687729, -0.478008, -0.320678, -0.027674, 0.248337, 0.404834, 0.664407, 1.03427, 1.69702, 1.8314, 2.26113, 2.51094, 2.92319, 3.51917, 4.25006, 4.17595, 4.8691, 6.12186, 5.7164, 5.7164, 6.81501, 20.6305, 6.81501, 20.6305, 20.6305, 20.6305, 6.81501, 20.6305, 20.6305, 20.6305, 20.6305, 20.6305
7, -1.54282, -1.53944, -1.52212, -1.44981, -1.34976, -1.17616, -1.04218, -0.927198, -0.728001, -0.500386, -0.258922, -0.0427535, 0.160105, 0.442181, 0.702205, 0.969831, 1.37349, 1.631, 1.88883, 2.1571, 2.4118, 3.0385, 3.39518, 4.51441, 4.8891, 4.8891, 5.49524, 5.9007, 6.18838, 6.59385, 6.59385, 7.287, 21.1025, 21.1025, 7.287, 21.1025, 21.1025, 21.1025, 21.1025, 21.1025
8, -2.21618, -2.1798, -1.96284, -1.61936, -1.30045, -0.903168, -0.478772, -0.0322471, 0.732726, 1.3325, 1.92963, 2.61576, 3.33011, 3.96769, 5.01366, 5.49916, 7.57861, 21.3941, 21.3941, 21.3941, 21.3941, 21.3941, 21.3941, 21.3941, 21.3941, 21.3941, 21.3941, 21.3941, 21.3941, 21.3941, 21.3941, 21.3941, 21.3941, 21.3941, 21.3941, 21.3941, 21.3941, 21.3941, 21.3941, 21.3941
9, -1.44395, -1.55303, -1.49156, -1.47106, -1.35646, -1.25897, -1.17501, -0.969685, -0.732917, -0.539341, -0.398428, -0.0433732, 0.32936, 0.576952, 1.02512, 1.31455, 1.68228, 1.93359, 2.18305, 2.58852, 2.66648, 3.1419, 3.09934, 4.33148, 4.48564, 5.17878, 4.8911, 6.2774, 20.0929, 6.2774, 6.2774, 20.0929, 6.2774, 20.0929, 20.0929, 20.0929, 20.0929, 20.0929, 20.0929, 20.0929
10, -2.12163, -2.22356, -1.96122, -1.51317, -1.10703, -0.761857, -0.429549, -0.0942799, 0.20044, 0.58494, 0.98214, 1.25755, 1.37534, 1.70029, 2.04438, 2.40617, 2.7257, 3.05747, 3.45478, 3.43068, 3.80105, 3.76715, 4.22391, 4.97112, 4.86576, 4.86576, 4.77045, 6.4752, 5.55891, 7.16835, 20.9839, 20.9839, 20.9839, 20.9839, 20.9839, 20.9839, 20.9839, 20.9839, 20.9839, 20.9839
