AA, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36, Bin37, Bin38, Bin39, Bin40
1, -0.565934, -0.31199, -0.0411719, 0.110331, 0.272612, 0.335968, 0.401321, 0.594464, 0.744098, 0.967005, 1.13476, 1.27149, 1.4599, 1.46298, 1.11734, 0.83482, 1.56239, 2.06266, 2.38667, 4.03213, 4.41735, 17.8249, 17.5328, 17.1333, 16.9414, 16.6135, 16.0724, 15.8535, 15.4691, 15.3878, 15.2222, 14.8366, 14.5291, 13.7081, 14.0183, 14.0183, 13.2561, 12.6965, 0.490442, 13.102
2, 0.527432, 0.568429, 0.482848, 0.316056, 0.141327, 0.00205155, -0.137865, -0.322246, -0.560584, -0.661551, -0.753133, -0.935811, -1.0847, -1.09193, -1.18028, -1.23738, -1.44523, -1.28268, -1.2757, -1.41288, -1.45428, -1.54621, -1.55067, -1.70658, -1.95429, -1.5446, -1.8279, -1.85262, -1.84927, -1.1834, -1.6366, -1.83994, -0.537985, -0.665817, -1.04881, -1.04881, -1.1178, 12.1381, -0.0679816, 12.5436
3, 0.380436, 0.361757, 0.148371, 0.0495857, -0.122335, -0.274463, -0.281994, -0.235785, -0.250708, -0.309412, -0.368206, -0.420308, -0.470919, -0.54356, -0.444231, -0.360454, -0.314702, -0.279863, -0.514266, -0.324513, -0.206348, 0.248767, 0.0744135, 0.144887, 1.96796, 0.946902, 15.6076, 15.3887, 15.0043, 14.9229, 0.941914, 14.3718, 14.0643, 13.2433, 13.5535, 13.5535, 12.7913, 12.2317, 0.0256233, 12.6372
4, 0.325681, 0.273583, 0.0312745, -0.0209522, -0.0685919, -0.141139, -0.194708, -0.247615, -0.270966, -0.341181, -0.391241, -0.288629, -0.312694, -0.261805, -0.272873, -0.0165983, 0.0941941, 0.027377, 0.25642, 0.430425, 0.410188, 0.48183, 0.228914, 0.650364, 1.24699, 2.52852, 0.888775, 15.584, 1.3841, 1.30275, 14.9527, 14.5671, 14.2596, 13.4386, 13.7488, 13.7488, 12.9866, 12.427, 0.220946, 12.8325
5, -0.632527, -0.51839, -0.0127194, 0.389264, 0.522865, 0.678438, 0.47866, 0.8439, 0.877773, 0.940647, 1.54288, 1.43076, 1.60193, 1.78386, 0.899469, 0.782539, 0.80236, 1.57373, 1.16092, 1.6714, 2.74977, 2.34184, 2.0497, 15.4657, 1.45834, 14.9459, 14.4048, 14.1859, 13.8015, 13.7202, 13.5547, 13.169, 12.8615, 12.0405, 12.3507, 12.3507, 11.5885, 11.0289, -1.17714, 11.4344
6, 0.2143, 0.31467, 0.209476, 0.10718, -0.0667321, -0.106145, -0.165898, -0.186353, -0.32208, -0.393031, -0.510183, -0.508637, -0.47589, -0.612881, -0.635529, -0.593909, -0.302205, -0.452501, -0.317799, -0.36844, -0.264115, -0.0760626, 0.362689, -0.11095, 0.390363, 1.31522, 0.368623, 0.149744, 0.863945, 14.5981, 0.617085, 14.0469, 13.7394, 12.9185, -0.586887, 13.2286, 12.4665, 11.9069, -0.299206, 12.3123
7, 0.339491, 0.349121, 0.195712, 0.0747968, -0.0353365, -0.0979741, -0.190676, -0.313262, -0.362352, -0.415408, -0.448427, -0.523716, -0.564121, -0.575535, -0.597731, -0.658343, -0.625727, -0.652899, -0.690098, -0.722287, -0.775505, -0.556734, -0.492196, 0.227506, 0.410365, 0.0824581, 0.147463, 0.334049, 0.237319, 0.561439, 0.395925, 0.703409, 14.2114, 13.3905, -0.1149, 13.7006, 12.9385, 12.3789, 0.172781, 12.7843
8, -0.333876, -0.291233, -0.245003, -0.0947472, 0.0139708, 0.175021, 0.372732, 0.581689, 1.09837, 1.41748, 1.74013, 2.1348, 2.60588, 2.94997, 3.71372, 3.87099, 5.57939, 19.1102, 18.8152, 18.5147, 18.2068, 17.7989, 17.5067, 17.1072, 16.9154, 16.5875, 16.0463, 15.8275, 15.4431, 15.3617, 15.1962, 14.8105, 14.503, 13.6821, 13.9922, 13.9922, 13.2301, 12.6705, 0.46439, 13.0759
9, 0.438353, 0.335535, 0.226271, 0.0535462, -0.0420387, -0.18078, -0.323504, -0.355749, -0.367268, -0.454363, -0.587933, -0.524336, -0.394866, -0.440764, -0.274814, -0.313624, -0.316945, -0.350314, -0.395881, -0.290869, -0.520827, -0.453334, -0.78803, 0.0445831, 0.00689971, 0.37214, -0.456673, 0.710742, 14.1418, 0.244985, 0.0794706, 13.5093, -0.613676, 12.3809, 12.691, 12.691, 11.9289, 11.3693, -0.83682, 11.7747
10, -0.239328, -0.334997, -0.243383, 0.0114394, 0.207392, 0.316332, 0.421955, 0.519656, 0.566088, 0.669917, 0.792635, 0.776589, 0.651109, 0.682573, 0.744449, 0.778, 0.726477, 0.773571, 0.875845, 0.551295, 0.613749, 0.171916, 0.336538, 0.684222, 0.387028, 0.0591209, -0.57732, 0.908549, -0.392154, 1.13594, 14.7859, 14.4003, 14.0928, 13.2718, 13.582, 13.582, 12.8198, 12.2602, 0.0541333, 12.6657
