AA, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36, Bin37, Bin38, Bin39, Bin40
1, -2.45628, -2.17648, -1.75624, -1.40834, -1.05391, -0.730258, -0.444614, -0.0383911, 0.309465, 0.778101, 1.1855, 1.62991, 2.07695, 2.44652, 2.60523, 2.65442, 3.69587, 4.32003, 4.83085, 6.04725, 7.02808, 21.9422, 21.9422, 21.9422, 21.9422, 21.9422, 21.9422, 21.9422, 21.9422, 21.9422, 21.9422, 21.9422, 21.9422, 21.9422, 21.9422, 21.9422, 21.9422, 21.9422, 21.9422, 21.9422
2, -1.33011, -1.29613, -1.22464, -1.21093, -1.14763, -1.07663, -0.986214, -0.928437, -0.881604, -0.717747, -0.548503, -0.449521, -0.351767, -0.0744189, 0.0728242, 0.301805, 0.44737, 0.801798, 1.10039, 1.31562, 1.61273, 1.79505, 2.1648, 2.22817, 2.44085, 2.90279, 3.10551, 3.31748, 3.78748, 4.33605, 4.19294, 4.76093, 5.02919, 5.64823, 5.9847, 6.49553, 6.20785, 7.59414, 21.4097, 21.4097
3, -1.52493, -1.54072, -1.55309, -1.47486, -1.41622, -1.30841, -1.10779, -0.881328, -0.633239, -0.409165, -0.180684, 0.0380794, 0.21397, 0.473918, 0.839946, 1.20728, 1.57334, 1.96085, 2.04237, 2.60199, 2.96447, 3.81501, 3.91032, 4.3411, 5.80744, 5.98976, 6.90605, 21.4147, 7.5992, 21.4147, 6.90605, 21.4147, 21.4147, 21.4147, 21.4147, 21.4147, 21.4147, 21.4147, 21.4147, 21.4147
4, -1.58415, -1.62706, -1.6475, -1.52708, -1.37261, -1.22773, -1.06236, -0.851344, -0.638222, -0.419728, -0.175315, 0.174963, 0.403791, 0.728574, 0.973103, 1.54486, 1.9606, 2.15255, 2.67943, 3.01244, 3.43827, 3.98257, 4.27737, 4.94235, 5.75328, 6.44642, 5.88681, 21.6482, 7.83272, 7.83272, 21.6482, 21.6482, 21.6482, 21.6482, 21.6482, 21.6482, 21.6482, 21.6482, 21.6482, 21.6482
5, -2.52401, -2.36867, -1.73285, -1.18901, -0.8032, -0.394403, -0.276481, 0.224795, 0.551808, 0.84236, 1.4869, 1.77215, 1.97606, 2.15838, 2.27975, 2.27975, 2.51506, 3.46244, 3.46244, 4.32744, 4.10429, 4.46097, 4.46097, 6.40688, 5.71373, 6.40688, 20.2224, 20.2224, 20.2224, 20.2224, 20.2224, 20.2224, 20.2224, 20.2224, 20.2224, 20.2224, 20.2224, 20.2224, 20.2224, 20.2224
6, -1.60923, -1.54999, -1.48979, -1.3978, -1.35229, -1.20104, -1.03595, -0.856427, -0.699522, -0.507501, -0.326816, -0.100866, 0.188379, 0.357496, 0.65137, 0.932038, 1.40997, 1.69324, 2.04891, 2.32493, 2.7675, 3.15256, 3.58101, 3.84571, 4.70316, 4.85731, 5.73277, 5.73277, 7.34221, 7.34221, 7.34221, 21.1577, 21.1577, 21.1577, 7.34221, 21.1577, 21.1577, 21.1577, 21.1577, 21.1577
7, -1.56073, -1.55055, -1.51406, -1.44011, -1.33063, -1.18205, -1.03138, -0.900415, -0.717128, -0.504862, -0.285526, -0.0415857, 0.178165, 0.416876, 0.675354, 0.957783, 1.28829, 1.54857, 1.91689, 2.08064, 2.45589, 3.03922, 3.33494, 4.15396, 4.4018, 4.73204, 5.30259, 5.56495, 6.2581, 6.48124, 6.76892, 7.86754, 21.683, 21.683, 7.86754, 21.683, 21.683, 21.683, 21.683, 21.683
8, -2.23432, -2.18668, -1.93608, -1.61165, -1.28957, -0.889701, -0.467604, -0.00846162, 0.647723, 1.23968, 1.80957, 2.41538, 3.16221, 3.88521, 4.85599, 5.58996, 6.68857, 21.8904, 21.8904, 21.8904, 21.8904, 21.8904, 21.8904, 21.8904, 21.8904, 21.8904, 21.8904, 21.8904, 21.8904, 21.8904, 21.8904, 21.8904, 21.8904, 21.8904, 21.8904, 21.8904, 21.8904, 21.8904, 21.8904, 21.8904
9, -1.42855, -1.54104, -1.48356, -1.46772, -1.36593, -1.25383, -1.13349, -0.952144, -0.718397, -0.541024, -0.356052, -0.0671059, 0.256294, 0.542579, 0.859869, 1.11155, 1.47672, 1.72263, 1.97655, 2.43413, 2.42186, 2.76813, 2.82124, 3.83284, 3.99536, 4.74914, 4.74914, 5.21914, 6.82858, 5.72996, 6.13543, 20.6441, 6.13543, 20.6441, 20.6441, 20.6441, 20.6441, 20.6441, 20.6441, 20.6441
10, -2.1201, -2.19367, -1.8877, -1.48816, -1.10896, -0.766542, -0.464213, -0.154587, 0.141184, 0.457357, 0.718468, 1.06256, 1.15329, 1.3674, 1.65163, 2.06401, 2.16629, 2.43871, 2.65807, 2.88279, 3.18368, 3.30813, 3.6161, 4.14345, 4.32578, 4.23047, 4.46888, 5.42439, 5.32908, 5.52975, 7.03383, 21.5425, 21.5425, 21.5425, 21.5425, 21.5425, 21.5425, 21.5425, 21.5425, 21.5425
11, -2.00726, -2.0612, -1.8376, -1.55752, -1.24462, -0.916277, -0.557456, -0.337014, -0.112381, 0.207098, 0.571864, 0.84796, 1.07745, 1.30674, 1.51359, 1.75843, 1.98764, 2.08112, 2.48104, 2.70335, 2.87003, 3.2978, 3.60318, 3.89769, 3.91148, 4.06101, 4.42695, 4.78695, 5.4801, 5.14362, 6.24224, 6.80185, 6.39639, 8.18815, 8.18815, 22.0037, 22.0037, 22.0037, 22.0037, 22.0037
12, -1.53805, -1.50246, -1.4565, -1.44864, -1.34059, -1.16212, -1.02111, -0.876919, -0.70452, -0.538202, -0.376005, -0.137738, 0.102558, 0.31902, 0.558133, 0.851745, 1.10909, 1.41388, 1.65402, 1.97913, 2.59093, 2.9964, 3.12993, 3.77089, 3.87813, 4.75738, 4.85269, 5.6512, 7.84843, 6.74981, 21.6639, 7.15528, 7.84843, 21.6639, 21.6639, 21.6639, 21.6639, 21.6639, 21.6639, 21.6639
13, -1.56255, -1.8691, -1.77316, -1.53692, -1.32794, -1.13331, -0.866618, -0.65222, -0.417259, -0.111939, 0.123738, 0.116258, 0.352151, 0.790217, 1.06051, 1.19568, 1.66218, 1.89764, 2.09243, 2.36235, 2.58198, 3.48953, 3.01411, 3.68059, 3.85244, 3.91698, 4.83327, 5.23873, 4.54559, 5.93188, 5.52642, 6.62503, 6.62503, 20.4405, 20.4405, 6.62503, 20.4405, 20.4405, 20.4405, 20.4405
14, -1.5638, -1.85358, -1.76661, -1.64249, -1.36731, -1.19261, -0.895138, -0.558128, -0.285617, -0.0374435, 0.310383, 0.540484, 0.712591, 0.907183, 1.14337, 1.23775, 1.56682, 1.64424, 1.88063, 2.00136, 2.22894, 2.48025, 2.7034, 2.79692, 3.05245, 3.18779, 4.08969, 3.83838, 3.61523, 3.95616, 4.42616, 4.78284, 5.024, 6.0356, 5.22467, 6.72875, 7.4219, 7.4219, 21.2374, 21.2374
15, -1.63168, -1.66136, -1.61026, -1.56182, -1.46438, -1.32311, -1.1157, -0.888726, -0.610777, -0.30793, -0.0244456, 0.432864, 0.689866, 1.11042, 1.50939, 1.78102, 2.50653, 2.99781, 3.34076, 4.39492, 5.22783, 5.92098, 6.14412, 21.3459, 21.3459, 21.3459, 21.3459, 21.3459, 21.3459, 21.3459, 21.3459, 21.3459, 21.3459, 21.3459, 21.3459, 21.3459, 21.3459, 21.3459, 21.3459, 21.3459
16, -1.8417, -1.92268, -1.78066, -1.62313, -1.41203, -1.11676, -0.920963, -0.632008, -0.308446, 0.0692397, 0.358636, 0.742886, 1.11369, 1.61283, 2.16595, 2.57316, 2.94263, 3.6823, 4.27009, 4.93506, 5.34053, 5.18638, 7.13229, 7.82544, 21.6409, 7.82544, 21.6409, 21.6409, 21.6409, 21.6409, 21.6409, 21.6409, 21.6409, 21.6409, 21.6409, 21.6409, 21.6409, 21.6409, 21.6409, 21.6409
17, -1.75051, -1.80094, -1.70004, -1.56957, -1.41908, -1.23192, -1.02587, -0.757958, -0.50028, -0.136509, 0.239326, 0.581294, 0.8377, 1.12963, 1.63914, 2.07784, 2.6149, 2.95601, 3.47774, 3.7979, 4.67715, 4.99561, 5.28329, 5.3703, 6.66958, 6.66958, 21.5837, 21.5837, 21.5837, 21.5837, 21.5837, 21.5837, 21.5837, 21.5837, 21.5837, 21.5837, 21.5837, 21.5837, 21.5837, 21.5837
18, -1.42168, -1.49837, -1.61762, -1.6408, -1.43151, -1.21396, -1.01823, -0.771128, -0.606174, -0.276291, -0.0688287, 0.185927, 0.508266, 0.912472, 1.04116, 1.33891, 1.35054, 1.46832, 1.63239, 1.70471, 1.82876, 1.92785, 2.01487, 2.34907, 2.36507, 2.41466, 2.75453, 2.68554, 3.12491, 3.44768, 3.02647, 3.31415, 3.31415, 4.18962, 3.71961, 3.65899, 4.29498, 4.0073, 5.79905, 4.29498
19, -1.41307, -1.48978, -1.52197, -1.486, -1.40059, -1.23841, -1.01175, -0.912236, -0.715987, -0.483185, -0.205267, 0.0338921, 0.279979, 0.528615, 0.709188, 0.988603, 1.30144, 1.47715, 1.53232, 1.75546, 1.89112, 2.09942, 2.44861, 2.46364, 2.80315, 2.82466, 3.21931, 3.26891, 3.68288, 3.73553, 4.35071, 4.40201, 4.7815, 5.14922, 5.73701, 5.73701, 6.24783, 5.40054, 21.162, 6.24783
