AA, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36, Bin37, Bin38, Bin39, Bin40
1, -0.567276, -0.298732, -0.0622553, 0.0957955, 0.238447, 0.339398, 0.400071, 0.575558, 0.68196, 0.884244, 1.03389, 1.2065, 1.42285, 1.51609, 1.41, 1.16326, 1.89175, 2.24108, 2.46558, 3.40434, 4.07254, 18.6493, 18.3881, 18.0713, 17.8244, 17.5769, 17.1903, 16.9622, 16.618, 16.3849, 16.1138, 15.7164, 15.5724, 14.7437, 14.9473, 14.6419, 14.1429, 14.3543, 12.0029, 13.7946
2, 0.558888, 0.581618, 0.469348, 0.293203, 0.144728, -0.0069749, -0.141529, -0.314487, -0.50911, -0.611604, -0.700112, -0.872931, -1.00587, -1.00484, -1.12241, -1.18935, -1.35675, -1.27715, -1.26489, -1.32729, -1.3428, -1.49788, -1.38933, -1.64273, -1.6769, -1.46247, -1.64643, -1.6625, -1.53672, -1.22125, -1.6355, -1.46482, -1.3406, -1.55025, -1.01018, -0.804733, -1.59141, 0.00619725, 11.4703, 13.2621
3, 0.364075, 0.337032, 0.140898, 0.0292752, -0.123857, -0.238756, -0.263101, -0.267379, -0.260745, -0.303021, -0.332293, -0.38533, -0.440135, -0.456506, -0.355285, -0.283872, -0.230785, -0.118097, -0.322903, -0.0409189, 0.00894107, 0.522081, 0.356195, 0.470209, 1.68969, 1.6245, 2.15412, 16.4347, 2.275, 15.8574, 1.07761, 15.189, 15.0449, 14.2162, 14.4198, 14.1144, 13.6155, 13.8268, 11.4754, 13.2672
4, 0.304854, 0.250692, 0.0464877, -0.0229395, -0.0802478, -0.158074, -0.217678, -0.237395, -0.265727, -0.313584, -0.326924, -0.248446, -0.250314, -0.20185, -0.222128, 0.0537034, 0.15648, 0.0736027, 0.314151, 0.369529, 0.482738, 0.68964, 0.723244, 1.07145, 1.63552, 2.08116, 1.13487, 16.6682, 2.50852, 2.27542, 15.8198, 15.4225, 15.2784, 14.4497, 14.6533, 14.348, 13.849, 14.0603, 11.7089, 13.5007
5, -0.635008, -0.49092, -0.0388681, 0.315127, 0.489162, 0.675252, 0.568204, 0.838745, 0.924302, 0.948503, 1.33529, 1.34874, 1.32196, 1.22796, 1.08451, 0.788589, 0.710939, 1.3835, 1.09717, 1.68453, 1.14876, 1.16804, 0.906843, 2.53598, 1.59598, 2.04161, 15.4705, 15.2424, 14.8982, 14.6651, 14.3939, 13.9966, 13.8526, 13.0239, 13.2275, 12.9221, 12.4231, 12.6344, 10.2831, 12.0748
6, 0.279775, 0.327763, 0.204193, 0.106333, -0.0599278, -0.131383, -0.191263, -0.242477, -0.327028, -0.401358, -0.478425, -0.524275, -0.465726, -0.572927, -0.543861, -0.559119, -0.394153, -0.385705, -0.316368, -0.317975, -0.188029, -0.140372, 0.026886, -0.0251902, 0.5854, 0.492038, 0.98084, 0.752796, 2.01801, 1.78492, 1.51377, 14.932, 14.7879, 13.9592, 0.347331, 13.8575, 13.3585, 13.5698, 11.2184, 13.0102
7, 0.328269, 0.3272, 0.17992, 0.0640244, -0.0382684, -0.112393, -0.18669, -0.286466, -0.344634, -0.398719, -0.437135, -0.464995, -0.47594, -0.513548, -0.519877, -0.533373, -0.515835, -0.530375, -0.448382, -0.562269, -0.499641, -0.253708, -0.21919, 0.283069, 0.284045, 0.366775, 0.550652, 0.584972, 0.933898, 0.923948, 0.940477, 1.64179, 15.3133, 14.4846, 0.872655, 14.3828, 13.8838, 14.0951, 11.7437, 13.5355
8, -0.345316, -0.30893, -0.2421, -0.107509, 0.00279477, 0.179955, 0.377081, 0.605488, 1.02022, 1.34583, 1.65796, 1.99198, 2.50811, 2.95479, 3.66076, 4.0988, 4.88445, 19.8114, 19.5251, 19.2475, 18.9348, 18.5974, 18.3363, 18.0195, 17.7726, 17.5251, 17.1384, 16.9104, 16.5662, 16.3331, 16.0619, 15.6646, 15.5206, 14.6919, 14.8955, 14.5901, 14.0911, 14.3024, 11.9511, 13.7428
9, 0.460453, 0.336705, 0.210426, 0.0364162, -0.073567, -0.18417, -0.288805, -0.338195, -0.345903, -0.43488, -0.507661, -0.490515, -0.397811, -0.387845, -0.335362, -0.379607, -0.327402, -0.356312, -0.388729, -0.20878, -0.533673, -0.524797, -0.732883, -0.0380508, -0.122392, 0.383868, -0.00279986, 0.23916, 1.50438, 0.17267, 0.306983, 14.4183, -0.234358, 13.4456, 13.6492, 13.3438, 12.8448, 13.0561, 10.7048, 12.4965
10, -0.2311, -0.315917, -0.193714, 0.0159809, 0.183397, 0.303113, 0.380472, 0.459363, 0.513679, 0.5635, 0.566859, 0.639155, 0.499188, 0.436976, 0.456396, 0.572856, 0.362171, 0.359763, 0.292793, 0.239879, 0.228148, 0.0152023, 0.0619729, 0.272559, 0.20802, -0.134802, -0.283058, 0.444409, 0.00487763, -0.0275455, 1.20538, 15.3167, 15.1727, 14.344, 14.5476, 14.2422, 13.7432, 13.9545, 11.6032, 13.3949
11, -0.118261, -0.183448, -0.143618, -0.0533796, 0.0477453, 0.153378, 0.28723, 0.276935, 0.260113, 0.313241, 0.420255, 0.424551, 0.423346, 0.376312, 0.318355, 0.267272, 0.183518, 0.00218144, 0.115761, 0.0604427, -0.0855036, 0.00486777, 0.0490533, 0.0267925, -0.206274, -0.304255, -0.324988, -0.193029, 0.155897, -0.413669, 0.41379, 0.576104, 0.0265998, 0.989667, 1.19327, 14.7034, 14.2044, 14.4157, 12.0643, 13.8561
