AA, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36, Bin37, Bin38, Bin39, Bin40
1, -2.49459, -2.12616, -1.75651, -1.36573, -1.07152, -0.662441, -0.444718, -0.0724785, 0.186216, 0.577497, 1.01881, 1.7341, 1.9685, 2.47305, 3.04842, 2.64295, 5.24564, 4.84018, 5.24564, 19.7543, 5.24564, 19.7543, 19.7543, 19.7543, 19.7543, 19.7543, 19.7543, 19.7543, 19.7543, 19.7543, 19.7543, 19.7543, 19.7543, 19.7543, 19.7543, 19.7543, 19.7543, 19.7543, 19.7543, 19.7543
2, -1.30367, -1.34235, -1.17485, -1.20339, -1.09348, -1.05996, -0.913358, -0.9876, -0.800029, -0.716648, -0.471525, -0.488917, -0.363562, -0.0791322, 0.0750185, 0.187136, 0.227487, 0.644787, 0.908938, 1.33793, 1.45126, 1.51314, 2.18523, 1.80794, 2.31876, 2.47291, 2.72423, 3.0607, 3.75385, 4.67014, 4.26467, 4.67014, 4.67014, 4.67014, 19.1788, 19.1788, 19.1788, 19.1788, 19.1788, 19.1788
3, -1.52607, -1.61383, -1.52707, -1.49743, -1.44854, -1.21939, -1.00477, -0.880172, -0.587349, -0.382085, -0.102807, -0.0379893, 0.17516, 0.304753, 0.798946, 0.907749, 1.50246, 1.93967, 1.97246, 2.60107, 2.97576, 4.68051, 4.27504, 4.27504, 5.37366, 19.1892, 5.37366, 19.1892, 19.1892, 19.1892, 19.1892, 19.1892, 19.1892, 19.1892, 19.1892, 19.1892, 19.1892, 19.1892, 19.1892, 19.1892
4, -1.60605, -1.63212, -1.61458, -1.48317, -1.38931, -1.24355, -1.08494, -0.87137, -0.58567, -0.384559, -0.0814234, 0.0221172, 0.474102, 0.733614, 0.911501, 1.39039, 1.76769, 2.23769, 2.27159, 2.59437, 2.93084, 4.25259, 4.54028, 4.94574, 5.63889, 4.54028, 5.63889, 19.4544, 19.4544, 19.4544, 19.4544, 19.4544, 19.4544, 19.4544, 19.4544, 19.4544, 19.4544, 19.4544, 19.4544, 19.4544
5, -2.59027, -2.33119, -1.7001, -1.22953, -0.828637, -0.34484, -0.0791373, 0.0945262, 0.822765, 1.11045, 1.85238, 1.75707, 2.54553, 1.44692, 3.46182, 2.36321, 2.76867, 3.46182, 3.46182, 4.15497, 3.46182, 3.46182, 3.05636, 17.9705, 17.9705, 17.9705, 17.9705, 17.9705, 17.9705, 17.9705, 17.9705, 17.9705, 17.9705, 17.9705, 17.9705, 17.9705, 17.9705, 17.9705, 17.9705, 17.9705
6, -1.50488, -1.57098, -1.47825, -1.33328, -1.30158, -1.22809, -1.13365, -0.977272, -0.70506, -0.449979, -0.222107, -0.0632061, 0.125804, 0.125804, 0.607962, 0.925058, 1.1044, 1.41618, 2.03871, 2.64484, 2.5648, 2.5648, 3.05031, 4.03114, 4.4366, 3.33799, 18.9453, 18.9453, 18.9453, 18.9453, 18.9453, 18.9453, 18.9453, 18.9453, 18.9453, 18.9453, 18.9453, 18.9453, 18.9453, 18.9453
7, -1.63862, -1.57151, -1.46958, -1.39289, -1.34147, -1.17118, -1.00292, -0.780985, -0.731286, -0.45206, -0.324227, 0.048294, 0.146734, 0.308577, 0.54077, 0.957664, 1.11613, 1.2686, 1.95005, 1.99768, 2.07367, 2.93867, 3.51403, 4.10182, 3.76534, 4.61264, 19.5268, 5.01811, 5.71125, 19.5268, 19.5268, 19.5268, 19.5268, 19.5268, 19.5268, 19.5268, 19.5268, 19.5268, 19.5268, 19.5268
8, -2.27968, -2.20995, -1.9, -1.58956, -1.21964, -0.848113, -0.455795, 0.0641579, 0.572122, 1.11521, 1.54978, 2.23035, 3.08602, 3.97332, 5.22608, 5.91923, 5.91923, 19.7347, 19.7347, 19.7347, 19.7347, 19.7347, 19.7347, 19.7347, 19.7347, 19.7347, 19.7347, 19.7347, 19.7347, 19.7347, 19.7347, 19.7347, 19.7347, 19.7347, 19.7347, 19.7347, 19.7347, 19.7347, 19.7347, 19.7347
9, -1.39934, -1.49212, -1.52532, -1.5047, -1.37592, -1.23081, -1.13001, -0.944045, -0.663635, -0.489972, -0.198451, -0.175104, 0.365018, 0.464391, 0.626032, 0.884894, 1.37325, 1.77871, 1.57804, 2.18418, 2.47186, 2.03003, 2.87732, 3.28279, 4.66908, 3.57047, 18.4846, 4.66908, 18.4846, 18.4846, 18.4846, 18.4846, 18.4846, 18.4846, 18.4846, 18.4846, 18.4846, 18.4846, 18.4846, 18.4846
10, -2.19771, -2.17081, -1.74325, -1.46065, -1.07047, -0.796989, -0.521202, -0.187429, 0.190127, 0.427128, 0.505718, 0.901794, 1.13197, 1.21791, 1.32613, 1.86105, 2.31653, 2.01927, 2.01927, 2.43913, 2.86657, 3.27204, 3.49518, 3.49518, 4.47601, 4.47601, 4.47601, 5.57462, 5.57462, 5.57462, 19.3901, 19.3901, 19.3901, 19.3901, 19.3901, 19.3901, 19.3901, 19.3901, 19.3901, 19.3901
