AA, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36, Bin37, Bin38, Bin39, Bin40
1, -0.563805, -0.25093, -0.103152, 0.115267, 0.195387, 0.380875, 0.386803, 0.533018, 0.553065, 0.679008, 0.866029, 1.36016, 1.35486, 1.64704, 1.96194, 1.26182, 3.59448, 2.92476, 3.05358, 17.272, 2.46541, 16.6806, 16.2566, 16.0714, 15.8225, 15.7894, 15.271, 15.2326, 14.7973, 14.134, 13.9398, 13.6986, 13.2467, 12.687, 12.3994, 12.3994, 0.480965, 11.3008, 11.3008, 11.9939
2, 0.627111, 0.532879, 0.478508, 0.277608, 0.173426, -0.0166453, -0.0818369, -0.382104, -0.433181, -0.615136, -0.624304, -0.862855, -0.977199, -0.905143, -1.01146, -1.194, -1.42367, -1.27063, -1.28313, -1.14436, -1.32897, -1.56052, -1.3125, -1.87493, -1.613, -1.49201, -1.75904, -1.46103, -1.2032, -0.950203, -1.54982, -1.38552, -1.8375, -2.39712, 11.8239, 11.8239, -0.0945378, 10.7253, 10.7253, 11.4184
3, 0.404716, 0.261399, 0.126289, -0.0164401, -0.181631, -0.176072, -0.173248, -0.274675, -0.2205, -0.280574, -0.255585, -0.411927, -0.438477, -0.521259, -0.287533, -0.473385, -0.148705, 0.0242537, -0.219605, 0.118774, 0.195529, 1.60685, 0.777316, 0.592174, 1.44189, 15.2242, 0.890393, 14.6674, 14.2321, 13.5688, 13.3747, 13.1335, 12.6815, 12.1219, 11.8342, 11.8342, -0.0841666, 10.7356, 10.7356, 11.4288
4, 0.32473, 0.243112, 0.0387804, -0.00217707, -0.122403, -0.200233, -0.253423, -0.265873, -0.218822, -0.283048, -0.234202, -0.35182, -0.139534, -0.0923977, -0.174978, 0.0092594, 0.116526, 0.322275, 0.0795286, 0.112072, 0.150606, 1.17894, 1.04255, 1.26287, 1.70712, 0.575357, 1.15562, 14.9327, 14.4974, 13.8341, 13.6399, 13.3987, 12.9468, 12.3871, 12.0995, 12.0995, 0.181065, 11.0009, 11.0009, 11.694
5, -0.659484, -0.455959, -0.0467403, 0.251469, 0.438273, 0.698476, 0.752384, 0.700023, 1.18961, 1.21196, 1.69961, 1.38314, 1.9319, 0.620908, 2.37534, 0.982076, 1.11751, 1.54641, 1.26976, 1.67268, 0.68159, 0.388164, -0.441372, 14.2876, 14.0387, 14.0056, 13.4872, 13.4487, 13.0134, 12.3501, 12.156, 11.9148, 11.4628, 10.9032, 10.6155, 10.6155, -1.30285, 9.51694, 9.51694, 10.2101
6, 0.4259, 0.304252, 0.175113, 0.147716, -0.0346702, -0.184775, -0.302126, -0.371775, -0.338211, -0.348468, -0.374886, -0.437144, -0.487832, -0.700207, -0.478516, -0.456076, -0.546762, -0.499237, -0.153356, 0.16255, -0.215431, -0.508857, -0.447419, 0.348268, 0.504837, -0.626928, 14.462, 14.4235, 13.9882, 13.3249, 13.1308, 12.8896, 12.4376, 11.878, 11.5903, 11.5903, -0.328073, 10.4917, 10.4917, 11.1849
7, 0.292164, 0.303726, 0.183786, 0.0881049, -0.0745564, -0.127867, -0.171395, -0.175489, -0.364437, -0.350549, -0.477006, -0.325644, -0.466902, -0.517434, -0.545708, -0.423469, -0.535026, -0.646813, -0.24201, -0.484611, -0.706564, -0.134992, 0.0163014, 0.418946, -0.166423, 0.647723, 15.0435, 0.496378, 0.754207, 13.9064, 13.7123, 13.4711, 13.0191, 12.4595, 12.1718, 12.1718, 0.253431, 11.0732, 11.0732, 11.7664
8, -0.348902, -0.334713, -0.246642, -0.108563, 0.047273, 0.195203, 0.375726, 0.669655, 0.938971, 1.21672, 1.397, 1.85641, 2.47238, 3.14731, 4.1396, 4.5381, 4.26807, 17.8193, 17.5427, 17.2524, 16.9545, 16.6611, 16.237, 16.0519, 15.803, 15.7698, 15.2515, 15.213, 14.7777, 14.1144, 13.9202, 13.6791, 13.2271, 12.6675, 12.3798, 12.3798, 0.461406, 11.2812, 11.2812, 11.9743
9, 0.531441, 0.383109, 0.128041, -0.0237081, -0.109012, -0.187498, -0.298488, -0.338548, -0.296787, -0.388461, -0.35123, -0.549041, -0.248618, -0.36162, -0.460446, -0.49624, -0.277914, -0.136704, -0.614023, -0.298117, -0.308373, -1.04363, -0.620404, -0.400082, 0.737317, -0.394448, 14.0013, 0.147354, 13.5275, 12.8643, 12.6701, 12.4289, 11.977, 11.4173, 11.1297, 11.1297, -0.78874, 10.0311, 10.0311, 10.7242
10, -0.266926, -0.295581, -0.0898913, 0.0203483, 0.196442, 0.246327, 0.310319, 0.418068, 0.556976, 0.528639, 0.35294, 0.527856, 0.518335, 0.391902, 0.239649, 0.479917, 0.665365, 0.103859, -0.17279, -0.0431655, 0.0863399, 0.198379, -0.0025476, -0.18769, 0.544243, 0.511091, -0.00725332, 1.05289, 0.617575, -0.045719, 13.5756, 13.3345, 12.8825, 12.3229, 12.0352, 12.0352, 0.116799, 10.9366, 10.9366, 11.6297
11, -0.12083, -0.189551, -0.0999905, -0.00918574, 0.104496, 0.108472, 0.185324, 0.301192, 0.293873, 0.249968, 0.28431, 0.288198, 0.320433, 0.379211, 0.297792, -0.00661962, 0.0954024, -0.0958274, -0.0114622, -0.136612, -0.103194, -0.39662, 0.113619, 0.380462, -0.00196543, -0.663726, -0.0834583, -0.121925, 0.359048, -0.304246, 0.194746, 13.7691, 13.3171, 12.7575, 12.4698, 12.4698, 0.55142, 11.3712, 11.3712, 12.0644
12, 0.358062, 0.390388, 0.253498, 0.00739497, 0.0128259, -0.0436225, -0.21786, -0.273345, -0.38076, -0.518036, -0.554859, -0.546368, -0.628944, -0.64219, -0.706684, -0.328601, -0.598628, -0.199588, -0.394559, -0.595841, -0.223622, 0.0890881, -0.622664, 0.0188719, 1.71589, 0.989587, -0.221905, 1.12592, 14.5061, 0.0273115, 13.6487, 13.4075, 12.9555, 12.3959, 12.1082, 12.1082, 0.18983, 11.0096, 11.0096, 11.7028
13, 0.351264, 0.0260962, 0.0142724, -0.0673533, -0.102803, 0.0853971, -0.0471486, -0.0291954, -0.0479841, -0.254232, -0.0540496, -0.247429, -0.231781, -0.407115, -0.43496, -0.602863, -0.306495, -0.298816, -0.200771, -0.29033, -0.588268, 15.131, -1.41113, 0.706317, 0.457421, -0.962025, 13.7214, 13.683, -1.66647, 12.5844, 12.3902, 12.149, 11.6971, 11.1374, 10.8498, 10.8498, -1.06863, 9.75116, 9.75116, 10.4443
