AA, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36, Bin37, Bin38, Bin39, Bin40
1, -2.45753, -2.14561, -1.75054, -1.41222, -1.07124, -0.730979, -0.433263, -0.0626427, 0.228501, 0.669914, 1.00992, 1.3909, 1.92759, 2.37172, 2.93403, 3.21544, 3.68545, 4.13174, 4.50643, 5.11256, 20.7198, 20.7198, 20.7198, 20.7198, 20.7198, 20.7198, 20.7198, 20.7198, 20.7198, 20.7198, 20.7198, 20.7198, 20.7198, 20.7198, 20.7198, 20.7198, 20.7198, 20.7198, 20.7198, 20.7198
2, -1.29222, -1.23336, -1.2221, -1.21785, -1.11779, -1.08316, -1.00425, -0.892678, -0.822748, -0.662956, -0.545791, -0.425686, -0.331422, -0.0731869, -0.0086484, 0.192905, 0.350297, 0.559336, 0.864917, 1.08049, 1.47423, 1.5318, 1.90447, 1.91528, 2.34273, 2.58692, 2.7235, 2.91071, 3.39255, 3.72902, 3.72902, 4.82763, 4.23985, 5.05078, 5.33846, 6.43707, 5.33846, 6.43707, 20.2526, 20.2526
3, -1.57832, -1.54276, -1.52324, -1.46494, -1.3501, -1.23107, -1.08494, -0.95456, -0.690787, -0.454784, -0.21595, 0.0169302, 0.139618, 0.552856, 0.819578, 1.20987, 1.3705, 1.87127, 2.01919, 2.72694, 2.9211, 3.54525, 3.68835, 4.17386, 5.15469, 6.2533, 6.2533, 20.0688, 6.2533, 20.0688, 6.2533, 20.0688, 20.0688, 20.0688, 20.0688, 20.0688, 20.0688, 20.0688, 20.0688, 20.0688
4, -1.63298, -1.65077, -1.57118, -1.50343, -1.34281, -1.23946, -1.08769, -0.820599, -0.66177, -0.41948, -0.152645, 0.203683, 0.361016, 0.669881, 0.888202, 1.47393, 1.79084, 1.852, 2.57254, 2.71138, 3.38347, 3.72831, 4.61562, 4.95209, 5.86838, 20.377, 5.46291, 20.377, 20.377, 20.377, 20.377, 20.377, 20.377, 20.377, 20.377, 20.377, 20.377, 20.377, 20.377, 20.377
5, -2.51845, -2.2895, -1.75059, -1.28884, -0.819848, -0.400814, -0.0966027, 0.26804, 0.553059, 0.726906, 1.00201, 1.51284, 1.35868, 1.63062, 2.20598, 2.00531, 2.00531, 2.89913, 3.01691, 3.99774, 3.15044, 3.71006, 3.99774, 5.09635, 5.09635, 5.09635, 18.9119, 18.9119, 18.9119, 18.9119, 18.9119, 18.9119, 18.9119, 18.9119, 18.9119, 18.9119, 18.9119, 18.9119, 18.9119, 18.9119
6, -1.52271, -1.49311, -1.4566, -1.38148, -1.31195, -1.22335, -1.03467, -0.915158, -0.720323, -0.582134, -0.373938, -0.242524, 0.101421, 0.361639, 0.642123, 0.759394, 1.10234, 1.56458, 1.73257, 1.9649, 2.58394, 2.8812, 3.04825, 3.3667, 4.52985, 4.753, 5.44614, 5.44614, 19.9548, 6.13929, 19.9548, 19.9548, 19.9548, 19.9548, 19.9548, 19.9548, 19.9548, 19.9548, 19.9548, 19.9548
7, -1.56246, -1.56197, -1.51564, -1.43975, -1.29275, -1.19592, -1.02262, -0.893743, -0.692911, -0.530566, -0.316231, -0.0698183, 0.221906, 0.41459, 0.68107, 0.937392, 1.21707, 1.52759, 1.95504, 1.98894, 2.73519, 3.07897, 3.18718, 3.74679, 4.10347, 4.5453, 4.79662, 5.35623, 6.74253, 6.04938, 6.74253, 20.558, 20.558, 20.558, 20.558, 20.558, 20.558, 20.558, 20.558, 20.558
8, -2.25433, -2.19193, -1.89, -1.60368, -1.29378, -0.876777, -0.447513, 0.0155784, 0.510458, 1.10847, 1.69147, 2.14083, 2.8934, 3.69418, 4.48264, 5.68661, 6.09207, 20.6007, 20.6007, 20.6007, 20.6007, 20.6007, 20.6007, 20.6007, 20.6007, 20.6007, 20.6007, 20.6007, 20.6007, 20.6007, 20.6007, 20.6007, 20.6007, 20.6007, 20.6007, 20.6007, 20.6007, 20.6007, 20.6007, 20.6007
9, -1.41014, -1.53636, -1.45209, -1.44715, -1.37969, -1.2527, -1.05236, -0.92163, -0.710978, -0.562558, -0.329364, -0.0682613, 0.0990909, 0.510387, 0.689206, 0.889877, 1.2094, 1.40356, 1.82341, 2.28475, 2.06853, 2.60753, 2.43317, 3.45483, 3.34947, 4.9589, 4.26576, 4.55344, 5.65205, 4.9589, 5.65205, 19.4676, 5.65205, 19.4676, 19.4676, 19.4676, 19.4676, 19.4676, 19.4676, 19.4676
10, -2.08666, -2.14526, -1.79358, -1.45112, -1.12644, -0.763588, -0.504052, -0.245268, 0.0248693, 0.268142, 0.428163, 0.831461, 0.847828, 0.989407, 1.27836, 1.69403, 1.55761, 1.93659, 2.14272, 2.43443, 2.64954, 2.80036, 3.0352, 3.61712, 3.72835, 3.56583, 4.07665, 4.61565, 4.95212, 4.61565, 5.86841, 20.3771, 20.3771, 20.3771, 20.3771, 20.3771, 20.3771, 20.3771, 20.3771, 20.3771
11, -1.99656, -2.0303, -1.76103, -1.47651, -1.17219, -0.930535, -0.616914, -0.374891, -0.114575, 0.121761, 0.39599, 0.529707, 0.784648, 0.896439, 1.08005, 1.3515, 1.52505, 1.59606, 1.93253, 2.21016, 2.4135, 2.96094, 3.03114, 3.30081, 3.27728, 3.78038, 3.70627, 4.39942, 5.42904, 5.24672, 5.65218, 6.34533, 5.42904, 7.03848, 7.03848, 20.854, 20.854, 20.854, 20.854, 20.854
12, -1.47819, -1.46713, -1.46075, -1.38571, -1.29556, -1.16644, -1.01264, -0.918735, -0.75148, -0.577963, -0.469418, -0.171337, -0.010388, 0.234128, 0.497713, 0.667864, 1.04549, 1.29345, 1.63093, 1.96178, 2.44362, 2.87319, 3.00324, 3.45126, 3.64232, 4.64085, 4.97732, 5.48815, 6.58676, 6.58676, 20.4023, 20.4023, 6.58676, 20.4023, 20.4023, 20.4023, 20.4023, 20.4023, 20.4023, 20.4023
13, -1.56578, -1.79668, -1.70198, -1.46989, -1.2742, -1.11199, -0.899505, -0.723979, -0.479734, -0.324141, -0.0375808, 0.326166, 0.319735, 0.633393, 0.815714, 0.92694, 1.27525, 1.56293, 1.732, 1.78607, 1.81424, 2.597, 2.47922, 2.73053, 3.42368, 3.42368, 3.57783, 3.9833, 4.67644, 5.36959, 4.67644, 19.1851, 5.36959, 19.1851, 19.1851, 19.1851, 19.1851, 19.1851, 19.1851, 19.1851
14, -1.52806, -1.82007, -1.70217, -1.53843, -1.33359, -1.13146, -0.892698, -0.596235, -0.331442, -0.0996402, 0.214971, 0.34744, 0.544027, 0.582696, 0.951218, 0.972161, 1.1325, 1.19663, 1.51343, 1.59879, 1.73657, 1.95123, 2.10303, 2.22492, 2.52503, 2.47624, 3.16939, 3.07841, 2.8817, 3.21818, 3.64896, 4.13447, 5.1153, 5.52076, 4.60447, 6.21391, 20.0294, 6.21391, 20.0294, 20.0294
15, -1.62306, -1.66256, -1.59645, -1.55996, -1.41421, -1.30322, -1.08735, -0.873689, -0.637909, -0.332734, -0.0864491, 0.295875, 0.529489, 0.904464, 1.4093, 1.57094, 2.19627, 2.81063, 3.26262, 4.36123, 4.92085, 5.20853, 5.20853, 20.1227, 20.1227, 20.1227, 20.1227, 20.1227, 20.1227, 20.1227, 20.1227, 20.1227, 20.1227, 20.1227, 20.1227, 20.1227, 20.1227, 20.1227, 20.1227, 20.1227
16, -1.89046, -1.90562, -1.78889, -1.57748, -1.3666, -1.14345, -0.8996, -0.60138, -0.326457, 0.093309, 0.296211, 0.648306, 1.01424, 1.58359, 1.98223, 2.36251, 2.82953, 3.73399, 4.36998, 4.48776, 4.95776, 5.18091, 20.3827, 6.5672, 20.3827, 6.5672, 20.3827, 20.3827, 20.3827, 20.3827, 20.3827, 20.3827, 20.3827, 20.3827, 20.3827, 20.3827, 20.3827, 20.3827, 20.3827, 20.3827
17, -1.78101, -1.83467, -1.74914, -1.56912, -1.37098, -1.19246, -0.935729, -0.721089, -0.408276, -0.123915, 0.236176, 0.537898, 0.787745, 1.21321, 1.53166, 1.79195, 2.40713, 2.86389, 3.2826, 3.2826, 4.30425, 4.42204, 4.70972, 5.40287, 6.50148, 6.50148, 20.317, 20.317, 20.317, 20.317, 20.317, 20.317, 20.317, 20.317, 20.317, 20.317, 20.317, 20.317, 20.317, 20.317
18, -1.43148, -1.50318, -1.52001, -1.47404, -1.32034, -1.16278, -1.0126, -0.804797, -0.52148, -0.291344, -0.0931067, 0.14079, 0.293815, 0.594707, 0.627142, 0.918494, 0.903895, 1.20618, 1.07756, 1.24618, 1.55448, 1.61164, 1.33134, 1.84217, 1.87991, 1.91913, 2.19356, 2.24763, 2.36541, 3.34624, 2.49894, 2.83542, 2.6531, 3.75171, 3.05856, 3.52856, 3.34624, 2.94078, 5.138, 4.44485
19, -1.3434, -1.43178, -1.45922, -1.42395, -1.34096, -1.23499, -1.03462, -0.829528, -0.639863, -0.478932, -0.210779, -0.107513, 0.0933902, 0.381925, 0.524763, 0.663935, 0.974501, 1.21791, 1.07849, 1.36162, 1.40814, 1.59619, 1.79942, 1.90321, 2.15007, 2.34853, 2.50675, 2.72989, 2.88404, 2.9266, 4.45266, 3.57719, 4.11619, 4.45266, 4.96349, 4.96349, 6.0621, 4.45266, 19.8776, 5.36895
20, -2.21931, -2.15752, -1.78305, -1.46885, -1.0847, -0.80113, -0.468747, -0.151097, 0.0796813, 0.373563, 0.544999, 0.943598, 1.116, 1.34176, 1.57147, 2.04809, 2.18036, 2.5128, 2.76815, 3.0866, 3.47964, 3.5566, 4.21053, 4.4729, 4.98372, 5.67687, 5.38919, 20.591, 20.591, 20.591, 20.591, 20.591, 20.591, 20.591, 20.591, 20.591, 20.591, 20.591, 20.591, 20.591
