AA, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36, Bin37, Bin38, Bin39, Bin40
1, -0.571499, -0.289069, -0.090508, 0.058421, 0.185145, 0.331363, 0.40261, 0.55457, 0.616808, 0.819167, 0.931105, 1.05673, 1.38751, 1.56026, 1.88411, 1.91792, 2.13914, 2.31947, 2.41533, 2.77564, 18.0598, 17.7861, 17.6038, 17.3235, 17.0292, 16.7802, 16.5486, 16.2538, 15.9661, 15.743, 15.3726, 14.9231, 14.9757, 14.0848, 14.3079, 13.6148, 13.6148, 14.0848, 11.3122, 12.6985
2, 0.593811, 0.623187, 0.437934, 0.252796, 0.138598, -0.0208204, -0.168375, -0.275465, -0.434441, -0.513702, -0.624608, -0.759848, -0.871505, -0.884649, -1.05857, -1.10462, -1.19601, -1.25293, -1.22619, -1.25644, -1.18584, -1.40196, -1.21161, -1.4811, -1.3479, -1.35267, -1.44771, -1.5553, -1.36114, -1.24781, -1.61819, -0.969099, -1.50424, -1.58428, -1.07346, -0.667993, -1.76661, -0.19799, 10.8449, 12.2312
3, 0.307718, 0.313786, 0.136798, 0.00570021, -0.0937143, -0.168726, -0.249065, -0.337347, -0.30248, -0.305531, -0.294767, -0.317232, -0.400465, -0.258606, -0.230345, -0.0876496, -0.175811, 0.0590094, -0.0719096, 0.390012, 0.261031, 0.611489, 0.572269, 0.777474, 1.46406, 2.31371, 2.08209, 15.6028, 1.49961, 15.092, 0.906092, 14.2721, 14.3247, 13.4337, 13.6569, 12.9637, 12.9637, 13.4337, 10.6612, 12.0475
4, 0.253056, 0.205772, 0.0888527, -0.032784, -0.086424, -0.177114, -0.251817, -0.203386, -0.273463, -0.270227, -0.231462, -0.130479, -0.179066, -0.141581, -0.16172, 0.176405, 0.244532, 0.0397316, 0.481439, 0.374451, 0.723407, 0.794552, 1.49953, 1.5557, 2.17776, 16.4374, 1.2917, 15.911, 15.6233, 15.4002, 15.0298, 14.5803, 14.6329, 13.742, 13.9651, 13.272, 13.272, 13.742, 10.9694, 12.3557
5, -0.632416, -0.432953, -0.0905554, 0.181801, 0.436537, 0.661529, 0.739271, 0.885253, 0.941366, 0.87616, 0.923193, 1.17867, 0.818602, 0.819156, 1.15606, 0.707787, 0.459002, 1.08687, 0.92581, 1.66081, 0.490379, 0.776299, 0.88166, 1.69997, 1.40573, 1.15676, 14.7407, 14.4459, 14.1582, 13.935, 13.5647, 13.1151, 13.1678, 12.2768, 12.4999, 11.8068, 11.8068, 12.2768, 9.50423, 10.8905
6, 0.36333, 0.363434, 0.203435, 0.0891566, -0.0555648, -0.161011, -0.198793, -0.297945, -0.332016, -0.432881, -0.452755, -0.576686, -0.438662, -0.449823, -0.407799, -0.53813, -0.44397, -0.247683, -0.35853, -0.372023, -0.0761209, -0.0525652, -0.0678327, -0.0296809, 0.83923, 0.813406, 1.27494, 0.980136, 15.2011, 1.16246, 14.6076, 14.1581, 14.2107, 13.3197, 13.5429, 12.8497, 12.8497, 13.3197, 10.5472, 11.9335
7, 0.323573, 0.294576, 0.144397, 0.0308884, -0.0363669, -0.133576, -0.186744, -0.27653, -0.304604, -0.381313, -0.395048, -0.40398, -0.318177, -0.396872, -0.368853, -0.360132, -0.329235, -0.284673, -0.136068, -0.34799, 0.075129, 0.145205, 0.0710968, 0.350411, 0.412846, 0.605711, 0.625408, 0.890224, 1.98884, 1.07255, 1.39532, 14.7613, 14.8139, 13.923, 14.1461, 13.453, 13.453, 13.923, 11.1504, 12.5367
8, -0.368296, -0.335382, -0.229968, -0.133043, -0.0373927, 0.185566, 0.388361, 0.632791, 0.898765, 1.25772, 1.61265, 1.80667, 2.35332, 2.88272, 3.43271, 4.38908, 4.54576, 18.7885, 18.5096, 18.2638, 17.9407, 17.667, 17.4846, 17.2043, 16.9101, 16.6611, 16.4295, 16.1347, 15.847, 15.6239, 15.2535, 14.804, 14.8566, 13.9657, 14.1888, 13.4957, 13.4957, 13.9657, 11.1931, 12.5794
9, 0.475895, 0.320181, 0.20794, 0.0234901, -0.123306, -0.190358, -0.21649, -0.304417, -0.322671, -0.413304, -0.408181, -0.402423, -0.440992, -0.301075, -0.360717, -0.407648, -0.33691, -0.408709, -0.267694, -0.0521723, -0.591533, -0.326232, -0.682907, 0.058442, -0.341158, 1.01931, 0.094547, 0.0874296, 0.89836, -0.0179309, 0.304843, 13.6708, -0.0920387, 12.8325, 13.0556, 12.3625, 12.3625, 12.8325, 10.0599, 11.4462
10, -0.200625, -0.288717, -0.13355, 0.0195213, 0.129949, 0.298755, 0.331821, 0.371945, 0.413176, 0.417395, 0.349346, 0.497299, 0.307745, 0.177945, 0.228435, 0.396502, 0.0113053, 0.124324, 0.0516174, 0.0974995, -0.0105267, -0.1334, -0.0808816, 0.220738, 0.0377242, -0.373762, -0.0945548, 0.149642, 0.198432, -0.361183, 0.521206, 14.5803, 14.633, 13.742, 13.9652, 13.272, 13.272, 13.742, 10.9694, 12.3557
11, -0.110522, -0.173757, -0.101001, -0.00587296, 0.0841937, 0.131807, 0.21896, 0.242322, 0.273732, 0.271015, 0.317173, 0.195545, 0.244565, 0.0849772, 0.0301291, 0.0539768, -0.0212616, -0.216205, -0.158572, -0.126764, -0.246561, 0.0271786, -0.0849387, -0.0955771, -0.413347, -0.159211, -0.464937, -0.0665895, 0.675348, 0.269883, 0.304974, 0.548597, -0.315051, 0.403415, 0.626558, 13.7489, 13.7489, 14.2189, 11.4464, 12.8326
12, 0.407842, 0.389414, 0.199282, 0.084933, -0.039172, -0.104094, -0.17677, -0.301522, -0.363174, -0.428709, -0.548234, -0.505499, -0.550471, -0.577334, -0.55221, -0.62966, -0.500815, -0.518811, -0.460172, -0.375142, -0.216442, -0.0605748, -0.112843, 0.0548795, -0.0483047, 0.701257, 0.806111, 1.02214, 1.83307, 1.60992, 15.0551, 14.6055, 0.842669, 13.7672, 13.9904, 13.2972, 13.2972, 13.7672, 10.9946, 12.3809
13, 0.320256, 0.0598687, -0.0419488, 0.000755865, -0.0178135, -0.0496434, -0.0636316, -0.106766, -0.0914269, -0.174888, -0.116398, -0.00799607, -0.220348, -0.178069, -0.234209, -0.370585, -0.271063, -0.249335, -0.359098, -0.550855, -0.845822, -0.336758, -0.636863, -0.66585, -0.266943, -0.51591, -0.593378, -0.482712, -0.0772469, 0.392757, -0.670764, 13.3884, -0.374498, 12.55, 12.7732, 12.08, 12.08, 12.55, 9.77747, 11.1637
