AA, SS, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36, Bin37, Bin38, Bin39, Bin40
1, 1, -2.60281, -2.28193, -1.75138, -1.35996, -0.91484, -0.572423, -0.214055, 0.417282, 1.09986, 1.4919, 1.93819, 2.50129, 3.12382, 3.81696, 4.51011, 4.82856, 5.52171, 5.52171, 6.90801, 20.7235, 20.7235, 20.7235, 20.7235, 20.7235, 20.7235, 20.7235, 20.7235, 20.7235, 20.7235, 20.7235, 20.7235, 20.7235, 20.7235, 20.7235, 20.7235, 20.7235, 20.7235, 20.7235, 20.7235, 20.7235
1, 2, -2.75316, -2.43927, -1.69705, -1.10602, -0.459777, 0.088942, 0.369751, 0.761611, 1.53932, 1.95216, 2.1479, 2.92561, 3.27392, 2.86845, 3.45624, 3.67938, 3.96706, 5.06568, 5.75882, 19.5743, 19.5743, 19.5743, 19.5743, 19.5743, 19.5743, 19.5743, 19.5743, 19.5743, 19.5743, 19.5743, 19.5743, 19.5743, 19.5743, 19.5743, 19.5743, 19.5743, 19.5743, 19.5743, 19.5743, 19.5743
1, 3, -1.92751, -1.91734, -1.79686, -1.59529, -1.36054, -1.13796, -0.895949, -0.58574, -0.344285, 0.207405, 0.670658, 1.01967, 1.40133, 1.6851, 1.47453, 1.4937, 2.68698, 3.54139, 4.05222, 5.84398, 6.53713, 20.3526, 20.3526, 20.3526, 20.3526, 20.3526, 20.3526, 20.3526, 20.3526, 20.3526, 20.3526, 20.3526, 20.3526, 20.3526, 20.3526, 20.3526, 20.3526, 20.3526, 20.3526, 20.3526
2, 1, -1.54684, -1.46171, -1.36298, -1.33894, -1.30012, -1.03616, -0.940852, -0.966504, -0.998972, -0.769493, -0.388493, -0.113048, 0.0238356, 0.314276, 0.397778, 0.652961, 0.980174, 1.37761, 1.70611, 2.37728, 2.39926, 2.6224, 2.98704, 3.72101, 3.90334, 5.51277, 4.0087, 3.80803, 5.10731, 6.20592, 20.0214, 6.20592, 20.0214, 20.0214, 6.20592, 6.20592, 6.20592, 20.0214, 20.0214, 20.0214
2, 2, -1.24793, -1.34515, -1.26732, -1.24232, -1.13085, -1.18888, -1.1277, -1.04897, -0.972759, -0.750995, -0.613186, -0.471707, -0.379432, 0.0773265, 0.375591, 0.62387, 0.770474, 1.26391, 1.43253, 1.79799, 2.32862, 2.7594, 3.37844, 3.12713, 3.37844, 3.37844, 5.32435, 4.6312, 5.32435, 4.22574, 19.1399, 4.22574, 4.6312, 19.1399, 19.1399, 19.1399, 19.1399, 19.1399, 19.1399, 19.1399
2, 3, -1.14679, -1.12164, -1.05311, -1.02224, -1.03264, -1.06474, -0.973654, -0.843132, -0.814851, -0.718353, -0.7074, -0.72703, -0.656571, -0.425575, -0.196942, 0.090129, 0.166308, 0.627381, 0.950553, 0.883488, 1.17659, 1.50872, 1.7344, 1.91419, 1.78636, 2.5485, 2.92579, 3.39579, 3.39579, 4.49441, 3.61894, 4.31208, 19.9194, 6.10384, 6.10384, 6.10384, 19.9194, 19.9194, 19.9194, 19.9194
3, 1, -1.65302, -1.64516, -1.70513, -1.55294, -1.62053, -1.51022, -1.07031, -0.703232, -0.341485, -0.0610404, 0.373695, 0.784123, 1.14936, 1.27524, 1.35123, 1.73072, 2.63744, 3.73605, 2.59092, 4.07252, 4.58335, 19.4975, 19.4975, 5.68196, 19.4975, 19.4975, 19.4975, 19.4975, 19.4975, 19.4975, 19.4975, 19.4975, 19.4975, 19.4975, 19.4975, 19.4975, 19.4975, 19.4975, 19.4975, 19.4975
3, 2, -1.66613, -1.70857, -1.74099, -1.76158, -1.36086, -1.27624, -1.04367, -0.830232, -0.458668, -0.0201632, 0.385302, 0.745305, 0.850665, 0.947829, 1.6616, 2.20059, 2.64242, 3.74104, 3.45335, 4.1465, 4.83965, 4.83965, 18.6552, 4.83965, 18.6552, 4.83965, 18.6552, 18.6552, 18.6552, 18.6552, 18.6552, 18.6552, 18.6552, 18.6552, 18.6552, 18.6552, 18.6552, 18.6552, 18.6552, 18.6552
3, 3, -1.41439, -1.45015, -1.48737, -1.39367, -1.37551, -1.30295, -1.1672, -0.898935, -0.716904, -0.530511, -0.371688, -0.165812, 0.0110862, 0.251811, 0.657276, 1.06849, 1.4168, 1.65974, 1.83708, 2.22406, 2.64057, 3.47682, 3.55686, 4.16997, 6.04177, 5.63631, 20.5504, 20.5504, 20.5504, 20.5504, 6.73492, 20.5504, 20.5504, 20.5504, 20.5504, 20.5504, 20.5504, 20.5504, 20.5504, 20.5504
4, 1, -1.66372, -1.74137, -1.88375, -1.66026, -1.36388, -1.20232, -0.982594, -0.696049, -0.284314, -0.236896, -0.0899133, 0.607409, 0.936378, 1.48875, 1.86437, 2.42031, 2.58737, 3.59897, 3.68598, 4.47443, 4.69758, 5.39073, 4.98526, 5.39073, 19.8994, 19.8994, 19.8994, 19.8994, 19.8994, 19.8994, 19.8994, 19.8994, 19.8994, 19.8994, 19.8994, 19.8994, 19.8994, 19.8994, 19.8994, 19.8994
4, 2, -1.68977, -1.72417, -1.86267, -1.71933, -1.41038, -1.18102, -0.845797, -0.685328, -0.530608, -0.158447, 0.285314, 0.732165, 1.08282, 1.49834, 1.49834, 2.4299, 2.35579, 2.69226, 3.04893, 3.60855, 3.38541, 18.8104, 4.3017, 4.3017, 18.8104, 18.8104, 18.8104, 18.8104, 4.99484, 18.8104, 18.8104, 18.8104, 18.8104, 18.8104, 18.8104, 18.8104, 18.8104, 18.8104, 18.8104, 18.8104
4, 3, -1.47911, -1.53115, -1.54612, -1.45574, -1.38746, -1.23291, -1.10153, -0.953096, -0.779208, -0.53637, -0.305321, -0.00851785, 0.17611, 0.476467, 0.7484, 1.31586, 1.89737, 1.98566, 2.57653, 3.00305, 3.35669, 3.67514, 3.85746, 4.90728, 5.24376, 6.85319, 5.75458, 20.6687, 20.6687, 6.85319, 20.6687, 20.6687, 20.6687, 20.6687, 20.6687, 20.6687, 20.6687, 20.6687, 20.6687, 20.6687
