AA, SS, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36, Bin37, Bin38, Bin39, Bin40
1, 1, -0.720503, -0.393363, -0.0335494, 0.164654, 0.39958, 0.505766, 0.637449, 1.03122, 1.46551, 1.57688, 1.74869, 2.02032, 2.39959, 2.79925, 3.21017, 3.20039, 3.52249, 3.23781, 4.32907, 17.8441, 17.5362, 17.1283, 16.8361, 16.4366, 16.2448, 15.9169, 15.3757, 15.1569, 14.7725, 14.6911, 14.5256, 14.1399, 13.8324, 13.0115, 13.3216, 13.3216, 12.5595, 11.9999, 0.892402, 12.4053
1, 2, -0.87085, -0.550701, 0.0207785, 0.418586, 0.854643, 1.16713, 1.22125, 1.37555, 1.90496, 2.03714, 1.9584, 2.44465, 2.54969, 1.85074, 2.1563, 2.05121, 1.96784, 2.78177, 3.17989, 16.6949, 16.387, 15.9791, 15.687, 15.2874, 15.0956, 14.7677, 14.2266, 14.0077, 13.6233, 13.5419, 13.3764, 12.9907, 12.6833, 11.8623, 12.1724, 12.1724, 11.4103, 10.8507, -0.25678, 11.2562
1, 3, -0.0452031, -0.0287745, -0.0790327, -0.0706752, -0.0461221, -0.0597666, -0.0444453, 0.0281959, 0.0213637, 0.292383, 0.481154, 0.538711, 0.677101, 0.667381, 0.174596, -0.134473, 0.687759, 1.25749, 1.47329, 2.96459, 3.34982, 16.7574, 16.4653, 16.0657, 15.8739, 15.546, 15.0049, 14.786, 14.4016, 14.3202, 14.1547, 13.7691, 13.4616, 12.6406, 12.9507, 12.9507, 12.1886, 11.629, 0.521523, 12.0345
2, 1, 0.335462, 0.42686, 0.354857, 0.185671, 0.014298, 0.0420271, -0.089348, -0.352568, -0.633323, -0.684516, -0.577998, -0.59401, -0.700391, -0.703439, -0.902158, -0.975214, -1.01905, -0.906297, -0.872821, -0.502105, -0.788046, -0.972833, -0.900327, -0.565888, -0.5754, 0.706131, -1.33908, -1.75863, -0.843756, 0.173511, 13.8235, -0.377665, 13.1304, 12.3094, -1.19597, -1.19597, -1.95811, 11.2978, 0.190317, 11.7033
2, 2, 0.634375, 0.543418, 0.450509, 0.282289, 0.183572, -0.110691, -0.276195, -0.435033, -0.60711, -0.666018, -0.80269, -0.95267, -1.10366, -0.940389, -0.924345, -1.0043, -1.22875, -1.02, -1.1464, -1.08139, -0.858686, -0.835834, -0.508931, -1.15978, -1.1003, -1.4282, -0.0234229, -0.935449, -0.626713, -1.80667, 12.9419, -2.35785, -2.25987, 11.4278, 11.738, 11.738, 10.9758, 10.4162, -0.691253, 10.8217
2, 3, 0.735515, 0.766928, 0.66472, 0.502368, 0.281781, 0.0134532, -0.12215, -0.229196, -0.449202, -0.633376, -0.896905, -1.20799, -1.3808, -1.44329, -1.49688, -1.53805, -1.83291, -1.65652, -1.62838, -1.9959, -2.01071, -2.08651, -2.15298, -2.37271, -2.69238, -2.25815, -2.42198, -2.17086, -2.55527, -1.538, -2.57899, -2.2715, 13.0283, -1.6082, -1.29805, -1.29805, 11.7553, 11.1957, 0.088241, 11.6012
3, 1, 0.229287, 0.243405, 0.0127049, -0.0283245, -0.306114, -0.43203, -0.218804, -0.0892954, 0.0241639, 0.023937, 0.18419, 0.30316, 0.425137, 0.257528, 0.0512938, 0.102545, 0.63822, 1.45215, 0.011989, 1.19314, 1.39605, 15.9022, 15.6101, 1.39506, 15.0187, 14.6908, 14.1497, 13.9308, 13.5464, 13.4651, 13.2995, 12.9139, 12.6064, 11.7854, 12.0956, 12.0956, 11.3334, 10.7738, -0.33364, 11.1793
3, 2, 0.216172, 0.179996, -0.0231576, -0.23697, -0.0464402, -0.198054, -0.192169, -0.216295, -0.0930194, 0.0648142, 0.195797, 0.264342, 0.126439, -0.0698865, 0.36166, 0.572417, 0.643205, 1.45713, 0.874424, 1.26712, 1.65235, 1.24441, 14.7678, 0.552747, 14.1764, 0.0330066, 13.3074, 13.0885, 12.7041, 12.6228, 12.4572, 12.0716, 11.7641, 10.9431, 11.2533, 11.2533, 10.4911, 9.93152, -1.17595, 10.337
3, 3, 0.467912, 0.438413, 0.230466, 0.130945, -0.0610889, -0.224759, -0.315695, -0.284999, -0.351255, -0.445534, -0.561192, -0.646775, -0.71314, -0.765904, -0.642659, -0.559683, -0.582422, -0.624159, -0.741853, -0.655325, -0.54673, -0.118413, -0.330507, -0.116933, 1.56304, 0.829664, 15.2027, 14.9838, 14.5994, 14.518, 0.536995, 13.9668, 13.6594, 12.8384, 13.1485, 13.1485, 12.3864, 11.8268, 0.719315, 12.2323
4, 1, 0.218582, 0.147193, -0.165922, -0.135653, -0.0494588, -0.12413, -0.13109, -0.0821129, 0.0813343, -0.151918, -0.279418, 0.126446, 0.212152, 0.471038, 0.564429, 0.792137, 0.588145, 1.31506, 1.10705, 1.59505, 1.51027, 1.79549, 1.09789, 1.10382, 15.4206, 15.0927, 14.5516, 14.3327, 13.9483, 13.867, 13.7015, 13.3158, 13.0083, 12.1873, 12.4975, 12.4975, 11.7354, 11.1757, 0.0682696, 11.5812
4, 2, 0.192539, 0.164397, -0.144837, -0.194715, -0.0959641, -0.102834, 0.00570669, -0.0713918, -0.16496, -0.0734696, 0.0958097, 0.251202, 0.358595, 0.480622, 0.198401, 0.801721, 0.356567, 0.408356, 0.470003, 0.729166, 0.198103, 15.2151, 0.414326, 0.0147957, 14.3316, 14.0037, 13.4626, 13.2437, -0.956219, 12.7779, 12.6124, 12.2268, 11.9193, 11.0983, 11.4085, 11.4085, 10.6463, 10.0867, -1.02076, 10.4922
4, 3, 0.403192, 0.357412, 0.171716, 0.0688664, -0.0730356, -0.15472, -0.250026, -0.33916, -0.413559, -0.451393, -0.494825, -0.489481, -0.548116, -0.541249, -0.551535, -0.312315, -0.101854, -0.298245, -0.002404, 0.123661, 0.169382, 0.0799047, -0.0299102, 0.620382, 0.76502, 2.04655, 0.406808, 15.1021, 14.7176, 0.820784, 14.4708, 14.0851, 13.7776, 12.9567, 13.2668, 13.2668, 12.5047, 11.9451, 0.83759, 12.3505
5, 1, -0.876352, -0.615911, 0.271456, 0.634754, 1.06296, 0.986358, 0.915428, 0.992109, 1.28062, 1.45948, 1.96516, 2.27984, 2.03657, 1.33762, 0.362253, 1.82577, 1.16705, 1.17004, 15.7891, 15.4887, 1.36526, 14.7728, 14.4807, 14.0812, 13.8893, 13.5614, 13.0203, 12.8014, 12.417, 12.3357, 12.1701, 11.7845, 11.477, 10.656, 10.9662, 10.9662, 10.204, 9.64443, -1.46304, 10.0499
