AA, SS, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36, Bin37, Bin38, Bin39, Bin40
1, 1, -2.60385, -2.25239, -1.75198, -1.35435, -0.923083, -0.562397, -0.198119, 0.334164, 0.843335, 1.25502, 1.761, 2.27183, 2.9091, 3.38783, 3.90452, 4.38636, 5.03299, 5.48497, 5.63913, 7.43088, 7.43088, 21.2464, 21.2464, 21.2464, 21.2464, 21.2464, 21.2464, 21.2464, 21.2464, 21.2464, 21.2464, 21.2464, 21.2464, 21.2464, 21.2464, 21.2464, 21.2464, 21.2464, 21.2464, 21.2464
1, 2, -2.74211, -2.3779, -1.69109, -1.13894, -0.556225, -0.0749781, 0.203257, 0.653979, 1.15215, 1.60741, 1.79515, 2.60337, 2.76159, 2.67935, 3.67788, 3.3725, 3.83203, 4.2375, 6.31694, 5.21833, 20.1324, 20.1324, 20.1324, 20.1324, 20.1324, 20.1324, 20.1324, 20.1324, 20.1324, 20.1324, 20.1324, 20.1324, 20.1324, 20.1324, 20.1324, 20.1324, 20.1324, 20.1324, 20.1324, 20.1324
1, 3, -1.95329, -1.92202, -1.79243, -1.58408, -1.36961, -1.10958, -0.885355, -0.569966, -0.325559, 0.171872, 0.560842, 0.936093, 1.34715, 1.75262, 1.73262, 1.75262, 2.93001, 3.63969, 4.04515, 5.65459, 6.34774, 20.8564, 20.8564, 20.8564, 20.8564, 20.8564, 20.8564, 20.8564, 20.8564, 20.8564, 20.8564, 20.8564, 20.8564, 20.8564, 20.8564, 20.8564, 20.8564, 20.8564, 20.8564, 20.8564
2, 1, -1.50577, -1.41773, -1.35267, -1.32182, -1.24895, -1.07456, -0.959108, -0.9333, -0.921087, -0.723143, -0.444636, -0.208855, -0.0617448, 0.206777, 0.295249, 0.539751, 0.777771, 1.13408, 1.50509, 1.95707, 2.07276, 2.32948, 2.80437, 3.12528, 3.4781, 3.74046, 3.74046, 3.4781, 4.94444, 5.63758, 5.63758, 6.04305, 6.04305, 6.7362, 6.04305, 6.7362, 5.63758, 6.7362, 20.5517, 20.5517
2, 2, -1.27872, -1.36579, -1.25721, -1.26617, -1.1455, -1.19057, -1.11053, -1.01401, -0.925081, -0.712849, -0.544385, -0.448156, -0.328478, 0.127582, 0.329251, 0.577431, 0.762573, 1.15123, 1.31375, 1.77984, 2.06752, 2.22515, 2.99428, 2.57143, 2.84768, 3.23067, 3.85928, 3.54083, 5.93872, 3.63614, 4.84011, 4.32928, 4.14696, 19.7542, 5.24558, 19.7542, 19.7542, 19.7542, 19.7542, 19.7542
2, 3, -1.12351, -1.09984, -1.04204, -1.03974, -1.02389, -1.01729, -0.949314, -0.877461, -0.812886, -0.714206, -0.653501, -0.661632, -0.605425, -0.38246, -0.213783, -0.000359542, 0.0799011, 0.424908, 0.720622, 0.781583, 1.15058, 1.3068, 1.57692, 1.6423, 1.8112, 2.33545, 2.52864, 3.08417, 3.00193, 4.07457, 3.46146, 4.33693, 5.03008, 4.84776, 6.63952, 5.94637, 6.63952, 20.455, 20.455, 20.455
3, 1, -1.68707, -1.68509, -1.70469, -1.56676, -1.55421, -1.40411, -1.04249, -0.739895, -0.365017, -0.0847146, 0.309055, 0.612362, 0.967913, 1.11274, 1.37901, 1.81896, 2.43612, 3.10517, 2.7485, 3.7518, 4.54026, 5.45655, 19.9652, 4.54026, 6.1497, 19.9652, 6.1497, 19.9652, 19.9652, 19.9652, 19.9652, 19.9652, 19.9652, 19.9652, 19.9652, 19.9652, 19.9652, 19.9652, 19.9652, 19.9652
3, 2, -1.66462, -1.71883, -1.72814, -1.68507, -1.43765, -1.28706, -0.974161, -0.778852, -0.466913, -0.0524794, 0.281294, 0.467396, 0.62281, 1.01946, 1.56601, 2.35447, 2.71114, 3.55844, 3.27076, 3.40429, 4.65705, 3.9639, 4.65705, 4.65705, 5.3502, 5.3502, 19.1657, 19.1657, 19.1657, 19.1657, 19.1657, 19.1657, 19.1657, 19.1657, 19.1657, 19.1657, 19.1657, 19.1657, 19.1657, 19.1657
3, 3, -1.43437, -1.45033, -1.46008, -1.40052, -1.35849, -1.27553, -1.14939, -0.941939, -0.73596, -0.545899, -0.360406, -0.153541, -0.00274791, 0.262725, 0.632316, 0.96679, 1.30007, 1.64606, 1.78523, 2.31586, 2.61905, 3.54581, 3.54581, 4.23896, 5.7971, 5.7971, 7.1834, 20.9989, 7.1834, 20.9989, 6.49025, 20.9989, 20.9989, 20.9989, 20.9989, 20.9989, 20.9989, 20.9989, 20.9989, 20.9989
4, 1, -1.6894, -1.75034, -1.81749, -1.63643, -1.38099, -1.24048, -1.02917, -0.705077, -0.316556, -0.204678, -0.00987739, 0.61702, 0.909844, 1.42988, 1.63441, 2.37847, 2.48882, 3.36429, 3.58743, 3.6928, 4.79141, 5.19687, 5.19687, 5.48455, 6.58317, 20.3987, 6.58317, 20.3987, 20.3987, 20.3987, 20.3987, 20.3987, 20.3987, 20.3987, 20.3987, 20.3987, 20.3987, 20.3987, 20.3987, 20.3987
