AA, SS, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36, Bin37, Bin38, Bin39, Bin40
1, 1, -0.714847, -0.374643, -0.0579973, 0.149788, 0.369278, 0.507258, 0.646566, 0.948113, 1.21583, 1.36116, 1.60939, 1.84842, 2.25499, 2.45741, 2.70929, 2.89521, 3.22887, 3.40603, 3.27385, 4.78798, 4.47535, 17.9535, 17.6923, 17.3755, 17.1286, 16.8811, 16.4945, 16.2664, 15.9222, 15.6891, 15.4179, 15.0206, 14.8766, 14.0479, 14.2515, 13.9461, 13.4471, 13.6585, 11.3071, 13.0988
1, 2, -0.853111, -0.500149, 0.00289038, 0.365199, 0.736137, 0.994677, 1.04794, 1.26793, 1.52465, 1.71355, 1.64354, 2.17996, 2.10749, 1.74893, 2.48265, 1.88134, 2.02791, 2.15855, 3.95166, 2.57542, 17.1769, 16.8395, 16.5783, 16.2616, 16.0147, 15.7672, 15.3805, 15.1525, 14.8082, 14.5752, 14.304, 13.9067, 13.7627, 12.934, 13.1376, 12.8322, 12.3332, 12.5445, 10.1932, 11.9849
1, 3, -0.0642831, -0.0442684, -0.0984461, -0.0799476, -0.0772502, -0.0399261, -0.0406698, 0.0439833, 0.0469357, 0.278016, 0.409233, 0.512684, 0.693049, 0.822196, 0.537388, 0.261463, 1.12589, 1.56075, 1.67988, 3.01168, 3.39221, 17.5635, 17.3023, 16.9855, 16.7386, 16.4911, 16.1045, 15.8764, 15.5322, 15.2991, 15.028, 14.6306, 14.4866, 13.6579, 13.8615, 13.5561, 13.0571, 13.2685, 10.9171, 12.7088
2, 1, 0.383232, 0.46002, 0.341311, 0.182321, 0.0434134, -0.00490729, -0.114422, -0.31935, -0.548593, -0.617, -0.596245, -0.632265, -0.71585, -0.723647, -0.899982, -0.951405, -1.02635, -0.944866, -0.860189, -0.685836, -0.882774, -0.963454, -0.749757, -0.745618, -0.639656, -0.624804, -1.01147, -1.50188, -0.379764, 0.0802892, -0.190863, -0.1827, -0.326739, -0.462284, -0.951832, -0.564066, -2.16167, -0.851748, 10.6124, 12.4041
2, 2, 0.610282, 0.511956, 0.43677, 0.237967, 0.146858, -0.120919, -0.265847, -0.400056, -0.552586, -0.606706, -0.695994, -0.871566, -0.982583, -0.802842, -0.86598, -0.913726, -1.04155, -0.927712, -1.05153, -0.863068, -0.888009, -1.06778, -0.559843, -1.29947, -1.27008, -1.13459, -0.892654, -1.43915, 0.614523, -1.92116, -0.988336, -1.89646, -2.22282, 12.5558, -1.74931, 12.454, 11.955, 12.1663, 9.81494, 11.6067
2, 3, 0.765498, 0.777906, 0.65194, 0.464401, 0.26847, 0.0523614, -0.104628, -0.263511, -0.440392, -0.608063, -0.80511, -1.08504, -1.25953, -1.31288, -1.40901, -1.49152, -1.72422, -1.65403, -1.64465, -1.86132, -1.80495, -1.98613, -1.97721, -2.22859, -2.30655, -2.02982, -2.22329, -1.89581, -2.32227, -1.48273, -2.36698, -1.88882, -1.33971, -2.35072, -0.355364, -1.35389, -1.15974, 12.8671, 10.5157, 12.3075
3, 1, 0.201934, 0.192657, -0.0107008, -0.0626281, -0.261852, -0.334459, -0.197801, -0.125946, 0.00747779, 0.021429, 0.157445, 0.188952, 0.313808, 0.18232, 0.18378, 0.327807, 0.632004, 1.02623, 0.383223, 1.10889, 1.58473, 2.16362, 16.4111, 0.669363, 2.03194, 15.5999, 1.39776, 14.9852, 14.641, 14.4079, 14.1368, 13.7395, 13.5954, 12.7667, 12.9703, 12.6649, 12.166, 12.3773, 10.0259, 11.8176
3, 2, 0.224386, 0.158924, -0.0341594, -0.180934, -0.145285, -0.217405, -0.129476, -0.164903, -0.0944189, 0.0536641, 0.129685, 0.0439866, -0.0312948, 0.0890409, 0.370777, 0.863309, 0.90702, 1.4795, 0.905481, 0.76138, 1.70152, 0.670973, 1.10292, 0.786155, 1.23244, 0.98493, 14.4138, 14.1857, 13.8415, 13.6084, 13.3373, 12.94, 12.7959, 11.9672, 12.1708, 11.8654, 11.3665, 11.5778, 9.22642, 11.0182
3, 3, 0.454637, 0.427415, 0.233907, 0.103616, -0.0661277, -0.205877, -0.304708, -0.327989, -0.363465, -0.439756, -0.512016, -0.57695, -0.656853, -0.667699, -0.562915, -0.524366, -0.504046, -0.432881, -0.580042, -0.327046, -0.336483, 0.25288, -0.00831628, 0.368062, 1.67935, 1.43183, 2.43146, 16.0189, 1.8592, 15.4416, 0.661802, 14.7732, 14.6291, 13.8004, 14.004, 13.6986, 13.1997, 13.411, 11.0596, 12.8514
4, 1, 0.199599, 0.127406, -0.123508, -0.132292, -0.0886269, -0.170824, -0.184485, -0.0911277, 0.0559383, -0.0985343, -0.161486, 0.193611, 0.255739, 0.499452, 0.439176, 0.887318, 0.684702, 1.28535, 1.22216, 1.04989, 1.83588, 1.90394, 1.64275, 1.61366, 2.46541, 16.0334, 1.83123, 15.4187, 15.0745, 14.8414, 14.5702, 14.1729, 14.0289, 13.2002, 13.4038, 13.0984, 12.5994, 12.8107, 10.4594, 12.2511
4, 2, 0.166322, 0.146539, -0.119389, -0.155955, -0.095131, -0.130714, -0.0481513, -0.113765, -0.11896, -0.0787062, 0.0476416, 0.129038, 0.473706, 0.464702, 0.183895, 0.735267, 0.540086, 0.498879, 0.161252, 0.933443, 0.620819, 2.22933, 0.869522, 0.552753, 0.711358, 0.0583808, 14.5858, 14.3578, 0.19806, 13.7805, 13.5093, 13.112, 12.968, 12.1393, 12.3429, 12.0375, 11.5385, 11.7498, 9.39848, 11.1902
