AA, SS, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36, Bin37, Bin38, Bin39, Bin40
1, 1, -2.66296, -2.19748, -1.74766, -1.28656, -0.91515, -0.478378, -0.100789, 0.354885, 0.582102, 0.904389, 1.76587, 2.22263, 3.08763, 3.22116, 3.78077, 4.06846, 18.9826, 18.9826, 5.16707, 18.9826, 5.16707, 18.9826, 18.9826, 18.9826, 18.9826, 18.9826, 18.9826, 18.9826, 18.9826, 18.9826, 18.9826, 18.9826, 18.9826, 18.9826, 18.9826, 18.9826, 18.9826, 18.9826, 18.9826, 18.9826
1, 2, -2.71512, -2.26959, -1.71501, -1.20083, -0.87605, -0.261155, -0.0190153, 0.510244, 0.805708, 2.192, 1.70649, 2.88515, 3.17283, 2.66201, 4.27144, 2.47968, 4.27144, 18.087, 18.087, 18.087, 18.087, 18.087, 18.087, 18.087, 18.087, 18.087, 18.087, 18.087, 18.087, 18.087, 18.087, 18.087, 18.087, 18.087, 18.087, 18.087, 18.087, 18.087, 18.087, 18.087
1, 3, -2.02255, -1.92614, -1.78962, -1.53379, -1.32439, -0.999899, -0.89762, -0.602733, -0.334151, -0.0116346, 0.34291, 1.10202, 1.14854, 1.89047, 2.32126, 1.99583, 4.88621, 3.78759, 4.88621, 18.7017, 4.88621, 18.7017, 18.7017, 18.7017, 18.7017, 18.7017, 18.7017, 18.7017, 18.7017, 18.7017, 18.7017, 18.7017, 18.7017, 18.7017, 18.7017, 18.7017, 18.7017, 18.7017, 18.7017, 18.7017
2, 1, -1.43743, -1.44352, -1.40321, -1.28582, -1.19264, -1.04109, -0.873213, -0.915325, -0.777365, -0.637899, -0.589109, -0.365965, -0.201343, 0.19365, 0.147841, 0.44051, 0.481332, 0.985238, 1.64448, 1.57994, 1.78758, 2.27309, 3.65939, 2.40662, 3.65939, 3.25392, 2.96624, 3.25392, 3.65939, 4.35253, 18.168, 18.168, 18.168, 4.35253, 18.168, 18.168, 18.168, 18.168, 18.168, 18.168
2, 2, -1.3365, -1.4076, -1.11992, -1.23697, -1.11336, -1.32059, -1.11992, -0.979827, -0.860163, -0.851652, -0.379938, -0.643355, -0.216613, 0.221642, 0.444786, 0.578317, 0.865999, 1.42562, 1.7133, 1.83108, 1.7133, 1.60794, 17.726, 2.52423, 2.11876, 3.21737, 3.91052, 2.81191, 17.726, 17.726, 17.726, 3.91052, 3.21737, 17.726, 17.726, 17.726, 17.726, 17.726, 17.726, 17.726
2, 3, -1.1424, -1.19666, -0.950367, -1.10065, -0.981412, -0.890024, -0.81038, -1.05302, -0.784132, -0.700981, -0.407502, -0.49645, -0.558325, -0.391877, -0.14281, -0.14281, -0.16281, 0.18963, 0.325176, 0.986574, 1.12011, 1.08501, 1.36127, 1.27426, 1.88736, 1.88736, 2.25509, 3.06602, 3.3537, 4.45231, 3.3537, 4.45231, 18.2678, 4.45231, 18.2678, 18.2678, 18.2678, 18.2678, 18.2678, 18.2678
3, 1, -1.63263, -1.71234, -1.80103, -1.65423, -1.45118, -1.11156, -1.01109, -0.899389, -0.150152, -0.0907288, 0.367104, 0.245743, 1.09304, 0.542995, 1.16203, 1.85518, 2.4148, 2.00933, 2.70248, 2.70248, 17.6166, 17.6166, 17.6166, 3.80109, 3.80109, 17.6166, 3.80109, 17.6166, 17.6166, 17.6166, 17.6166, 17.6166, 17.6166, 17.6166, 17.6166, 17.6166, 17.6166, 17.6166, 17.6166, 17.6166
3, 2, -1.72392, -1.83312, -1.6508, -1.60132, -1.65767, -1.44475, -0.480728, -0.699417, -0.0752625, 0.147881, 0.435563, 0.0678384, 0.281412, 0.92804, 2.63279, 2.63279, 17.1414, 17.1414, 17.1414, 17.1414, 17.1414, 17.1414, 17.1414, 3.32593, 17.1414, 17.1414, 17.1414, 17.1414, 17.1414, 17.1414, 17.1414, 17.1414, 17.1414, 17.1414, 17.1414, 17.1414, 17.1414, 17.1414, 17.1414, 17.1414
3, 3, -1.44516, -1.53038, -1.39447, -1.42014, -1.40138, -1.20205, -1.07926, -0.905928, -0.760216, -0.529692, -0.283655, -0.130381, -0.0133648, 0.159348, 0.56892, 0.60666, 1.17918, 1.74449, 1.66753, 2.39842, 2.56547, 4.27022, 3.86476, 4.96337, 18.7789, 18.7789, 18.7789, 18.7789, 18.7789, 18.7789, 18.7789, 18.7789, 18.7789, 18.7789, 18.7789, 18.7789, 18.7789, 18.7789, 18.7789, 18.7789
4, 1, -1.75677, -1.76394, -1.7447, -1.58161, -1.35489, -1.40385, -1.13978, -0.665324, -0.11813, -0.105708, 0.101932, 0.587439, 1.2318, 1.56827, 1.50373, 2.19688, 2.33041, 3.58317, 2.89002, 3.58317, 3.58317, 18.0918, 18.0918, 18.0918, 18.0918, 18.0918, 18.0918, 18.0918, 18.0918, 18.0918, 18.0918, 18.0918, 18.0918, 18.0918, 18.0918, 18.0918, 18.0918, 18.0918, 18.0918, 18.0918
4, 2, -1.84408, -1.71403, -1.78893, -1.55802, -1.34938, -1.05367, -0.890518, -0.648205, -0.528403, -0.412891, 0.220833, 0.183093, 1.28171, 1.39949, 1.39949, 1.39949, 2.38032, 2.38032, 2.09264, 3.47893, 17.2944, 17.2944, 17.2944, 17.2944, 3.47893, 2.38032, 17.2944, 17.2944, 17.2944, 17.2944, 17.2944, 17.2944, 17.2944, 17.2944, 17.2944, 17.2944, 17.2944, 17.2944, 17.2944, 17.2944
4, 3, -1.48327, -1.55628, -1.51859, -1.42513, -1.41006, -1.20369, -1.09436, -0.977996, -0.73606, -0.474238, -0.19124, -0.162802, 0.198003, 0.456237, 0.6861, 1.18575, 1.53715, 1.95586, 2.13021, 2.28436, 2.60979, 3.78844, 4.07612, 4.48159, 18.9902, 18.9902, 5.17474, 18.9902, 18.9902, 18.9902, 18.9902, 18.9902, 18.9902, 18.9902, 18.9902, 18.9902, 18.9902, 18.9902, 18.9902, 18.9902
5, 1, -2.86356, -2.26704, -1.61261, -1.04982, -0.644357, 0.271934, 1.37055, 0.117783, 0.81093, 2.75684, 2.75684, 1.65823, 2.75684, 1.65823, 16.5724, 2.75684, 2.75684, 16.5724, 16.5724, 16.5724, 16.5724, 16.5724, 16.5724, 16.5724, 16.5724, 16.5724, 16.5724, 16.5724, 16.5724, 16.5724, 16.5724, 16.5724, 16.5724, 16.5724, 16.5724, 16.5724, 16.5724, 16.5724, 16.5724, 16.5724
5, 2, -2.8212, -2.51022, -1.5774, -0.623974, -0.478792, 0.214355, 1.04103, 0.278894, 2.2938, 1.88833, 2.98694, 2.98694, 2.98694, 16.8025, 16.8025, 2.98694, 16.8025, 16.8025, 2.2938, 16.8025, 2.98694, 2.98694, 16.8025, 16.8025, 16.8025, 16.8025, 16.8025, 16.8025, 16.8025, 16.8025, 16.8025, 16.8025, 16.8025, 16.8025, 16.8025, 16.8025, 16.8025, 16.8025, 16.8025, 16.8025
