AA, SS, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36, Bin37, Bin38, Bin39, Bin40
1, 1, -0.732176, -0.322246, -0.0942993, 0.194439, 0.35176, 0.564938, 0.730732, 0.960381, 0.94895, 1.0059, 1.61309, 1.84869, 2.47399, 2.39515, 2.6943, 2.68732, 17.3314, 17.0672, 2.97501, 16.5003, 2.38684, 15.9089, 15.4849, 15.2997, 15.0508, 15.0177, 14.4993, 14.4609, 14.0255, 13.3622, 13.1681, 12.9269, 12.4749, 11.9153, 11.6277, 11.6277, 0.807858, 10.5291, 10.5291, 11.2222
1, 2, -0.784339, -0.394353, -0.0616454, 0.280168, 0.39086, 0.782161, 0.812506, 1.11574, 1.17256, 2.29351, 1.55372, 2.51121, 2.5592, 1.836, 3.18497, 1.09855, 2.62028, 16.1715, 15.8949, 15.6047, 15.3067, 15.0133, 14.5892, 14.4041, 14.1552, 14.122, 13.6037, 13.5652, 13.1299, 12.4666, 12.2725, 12.0313, 11.5793, 11.0197, 10.732, 10.732, -0.0877669, 9.63346, 9.63346, 10.3266
1, 3, -0.0917668, -0.0509075, -0.136256, -0.0527952, -0.0574847, 0.0434174, -0.0660988, 0.00276415, 0.0326979, 0.0898767, 0.190132, 0.728078, 0.534899, 1.06446, 1.23478, 0.6147, 3.23504, 1.87218, 2.69414, 16.2194, 2.10597, 15.6281, 15.204, 15.0188, 14.7699, 14.7368, 14.2185, 14.18, 13.7447, 13.0814, 12.8872, 12.6461, 12.1941, 11.6345, 11.3468, 11.3468, 0.526994, 10.2482, 10.2482, 10.9413
2, 1, 0.493356, 0.431708, 0.250154, 0.195173, 0.0742662, 0.00222209, -0.0416921, -0.309828, -0.410517, -0.536388, -0.741888, -0.739903, -0.81498, -0.632361, -0.938638, -0.940623, -1.16983, -0.930178, -0.547581, -0.902349, -0.992648, -0.800566, 0.161658, -1.27625, -0.27238, -0.710998, -1.51702, -1.26781, -1.29766, -1.26781, 12.3535, 12.1124, 11.6604, -2.71471, 10.8131, 10.8131, -0.00667758, 9.71455, 9.71455, 10.4077
2, 2, 0.594281, 0.467634, 0.533446, 0.244022, 0.153552, -0.277271, -0.288395, -0.374331, -0.493314, -0.750141, -0.532716, -1.01729, -0.830249, -0.604369, -0.641693, -0.802816, -0.785161, -0.489801, -0.478767, -0.651213, -1.06693, -1.46572, 14.2283, -1.15864, -1.813, -0.747544, -0.572741, -1.70982, 12.769, 12.1057, 11.9115, -2.14513, -3.29026, 10.6588, 10.3711, 10.3711, -0.448689, 9.27254, 9.27254, 9.96565
2, 3, 0.788382, 0.678568, 0.702995, 0.380345, 0.285498, 0.153292, 0.0211413, -0.447525, -0.417283, -0.59947, -0.560281, -0.870387, -1.17196, -1.21789, -1.22929, -1.52394, -1.81397, -1.72579, -1.86689, -1.49572, -1.66013, -1.98864, -2.13646, -2.40861, -2.04441, -2.07756, -2.22818, -1.45571, -1.60335, -1.16803, -2.4608, -1.60335, 11.7602, -2.61494, 10.9129, 10.9129, 0.0930993, 9.81432, 9.81432, 10.5074
3, 1, 0.298152, 0.162895, -0.147665, -0.173235, -0.184272, -0.0682473, -0.179572, -0.293892, 0.216696, 0.0107824, 0.214326, -0.128194, 0.479405, -0.283016, 0.0755556, 0.474048, 0.763636, 0.0939162, 0.510415, 0.220185, 14.8364, 14.5429, 14.1189, 0.118221, -0.130675, 13.6517, -0.682171, 13.0949, 12.6596, 11.9963, 11.8021, 11.5609, 11.109, 10.5494, 10.2617, 10.2617, -0.55812, 9.16311, 9.16311, 9.85622
3, 2, 0.206862, 0.042112, 0.00256365, -0.120324, -0.390762, -0.401434, 0.350794, -0.0939201, 0.291586, 0.249392, 0.282785, -0.306099, -0.332224, 0.102028, 1.54631, 1.25165, 15.4903, 15.226, 14.9494, 14.6592, 14.3612, 14.0678, 13.6437, -0.356936, 13.2097, 13.1765, 12.6582, 12.6197, 12.1844, 11.5211, 11.327, 11.0858, 10.6338, 10.0742, 9.78652, 9.78652, -1.03328, 8.68795, 8.68795, 9.38107
3, 3, 0.485623, 0.344847, 0.258889, 0.0608568, -0.134472, -0.158733, -0.247743, -0.300431, -0.393368, -0.428181, -0.436434, -0.504319, -0.627001, -0.666663, -0.517559, -0.774474, -0.471981, -0.170923, -0.524532, -0.0838741, -0.214759, 1.19656, 0.367028, 1.2805, 14.8471, 14.814, 14.2956, 14.2572, 13.8218, 13.1585, 12.9644, 12.7232, 12.2712, 11.7116, 11.424, 11.424, 0.604158, 10.3254, 10.3254, 11.0185
4, 1, 0.174015, 0.111296, -0.091342, -0.10062, -0.0879828, -0.360538, -0.30826, -0.0598269, 0.248718, -0.00419655, -0.0508471, 0.213502, 0.61816, 0.742257, 0.417252, 0.815744, 0.679248, 1.66776, 0.697961, 1.10088, 0.802939, 15.0182, 14.5941, 14.409, 14.1601, 14.1269, 13.6086, 13.5701, 13.1348, 12.4715, 12.2773, 12.0362, 11.5842, 11.0246, 10.7369, 10.7369, -0.0828922, 9.63833, 9.63833, 10.3315
4, 2, 0.0867025, 0.161205, -0.135566, -0.0770284, -0.0824738, -0.0103536, -0.058997, -0.042708, -0.161555, -0.311379, 0.0680546, -0.190845, 0.668069, 0.573477, 0.31301, 0.0183545, 0.729157, 0.464902, -0.0994285, 0.996636, 14.5142, 14.2208, 13.7967, 13.6116, -0.452837, -1.5846, 12.8112, 12.7727, 12.3374, 11.6741, 11.4799, 11.2388, 10.7868, 10.2272, 9.93952, 9.93952, -0.880281, 8.84094, 8.84094, 9.53406
4, 3, 0.447508, 0.318951, 0.134775, 0.0558603, -0.143145, -0.160374, -0.262839, -0.3725, -0.369212, -0.372727, -0.344018, -0.536739, -0.415634, -0.369774, -0.400379, -0.195381, -0.114011, 0.0404447, -0.06185, -0.197929, -0.170445, 0.714784, 0.578396, 0.798718, 15.0585, 15.0253, 0.691473, 14.4685, 14.0332, 13.3699, 13.1758, 12.9346, 12.4826, 11.923, 11.6353, 11.6353, 0.815525, 10.5368, 10.5368, 11.2299
5, 1, -0.932778, -0.391808, 0.040755, 0.431172, 0.622553, 1.31525, 2.20207, 0.72328, 1.17778, 2.85835, 2.60406, 1.28429, 2.1432, 0.832217, 15.4859, 1.37571, 1.10568, 14.6569, 14.3803, 14.0901, 13.7921, 13.4987, 13.0746, 12.8895, 12.6406, 12.6074, 12.0891, 12.0506, 11.6153, 10.952, 10.7579, 10.5167, 10.0647, 9.5051, 9.21743, 9.21743, -1.60237, 8.11885, 8.11885, 8.81197
5, 2, -0.890416, -0.634992, 0.0759581, 0.85702, 0.788118, 1.25767, 1.87255, 0.88439, 2.66065, 1.98984, 2.83417, 2.61301, 2.37331, 15.9764, 15.716, 1.60581, 15.1513, 14.887, 0.101733, 14.3202, 0.206712, -0.0867143, 13.3047, 13.1196, 12.8707, 12.8375, 12.3192, 12.2807, 11.8454, 11.1821, 10.988, 10.7468, 10.2948, 9.73521, 9.44753, 9.44753, -1.37227, 8.34896, 8.34896, 9.04208
5, 3, -0.215579, -0.347014, -0.167258, -0.0932253, 0.174528, 0.254617, 0.109513, 0.576636, 0.760845, 0.606733, 1.10621, 1.01859, 1.62619, 0.0275172, 1.55881, 0.571007, 0.588662, 0.729872, 14.9619, 0.856141, 0.558203, 0.264777, -1.25791, 13.4711, 13.2222, 13.189, 12.6707, 12.6322, 12.1969, 11.5336, 11.3395, 11.0983, 10.6463, 10.0867, 9.79902, 9.79902, -1.02078, 8.70045, 8.70045, 9.39357
6, 1, 0.256255, 0.0961711, -0.0128663, 0.0768523, -0.0306675, -0.233977, -0.281322, -0.191908, -0.183961, 0.0309271, -0.0760381, -0.2316, -0.222402, -0.390326, 0.243025, 0.353835, 0.489273, -0.180447, 1.33466, 1.04443, 0.746496, 1.14622, 0.0289997, 0.537005, 14.1036, -1.13134, 13.5521, 13.5137, 13.0783, 12.415, 12.2209, 11.9797, 11.5277, 10.9681, 10.6805, 10.6805, -0.139336, 9.58189, 9.58189, 10.275
6, 2, 0.352117, 0.234434, 0.168725, 0.0543444, -0.129435, -0.158323, -0.31241, -0.498025, -0.366654, -0.339322, -0.236937, 0.389202, -0.0868855, -0.399344, -0.387877, 0.144146, -0.482556, 0.457162, 1.27913, 14.8044, -1.1008, -0.295616, 13.789, 13.6038, -0.460577, -0.493729, 12.8034, 12.765, 12.3297, 11.6664, 11.4722, 11.231, 10.7791, 10.2195, 9.93178, 9.93178, -0.888021, 8.8332, 8.8332, 9.52632
6, 3, 0.672685, 0.608904, 0.407739, 0.273755, 0.00881273, -0.146379, -0.317536, -0.466968, -0.458557, -0.623476, -0.649326, -0.806536, -0.813613, -1.02599, -0.916081, -1.02149, -1.05791, -0.942672, -0.905663, -0.554039, -0.15883, -1.1454, -1.05865, -0.145178, 0.299074, 0.265921, 13.5631, 13.5246, 13.0893, 12.426, 12.2319, 11.9907, 11.5387, 10.9791, 10.6914, 10.6914, -0.128371, 9.59285, 9.59285, 10.286
7, 1, 0.244939, 0.1282, 0.0297738, -0.0730798, -0.107656, -0.184252, -0.148753, -0.13412, -0.203785, -0.0802549, -0.346815, 0.101076, -0.0118712, -0.0945683, 0.0126892, 0.192492, -0.0411675, 0.157201, 0.516542, 0.477626, 0.0461564, 0.73356, 1.4081, 1.22296, 0.280916, 14.7564, 14.2381, 14.1996, -0.0512165, 13.101, 12.9068, 12.6657, 12.2137, 11.6541, 11.3664, 11.3664, 0.546619, 10.2678, 10.2678, 10.961
7, 2, 0.137919, 0.265321, 0.198865, 0.0951739, -0.178698, -0.0965917, -0.151201, -0.0631947, -0.144451, -0.586412, -0.345624, -0.29972, -0.336478, -0.386334, -0.298495, 0.505462, 0.117652, -0.588435, 0.164536, -0.462166, -1.2991, 14.7079, 14.2838, 14.0987, 13.8498, 13.8166, 13.2983, -0.555692, 12.8245, 12.1612, 11.9671, 11.7259, 11.2739, 10.7143, 10.4266, 10.4266, -0.393173, 9.32805, 9.32805, 10.0212
7, 3, 0.436073, 0.584248, 0.394127, 0.315334, 0.0201592, -0.0720547, -0.20643, -0.26793, -0.600561, -0.496326, -0.660102, -0.677662, -0.864368, -0.898494, -1.01961, -1.02346, -1.05459, -1.1647, -0.819659, -1.03843, -0.930903, -0.898906, -0.837469, -0.329464, -0.801503, -0.32383, 14.0719, 0.217972, 13.5982, 12.9349, 12.7407, 12.4996, 12.0476, 11.488, 11.2003, 11.2003, 0.38049, 10.1017, 10.1017, 10.7948
8, 1, -0.750506, -0.419284, -0.249482, 0.0131572, 0.621979, 1.07956, 1.10892, 1.8945, 1.57581, 3.87542, 2.23484, 2.70682, 3.16027, 2.25475, 16.5029, 16.2083, 15.9383, 15.674, 15.3974, 15.1071, 14.8092, 14.5158, 14.0917, 13.9065, 13.6577, 13.6245, 13.1062, 13.0677, 12.6324, 11.9691, 11.7749, 11.5338, 11.0818, 10.5222, 10.2345, 10.2345, -0.585301, 9.13592, 9.13592, 9.82904
8, 2, -0.919157, -0.505417, -0.00716315, 0.388913, 1.07402, 1.2144, 1.34888, 1.7821, 2.30559, 1.90672, 1.33398, 1.90128, 3.27102, 2.36549, 16.6137, 16.319, 16.049, 15.7847, 15.5081, 15.2179, 14.9199, 14.6265, 14.2024, 14.0173, 13.7684, 13.7352, 13.2169, 13.1784, 12.7431, 12.0798, 11.8857, 11.6445, 11.1925, 10.6329, 10.3452, 10.3452, -0.474559, 9.24667, 9.24667, 9.93978
8, 3, -0.112559, -0.287537, -0.282559, -0.191015, -0.117865, 0.0108811, 0.202645, 0.465467, 0.754346, 1.00865, 1.32286, 1.76408, 2.31284, 3.7099, 3.8549, 4.25339, 3.98336, 17.5346, 17.258, 16.9677, 16.6698, 16.3764, 15.9523, 15.7672, 15.5183, 15.4851, 14.9668, 14.9283, 14.493, 13.8297, 13.6355, 13.3944, 12.9424, 12.3828, 12.0951, 12.0951, 1.27531, 10.9965, 10.9965, 11.6897
9, 1, 0.53245, 0.348725, -0.0132338, -0.0530037, -0.131422, -0.207963, -0.326426, -0.374467, -0.363654, -0.118166, -0.00781286, -0.377392, -0.245527, -0.506692, -0.287586, -0.0967336, 0.103243, 0.755279, -0.43766, 14.6971, 14.3991, -1.31925, -0.133887, -0.319029, 13.2476, -0.601077, 12.6961, 12.6576, 12.2223, 11.559, 11.3649, 11.1237, 10.6717, 10.1121, 9.82443, 9.82443, -0.995369, 8.72586, 8.72586, 9.41897
9, 2, 0.418629, 0.0391069, -0.124494, -0.21348, -0.0852786, -0.223715, -0.239765, -0.187076, 0.421573, -0.0669074, -0.138876, 0.373935, 0.539701, 1.30816, 0.0668587, 0.242207, 0.483006, 0.624216, -0.568723, 0.750485, -0.240601, -0.939492, -1.36356, 13.3654, 13.1165, 13.0834, 12.565, 12.5266, 12.0912, 11.4279, 11.2338, 10.9926, 10.5407, 9.98104, 9.69337, 9.69337, -1.12643, 8.59479, 8.59479, 9.28791
9, 3, 0.590417, 0.629178, 0.380206, 0.101408, -0.107857, -0.157787, -0.310393, -0.385311, -0.487384, -0.622668, -0.576853, -0.870333, -0.484326, -0.629259, -0.712046, -0.857169, -0.637648, -0.596521, -0.719019, -0.922237, -0.76819, -0.907466, -0.232924, -0.823531, 0.0261853, -0.700114, 13.2902, -0.563777, 12.8164, 12.1531, 11.959, 11.7178, 11.2658, 10.7062, 10.4185, 10.4185, -0.401259, 9.31997, 9.31997, 10.0131
10, 1, -0.36285, -0.361665, -0.169787, -0.0239408, 0.338219, 0.351953, 0.460101, 0.631378, 0.594757, 0.749923, 0.753462, 0.839788, 0.985751, 0.610857, 0.861216, 0.748882, 1.68283, 0.437744, 1.14192, 0.564013, 0.0429307, 1.35894, -0.16374, 0.74973, 14.3163, 14.2832, -0.050662, -0.0891282, 13.2911, 12.6278, 12.4336, 12.1925, 11.7405, 11.1809, 10.8932, 10.8932, 0.0733899, 9.79461, 9.79461, 10.4877
10, 2, -0.418673, -0.423919, -0.0624637, 0.115918, 0.251965, 0.364843, 0.593915, 0.664623, 0.952068, 0.733983, 0.402135, 0.889161, 0.813766, 0.532398, 0.677396, 0.605884, 0.623539, 1.4579, 0.775783, 0.197871, 0.880762, -0.105811, 0.568731, 1.07674, 0.82784, 0.10154, 14.0919, 14.0534, 13.6181, 12.9548, 12.7606, 12.5195, 12.0675, 11.5079, 11.2202, 11.2202, 0.400396, 10.1216, 10.1216, 10.8147
10, 3, 0.311836, 0.129083, -0.0267654, -0.0828329, -0.0484559, -0.0478374, -0.187579, -0.0908302, 0.0524562, 0.0518116, -0.0732666, -0.125803, -0.162561, -0.0182606, -0.58411, 0.0507712, 0.090899, -0.910955, -1.31021, -0.740234, -0.586187, -0.0323153, -0.456386, -1.33468, -0.484959, 0.175036, -1.03646, 13.4337, -0.817092, -1.48038, 12.141, 11.8998, 11.4478, 10.8882, 10.6005, 10.6005, -0.219256, 9.50197, 9.50197, 10.1951
11, 1, -0.258094, -0.273639, -0.128087, 0.0225524, 0.117637, 0.198501, 0.344455, 0.602148, 0.454749, 0.409375, 0.327928, 0.595821, 0.769309, 0.629255, 0.591931, 0.297276, 0.125689, -0.103474, 0.554187, -0.110737, 0.166689, 0.46105, 1.64642, 0.768128, 0.519232, 0.48608, -0.0322643, 14.4379, 14.0026, -1.16934, -0.670349, 12.904, 12.452, 11.8924, 11.6047, 11.6047, 0.784935, 10.5062, 10.5062, 11.1993
11, 2, -0.303511, -0.388807, -0.159326, 0.034792, 0.328854, 0.371982, 0.412125, 0.50035, 0.772527, 0.494451, 0.584257, 0.60426, 0.747554, 0.604172, 0.73147, 0.290211, 0.220855, 1.05521, 0.172428, 0.334184, 0.883543, 0.590117, 1.26466, 0.38637, 14.6461, 0.104322, 14.0946, -0.452489, -0.194659, 12.9576, 12.7634, 12.5222, 12.0703, 11.5107, 11.223, 11.223, 0.403177, 10.1244, 10.1244, 10.8175
11, 3, 0.406807, 0.232047, 0.0069254, -0.0930813, -0.0918448, -0.193589, -0.15999, -0.139154, -0.169548, -0.105285, 0.00891074, -0.212248, -0.302734, -0.0381854, -0.241494, -0.496144, -0.0524048, -0.604342, -0.593308, -0.478073, -0.776011, -1.29258, -0.918143, -0.00467314, -0.946716, -1.586, -0.805065, -0.843532, -0.180237, 12.972, 12.7778, 12.5367, 12.0847, 11.5251, 11.2374, 11.2374, 0.417599, 10.1388, 10.1388, 10.8319
12, 1, 0.23527, 0.292361, 0.175852, -0.105715, -0.00230318, -0.0319291, -0.207948, -0.204184, -0.235193, -0.414917, -0.472253, -0.421479, -0.246743, -0.431719, -0.366764, -0.175912, -0.47671, 0.047492, -0.0860553, -0.209231, 0.792113, 0.904153, 1.17323, 0.988087, 0.739191, 14.5215, -0.505452, 13.9647, 13.5294, 12.8661, 12.672, 12.4308, 11.9788, 11.4192, 11.1315, 11.1315, 0.311747, 10.033, 10.033, 10.7261
12, 2, 0.311277, 0.302081, 0.299711, 0.141073, -0.0209896, -0.131643, -0.375527, -0.442123, -0.346765, -0.391112, -0.531643, -0.461096, -0.716795, -0.396953, -0.480489, 0.0938933, 0.309374, 0.515123, -0.231529, -0.388227, 0.161132, 0.966318, 0.542248, 0.357106, 13.9237, 13.8906, 13.3722, -0.481753, 12.8984, 12.2351, 12.041, 11.7998, 11.3478, 10.7882, 10.5006, 10.5006, -0.319235, 9.40199, 9.40199, 10.0951
12, 3, 0.507674, 0.535855, 0.305289, 0.0558801, 0.0431347, -0.00983373, -0.143039, -0.245366, -0.50862, -0.652261, -0.633145, -0.680196, -0.843424, -0.882707, -1.00852, -0.582626, -0.924112, -0.561911, -0.662669, -0.913678, -0.765329, -0.483391, -1.34929, -0.504817, 14.6712, 0.129426, -0.388918, 14.0813, 13.646, -0.832848, 12.7885, 12.5473, 12.0954, 11.5358, 11.2481, 11.2481, 0.428281, 10.1495, 10.1495, 10.8426
13, 1, 0.163842, -0.134349, -0.0766345, -0.123122, -0.0656539, -0.014811, 0.266828, 0.251099, -0.0692275, -0.252887, 0.347239, 0.349223, -0.00825829, 0.877979, 0.463361, -0.775756, 0.458295, -0.029104, -0.488074, 0.320309, 0.715517, 14.2376, 13.8135, 13.6284, -0.436017, -0.469169, 12.828, 12.7895, -2.15444, 11.6909, 11.4968, 11.2556, 10.8036, 10.244, 9.95634, 9.95634, -0.863461, 8.85776, 8.85776, 9.55088
13, 2, 0.255615, -0.2054, -0.0990968, -0.176155, -0.108599, 0.116356, -0.168199, 0.0112418, 0.519808, 0.659936, 0.251495, 0.589952, 0.637936, -0.267587, -0.751197, -0.129562, 1.39217, 14.9434, 14.6668, 0.561038, 0.263099, 13.7852, -0.454397, -0.639539, 12.9271, -0.921588, 12.3756, 12.3371, 11.9018, 11.2385, 11.0443, 10.8032, 10.3512, 9.79159, 9.50392, 9.50392, -1.31588, 8.40535, 8.40535, 9.09846
13, 3, 0.758286, 0.572116, 0.253082, 0.108885, -0.142587, 0.198032, -0.256076, -0.317345, -0.321593, -0.64199, -0.53449, -0.942235, -0.765773, -1.09951, -0.80036, -0.664232, -1.1419, -1.03146, -0.519651, -0.992203, -1.44429, 14.0237, -2.4131, 13.4145, 13.1656, -1.37622, 12.6141, 12.5756, -1.6752, 11.477, 11.2829, 11.0417, 10.5897, 10.0301, 9.74244, 9.74244, -1.07736, 8.64386, 8.64386, 9.33698
14, 1, 0.180712, -0.0347225, -0.139139, -0.133331, 0.00622447, -0.0166988, 0.0550814, -0.0303611, 0.10397, 0.278945, 0.473605, 0.252446, 0.155849, 0.311198, 0.743878, -0.349285, -0.0214748, -0.526892, -0.243924, -0.757297, 0.148737, -0.432371, -1.26191, -1.26473, -1.69594, -1.03595, -0.455682, -0.494148, -3.00891, -2.28591, -1.78691, 11.7874, 11.3355, 10.7758, 10.4882, 10.4882, -0.33163, 9.3896, 9.3896, 10.0827
14, 2, 0.202776, -0.0869122, -0.247287, -0.279153, -0.0841161, -0.0114442, 0.214769, 0.494494, 0.0403266, 0.249083, 0.609159, 0.146838, 0.649077, 0.136597, 0.869382, 0.312363, -0.100765, 0.145805, 0.274622, -0.0156076, 0.785066, 0.49164, -0.625577, 14.3911, -0.366468, 14.109, -0.224817, -1.3619, -0.698601, -1.36189, -1.55605, 12.0183, 11.5663, 11.0067, 10.719, 10.719, -0.100765, 9.62046, 9.62046, 10.3136
14, 3, 0.52319, 0.46764, 0.253462, 0.100588, -0.113496, -0.272026, -0.226487, -0.0578569, -0.336036, -0.27416, -0.365298, -0.260061, -0.774196, -0.475746, -0.779698, -0.861792, -0.629727, -0.80301, -1.46912, -1.41641, -1.33135, -1.11395, -0.727095, -1.60538, -1.97206, -0.906603, -1.01948, -0.364801, -1.89873, -1.46341, -1.65757, -2.99734, 11.4648, 10.9052, -3.198, 10.6175, -0.202283, 9.51894, 9.51894, 10.2121
15, 1, -0.00431206, 0.147152, -0.039091, -0.119253, -0.327639, -0.113835, -0.0641503, -0.0869465, 0.0869376, 0.145387, 0.326416, 0.200567, 0.391651, 1.13479, 0.87432, -0.208792, 1.22593, 15.4703, 15.1937, 1.08794, 14.6055, 14.3121, 13.888, 13.7029, 13.454, 13.4208, 12.9025, 12.864, 12.4287, 11.7654, 11.5713, 11.3301, 10.8781, 10.3185, 10.0308, 10.0308, -0.788974, 8.93225, 8.93225, 9.62537
15, 2, 0.144503, -0.153778, -0.165353, -0.248773, -0.182898, -0.0822519, 0.000752598, 0.385637, 0.000385553, 0.187033, 0.780041, 1.25203, 0.165033, 15.7141, 0.539489, 0.650299, 14.8889, 14.6247, 14.348, 14.0578, 13.7599, 13.4664, 13.0424, 12.8572, 12.6083, 12.5752, 12.0568, 12.0184, 11.583, 10.9198, 10.7256, 10.4844, 10.0325, 9.47284, 9.18517, 9.18517, -1.63463, 8.08659, 8.08659, 8.77971
15, 3, 0.289229, 0.291105, 0.0716503, 0.00236139, -0.230316, -0.297564, -0.258923, -0.329149, -0.243262, -0.263654, -0.274181, -0.1505, -0.0726636, 0.26703, 0.386052, -0.0292308, 0.440409, 0.512627, 0.998118, 1.55519, 1.66271, 15.8779, 15.4539, 15.2687, 15.0198, 14.9867, 14.4683, 14.4299, 13.9946, 13.3313, 13.1371, 12.8959, 12.444, 11.8844, 11.5967, 11.5967, 0.776881, 10.4981, 10.4981, 11.1912
16, 1, -0.239187, -0.208353, -0.152516, -0.0625198, -0.0654847, -0.0569306, 0.279647, 0.429107, 0.449033, 0.465928, 0.513919, 1.25417, 0.68905, 1.75761, 2.41343, 16.6274, 16.3574, 2.27764, 15.8165, 15.5263, 15.2283, 14.9349, 14.5108, 14.3257, 14.0768, 14.0436, 13.5253, 13.4868, 13.0515, 12.3882, 12.1941, 11.9529, 11.5009, 10.9413, 10.6536, 10.6536, -0.166153, 9.55507, 9.55507, 10.2482
16, 2, -0.207822, -0.237509, -0.14664, -0.171304, 0.0183482, 0.0468091, 0.18221, 0.414932, 0.489156, 0.619132, 0.865617, 0.93214, 0.692442, 1.24221, 0.98174, 16.4485, 16.1785, 2.09871, 15.6376, 15.3473, 15.0494, 14.756, 14.3319, 14.1468, 13.8979, 13.8647, 13.3464, 13.3079, 12.8726, 12.2093, 12.0151, 11.774, 11.322, 10.7624, 10.4747, 10.4747, -0.345083, 9.37614, 9.37614, 10.0693
16, 3, 0.282976, 0.130051, -0.0507816, -0.188173, -0.070225, -0.0648445, -0.16759, -0.24884, -0.240829, -0.13235, -0.191147, -0.0621039, 0.149031, 0.00203889, 0.434719, 0.806543, 0.389912, 0.731793, 1.55376, 2.64982, 2.35188, 0.672163, 1.63439, 15.2648, 15.0159, 14.9827, 14.4644, 14.4259, 13.9906, 13.3273, 13.1331, 12.892, 12.44, 11.8804, 11.5927, 11.5927, 0.772904, 10.4941, 10.4941, 11.1872
17, 1, -0.102493, -0.153446, 0.0278477, -0.0950402, -0.0823512, -0.110815, -0.114545, 0.02489, 0.519394, 0.53496, 0.28067, 0.534934, 0.0634341, 1.27244, 0.878446, 1.97009, 16.2087, 1.03034, 1.15916, 15.3776, 15.0796, 14.7862, 14.3621, 14.177, 13.9281, 13.895, 13.3766, 13.3381, 12.9028, 12.2395, 12.0454, 11.8042, 11.3522, 10.7926, 10.505, 10.505, -0.314845, 9.40638, 9.40638, 10.0995
17, 2, 0.0638949, -0.0931412, -0.229964, -0.129039, -0.152193, -0.0236307, -0.0415624, -0.0456863, 0.152679, 0.488681, 0.693924, 1.16591, 1.61936, 0.513168, 0.399304, 0.651192, 1.16962, 2.51481, 1.13955, 0.849315, 15.4655, 15.1721, 14.748, 0.747351, 14.314, 14.2808, 13.7625, 13.724, 13.2887, 12.6254, 12.4312, 12.1901, 11.7381, 11.1785, 10.8908, 10.8908, 0.0710103, 9.79224, 9.79224, 10.4854
17, 3, 0.305348, 0.270384, 0.0910041, -0.134992, -0.114795, -0.17822, -0.22168, -0.25196, -0.329677, -0.291332, -0.437869, -0.213863, -0.187452, 0.245692, 0.0575452, 0.119565, 0.409154, 0.144899, 0.694929, 2.35061, 2.05267, 15.5748, 1.33517, 14.9655, 14.7166, 14.6835, 14.1652, 14.1267, 13.6914, 13.0281, 12.8339, 12.5928, 12.1408, 11.5812, 11.2935, 11.2935, 0.473692, 10.1949, 10.1949, 10.888
18, 1, 0.170931, 0.131129, -0.0335828, -0.0712182, -0.173511, 0.351305, -0.0652847, -0.173526, -0.00670926, 0.360476, -0.105123, 0.415656, -0.00636471, 1.57302, -0.0737419, -0.080715, -0.956878, -1.30814, -0.709324, -0.999553, -0.381201, -1.59092, -0.40555, -0.590693, -0.839588, -1.97135, -2.4897, -3.03899, -1.86487, 11.2873, 11.0932, -2.96348, 10.4001, 9.84044, 9.55276, -4.26275, -1.26703, 8.45419, 8.45419, 9.14731
18, 2, 0.61237, 0.476776, -0.00491856, -0.210623, -0.274647, -0.310188, -0.15042, -0.325151, -0.104267, -0.00496099, 0.394676, 0.0994087, 0.196182, -0.658047, 0.0800149, 0.632658, 0.768096, -1.28792, -1.27688, -0.979328, -1.45959, -1.34755, -0.385325, -1.26361, -2.20566, 12.963, -1.37086, -1.40933, 11.9709, 11.3076, 11.1134, -2.94325, 10.4203, 9.86067, 9.57299, 9.57299, -1.24681, 8.47442, 8.47442, 9.16754
18, 3, 0.621653, 0.733157, 0.201132, 0.000592915, -0.0199966, -0.254764, -0.257209, -0.218125, -0.281569, -0.193267, -0.169925, -0.783126, -0.302278, 0.296277, -0.523806, 0.211158, -0.847326, -1.19859, -0.599772, -1.22647, -1.65794, -1.25822, -2.08776, -2.09058, -2.92726, -2.96041, -3.36097, -2.92944, -1.75532, -3.11176, -3.30591, -3.54707, -3.99905, -3.86552, -4.84634, -4.84634, -1.15748, -5.25177, -5.25177, -5.2518
19, 1, 0.43047, 0.249503, 0.161708, -0.109915, -0.202766, -0.10401, 0.0958143, -0.227202, -0.359556, -0.186171, -0.266797, -0.188713, 0.113912, -0.345323, -0.666415, -0.267923, -0.412787, -0.533941, -0.810589, -0.933765, -0.779718, -0.918993, -1.34306, -1.34588, 0.0146578, -1.11711, 13.2787, -1.67392, -2.62006, -1.67391, -2.56122, 11.7063, 11.2543, 10.6947, 10.407, 10.407, -0.412787, 9.30844, 9.30844, 10.0016
