AA, SS, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36, Bin37, Bin38, Bin39, Bin40
1, 1, -2.58483, -2.21127, -1.75463, -1.36576, -0.941667, -0.570294, -0.19851, 0.183201, 0.550665, 1.01728, 1.48405, 1.94718, 2.54876, 2.90544, 3.2932, 3.93506, 4.29173, 5.13903, 4.85135, 6.23764, 20.0532, 20.0532, 20.0532, 20.0532, 20.0532, 20.0532, 20.0532, 20.0532, 20.0532, 20.0532, 20.0532, 20.0532, 20.0532, 20.0532, 20.0532, 20.0532, 20.0532, 20.0532, 20.0532, 20.0532
1, 2, -2.73231, -2.29788, -1.6689, -1.17279, -0.569143, -0.258365, 0.0324369, 0.5329, 0.790123, 1.04717, 1.36994, 2.11188, 2.11188, 2.39956, 4.009, 3.49817, 3.49817, 3.31585, 18.9231, 4.009, 18.9231, 18.9231, 18.9231, 18.9231, 18.9231, 18.9231, 18.9231, 18.9231, 18.9231, 18.9231, 18.9231, 18.9231, 18.9231, 18.9231, 18.9231, 18.9231, 18.9231, 18.9231, 18.9231, 18.9231
1, 3, -1.97821, -1.93035, -1.78396, -1.58007, -1.40673, -1.09029, -0.856839, -0.520632, -0.280146, 0.179978, 0.444217, 0.723802, 1.32458, 1.8552, 2.33324, 2.54835, 3.20228, 3.82132, 3.82132, 5.07408, 19.5827, 19.5827, 19.5827, 19.5827, 19.5827, 19.5827, 19.5827, 19.5827, 19.5827, 19.5827, 19.5827, 19.5827, 19.5827, 19.5827, 19.5827, 19.5827, 19.5827, 19.5827, 19.5827, 19.5827
2, 1, -1.44583, -1.32299, -1.31803, -1.29996, -1.16454, -1.15052, -1.01464, -0.874539, -0.803884, -0.657193, -0.498858, -0.321491, -0.16419, 0.0378833, 0.169761, 0.385225, 0.564273, 0.832537, 1.18799, 1.55166, 1.72351, 1.95713, 2.41666, 2.70434, 2.95565, 2.88666, 3.6488, 3.1098, 5.59471, 5.59471, 4.4961, 5.59471, 4.90156, 19.4102, 5.59471, 19.4102, 4.90156, 5.59471, 19.4102, 19.4102
2, 2, -1.30457, -1.38226, -1.29139, -1.31543, -1.18159, -1.13613, -1.0776, -0.967665, -0.868064, -0.580382, -0.485972, -0.313503, -0.28365, 0.177905, 0.217125, 0.504808, 0.711422, 0.910273, 1.03811, 1.73125, 1.87786, 1.93192, 2.33739, 2.04971, 2.62507, 3.03054, 3.03054, 3.03054, 18.6378, 2.87639, 3.72368, 4.8223, 4.12915, 18.6378, 4.12915, 18.6378, 18.6378, 18.6378, 18.6378, 18.6378
2, 3, -1.06941, -1.01608, -1.05295, -1.04993, -1.02232, -0.966351, -0.949767, -0.871534, -0.819575, -0.711034, -0.626914, -0.584455, -0.517182, -0.289518, -0.269909, -0.105252, 0.0232886, 0.1968, 0.523843, 0.553475, 1.11309, 1.07438, 1.40077, 1.38338, 1.83291, 2.18573, 2.11162, 2.67123, 2.44809, 3.49791, 3.2466, 4.34521, 3.83439, 4.05753, 19.2593, 5.44382, 5.44382, 19.2593, 19.2593, 19.2593
3, 1, -1.77655, -1.76084, -1.6683, -1.56631, -1.42543, -1.22373, -0.988094, -0.761372, -0.477268, -0.134107, 0.160309, 0.427188, 0.621344, 1.0412, 1.53763, 2.03663, 2.09725, 2.7904, 3.2604, 3.77123, 4.17669, 4.17669, 18.6854, 3.77123, 18.6854, 18.6854, 18.6854, 18.6854, 18.6854, 18.6854, 18.6854, 18.6854, 18.6854, 18.6854, 18.6854, 18.6854, 18.6854, 18.6854, 18.6854, 18.6854
3, 2, -1.63049, -1.68126, -1.73585, -1.53588, -1.48096, -1.22503, -1.00448, -0.694919, -0.63097, -0.201637, 0.025136, 0.203828, 0.394883, 1.25988, 1.1421, 2.64617, 2.42303, 2.93386, 2.64617, 2.42303, 4.03247, 2.93386, 3.33932, 17.848, 4.03247, 17.848, 17.848, 17.848, 17.848, 17.848, 17.848, 17.848, 17.848, 17.848, 17.848, 17.848, 17.848, 17.848, 17.848, 17.848
3, 3, -1.47866, -1.41435, -1.41654, -1.40923, -1.29428, -1.23494, -1.13297, -1.05663, -0.772422, -0.590377, -0.363483, -0.131954, -0.0324241, 0.340157, 0.598731, 0.910378, 1.09869, 1.57411, 1.71387, 2.55012, 2.58934, 3.50563, 3.41032, 4.19878, 5.11507, 5.80822, 5.80822, 19.6237, 5.80822, 19.6237, 5.80822, 19.6237, 19.6237, 19.6237, 19.6237, 19.6237, 19.6237, 19.6237, 19.6237, 19.6237
4, 1, -1.71779, -1.76408, -1.69208, -1.60412, -1.42388, -1.25755, -1.08217, -0.736394, -0.435838, -0.168277, 0.13682, 0.647646, 0.772208, 1.27964, 1.31412, 2.36144, 2.36144, 2.95928, 3.74774, 2.95928, 19.1727, 4.66403, 5.35718, 5.35718, 5.35718, 19.1727, 5.35718, 19.1727, 19.1727, 19.1727, 19.1727, 19.1727, 19.1727, 19.1727, 19.1727, 19.1727, 19.1727, 19.1727, 19.1727, 19.1727
