AA, SS, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36, Bin37, Bin38, Bin39, Bin40
1, 1, -0.698793, -0.35473, -0.0945943, 0.104883, 0.314718, 0.492049, 0.637364, 0.800414, 0.938972, 1.16654, 1.40523, 1.61302, 2.00868, 2.09397, 2.24328, 2.63753, 2.74542, 3.32676, 2.76024, 3.90071, 17.3931, 17.1194, 16.9371, 16.6568, 16.3625, 16.1136, 15.8819, 15.5871, 15.2995, 15.0763, 14.7059, 14.2564, 14.3091, 13.4181, 13.6412, 12.9481, 12.9481, 13.4181, 10.6456, 12.0318
1, 2, -0.846273, -0.441341, -0.00886266, 0.297856, 0.687242, 0.803977, 0.868311, 1.15011, 1.17843, 1.19642, 1.29112, 1.77772, 1.5718, 1.5881, 2.95908, 2.20065, 1.95186, 1.50359, 16.832, 1.67207, 16.2631, 15.9894, 15.807, 15.5267, 15.2325, 14.9835, 14.7519, 14.4571, 14.1694, 13.9463, 13.5759, 13.1264, 13.179, 12.2881, 12.5112, 11.8181, 11.8181, 12.2881, 9.51553, 10.9018
1, 3, -0.0921733, -0.073805, -0.123927, -0.109432, -0.150346, -0.0279447, -0.0209648, 0.0965811, 0.108161, 0.329231, 0.3654, 0.38964, 0.784493, 1.04374, 1.28332, 1.25083, 1.65597, 2.00905, 1.73021, 2.73715, 16.9227, 16.649, 16.4667, 16.1864, 15.8921, 15.6431, 15.4115, 15.1167, 14.829, 14.6059, 14.2355, 13.786, 13.8386, 12.9477, 13.1708, 12.4777, 12.4777, 12.9477, 10.1751, 11.5614
2, 1, 0.440211, 0.533549, 0.342002, 0.170683, 0.0918413, -0.0881822, -0.178764, -0.257326, -0.415577, -0.507939, -0.577675, -0.655653, -0.704273, -0.773579, -0.880161, -0.912299, -0.982036, -0.979726, -0.903111, -0.785267, -0.936554, -0.976635, -0.699424, -0.692044, -0.734969, -1.05293, -0.522408, -1.3562, 0.841021, 0.617878, -0.851108, -0.202021, -0.842524, 12.7752, -0.817205, 12.3052, -2.2035, -1.04035, 10.0026, 11.3889
2, 2, 0.581462, 0.474282, 0.368647, 0.15521, 0.0747938, -0.0737863, -0.241728, -0.350451, -0.479757, -0.431128, -0.564789, -0.647665, -0.823733, -0.633557, -0.832797, -0.792717, -0.834888, -0.901991, -1.053, -0.605674, -0.782208, -1.00184, -0.778693, -1.34668, -1.06555, -0.909055, -1.14067, -1.43547, 13.8841, -2.10045, -1.62352, -0.974436, -1.61494, 12.0027, -2.28277, 11.5327, 11.5327, 12.0027, 9.23021, 10.6165
2, 3, 0.816629, 0.840463, 0.607082, 0.420711, 0.234064, 0.0959915, -0.113893, -0.254321, -0.431268, -0.561781, -0.705731, -0.918617, -1.05726, -1.10098, -1.31983, -1.40278, -1.52302, -1.61546, -1.56726, -1.78345, -1.54697, -1.85938, -1.71531, -2.013, -1.85772, -1.75386, -2.05959, -1.79477, -2.3056, -1.47892, -2.10061, -1.45152, -1.9097, -2.57753, 12.8474, -1.66124, -1.66124, 12.6243, 9.85174, 11.238
3, 1, 0.109485, 0.0956998, -0.00826676, -0.0956695, -0.169041, -0.161388, -0.15222, -0.144159, -0.0889611, 0.0151464, 0.0814924, 0.0930263, 0.0812615, 0.229736, 0.487712, 0.739102, 0.550941, 0.978134, 1.1693, 1.4343, 1.51663, 1.24293, 15.5693, 0.374843, 14.9947, 14.7458, 14.5141, 14.2193, 13.9317, 13.7085, 13.3381, 12.8886, 12.9413, 12.0503, 12.2734, 11.5803, 11.5803, 12.0503, 9.27776, 10.664
3, 2, 0.255544, 0.17528, -0.0758183, -0.065234, -0.224574, -0.162683, -0.16861, -0.0777056, -0.242663, -0.0523841, -0.0536809, -0.130334, -0.1452, 0.448419, 0.0921747, 1.34865, 0.876722, 1.12159, 0.555072, 0.0861043, 1.3724, 9.64732e-05, 0.22324, 14.4516, 0.341846, 13.9084, 13.6768, 13.382, 13.0943, 12.8711, 12.5008, 12.0512, 12.1039, 11.2129, 11.4361, 10.7429, 10.7429, 11.2129, 8.44039, 9.82664
3, 3, 0.407377, 0.442195, 0.243498, 0.0614155, -0.0378966, -0.1726, -0.297099, -0.439417, -0.384115, -0.441124, -0.4423, -0.466116, -0.572507, -0.471304, -0.451191, -0.387147, -0.447622, -0.238153, -0.37723, 0.213194, -0.0707228, 0.571872, 0.29424, 0.802396, 1.42445, 1.86863, 1.63701, 15.1577, 1.05453, 14.6469, 0.46101, 13.827, 13.8796, 12.9887, 13.2118, 12.5187, 12.5187, 12.9887, 10.2161, 11.6024
4, 1, 0.168248, 0.092467, -0.0320455, -0.133479, -0.167497, -0.195207, -0.246301, -0.119181, -0.047531, -0.019024, 0.0580031, 0.313484, 0.232125, 0.468176, 0.264202, 1.06392, 0.815134, 1.14702, 1.65663, 0.622353, 16.5126, 1.73027, 2.24109, 1.96079, 1.66655, 15.2331, 1.18597, 14.7067, 14.419, 14.1959, 13.8255, 13.376, 13.4286, 12.5376, 12.7608, 12.0676, 12.0676, 12.5376, 9.76509, 11.1513
4, 2, 0.154901, 0.102936, -0.0532664, -0.102125, -0.0991375, -0.236454, -0.150289, -0.226258, 0.00385729, 0.0300848, -0.0480452, 0.087476, 0.619154, 0.394295, 0.109314, 1.161, 0.75806, 0.646256, -0.0380481, 1.22021, 0.897068, 1.31652, 1.1342, 0.853895, 0.559656, 14.1262, 13.8946, 13.5998, 13.3121, 13.089, 12.7186, 12.2691, 12.3217, 11.4307, 11.6539, 10.9607, 10.9607, 11.4307, 8.6582, 10.0444
