AA, SS, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36, Bin37, Bin38, Bin39, Bin40
1, 1, -0.531242, -0.252403, -0.228545, -0.0441763, 0.0733058, -0.111274, -0.0296218, -0.0250243, -0.1357, -0.0686614, 0.0364997, -0.131903, -0.0422814, 0.348512, 0.356605, 0.362236, 0.34828, 0.590374, 1.04435, 2.52017, 3.07076, 3.76998, 3.98082, 4.66232, 19.9929, 19.8707, 19.7271, 19.6666, 19.5334, 19.3709, 19.2157, 19.0984, 18.9039, 18.6773, 18.5205, 18.2742, 18.1174, 17.7852, 17.496, 18.6058
1, 2, -0.93605, -0.412915, -0.142108, -0.178267, 0.0897879, 0.410992, 0.472452, 0.672816, 0.846356, 0.54845, 1.03994, 0.981421, 1.19704, 1.4969, 1.75879, 2.09914, 2.52083, 2.34586, 2.64782, 2.20228, 2.9024, 3.13162, 5.22954, 5.12258, 18.8437, 18.7215, 18.5779, 18.5174, 18.3842, 18.2217, 18.0665, 17.9493, 17.7547, 17.5281, 17.3713, 17.125, 16.9682, 16.636, 16.3468, 17.4567
1, 3, 0.126662, -0.306974, -0.272131, -0.383194, -0.450528, -0.227669, -0.297035, -0.292532, -0.13597, -0.14718, -0.154808, -0.131664, -0.111081, 0.03184, -0.0982021, -0.179212, -0.122683, -0.269595, 0.00753159, 0.320584, 0.372601, 0.639087, 1.01741, 1.29571, 3.24155, 19.4998, 19.3562, 19.2957, 19.1625, 19, 18.8448, 18.7276, 18.533, 18.3064, 18.1496, 17.9033, 17.7465, 17.4143, 17.1251, 18.235
2, 1, 1.99048, 1.36416, 1.02106, 0.847047, 0.0505176, 0.227462, 0.433221, 0.391048, 0.336616, 0.406804, 0.218527, 0.00541067, 0.10236, -0.250443, -0.264296, -0.419561, -0.384896, -0.31643, -0.511726, -0.573932, -0.833819, -0.9024, -0.947431, -1.10615, -0.960854, -0.873435, -0.877303, -0.87449, -1.10006, -1.32466, -1.22352, -1.06812, -1.18589, -1.41628, -1.71414, -1.77683, -2.00599, -2.00023, -1.68503, -1.78106
2, 2, 1.15412, 0.651665, 0.414691, 0.416239, 0.174378, 0.318393, 0.208274, 0.0372593, -0.142794, -0.253415, -0.0460851, -0.156855, -0.248182, -0.165015, -0.227347, -0.292169, -0.422563, -0.489865, -0.545999, -0.542157, -0.572614, -0.61096, -0.537654, -0.435857, -0.653298, -0.748824, -0.728344, -0.743248, -0.725555, -0.691724, -0.726806, -0.755068, -0.877331, -0.593106, -0.886015, -0.68036, -1.04296, -1.22486, -0.898892, -1.45677
2, 3, 2.00809, 1.0904, 0.786178, 0.708501, 0.607779, 0.475935, 0.34436, 0.206907, 0.261387, 0.0635656, -0.0251215, 0.2374, 0.0989997, 0.0905521, -0.0576999, -0.144178, -0.0807778, -0.209722, -0.372641, -0.635371, -0.586636, -0.433158, -0.726228, -0.818398, -0.865105, -0.882373, -1.04958, -1.08868, -1.18207, -1.30558, -1.44665, -1.58035, -1.66123, -1.46387, -1.65215, -1.80084, -2.05134, -2.07619, -2.20507, -2.93352
3, 1, 0.791058, 0.58396, 0.256148, 0.189558, -0.0351164, 0.262673, -0.0972802, 0.0337456, -0.209176, 0.0893822, -0.0260476, -0.0833854, -0.0476312, -0.135467, -0.246285, -0.325423, -0.496073, -0.931934, -0.888178, -0.486825, -0.345541, -0.857264, -1.13889, -0.925543, -0.676283, -0.09811, 0.0605413, 0.170652, 0.364735, 0.745808, 0.878264, 1.75431, 1.9164, 2.5371, 3.47893, 17.0481, 16.8914, 16.5592, 16.27, 17.3798
3, 2, -0.0157213, -0.00528265, -0.147113, -0.0457857, -0.275903, -0.401699, -0.0394759, -0.0456874, -0.10672, -0.111372, -0.0302041, -0.0395349, 0.180012, 0.259275, -0.114549, -0.0468181, -0.367784, -0.226233, -0.0273977, 0.0680846, -0.00919927, 0.146991, 0.135976, 0.311585, 0.347825, 0.690993, 0.624325, 1.07464, 2.04012, 1.28979, 1.72235, 1.82828, 2.32685, 1.69478, 16.4521, 16.2058, 16.0491, 15.7169, 15.4276, 16.5375
3, 3, 1.05654, 0.461858, 0.440875, 0.324225, 0.093479, 0.0998137, 0.190208, 0.117926, -0.0306087, -0.108743, -0.181188, -0.111152, -0.162539, -0.365349, -0.346546, -0.291173, -0.408408, -0.46223, -0.375735, -0.451382, -0.45879, -0.507405, -0.552462, -0.650085, -0.784677, -0.719131, -0.816887, -0.877401, -0.959463, -0.875385, -0.866513, -0.953938, -0.618126, -0.487486, -0.335648, 0.0228765, 1.2956, 2.18719, 17.3229, 18.4328
4, 1, 1.41243, 0.983416, 0.702303, 0.417515, 0.100664, 0.309476, 0.0937349, -0.407563, 0.129952, 0.0838682, -0.0612366, -0.247152, -0.431797, -0.34424, -0.557725, -0.634875, -0.68537, -0.754675, -0.700097, -0.783483, -0.782904, -0.90855, -0.820438, -0.778907, -0.885076, -0.727371, -0.665149, -0.502519, 0.106288, 0.400504, 0.838341, 1.20071, 1.55617, 1.73503, 1.93493, 2.5359, 17.2933, 16.9611, 16.6719, 17.7817
