AA, SS, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36, Bin37, Bin38, Bin39, Bin40
1, 1, -2.785, -1.14609, -0.82104, -0.527342, -0.375404, -0.40509, -0.352339, -0.332986, -0.371324, -0.352756, -0.276178, -0.424272, -0.242803, 0.14675, 0.252339, 0.38163, 0.428729, 0.684473, 1.22028, 2.66871, 3.272, 3.93438, 4.29539, 5.1283, 21.2464, 21.2464, 21.2464, 21.2464, 21.2464, 21.2464, 21.2464, 21.2464, 21.2464, 21.2464, 21.2464, 21.2464, 21.2464, 21.2464, 21.2464, 21.2464
1, 2, -3.16556, -1.33466, -0.837676, -0.665924, -0.348745, -0.0682554, -0.0181152, 0.203257, 0.355934, 0.315524, 0.590091, 0.707467, 0.941661, 1.27999, 1.51292, 1.98621, 2.32795, 2.12728, 2.79058, 2.57927, 3.54435, 3.67788, 5.62379, 5.21833, 20.1324, 20.1324, 20.1324, 20.1324, 20.1324, 20.1324, 20.1324, 20.1324, 20.1324, 20.1324, 20.1324, 20.1324, 20.1324, 20.1324, 20.1324, 20.1324
1, 3, -2.11341, -1.22012, -0.963813, -0.866765, -0.83689, -0.604989, -0.622991, -0.585196, -0.421328, -0.433318, -0.373686, -0.32619, -0.256204, -0.161775, -0.167714, -0.15355, -0.0876094, -0.109815, 0.174996, 0.547133, 0.787058, 0.988797, 1.59415, 1.96571, 4.04515, 20.8564, 20.8564, 20.8564, 20.8564, 20.8564, 20.8564, 20.8564, 20.8564, 20.8564, 20.8564, 20.8564, 20.8564, 20.8564, 20.8564, 20.8564
2, 1, -0.167552, 0.457674, 0.457674, 0.388806, -0.131779, 0.0051775, 0.234906, 0.0950134, 0.1255, 0.134965, 0.0123632, -0.145216, -0.0650874, -0.279517, -0.269593, -0.395503, -0.357209, -0.249446, -0.309581, -0.342146, -0.3971, -0.406632, -0.405841, -0.381821, -0.222253, -0.0892644, -0.041451, 0.054087, 0.011162, -0.0137356, 0.193724, 0.285725, 0.359469, 0.511637, 0.439086, 0.607145, 0.665458, 0.943182, 1.31566, 0.054087
2, 2, -0.892151, -0.157102, -0.150322, -0.0350868, -0.199004, -0.00931215, -0.1204, -0.209745, -0.297647, -0.383842, -0.232978, -0.275885, -0.341673, -0.382045, -0.317027, -0.330373, -0.398103, -0.360226, -0.367552, -0.324675, -0.205463, -0.239221, -0.108649, 0.0554004, -0.00144842, -0.0248565, 0.18615, 0.282731, 0.366569, 0.645418, 0.615713, 0.691699, 0.934777, 1.26589, 1.06353, 1.50791, 1.47281, 1.62123, 2.15453, 0.500644
2, 3, -0.0525675, 0.315157, 0.274766, 0.349801, 0.254322, 0.234288, 0.159472, 0.010153, 0.0841594, -0.0746542, -0.113922, 0.0644405, -0.0223384, -0.0146362, -0.0782884, -0.13585, -0.0986362, -0.0998203, -0.215893, -0.297798, -0.215893, -0.0915018, -0.167313, -0.179408, -0.152828, -0.028712, -0.0926944, -0.0450954, -0.0325167, 0.0207773, 0.0451028, 0.0898655, 0.120369, 0.474098, 0.409035, 0.528049, 0.491048, 0.71526, 0.874325, -1.10202
3, 1, -1.4487, -0.342544, -0.407082, -0.278409, -0.401384, -0.125066, -0.376799, -0.225329, -0.344058, -0.215055, -0.281635, -0.257184, -0.283244, -0.386995, -0.392776, -0.415569, -0.528646, -0.770975, -0.615343, -0.310208, -0.117504, -0.375333, -0.440605, -0.218491, 0.160735, 0.681636, 0.94021, 1.11926, 1.37901, 2.02256, 2.3885, 3.10517, 3.31648, 4.7634, 5.05108, 4.7634, 19.9652, 6.1497, 19.9652, 19.9652
3, 2, -2.18028, -0.946911, -0.80466, -0.587338, -0.661069, -0.651217, -0.45192, -0.373387, -0.414993, -0.433627, -0.259274, -0.251921, -0.0479647, 0.0468931, -0.13874, -0.218147, -0.305794, 0.0223218, 0.0419303, 0.226234, 0.366591, 0.506011, 0.696238, 0.828409, 1.13069, 1.479, 1.45838, 1.9829, 2.35447, 2.35447, 2.86529, 2.71114, 3.9639, 3.27076, 4.65705, 19.1657, 19.1657, 19.1657, 19.1657, 19.1657
3, 3, -1.14674, -0.4029, -0.202455, -0.141753, -0.271902, -0.219665, -0.169045, -0.179249, -0.257337, -0.304897, -0.357756, -0.322646, -0.297596, -0.483762, -0.391162, -0.358817, -0.374599, -0.336838, -0.234184, -0.181784, -0.137792, -0.104848, -0.0629717, -0.0665291, -0.0449921, 0.13762, 0.179422, 0.14989, 0.225899, 0.432295, 0.54745, 0.640924, 1.09662, 1.48966, 1.89513, 2.41271, 3.88756, 5.39164, 20.9989, 20.9989
4, 1, -0.843382, 0.0249693, 0.0421371, -0.0167034, -0.178406, -0.018063, -0.167934, -0.515208, -0.183025, -0.20693, -0.283766, -0.435235, -0.55252, -0.55252, -0.637207, -0.646672, -0.681563, -0.668178, -0.565179, -0.534849, -0.439701, -0.475591, -0.264838, -0.135846, -0.121247, 0.112368, 0.340944, 0.557301, 1.14509, 1.67789, 2.18872, 2.69135, 3.25096, 3.6928, 4.50373, 5.48455, 20.3987, 20.3987, 20.3987, 20.3987
4, 2, -1.9755, -0.902608, -0.765598, -0.666004, -0.651526, -0.773005, -0.573564, -0.60679, -0.451549, -0.464191, -0.42316, -0.31255, -0.30374, -0.355475, -0.242931, -0.0835415, -0.0268155, -0.030699, 0.128633, 0.312774, 0.434664, 0.71824, 0.751576, 0.794873, 1.36338, 1.55197, 1.44472, 1.7156, 1.93874, 1.2318, 1.9959, 3.21968, 2.68905, 3.57635, 4.42365, 19.3378, 5.52226, 19.3378, 19.3378, 19.3378
4, 3, -0.969629, -0.254198, -0.11816, -0.0572481, -0.0541947, -0.161388, -0.175031, -0.214356, -0.334048, -0.378359, -0.387166, -0.544256, -0.540126, -0.589668, -0.534466, -0.480042, -0.442179, -0.363656, -0.431751, -0.336818, -0.244132, -0.140849, -0.016172, 0.0748905, 0.0860873, 0.225568, 0.323227, 0.335795, 0.447498, 0.519743, 0.792696, 0.902663, 1.11079, 1.50166, 2.01733, 2.70081, 3.63163, 6.65206, 21.1607, 21.1607
5, 1, -3.15656, -1.33959, -0.813498, -0.775757, -0.543698, -0.151208, 0.063682, 0.211007, 0.432168, 0.729801, 0.547479, 1.00424, 1.35841, 1.6133, 1.71508, 1.19714, 1.78919, 2.00277, 2.15692, 2.7447, 3.25553, 2.64939, 4.35414, 4.35414, 18.8628, 18.8628, 18.8628, 18.8628, 18.8628, 18.8628, 18.8628, 18.8628, 18.8628, 18.8628, 18.8628, 18.8628, 18.8628, 18.8628, 18.8628, 18.8628
5, 2, -3.16419, -1.47062, -0.897913, -0.607734, -0.39289, -0.207257, 0.0854129, 0.259766, 0.442088, 0.618711, 0.618711, 1.1448, 1.10706, 1.33485, 1.48513, 2.32346, 2.388, 3.70975, 3.70975, 3.15014, 2.89882, 3.48661, 18.9116, 3.70975, 3.70975, 18.9116, 5.09605, 18.9116, 18.9116, 5.09605, 18.9116, 18.9116, 18.9116, 18.9116, 18.9116, 18.9116, 18.9116, 18.9116, 18.9116, 18.9116
5, 3, -2.63698, -1.6163, -1.35794, -1.10662, -1.08919, -0.814321, -0.359024, -0.215361, -0.136488, 0.118306, 0.239034, 0.48342, 0.689756, 0.872078, 1.08486, 1.32884, 1.63422, 2.16306, 1.63422, 1.97069, 2.48152, 1.89837, 2.22558, 2.40147, 3.26167, 3.35698, 3.86781, 3.26167, 4.96642, 5.65957, 19.4751, 19.4751, 19.4751, 19.4751, 19.4751, 19.4751, 19.4751, 19.4751, 19.4751, 19.4751
