AA, SS, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36, Bin37, Bin38, Bin39, Bin40
1, 1, -0.565116, -0.254945, -0.177901, -0.0418108, 0.0466933, -0.0630005, -0.01542, -0.0382039, -0.129772, -0.117132, -0.0786005, -0.242216, -0.103843, 0.277723, 0.315197, 0.401941, 0.397634, 0.591355, 1.0726, 2.43565, 2.9379, 3.55129, 3.81401, 4.55092, 20.5672, 20.4608, 20.3316, 20.2553, 20.126, 19.9843, 19.8311, 19.7105, 19.5563, 19.328, 19.1862, 18.9349, 18.7504, 18.4864, 18.2327, 19.3717
1, 2, -0.945678, -0.443516, -0.194538, -0.180392, 0.073353, 0.273834, 0.318804, 0.498039, 0.597486, 0.551148, 0.787669, 0.889524, 1.08062, 1.41096, 1.57578, 2.00652, 2.29686, 2.03417, 2.64289, 2.3462, 3.21025, 3.29479, 5.14241, 4.64095, 19.4532, 19.3468, 19.2176, 19.1414, 19.0121, 18.8704, 18.7172, 18.5966, 18.4423, 18.2141, 18.0722, 17.8209, 17.6365, 17.3724, 17.1187, 18.2578
1, 3, 0.106473, -0.328983, -0.320674, -0.381233, -0.414792, -0.2629, -0.286072, -0.290414, -0.179776, -0.197694, -0.176109, -0.144134, -0.117244, -0.030802, -0.104856, -0.13324, -0.118704, -0.202933, 0.0273084, 0.314067, 0.452953, 0.605709, 1.11277, 1.38834, 3.36592, 20.0708, 19.9416, 19.8653, 19.736, 19.5943, 19.4411, 19.3205, 19.1663, 18.938, 18.7962, 18.5449, 18.3604, 18.0964, 17.8427, 18.9817
2, 1, 2.05233, 1.34881, 1.10081, 0.874338, 0.290319, 0.347267, 0.571825, 0.389796, 0.367052, 0.37059, 0.20994, 0.0368407, 0.0738725, -0.148544, -0.206736, -0.375192, -0.388304, -0.342564, -0.457268, -0.575212, -0.731205, -0.78972, -0.88722, -0.959197, -0.901491, -0.874868, -0.956279, -0.936973, -1.10923, -1.27579, -1.22153, -1.25013, -1.33067, -1.40676, -1.62113, -1.70439, -1.83049, -1.81683, -1.69807, -1.8206
2, 2, 1.32773, 0.734038, 0.492817, 0.450445, 0.223093, 0.332777, 0.216519, 0.085037, -0.0560946, -0.148218, -0.0354005, -0.0938289, -0.202713, -0.251073, -0.25417, -0.310063, -0.429198, -0.453345, -0.51524, -0.557741, -0.539567, -0.62231, -0.590028, -0.521976, -0.680687, -0.81046, -0.728678, -0.708329, -0.753826, -0.616634, -0.799539, -0.844158, -0.755361, -0.652499, -0.996693, -0.803627, -1.02314, -1.13878, -0.859193, -1.37404
2, 3, 2.16732, 1.2063, 0.917904, 0.835332, 0.67642, 0.576377, 0.496391, 0.304936, 0.325712, 0.16097, 0.0836557, 0.246497, 0.116621, 0.116336, -0.015431, -0.115539, -0.129731, -0.192939, -0.36358, -0.530863, -0.549997, -0.47459, -0.648692, -0.756784, -0.832067, -0.814316, -1.00752, -1.03616, -1.15291, -1.24127, -1.37015, -1.44599, -1.56977, -1.44429, -1.65118, -1.78348, -2.0049, -2.04475, -2.1394, -2.9767
3, 1, 0.771182, 0.548596, 0.236057, 0.207122, 0.0207135, 0.217023, -0.0398796, 0.0694538, -0.102506, 0.0205695, -0.0840576, -0.0751274, -0.144284, -0.256023, -0.329918, -0.395258, -0.559741, -0.864094, -0.76303, -0.543274, -0.451609, -0.758422, -0.921983, -0.795867, -0.518504, -0.103968, 0.0253817, 0.128198, 0.258617, 0.76051, 0.973245, 1.56932, 1.62634, 2.84501, 2.99087, 2.45187, 17.4693, 3.38968, 16.9515, 18.0905
3, 2, 0.0396034, -0.0557712, -0.161521, -0.101807, -0.238972, -0.309128, -0.115001, -0.0786046, -0.173441, -0.198003, -0.0616965, -0.0698644, 0.0909952, 0.177866, -0.0758823, -0.197836, -0.336888, -0.0707964, -0.105757, -0.00683153, 0.0324867, 0.122922, 0.214859, 0.251033, 0.451452, 0.693393, 0.543549, 0.991842, 1.23407, 1.09241, 1.45004, 1.17528, 2.27377, 1.35236, 2.59683, 16.8542, 16.6698, 16.4057, 16.152, 17.291
3, 3, 1.07314, 0.48824, 0.440684, 0.343779, 0.150196, 0.122425, 0.167874, 0.115534, -0.0157852, -0.0692731, -0.160179, -0.140589, -0.158636, -0.352789, -0.328305, -0.338506, -0.405693, -0.429956, -0.381871, -0.414849, -0.471897, -0.487937, -0.54435, -0.643905, -0.724231, -0.647984, -0.735406, -0.84117, -0.894496, -0.829757, -0.867802, -0.894932, -0.593516, -0.428729, -0.165089, 0.101179, 1.39161, 2.63162, 17.9852, 19.1242
4, 1, 1.3765, 0.916109, 0.685276, 0.468828, 0.243692, 0.324026, 0.168985, -0.220426, 0.0585276, 0.0286939, -0.0861888, -0.253178, -0.41356, -0.421548, -0.574349, -0.626361, -0.712658, -0.761296, -0.712866, -0.767915, -0.773806, -0.85868, -0.746217, -0.713222, -0.800486, -0.673236, -0.573884, -0.433759, 0.024693, 0.415841, 0.773467, 1.15549, 1.56082, 1.7744, 2.44351, 3.17302, 17.9027, 17.6387, 17.385, 18.524
4, 2, 0.244384, -0.0114683, -0.122459, -0.180472, -0.229428, -0.430916, -0.236645, -0.312007, -0.209997, -0.228567, -0.225583, -0.130494, -0.16478, -0.224503, -0.180073, -0.0632308, -0.0579101, -0.123817, -0.0190541, 0.0797089, 0.10056, 0.335151, 0.270197, 0.217497, 0.684139, 0.766365, 0.529895, 0.724538, 0.818347, -0.0302506, 0.580649, 1.68382, 0.998909, 1.65796, 2.36343, 17.0262, 3.02631, 16.5778, 16.324, 17.4631
4, 3, 1.25026, 0.636942, 0.524979, 0.428283, 0.367903, 0.180701, 0.161888, 0.0804264, -0.0924959, -0.142735, -0.189588, -0.362199, -0.401166, -0.458696, -0.471609, -0.459731, -0.473273, -0.456774, -0.579438, -0.569884, -0.578237, -0.523938, -0.497551, -0.502485, -0.593151, -0.560036, -0.591601, -0.655265, -0.672896, -0.742308, -0.622556, -0.633193, -0.579345, -0.416734, -0.0428914, 0.389279, 1.13568, 3.89204, 18.147, 19.286
5, 1, -0.936677, -0.448451, -0.170359, -0.290226, -0.121601, 0.190881, 0.400601, 0.505789, 0.67372, 0.965425, 0.745056, 1.18629, 1.49737, 1.74427, 1.77794, 1.21745, 1.7581, 1.90965, 2.00923, 2.51164, 2.92142, 2.2663, 3.87276, 3.77677, 18.1836, 18.0772, 17.948, 17.8717, 17.7424, 17.6007, 17.4475, 17.3269, 17.1727, 16.9444, 16.8026, 16.5513, 16.3668, 16.1028, 15.8491, 16.9881
