AA, SS, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36, Bin37, Bin38, Bin39, Bin40
1, 1, -2.81261, -1.08868, -0.743728, -0.530024, -0.442403, -0.266653, -0.189517, -0.36632, -0.222003, -0.330099, -0.31357, -0.572724, -0.275349, -0.0258878, 0.176636, 0.475721, 0.561899, 0.849581, 1.14172, 2.52801, 3.22116, 4.06846, 4.06846, 5.16707, 18.9826, 18.9826, 18.9826, 18.9826, 18.9826, 18.9826, 18.9826, 18.9826, 18.9826, 18.9826, 18.9826, 18.9826, 18.9826, 18.9826, 18.9826, 18.9826
1, 2, -3.10005, -1.41892, -0.828422, -0.718988, -0.419904, -0.303267, -0.250344, -0.0723612, 0.16057, 0.264111, 0.301152, 0.870247, 0.93924, 1.38107, 1.56339, 2.66201, 2.66201, 1.63239, 4.27144, 2.88515, 18.087, 3.17283, 18.087, 4.27144, 18.087, 18.087, 18.087, 18.087, 18.087, 18.087, 18.087, 18.087, 18.087, 18.087, 18.087, 18.087, 18.087, 18.087, 18.087, 18.087
1, 3, -2.10497, -1.3082, -1.0082, -0.891447, -0.712217, -0.693525, -0.436805, -0.511957, -0.54314, -0.57338, -0.525441, -0.237759, -0.284279, -0.195199, -0.0905285, -0.0836081, 0.124031, -0.00414391, 0.271085, 0.455388, 0.759071, 0.897221, 1.75071, 1.99583, 4.88621, 18.7017, 18.7017, 18.7017, 18.7017, 18.7017, 18.7017, 18.7017, 18.7017, 18.7017, 18.7017, 18.7017, 18.7017, 18.7017, 18.7017, 18.7017
2, 1, -0.180066, 0.29209, 0.614864, 0.363549, 0.327182, 0.225399, 0.663654, -0.0663072, 0.3452, 0.104038, -0.0541858, 0.0484684, -0.158326, -0.136103, -0.320295, -0.301427, -0.537816, -0.383665, -0.365965, -0.356997, -0.401057, -0.282196, -0.320295, -0.169255, -0.0782833, -0.113375, -0.211815, 0.0218001, -0.169255, -0.0294932, 0.0350453, 0.0758673, 0.147841, 0.688972, 0.502386, 0.420708, 0.688972, 1.09444, 0.918546, -0.211815
2, 2, -0.789958, -0.11483, -0.200352, -0.0213038, -0.263865, 0.103859, -0.0968113, 0.0393209, -0.294171, -0.132529, -0.294171, -0.200352, -0.132529, -0.653826, -0.379938, -0.149921, -0.294171, -0.308986, -0.263865, -0.200352, -0.11483, -0.279133, -0.406966, -0.263865, -0.149921, -0.183823, -0.0213038, 0.221642, 0.355174, 0.652425, 0.476535, 0.476535, 1.13793, 1.42562, 1.27146, 1.07731, 1.27146, 1.83108, 1.96461, 0.614685
2, 3, 0.203815, 0.409259, 0.277923, 0.374773, 0.482018, 0.203815, 0.482018, 0.0334697, 0.148245, 0.0578612, -0.15286, 0.00965908, 0.00965908, -0.036326, -0.0250265, -0.0585492, -0.14281, -0.20165, -0.318374, -0.25722, -0.182419, -0.20165, -0.192081, -0.335181, -0.112038, -0.0474993, -0.15286, 0.00965908, 0.161851, -0.0585492, 0.134822, 0.0455911, 0.0956015, 0.56049, 0.309176, 0.325176, 0.623669, 0.623669, 1.01832, -1.24478
3, 1, -1.49221, -0.529642, -0.388563, -0.309782, -0.24196, -0.276446, -0.403601, -0.0490562, -0.22426, -0.373296, -0.475575, -0.309782, -0.293253, -0.309782, -0.309782, -0.617749, -0.629725, -0.731508, -0.150152, -0.433015, -0.24196, -0.1692, 0.0398913, -0.1692, 0.367104, 0.665597, 1.09304, 0.710049, 0.805359, 2.19165, 1.85518, 2.70248, 2.70248, 17.6166, 3.80109, 2.4148, 17.6166, 3.80109, 17.6166, 17.6166
3, 2, -2.0946, -0.97813, -0.832948, -0.586088, -0.565885, -0.545266, -0.644357, -0.311651, -0.565885, -0.170573, -0.0413609, -0.170573, -0.170573, -0.00626961, -0.139801, -0.663049, -0.337627, 0.0678384, -0.139801, 0.107059, 0.617885, 0.760986, 0.92804, 0.92804, 1.02335, 1.02335, 1.24649, 1.93964, 17.1414, 1.93964, 3.32593, 1.24649, 2.63279, 3.32593, 17.1414, 17.1414, 17.1414, 17.1414, 17.1414, 17.1414
3, 3, -1.08164, -0.416528, -0.142577, -0.0928768, -0.195686, -0.240638, -0.195686, -0.142577, -0.229588, -0.246117, -0.26774, -0.407269, -0.349837, -0.554084, -0.457166, -0.513095, -0.364507, -0.212781, -0.314746, -0.0605116, -0.218415, -0.111805, -0.105535, -0.0928768, 0.0146091, 0.143087, 0.209779, 0.175877, 0.309409, 0.430769, 0.348248, 0.509022, 1.07155, 1.49763, 2.39842, 2.01893, 4.96337, 18.7789, 18.7789, 18.7789
4, 1, -0.970705, -0.11813, 0.133184, 0.268986, 0.149184, 0.013639, 0.0716262, -0.0544145, -0.298392, -0.318801, -0.338802, -0.535866, -0.477271, -0.636336, -0.686526, -0.598878, -0.700415, -0.658155, -0.714114, -0.621521, -0.672441, -0.39651, -0.223491, -0.0277463, 0.0278236, 0.0422123, 0.447677, 0.587439, 0.842332, 1.44311, 1.87842, 3.17771, 3.58317, 3.58317, 18.0918, 18.0918, 18.0918, 18.0918, 18.0918, 18.0918
4, 2, -2.09702, -0.78375, -0.769566, -0.491362, -0.755177, -0.78375, -0.433093, -0.581513, -0.349712, -0.349712, -0.598608, -0.28227, -0.0764183, -0.28227, -0.25874, -0.327733, 0.0777324, -0.0175778, 0.0777324, 0.534491, 0.588558, 0.645716, 0.994023, 0.183093, 1.28171, 1.68717, 1.39949, 2.09264, 2.09264, 2.38032, 2.78578, 3.47893, 2.09264, 2.38032, 2.78578, 17.2944, 17.2944, 17.2944, 17.2944, 17.2944
