AA, SS, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36, Bin37, Bin38, Bin39, Bin40
1, 1, -0.617629, -0.213313, -0.125286, -0.0496521, -0.0250144, 0.100639, 0.1269, -0.0977847, 0.00545303, -0.0952009, -0.105832, -0.355164, -0.125533, 0.107835, 0.25398, 0.519768, 0.517951, 0.759135, 1.01128, 2.3069, 2.88789, 3.72111, 3.6206, 4.61341, 18.2822, 18.2392, 18.1314, 18.0151, 17.8522, 17.8234, 17.6381, 17.4884, 17.3781, 17.118, 17.0152, 16.8094, 16.5378, 16.3841, 16.1274, 17.1845
1, 2, -0.905062, -0.543548, -0.20998, -0.238616, -0.00251544, 0.0640246, 0.0660732, 0.196174, 0.388026, 0.499009, 0.50889, 1.08781, 1.08905, 1.5148, 1.64074, 2.70605, 2.61806, 1.54194, 4.14101, 2.66403, 17.7537, 2.82549, 17.6391, 3.71778, 17.3866, 17.3436, 17.2358, 17.1195, 16.9566, 16.9278, 16.7425, 16.5928, 16.4825, 16.2223, 16.1196, 15.9138, 15.6422, 15.4885, 15.2318, 16.2888
1, 3, 0.0900118, -0.432833, -0.389756, -0.411075, -0.294828, -0.326233, -0.120387, -0.243422, -0.315685, -0.338482, -0.317703, -0.0201991, -0.134463, -0.0614759, -0.0131853, -0.0395611, 0.0800837, -0.0945903, 0.140652, 0.234273, 0.425807, 0.549878, 1.30286, 1.44217, 4.18584, 17.9584, 17.8506, 17.7342, 17.5713, 17.5425, 17.3572, 17.2076, 17.0972, 16.8371, 16.7343, 16.5286, 16.257, 16.1032, 15.8466, 16.9036
2, 1, 2.01492, 1.16746, 1.23331, 0.843922, 0.74457, 0.592691, 0.980072, 0.202229, 0.572656, 0.338936, 0.153552, 0.266028, -0.00851076, -0.00237972, -0.242952, -0.25738, -0.581763, -0.474111, -0.496398, -0.578112, -0.734321, -0.629538, -0.76815, -0.722915, -0.778645, -0.856725, -1.06297, -0.945703, -1.29964, -1.18867, -1.30945, -1.41829, -1.45665, -1.17566, -1.46501, -1.75245, -1.75577, -1.50405, -1.93659, -2.00993
2, 2, 1.40503, 0.760538, 0.41809, 0.459069, 0.153523, 0.471151, 0.219606, 0.307857, -0.0667151, 0.102369, -0.0864328, 0.0172077, 0.0172859, -0.520103, -0.302594, -0.105874, -0.338118, -0.399432, -0.394298, -0.421467, -0.448094, -0.626476, -0.854821, -0.817526, -0.850282, -0.927173, -0.872458, -0.745861, -0.775211, -0.506753, -0.867959, -1.01762, -0.466556, -0.439014, -0.69593, -1.09585, -1.17328, -0.767403, -0.890522, -1.18343
2, 3, 2.3988, 1.28463, 0.896365, 0.855145, 0.899407, 0.571107, 0.798436, 0.302005, 0.375701, 0.292759, 0.0548781, 0.227219, 0.159474, 0.0973972, 0.0523168, -0.0145022, -0.186757, -0.292096, -0.448807, -0.478335, -0.515683, -0.548993, -0.639935, -0.888842, -0.812399, -0.79085, -1.00401, -0.957844, -0.968534, -1.21773, -1.20967, -1.44857, -1.50889, -1.30414, -1.65822, -1.84798, -1.82107, -1.97481, -1.83681, -3.0429
3, 1, 0.70277, 0.345726, 0.229879, 0.17059, 0.175428, 0.0908454, -0.0871836, 0.21948, 0.00319543, -0.138398, -0.267837, -0.0922227, -0.143438, -0.176059, -0.232439, -0.573702, -0.673673, -0.821954, -0.280585, -0.65413, -0.575224, -0.516543, -0.407964, -0.722861, -0.333257, -0.0777532, 0.241887, -0.257454, -0.325026, 1.03248, 0.510688, 1.20832, 1.09799, 15.752, 1.8337, 0.241637, 15.1719, 1.20261, 14.7615, 15.8185
3, 2, 0.100383, -0.102763, -0.214506, -0.105716, -0.148497, -0.177975, -0.327939, -0.0431156, -0.33843, 0.0643255, 0.166377, 0.046987, -0.0207574, 0.127454, -0.0624578, -0.619002, -0.381574, -0.0226081, -0.270234, -0.114056, 0.28462, 0.413643, 0.480185, 0.374379, 0.322988, 0.279999, 0.395339, 0.972138, 16.0111, 0.780462, 1.98144, -0.247664, 1.0283, 1.46131, 15.1741, 14.9683, 14.6967, 14.543, 14.2863, 15.3433
3, 3, 1.11335, 0.458839, 0.475865, 0.387495, 0.221702, 0.126654, 0.120731, 0.125959, -0.00213221, -0.011219, -0.0600017, -0.189709, -0.200022, -0.420361, -0.379823, -0.469048, -0.408455, -0.303227, -0.445178, -0.281627, -0.551679, -0.459148, -0.55339, -0.646537, -0.685752, -0.600263, -0.641375, -0.791626, -0.820976, -0.728409, -0.996245, -0.985135, -0.532941, -0.366996, 0.431025, -0.15423, 2.51863, 16.1804, 15.9237, 16.9808
4, 1, 1.22428, 0.757237, 0.751626, 0.749358, 0.566573, 0.38093, 0.388044, 0.214121, -0.0709365, -0.0839028, -0.131064, -0.318306, -0.327456, -0.502613, -0.609183, -0.554832, -0.744363, -0.748602, -0.844546, -0.842636, -1.00571, -0.743853, -0.671346, -0.581407, -0.672538, -0.701138, -0.403477, -0.380064, -0.288053, 0.283927, 0.53393, 1.68355, 1.97868, 1.71854, 16.1244, 15.9187, 15.6471, 15.4933, 15.2367, 16.2937
4, 2, 0.0979641, 0.0916173, -0.151124, -0.0109899, -0.337789, -0.416459, -0.116676, -0.312978, -0.122256, -0.114813, -0.39087, -0.0647107, 0.073397, -0.148547, -0.181397, -0.283686, 0.0337847, -0.108024, -0.0527004, 0.313375, 0.255294, 0.298374, 0.546168, -0.370567, 0.581344, 0.94382, 0.548334, 1.12513, 0.96225, 1.22114, 1.44129, 1.98477, 0.488146, 0.515688, 0.818388, 15.1213, 14.8497, 14.696, 14.4393, 15.4963
4, 3, 1.2739, 0.7669, 0.628392, 0.402835, 0.324266, 0.199693, 0.233659, 0.100938, -0.0139084, -0.131629, -0.0599435, -0.360277, -0.474541, -0.388634, -0.497313, -0.349561, -0.535638, -0.510421, -0.524041, -0.444542, -0.529166, -0.543244, -0.498865, -0.560708, -0.661423, -0.552221, -0.687053, -0.712748, -0.700581, -0.882282, -0.702357, -0.663226, -0.706419, -0.54004, -0.348007, 0.362519, 1.3437, 16.3918, 16.1351, 17.1921
5, 1, -0.96707, -0.698525, -0.208237, -0.0586242, -0.0838679, 0.0796094, 0.128819, 0.945935, 0.904855, 1.19998, 1.17282, 2.9744, 1.1149, 2.89056, 1.73557, 1.19145, 2.01975, 1.97325, 1.5278, 2.53572, 2.42358, 16.225, 16.1245, 16.0187, 15.872, 15.829, 15.7212, 15.6048, 15.442, 15.4132, 15.2279, 15.0782, 14.9679, 14.7077, 14.605, 14.3992, 14.1276, 13.9739, 13.7172, 14.7742
5, 2, -0.981388, -0.762662, -0.32644, -0.270354, 0.0370362, 0.309713, 0.905466, 0.857584, 0.729493, 1.02462, 1.58524, 1.59507, 1.19085, 1.51123, 2.37114, 16.8465, 16.7585, 2.8965, 16.672, 1.66722, 16.4692, 16.4551, 16.3546, 16.2488, 1.59344, 16.0591, 15.9513, 15.835, 15.6721, 15.6433, 15.458, 15.3083, 15.198, 14.9378, 14.8351, 14.6293, 14.3577, 14.204, 13.9473, 15.0043
