AA, SS, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36, Bin37, Bin38, Bin39, Bin40
1, 1, -2.74102, -1.13133, -0.706446, -0.49457, -0.381098, -0.342998, -0.345768, -0.321974, -0.396993, -0.446971, -0.4741, -0.589988, -0.387752, 0.0617735, 0.166903, 0.396999, 0.4265, 0.592194, 1.26783, 2.52407, 3.01876, 3.52959, 4.04042, 4.85135, 20.0532, 20.0532, 20.0532, 20.0532, 20.0532, 20.0532, 20.0532, 20.0532, 20.0532, 20.0532, 20.0532, 20.0532, 20.0532, 20.0532, 20.0532, 20.0532
1, 2, -3.11091, -1.31726, -0.908546, -0.619237, -0.326111, -0.185694, -0.144663, 0.0641856, 0.0771728, 0.345437, 0.328487, 0.472882, 0.713162, 1.08226, 1.19559, 1.64187, 1.88873, 1.88873, 2.46855, 2.70972, 3.72132, 4.41446, 5.10761, 5.10761, 18.9231, 18.9231, 18.9231, 18.9231, 18.9231, 18.9231, 18.9231, 18.9231, 18.9231, 18.9231, 18.9231, 18.9231, 18.9231, 18.9231, 18.9231, 18.9231
1, 3, -2.04758, -1.18646, -1.01383, -0.8217, -0.779559, -0.633031, -0.636348, -0.581912, -0.449379, -0.474997, -0.374811, -0.421037, -0.314992, -0.291897, -0.251367, -0.116096, -0.211659, -0.0558192, 0.139606, 0.514953, 0.899692, 0.869387, 1.64009, 2.02956, 3.97547, 19.5827, 19.5827, 19.5827, 19.5827, 19.5827, 19.5827, 19.5827, 19.5827, 19.5827, 19.5827, 19.5827, 19.5827, 19.5827, 19.5827, 19.5827
2, 1, 0.085323, 0.519538, 0.611105, 0.476718, 0.412928, 0.210216, 0.464813, 0.169761, 0.135126, 0.0812826, -0.00371058, -0.17048, -0.135388, -0.132136, -0.17984, -0.368868, -0.358532, -0.296933, -0.2224, -0.389225, -0.263222, -0.31065, -0.406703, -0.260361, -0.24593, -0.198302, -0.240099, -0.13863, -0.0682491, -0.0820424, 0.0893798, -0.0293061, 0.0417518, 0.286444, 0.337216, 0.551286, 0.79069, 0.91258, 1.10608, -0.257491
2, 2, -0.419451, 0.0182746, 0.051611, 0.0431722, -0.0605063, -0.0218914, -0.0903592, -0.194984, -0.126464, -0.28365, -0.208142, -0.22756, -0.38719, -0.408813, -0.36509, -0.445562, -0.49091, -0.359488, -0.38719, -0.4352, -0.246609, -0.313503, -0.126464, -0.0139862, -0.0605063, -0.147518, 0.149467, 0.257947, 0.227176, 0.617603, 0.440269, 0.531836, 0.852004, 0.972148, 0.695161, 1.35656, 1.4211, 1.4211, 1.98908, 0.247585
2, 3, 0.406871, 0.599637, 0.639803, 0.68165, 0.343957, 0.487997, 0.446611, 0.256438, 0.207382, 0.0919655, 0.125704, 0.0685452, -0.0533446, 0.0232886, -0.0533446, -0.139673, -0.219137, -0.0736292, -0.194531, -0.147163, -0.2295, -0.205151, -0.0974399, -0.109136, -0.201623, -0.0200082, -0.143425, -0.0895658, -0.165648, 0.00140594, -0.0157619, 0.202077, 0.0593286, 0.267674, 0.212715, 0.400399, 0.337878, 0.50935, 0.599637, -1.4559
3, 1, -1.35867, -0.30631, -0.423465, -0.192756, -0.289216, -0.160598, -0.180017, -0.167113, -0.0859876, -0.300645, -0.355907, -0.260059, -0.514656, -0.651621, -0.614957, -0.519232, -0.679237, -0.679237, -0.482019, -0.438428, -0.345096, -0.317546, -0.106894, -0.0574142, 0.37003, 0.539106, 0.680185, 1.06318, 1.28632, 1.82532, 2.67261, 2.7904, 2.92393, 4.86984, 4.86984, 18.6854, 18.6854, 18.6854, 18.6854, 18.6854
3, 2, -1.94388, -0.997969, -0.787812, -0.677061, -0.592504, -0.456167, -0.47839, -0.444868, -0.467341, -0.694919, -0.433439, -0.386371, -0.216026, -0.110666, -0.0946652, -0.285019, -0.285019, 0.368908, -0.0618754, 0.0812254, 0.271269, 0.271269, 0.665173, 0.566733, 1.32442, 1.63457, 1.25988, 1.72988, 1.32442, 2.08656, 2.24071, 3.33932, 17.848, 2.64617, 3.33932, 17.848, 17.848, 17.848, 17.848, 17.848
3, 3, -0.985249, -0.269425, -0.188235, -0.0751048, -0.113361, -0.139817, -0.175719, -0.168133, -0.217648, -0.222468, -0.369727, -0.398358, -0.33382, -0.447532, -0.365569, -0.439825, -0.441758, -0.365569, -0.260208, -0.20794, -0.222468, -0.168133, -0.139817, -0.178234, -0.0468544, 0.145257, 0.16631, 0.0684247, 0.180596, 0.327579, 0.423722, 0.626434, 0.880964, 1.33088, 1.80088, 2.47601, 3.61099, 5.80822, 19.6237, 19.6237
4, 1, -0.763122, -0.0181027, 0.0100682, 0.0390557, 0.110152, 0.0100682, -0.0364518, -0.110884, -0.270445, -0.274036, -0.336556, -0.447959, -0.596068, -0.68783, -0.692558, -0.678306, -0.782709, -0.731869, -0.575069, -0.528928, -0.408015, -0.495027, -0.222554, -0.156253, -0.0981454, 0.110152, 0.326738, 0.553155, 0.987728, 1.61951, 2.02497, 2.36144, 2.95928, 3.56542, 5.35718, 19.1727, 19.1727, 19.1727, 19.1727, 19.1727
4, 2, -1.82046, -0.953727, -0.712565, -0.654995, -0.799577, -0.753667, -0.553742, -0.459251, -0.431852, -0.511895, -0.324432, -0.334688, -0.485919, -0.34484, -0.46822, -0.119168, -0.0401801, -0.080454, 0.207228, -0.0401801, 0.189836, 0.536707, 0.536707, 0.849082, 1.20576, 1.68533, 1.68533, 1.54223, 2.17084, 1.54223, 2.30437, 3.55713, 2.86399, 4.25028, 4.25028, 18.0658, 4.25028, 18.0658, 18.0658, 18.0658
4, 3, -0.754505, -0.119376, -0.0854026, 0.00259098, -0.0184133, -0.0412453, -0.216772, -0.154251, -0.222438, -0.288035, -0.339593, -0.398146, -0.543456, -0.577039, -0.544821, -0.484367, -0.503032, -0.35785, -0.43688, -0.327798, -0.252124, -0.214876, -0.133884, -0.067973, -0.0635677, 0.0734387, 0.188693, 0.155171, 0.325477, 0.345214, 0.592739, 0.739118, 0.946379, 1.19251, 1.90919, 2.44141, 3.27974, 19.8678, 19.8678, 19.8678
5, 1, -3.0493, -1.34718, -1.19784, -0.715682, -0.442388, -0.321028, -0.000555701, 0.250759, 0.37212, 0.670613, 0.861668, 0.587231, 0.972893, 0.715064, 1.03352, 0.761584, 1.09806, 1.3212, 2.01435, 2.01435, 3.11296, 2.01435, 3.11296, 3.80611, 17.6216, 17.6216, 17.6216, 17.6216, 17.6216, 17.6216, 17.6216, 17.6216, 17.6216, 17.6216, 17.6216, 17.6216, 17.6216, 17.6216, 17.6216, 17.6216
5, 2, -3.11323, -1.49013, -0.949819, -0.690599, -0.594268, -0.112965, -0.0759238, 0.310849, 0.460381, 0.562164, 0.493171, 0.803326, 1.32942, 1.25531, 1.32942, 1.94846, 1.59178, 3.20122, 3.89437, 3.20122, 2.79576, 3.89437, 17.7099, 2.50807, 3.89437, 17.7099, 3.89437, 17.7099, 17.7099, 3.89437, 17.7099, 17.7099, 17.7099, 17.7099, 17.7099, 17.7099, 17.7099, 17.7099, 17.7099, 17.7099
5, 3, -2.43954, -1.63049, -1.31415, -1.13647, -1.1083, -0.737928, -0.673849, -0.386167, -0.203846, -0.0786825, -0.00968965, 0.287562, 0.501136, 0.804818, 0.87151, 0.837608, 1.14776, 1.53076, 1.34843, 1.46622, 1.59975, 1.46622, 1.67386, 2.04158, 2.44705, 2.44705, 3.54566, 2.85251, 3.54566, 18.0543, 18.0543, 18.0543, 18.0543, 18.0543, 18.0543, 18.0543, 18.0543, 18.0543, 18.0543, 18.0543
6, 1, -0.765626, 0.0924364, 0.123208, 0.118013, 0.133679, -0.00836825, 0.0479847, 0.00542507, -0.0486421, -0.199026, -0.136749, -0.250508, -0.239697, -0.239697, -0.436408, -0.403122, -0.424431, -0.559468, -0.513699, -0.620711, -0.564717, -0.562096, -0.497032, -0.3623, -0.323079, -0.0831283, -0.0442465, 0.182206, 0.268716, 0.460723, 0.689356, 0.826827, 1.06322, 1.46868, 1.76979, 2.49033, 2.74165, 3.99441, 3.77127, 3.58894
6, 2, -1.39377, -0.520237, -0.285397, -0.333253, -0.160234, -0.304815, -0.378923, -0.342556, -0.422598, -0.342556, -0.464445, -0.520237, -0.480706, -0.214301, -0.323863, -0.342556, -0.314385, -0.304815, -0.235135, -0.351772, -0.255544, -0.265594, -0.295153, 0.350592, 0.0768958, 0.427553, 0.489428, 0.676014, 1.16152, 1.29505, 1.34384, 2.14235, 1.77463, 2.54782, 2.14235, 3.64643, 2.73014, 4.33958, 2.73014, 2.95328
6, 3, -0.357999, 0.314781, 0.16525, 0.331042, 0.104625, 0.283033, 0.0916378, 0.14463, 0.16525, -0.127627, -0.057894, -0.122432, -0.153204, -0.158242, -0.0523229, -0.158242, -0.374325, -0.370269, -0.353875, -0.366195, -0.406201, -0.337208, -0.289887, -0.448433, -0.226229, -0.328769, -0.0798729, -0.0124316, -0.117211, 0.0852069, 0.0230751, 0.14463, 0.19342, 0.314781, 0.704246, 0.635253, 0.817575, 1.12773, 1.35087, 1.18382
7, 1, -0.12203, 0.612445, 0.456488, 0.414078, 0.508351, 0.424513, 0.302853, 0.202769, 0.177872, 0.0692379, -0.0287425, -0.171399, -0.254549, -0.303002, -0.387194, -0.441588, -0.518004, -0.660014, -0.596578, -0.649319, -0.661196, -0.611579, -0.518004, -0.511169, -0.48335, -0.365215, -0.234853, -0.16947, 0.0426342, 0.245694, 0.315314, 0.383412, 0.700608, 1.0116, 1.40768, 2.00297, 2.49699, 3.13607, 3.51556, 3.30792
7, 2, -1.08151, -0.318598, -0.324362, -0.0556558, -0.155739, -0.195745, -0.380242, -0.277294, -0.234211, -0.369313, -0.363804, -0.265173, -0.463624, -0.478513, -0.458611, -0.330093, -0.545204, -0.422802, -0.558934, -0.493183, -0.318598, -0.246711, -0.00949374, -0.162519, 0.0725194, 0.368785, 0.403877, 0.615186, 0.723819, 0.902868, 1.19711, 1.61582, 1.5766, 1.89025, 2.12664, 3.04293, 2.26974, 3.4484, 2.88878, 3.73608
7, 3, 0.208843, 0.783726, 0.768458, 0.760911, 0.695433, 0.768458, 0.503766, 0.463875, 0.436325, 0.221915, 0.239614, 0.0308595, 0.0381322, 0.00228612, -0.203812, -0.203812, -0.304577, -0.259536, -0.372187, -0.414848, -0.369763, -0.388994, -0.455763, -0.509947, -0.377018, -0.405524, -0.379425, -0.296775, -0.296775, -0.272995, -0.0624725, -0.0657673, -0.0220629, 0.0491415, 0.137832, 0.452763, 0.601404, 0.709618, 0.753421, 0.420152
