AA, SS, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36, Bin37, Bin38, Bin39, Bin40
1, 1, -0.621813, -0.274851, -0.0857851, -0.0348789, 0.0193831, -0.0186029, -0.0319336, -0.0434237, -0.160251, -0.212564, -0.258175, -0.386445, -0.198712, 0.213287, 0.263232, 0.440672, 0.455846, 0.544854, 1.15071, 2.34017, 2.75585, 3.22202, 3.63719, 4.37485, 19.4775, 19.376, 19.2631, 19.175, 19.0635, 18.916, 18.7779, 18.6621, 18.5543, 18.3344, 18.2009, 17.9262, 17.7314, 17.5259, 17.3188, 18.5183
1, 2, -0.9917, -0.46078, -0.287885, -0.159546, 0.07437, 0.138701, 0.169172, 0.342736, 0.313915, 0.579844, 0.544411, 0.676426, 0.902201, 1.23377, 1.29192, 1.68555, 1.91808, 1.84139, 2.35144, 2.52581, 3.4584, 4.10689, 4.70438, 4.63112, 18.3475, 18.246, 18.1331, 18.045, 17.9335, 17.786, 17.6479, 17.5321, 17.4242, 17.2044, 17.0709, 16.7962, 16.6014, 16.3959, 16.1888, 17.3883
1, 3, 0.0716301, -0.329979, -0.39317, -0.362009, -0.379078, -0.308635, -0.322513, -0.303362, -0.212638, -0.24059, -0.158887, -0.217494, -0.125953, -0.140383, -0.155038, -0.072423, -0.182312, -0.103159, 0.0224913, 0.331052, 0.636776, 0.561815, 1.23686, 1.55306, 3.39982, 18.9056, 18.7927, 18.7046, 18.5931, 18.4456, 18.3075, 18.1917, 18.0838, 17.864, 17.7305, 17.4558, 17.261, 17.0555, 16.8484, 18.0479
2, 1, 2.20453, 1.37602, 1.23177, 0.936409, 0.813409, 0.534612, 0.778647, 0.448312, 0.371868, 0.315689, 0.212214, 0.033064, 0.0536511, 0.0193771, -0.0835116, -0.325195, -0.329185, -0.344273, -0.339514, -0.573126, -0.526138, -0.618223, -0.809932, -0.736856, -0.821577, -0.875425, -1.03017, -1.01676, -1.05786, -1.21917, -1.18586, -1.42031, -1.45714, -1.43229, -1.51505, -1.57567, -1.53106, -1.61469, -1.62828, -1.79231
2, 2, 1.69976, 0.874753, 0.672272, 0.502863, 0.339975, 0.302504, 0.223476, 0.0835665, 0.110278, -0.0492431, 0.00778185, -0.0240166, -0.198151, -0.257299, -0.268762, -0.40189, -0.461564, -0.406828, -0.504305, -0.619101, -0.509525, -0.621075, -0.529693, -0.490482, -0.636153, -0.82464, -0.640603, -0.620187, -0.76244, -0.519523, -0.834969, -0.859167, -0.646893, -0.74659, -1.15711, -0.770394, -0.900651, -1.10617, -0.745271, -1.28723
2, 3, 2.52608, 1.45612, 1.26046, 1.14134, 0.744438, 0.812392, 0.760446, 0.534989, 0.444124, 0.326372, 0.341628, 0.272089, 0.135695, 0.174802, 0.042984, -0.0959999, -0.18979, -0.120969, -0.311645, -0.331064, -0.492416, -0.512723, -0.500668, -0.585632, -0.77727, -0.69713, -0.933495, -0.9677, -1.15526, -1.13572, -1.291, -1.18893, -1.43957, -1.45106, -1.63955, -1.72656, -1.98387, -2.01792, -2.13472, -2.99071
3, 1, 0.760535, 0.550168, 0.197196, 0.266935, 0.111265, 0.163797, 0.133818, 0.111438, 0.150754, -0.0662378, -0.139983, -0.0565155, -0.325616, -0.500108, -0.518629, -0.47556, -0.64989, -0.726577, -0.599133, -0.622329, -0.608013, -0.625118, -0.510123, -0.53391, -0.205617, -0.138016, -0.109885, 0.185043, 0.296705, 0.688191, 1.39738, 1.39939, 1.42503, 3.1511, 3.01757, 16.5584, 16.3636, 16.1581, 15.951, 17.1505
3, 2, 0.175325, -0.14149, -0.167151, -0.21737, -0.192022, -0.131772, -0.164556, -0.166317, -0.230599, -0.460512, -0.217515, -0.182828, -0.0269866, 0.0408479, 0.00166333, -0.241346, -0.255672, 0.321567, -0.17899, -0.102676, 0.00835255, -0.0363031, 0.261945, 0.0902376, 0.748772, 0.957452, 0.469811, 0.85175, 0.334803, 0.949433, 0.965471, 1.94832, 16.3491, 0.927437, 1.48705, 15.721, 15.5262, 15.3207, 15.1136, 16.3132
3, 3, 1.13396, 0.587054, 0.432427, 0.384586, 0.28712, 0.184578, 0.138116, 0.110417, 0.0190934, 0.011939, -0.153802, -0.194815, -0.14478, -0.296019, -0.26924, -0.396153, -0.412411, -0.412909, -0.377322, -0.391841, -0.485384, -0.475705, -0.543046, -0.65473, -0.622502, -0.531865, -0.623759, -0.80971, -0.809019, -0.809547, -0.851516, -0.764569, -0.617932, -0.387857, -0.0513848, 0.349059, 1.28924, 3.28095, 16.8894, 18.0889
4, 1, 1.35609, 0.838376, 0.630729, 0.498747, 0.510633, 0.334464, 0.277383, 0.167666, -0.0337036, -0.0396293, -0.120632, -0.244415, -0.407028, -0.536316, -0.596229, -0.634633, -0.753362, -0.779209, -0.692184, -0.712829, -0.670932, -0.802599, -0.625783, -0.632749, -0.673793, -0.566971, -0.463332, -0.324979, -0.00188762, 0.48238, 0.749733, 0.97044, 1.46038, 1.84668, 3.50491, 17.0457, 16.8509, 16.6454, 16.4383, 17.6379
