AA, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36, Bin37, Bin38, Bin39, Bin40
1, -2.71097, -1.20893, -0.889471, -0.692886, -0.570608, -0.435144, -0.423797, -0.358454, -0.278411, -0.259378, -0.121996, -0.183968, -0.061564, 0.208323, 0.237581, 0.24774, 0.343433, 0.416245, 0.805602, 1.44134, 1.68576, 2.04014, 2.53575, 2.94122, 5.03971, 21.4202, 21.4202, 21.4202, 21.4202, 21.4202, 21.4202, 21.4202, 21.4202, 21.4202, 21.4202, 21.4202, 21.4202, 21.4202, 21.4202, 21.4202
2, -0.484783, 0.184522, 0.137479, 0.204618, -0.175602, -0.0116641, 0.00307387, -0.0603723, -0.0413399, -0.11228, -0.117713, -0.108382, -0.0822622, -0.234463, -0.224775, -0.301066, -0.224775, -0.193699, -0.299776, -0.33215, -0.327141, -0.260298, -0.270314, -0.265652, -0.143688, -0.00302105, 0.0717549, 0.113786, 0.112811, 0.12359, 0.257262, 0.364125, 0.460062, 0.714732, 0.621365, 0.788566, 0.697095, 1.00598, 1.38675, -0.248144
3, -1.448, -0.481356, -0.337765, -0.250343, -0.413972, -0.275938, -0.260171, -0.227238, -0.329245, -0.302654, -0.318924, -0.262003, -0.217717, -0.38634, -0.345653, -0.281339, -0.365654, -0.457056, -0.328104, -0.15793, -0.0241079, -0.125591, -0.150454, -0.0256547, 0.0422899, 0.336333, 0.418413, 0.450239, 0.539968, 0.799479, 0.976524, 1.04401, 1.57149, 1.93035, 2.26464, 2.87716, 4.30663, 5.5304, 20.9553, 20.9553
4, -1.15733, -0.311192, -0.18778, -0.160381, -0.201203, -0.237856, -0.248086, -0.448479, -0.332932, -0.35421, -0.379516, -0.521933, -0.505152, -0.547531, -0.512992, -0.500813, -0.444724, -0.418462, -0.425306, -0.356039, -0.247068, -0.167577, -0.0134263, 0.115519, 0.131756, 0.317655, 0.455805, 0.550704, 0.767083, 0.910292, 1.24839, 1.39236, 1.64143, 2.13115, 2.59023, 3.30981, 4.29064, 6.64201, 21.1507, 21.1507
5, -2.9805, -1.4853, -1.0929, -0.908806, -0.845118, -0.565716, -0.0618622, -0.0135682, 0.144061, 0.423646, 0.415613, 0.880829, 1.01709, 1.25494, 1.41529, 1.70297, 2.32616, 2.75902, 2.08693, 2.7182, 3.16449, 2.53588, 3.37213, 3.10386, 4.14531, 5.93707, 4.55078, 4.83846, 19.7526, 19.7526, 19.7526, 19.7526, 19.7526, 19.7526, 19.7526, 19.7526, 19.7526, 19.7526, 19.7526, 19.7526
6, -1.04979, -0.214078, -0.0997216, -0.116462, -0.0540051, -0.0255372, -0.00936436, -0.0233959, -0.081685, -0.275901, -0.223774, -0.434206, -0.344283, -0.295687, -0.259108, -0.296503, -0.424923, -0.458083, -0.547636, -0.51932, -0.404633, -0.447619, -0.233377, -0.1835, 0.0316841, -0.0104507, 0.115509, 0.300297, 0.472888, 0.600401, 0.770004, 0.971465, 1.12465, 1.39891, 1.54715, 2.01922, 2.07008, 2.43298, 2.68787, 2.33767
7, -0.651093, 0.223948, 0.239479, 0.311582, 0.279396, 0.2949, 0.108451, -0.0832345, -0.122746, -0.175219, -0.0969933, -0.162502, -0.286535, -0.334689, -0.357923, -0.408762, -0.395947, -0.398247, -0.507415, -0.538249, -0.477724, -0.421863, -0.39133, -0.321378, -0.21298, -0.172919, -0.0844931, -0.0148262, 0.114572, 0.223948, 0.403534, 0.53941, 0.691216, 0.913676, 1.01412, 1.30558, 1.46989, 1.9257, 2.18713, 1.74573
8, -2.43145, -1.10765, -0.96445, -0.941583, -0.81189, -0.800933, -0.849538, -0.735492, -0.572151, -0.513022, -0.472735, -0.327573, -0.262887, -0.281965, 0.132604, 0.450912, 0.659911, 1.17503, 2.35286, 4.53408, 21.3941, 21.3941, 21.3941, 21.3941, 21.3941, 21.3941, 21.3941, 21.3941, 21.3941, 21.3941, 21.3941, 21.3941, 21.3941, 21.3941, 21.3941, 21.3941, 21.3941, 21.3941, 21.3941, 21.3941
9, -1.82246, -0.850299, -0.698953, -0.473706, -0.38446, -0.458385, -0.716538, -0.4392, -0.437988, -0.444031, -0.447639, -0.329255, -0.153936, -0.321114, -0.076975, 0.0508584, 0.0410255, 0.0932462, 0.133209, 0.321558, 0.271042, 0.361193, 0.576952, 0.724436, 0.686408, 0.484381, 0.720567, 0.944676, 1.03037, 0.989128, 0.964189, 0.843673, 1.16541, 1.20222, 1.75561, 2.49321, 2.42725, 3.33296, 3.38702, 3.50481
10, -2.9488, -1.45788, -0.980964, -0.603562, -0.523765, -0.287528, -0.2286, -0.187292, 0.242754, 0.341804, 0.373762, 0.460265, 0.686772, 0.920306, 1.05467, 1.09761, 1.12098, 0.89736, 1.37839, 1.45132, 1.51586, 2.00929, 2.18474, 2.31632, 2.64656, 2.85086, 3.02521, 2.89168, 3.10791, 3.3182, 3.23652, 3.43068, 3.613, 3.91025, 4.6034, 4.68344, 5.37659, 6.4752, 20.9839, 20.9839
11, -2.87871, -1.27545, -0.973134, -0.683484, -0.444088, -0.293891, -0.219615, -0.0840127, -0.0148918, 0.1837, 0.269274, 0.159965, 0.285357, 0.241582, 0.456073, 0.753029, 0.932869, 1.04278, 1.22096, 1.46499, 1.58594, 1.56707, 1.63723, 1.98429, 2.3635, 2.32788, 2.64946, 2.74339, 2.74339, 2.85551, 3.14886, 3.21947, 3.58314, 3.71417, 3.77604, 4.19221, 4.29399, 5.14129, 5.54675, 21.4417
12, 0.526611, 1.24964, 1.04877, 0.890949, 0.89252, 0.846429, 0.640856, 0.493364, 0.218421, 0.0133891, -0.000869103, -0.12932, -0.156122, -0.29959, -0.34713, -0.394684, -0.490625, -0.493774, -0.577077, -0.578162, -0.550693, -0.540241, -0.458164, -0.380257, -0.395118, -0.380697, -0.308619, -0.39077, -0.276412, -0.036271, 0.0385061, 0.142083, 0.279546, 0.454062, 0.642079, 0.743775, 1.03962, 1.2655, 1.49265, 0.726313
13, -2.86475, -1.16873, -0.782066, -0.532888, -0.487038, -0.406101, -0.230155, -0.10476, -0.016498, 0.0296133, -0.0687565, 0.281249, 0.574728, 0.529266, 0.536701, 0.785353, 0.844484, 1.00372, 1.02782, 1.3319, 1.2835, 1.3402, 1.62788, 1.51257, 1.52252, 1.62788, 1.79695, 1.73324, 1.82362, 2.21566, 2.46413, 2.4901, 2.66195, 2.83185, 3.08317, 4.33593, 3.64278, 3.48863, 4.33593, 4.04825
14, -2.7686, -1.36379, -1.12721, -0.763582, -0.585901, -0.400172, -0.44945, -0.231006, -0.193949, 0.0193851, 0.216141, 0.388149, 0.550844, 0.519538, 0.624137, 0.517827, 1.0783, 1.34818, 1.45136, 1.37199, 1.61644, 1.66908, 1.82684, 1.89223, 2.11032, 2.15324, 2.20731, 2.43509, 2.53273, 2.4008, 2.79509, 2.829, 2.91915, 2.84639, 3.4237, 3.17587, 3.5936, 3.52214, 3.945, 3.03929
