AA, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36, Bin37, Bin38, Bin39, Bin40
1, -0.440256, -0.298119, -0.230787, -0.193825, -0.137085, -0.0892436, -0.0718137, -0.050834, -0.0318234, -0.0230128, 0.0643967, -0.0197272, 0.0494836, 0.328429, 0.280595, 0.251621, 0.283494, 0.299123, 0.639035, 1.18064, 1.31425, 1.61016, 2.00647, 2.30498, 4.30908, 20.5673, 20.4237, 20.3632, 20.2301, 20.0675, 19.9123, 19.7951, 19.6005, 19.3739, 19.2171, 18.9708, 18.8141, 18.4819, 18.1927, 19.3025
2, 1.78593, 1.09533, 0.796164, 0.703678, 0.257922, 0.334237, 0.355057, 0.247248, 0.205248, 0.124085, 0.0686795, 0.0558594, 0.0287855, -0.114357, -0.181761, -0.297184, -0.284713, -0.310821, -0.466343, -0.592855, -0.698652, -0.690276, -0.7996, -0.901896, -0.874313, -0.85584, -0.924694, -0.943177, -1.07728, -1.22905, -1.2506, -1.26095, -1.35959, -1.33152, -1.58167, -1.6608, -1.90901, -1.93231, -1.84076, -2.36582
3, 0.822717, 0.429454, 0.320919, 0.248717, 0.0195515, 0.0699626, 0.0918128, 0.0803819, -0.0826571, -0.066289, -0.132532, -0.0977619, -0.10667, -0.266234, -0.302639, -0.277457, -0.425592, -0.574178, -0.49467, -0.418635, -0.39562, -0.55557, -0.67974, -0.661898, -0.688334, -0.516486, -0.578036, -0.606724, -0.650125, -0.553156, -0.531338, -0.581057, -0.248161, -0.115902, 0.0616092, 0.427797, 1.70052, 2.59211, 17.7278, 18.8377
4, 1.11339, 0.599618, 0.470905, 0.338679, 0.232321, 0.108045, 0.103897, -0.140859, -0.0863444, -0.117845, -0.193124, -0.357692, -0.394104, -0.427425, -0.469978, -0.496932, -0.504662, -0.535585, -0.591872, -0.616744, -0.61858, -0.597556, -0.542712, -0.520724, -0.598869, -0.535164, -0.540643, -0.506259, -0.42301, -0.442344, -0.259476, -0.232709, -0.178226, 0.0848995, 0.387197, 0.860447, 1.68453, 3.70372, 17.9232, 19.033
5, -0.709788, -0.574489, -0.434214, -0.409745, -0.411594, -0.219815, 0.290121, 0.294052, 0.390649, 0.660011, 0.602006, 1.04507, 1.12814, 1.37505, 1.4583, 1.70685, 2.26622, 2.6419, 1.92036, 2.45749, 2.79297, 2.1059, 2.84284, 2.46762, 3.41469, 5.08426, 3.55433, 3.7815, 18.5625, 18.3999, 18.2447, 18.1275, 17.9329, 17.7063, 17.5496, 17.3032, 17.1465, 16.8143, 16.5251, 17.6349
6, 1.22092, 0.696732, 0.558963, 0.382598, 0.379518, 0.320364, 0.342619, 0.284224, 0.164903, -0.0395356, -0.0373818, -0.269965, -0.233235, -0.175581, -0.216094, -0.292621, -0.484862, -0.575206, -0.714203, -0.780025, -0.776144, -0.877598, -0.762663, -0.819744, -0.69894, -0.86327, -0.88094, -0.756667, -0.717205, -0.752235, -0.737858, -0.653606, -0.695005, -0.647346, -0.655881, -0.430143, -0.53603, -0.505308, -0.539635, 0.219993
7, 1.61962, 1.13476, 0.898164, 0.810642, 0.712919, 0.640801, 0.460434, 0.224386, 0.123842, 0.0611462, 0.0893991, 0.00173914, -0.175487, -0.214583, -0.314909, -0.40488, -0.455885, -0.51537, -0.673982, -0.798954, -0.849236, -0.851842, -0.920616, -0.957622, -0.943605, -1.02574, -1.08094, -1.07179, -1.07552, -1.12869, -1.10433, -1.08566, -1.12844, -1.13258, -1.18891, -1.14378, -1.13622, -1.01259, -1.04038, -0.371946
8, -0.16073, -0.196845, -0.305765, -0.442523, -0.378366, -0.455032, -0.497554, -0.427871, -0.325563, -0.276657, -0.286343, -0.163332, -0.15184, -0.161859, 0.175618, 0.454794, 0.599972, 1.05791, 2.18629, 4.27338, 21.0226, 20.9641, 20.8648, 20.7579, 20.6635, 20.5413, 20.3977, 20.3372, 20.204, 20.0415, 19.8863, 19.769, 19.5745, 19.3479, 19.1911, 18.9448, 18.788, 18.4558, 18.1666, 19.2764
9, 0.448254, 0.0605117, -0.0402683, 0.0253538, 0.0490639, -0.112484, -0.364554, -0.13158, -0.1914, -0.207666, -0.261246, -0.165014, -0.0428883, -0.201008, -0.0339613, 0.0547402, -0.018913, -0.0238761, -0.0333571, 0.0608525, -0.10047, -0.0687858, 0.0476656, 0.0881919, -0.0442162, -0.368438, -0.275882, -0.112287, -0.159722, -0.363508, -0.543673, -0.781398, -0.654248, -0.844034, -0.447426, 0.0438432, -0.178859, 0.394665, 0.159513, 1.38713
10, -0.678081, -0.547068, -0.322279, -0.104501, -0.090241, 0.0583729, 0.123384, 0.120328, 0.489342, 0.578168, 0.560155, 0.624506, 0.797819, 1.04041, 1.09768, 1.10149, 1.06104, 0.780238, 1.21182, 1.19062, 1.14435, 1.57931, 1.65546, 1.68007, 1.91594, 1.99804, 2.02877, 1.83472, 1.91781, 1.96557, 1.72866, 1.80561, 1.79335, 1.864, 2.40037, 2.23408, 2.77048, 3.53691, 17.7563, 18.8662
