AA, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36, Bin37, Bin38, Bin39, Bin40
1, -2.69143, -1.20428, -0.874165, -0.676436, -0.552454, -0.432606, -0.409131, -0.361488, -0.301674, -0.299924, -0.214007, -0.270595, -0.12732, 0.135773, 0.195044, 0.278926, 0.343464, 0.434118, 0.819486, 1.41738, 1.72976, 1.96971, 2.57761, 2.9734, 5.13096, 21.9422, 21.9422, 21.9422, 21.9422, 21.9422, 21.9422, 21.9422, 21.9422, 21.9422, 21.9422, 21.9422, 21.9422, 21.9422, 21.9422, 21.9422
2, -0.317182, 0.257857, 0.244911, 0.278924, -0.0152244, 0.0842591, 0.129059, -0.00225014, 0.0149742, -0.0636131, -0.0874182, -0.0979712, -0.108866, -0.208067, -0.210109, -0.290058, -0.274112, -0.217831, -0.286284, -0.321936, -0.294942, -0.263339, -0.265657, -0.233099, -0.156473, -0.0541209, -0.0226336, 0.0529897, 0.0519287, 0.0974897, 0.197807, 0.266362, 0.339257, 0.602046, 0.519179, 0.692405, 0.698459, 0.938702, 1.21572, -0.516585
3, -1.38875, -0.463547, -0.333879, -0.231225, -0.351301, -0.254792, -0.254015, -0.212367, -0.295862, -0.29921, -0.330286, -0.300323, -0.270583, -0.416457, -0.367732, -0.358676, -0.406166, -0.428276, -0.31432, -0.178592, -0.0901701, -0.129215, -0.113243, -0.0423634, 0.0789665, 0.331676, 0.404014, 0.416849, 0.518333, 0.756518, 0.893562, 1.00753, 1.4658, 1.86586, 2.286, 2.79518, 4.30336, 5.65329, 21.4147, 21.4147
4, -1.09897, -0.274701, -0.164945, -0.126558, -0.166625, -0.205794, -0.220533, -0.352632, -0.305846, -0.341421, -0.362339, -0.49283, -0.522662, -0.558004, -0.540374, -0.499349, -0.485048, -0.434987, -0.430099, -0.352074, -0.257071, -0.196063, -0.0435406, 0.0587032, 0.0916192, 0.264856, 0.39787, 0.476438, 0.697031, 0.803631, 1.1283, 1.30038, 1.51375, 1.91922, 2.45282, 3.15989, 4.09505, 7.13957, 21.6482, 21.6482
5, -2.946, -1.51248, -1.12574, -0.910332, -0.810563, -0.530434, -0.154151, -0.0032949, 0.124613, 0.371399, 0.405465, 0.750888, 0.934609, 1.13902, 1.31928, 1.47241, 1.83217, 2.34644, 2.05017, 2.36383, 2.74332, 2.32934, 2.91037, 2.94114, 3.69883, 4.10429, 4.46097, 4.00898, 5.71373, 5.71373, 20.2224, 20.2224, 20.2224, 20.2224, 20.2224, 20.2224, 20.2224, 20.2224, 20.2224, 20.2224
6, -0.981153, -0.136522, -0.036171, -0.0292766, -0.00444248, -0.0134284, -0.0197979, -0.0405338, -0.0849314, -0.253677, -0.207396, -0.362599, -0.299832, -0.270618, -0.28094, -0.31507, -0.422083, -0.45261, -0.50242, -0.493762, -0.401491, -0.439343, -0.283382, -0.215782, -0.0608484, -0.0535089, 0.070509, 0.236427, 0.358423, 0.517839, 0.660104, 0.845438, 0.955333, 1.20449, 1.41796, 1.80095, 1.84504, 2.22422, 2.42223, 2.20055
7, -0.510625, 0.297609, 0.297609, 0.344055, 0.327446, 0.318454, 0.141765, 0.0307717, 0.0135434, -0.0990503, -0.0576211, -0.162873, -0.248881, -0.282931, -0.34747, -0.387512, -0.426013, -0.446806, -0.516582, -0.545185, -0.495339, -0.453642, -0.421501, -0.37706, -0.280041, -0.217642, -0.144482, -0.0558118, 0.0809846, 0.173144, 0.341896, 0.438016, 0.586839, 0.797662, 0.919599, 1.25684, 1.44105, 1.7968, 1.94328, 1.59844
8, -2.40431, -1.11873, -0.958139, -0.928326, -0.840297, -0.826363, -0.845656, -0.747013, -0.620472, -0.542353, -0.490545, -0.341179, -0.308109, -0.283799, 0.114892, 0.497745, 0.767665, 1.2163, 2.22554, 4.38599, 21.8904, 21.8904, 21.8904, 21.8904, 21.8904, 21.8904, 21.8904, 21.8904, 21.8904, 21.8904, 21.8904, 21.8904, 21.8904, 21.8904, 21.8904, 21.8904, 21.8904, 21.8904, 21.8904, 21.8904
9, -1.70351, -0.790166, -0.67361, -0.446596, -0.415651, -0.418504, -0.578741, -0.440343, -0.414936, -0.38298, -0.419927, -0.374084, -0.175397, -0.307906, -0.134613, -0.0373143, -0.0383565, 0.0704823, 0.0452516, 0.178298, 0.182186, 0.19263, 0.343942, 0.506012, 0.580534, 0.431647, 0.607987, 0.748644, 0.864997, 0.867571, 0.964946, 0.904321, 1.16562, 1.33141, 1.56589, 2.15575, 2.35124, 3.1397, 3.24506, 2.97843
10, -2.89059, -1.39585, -0.959625, -0.637535, -0.515257, -0.325642, -0.245493, -0.12702, 0.147294, 0.252201, 0.284481, 0.371332, 0.543862, 0.711261, 0.826243, 0.843511, 0.854845, 0.834332, 1.14911, 1.14356, 1.32506, 1.62441, 1.77894, 1.88924, 2.22981, 2.26314, 2.50123, 2.66438, 2.75024, 3.01744, 2.97338, 2.97338, 3.26107, 3.68392, 3.9893, 4.39477, 4.95438, 5.93521, 7.72697, 21.5425
