AA, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36, Bin37, Bin38, Bin39, Bin40
1, -0.471543, -0.313136, -0.231026, -0.190904, -0.130356, -0.090517, -0.0722114, -0.0667057, -0.0601217, -0.0642997, -0.0164292, -0.0885384, 0.0116394, 0.266745, 0.257902, 0.299236, 0.312369, 0.341, 0.671799, 1.18432, 1.39565, 1.58662, 2.09623, 2.39602, 4.45172, 21.1566, 21.0274, 20.9511, 20.8218, 20.6801, 20.5269, 20.4063, 20.2521, 20.0238, 19.882, 19.6307, 19.4462, 19.1822, 18.9285, 20.0675
2, 1.9027, 1.149, 0.88805, 0.764455, 0.406873, 0.426348, 0.465979, 0.292532, 0.256526, 0.172011, 0.110159, 0.0840852, 0.0300944, -0.0770946, -0.147252, -0.269747, -0.305207, -0.31095, -0.433971, -0.555001, -0.629047, -0.646427, -0.747036, -0.810475, -0.835711, -0.839725, -0.937462, -0.93807, -1.06847, -1.16456, -1.21744, -1.26949, -1.35088, -1.31635, -1.54104, -1.61913, -1.79749, -1.82131, -1.79801, -2.39127
3, 0.83114, 0.427593, 0.30926, 0.254307, 0.0707963, 0.0872972, 0.0829038, 0.082415, -0.0543104, -0.063586, -0.132708, -0.118267, -0.131623, -0.285484, -0.304875, -0.338366, -0.437261, -0.521394, -0.462007, -0.411657, -0.424275, -0.512303, -0.594621, -0.619739, -0.600272, -0.453928, -0.510815, -0.574211, -0.602062, -0.505534, -0.52169, -0.528329, -0.224335, -0.0525335, 0.225776, 0.483647, 1.80741, 2.89328, 18.401, 19.54
4, 1.12092, 0.61644, 0.478194, 0.358974, 0.255473, 0.136296, 0.116386, -0.0578495, -0.0642943, -0.105797, -0.164762, -0.310774, -0.383702, -0.427032, -0.477516, -0.479039, -0.516142, -0.528106, -0.577786, -0.58514, -0.591176, -0.579151, -0.524919, -0.518673, -0.587619, -0.520748, -0.516958, -0.514621, -0.423364, -0.458421, -0.286947, -0.235472, -0.176388, 0.000822087, 0.392602, 0.848356, 1.5991, 4.37956, 18.6345, 19.7735
5, -0.726116, -0.621336, -0.482605, -0.424801, -0.388466, -0.188345, 0.182768, 0.291488, 0.366165, 0.607023, 0.603042, 0.932945, 1.07357, 1.26999, 1.38214, 1.49272, 1.80107, 2.25332, 1.90248, 2.13076, 2.40921, 1.94625, 2.42899, 2.36377, 3.01959, 3.31869, 3.54614, 3.01792, 4.59334, 4.45168, 18.8071, 18.6865, 18.5323, 18.304, 18.1622, 17.9109, 17.7264, 17.4624, 17.2087, 18.3477
6, 1.23873, 0.754618, 0.606968, 0.456255, 0.417655, 0.328661, 0.317121, 0.254249, 0.156621, -0.0180532, -0.00981919, -0.180543, -0.160872, -0.139646, -0.218083, -0.294759, -0.453178, -0.545729, -0.650107, -0.726827, -0.735595, -0.822432, -0.764761, -0.793158, -0.740087, -0.839113, -0.844319, -0.754633, -0.761972, -0.744213, -0.755147, -0.690419, -0.734805, -0.713908, -0.642262, -0.510584, -0.650905, -0.535794, -0.591494, 0.325865
7, 1.70926, 1.18875, 0.940748, 0.829587, 0.749544, 0.660543, 0.478684, 0.325554, 0.255095, 0.136574, 0.139956, 0.0191833, -0.109921, -0.151959, -0.284613, -0.367202, -0.457108, -0.539924, -0.66427, -0.77825, -0.829444, -0.83673, -0.902879, -0.954436, -0.95928, -1.00325, -1.05931, -1.04687, -1.03941, -1.08891, -1.07335, -1.09784, -1.1033, -1.12073, -1.14062, -1.05469, -1.0549, -0.963214, -1.07045, -0.276244
8, -0.184421, -0.227594, -0.315001, -0.442795, -0.418199, -0.484274, -0.508737, -0.45223, -0.37892, -0.306728, -0.292967, -0.159123, -0.169149, -0.152827, 0.17775, 0.518056, 0.73657, 1.12318, 2.07786, 4.15292, 21.5563, 21.5073, 21.409, 21.313, 21.2111, 21.1048, 20.9755, 20.8993, 20.77, 20.6283, 20.4751, 20.3545, 20.2002, 19.972, 19.8302, 19.5788, 19.3944, 19.1304, 18.8767, 20.0157
9, 0.51638, 0.100974, -0.0304709, 0.038936, 0.00644694, -0.0764146, -0.241822, -0.145561, -0.173384, -0.147356, -0.22235, -0.192028, -0.0364374, -0.176934, -0.0717558, -0.0170037, -0.0694511, -0.022636, -0.102436, -0.0547678, -0.151918, -0.190458, -0.137437, -0.0713644, -0.0987046, -0.353957, -0.306842, -0.242416, -0.255397, -0.39448, -0.450306, -0.631536, -0.524522, -0.586985, -0.494332, -0.155785, -0.14471, 0.379684, 0.231332, 1.10374
10, -0.670705, -0.504706, -0.316486, -0.152003, -0.0931589, 0.0164477, 0.0914264, 0.167763, 0.388847, 0.487825, 0.482058, 0.553389, 0.682821, 0.842233, 0.8891, 0.863821, 0.823751, 0.741213, 1.00142, 0.910499, 0.990951, 1.24133, 1.29756, 1.31187, 1.55057, 1.47754, 1.5864, 1.67332, 1.62984, 1.75539, 1.55813, 1.43753, 1.57093, 1.76553, 1.92908, 2.08324, 2.45843, 3.1752, 4.71325, 19.6678
11, -0.579106, -0.369755, -0.312701, -0.194171, -0.0712755, -0.0149608, 0.0661382, 0.137712, 0.18826, 0.322094, 0.38303, 0.335897, 0.404846, 0.398673, 0.530543, 0.633899, 0.749735, 0.769222, 0.822283, 0.894605, 0.896545, 0.869688, 0.893324, 1.11098, 1.1528, 1.1701, 1.20258, 1.28629, 1.26262, 1.21899, 1.44989, 1.46491, 1.42911, 1.49907, 1.51281, 1.55913, 1.72191, 1.76457, 2.46637, 6.31346
12, 2.81626, 2.06753, 1.73115, 1.37741, 1.28303, 1.16143, 0.927638, 0.77172, 0.500643, 0.290876, 0.212403, 0.0684155, 0.00736271, -0.130728, -0.259468, -0.331551, -0.46692, -0.560748, -0.681092, -0.76303, -0.846218, -0.901962, -0.935466, -0.987113, -1.09723, -1.19999, -1.2397, -1.35683, -1.3821, -1.35918, -1.43009, -1.41276, -1.47266, -1.54814, -1.52701, -1.65754, -1.58387, -1.69037, -1.64993, -1.28397
13, -0.549747, -0.232724, -0.113335, -0.0275139, -0.0404484, -0.0467987, 0.0713376, 0.127466, 0.194547, 0.200076, 0.164594, 0.391987, 0.535476, 0.5454, 0.445662, 0.586215, 0.648512, 0.656979, 0.569257, 0.753607, 0.663302, 0.636137, 0.759154, 0.64048, 0.543112, 0.551157, 0.660343, 0.546371, 0.487353, 0.644477, 0.72114, 0.634824, 0.686394, 0.681283, 0.613565, 1.22245, 0.63257, 0.399279, 0.972245, 1.91713
14, -0.475163, -0.435111, -0.431752, -0.261626, -0.170012, -0.079864, -0.0901192, 0.0499877, 0.0705772, 0.241141, 0.342916, 0.513042, 0.569678, 0.585901, 0.626188, 0.549564, 0.877571, 0.943583, 1.07776, 0.878912, 0.947906, 0.892478, 0.984679, 0.947366, 1.04892, 0.899719, 0.751325, 0.881759, 0.867779, 0.798551, 0.802637, 0.849086, 0.755024, 0.590847, 0.726948, 0.588574, 0.595212, 0.344394, 0.558022, 0.687399
15, 0.570211, 0.23009, 0.0773435, 0.0792843, -0.0165012, -0.0999638, -0.105823, -0.096703, -0.240385, -0.252588, -0.402069, -0.323781, -0.316792, -0.312114, -0.358993, -0.461957, -0.408701, -0.363278, -0.44172, -0.465249, -0.425377, -0.340969, -0.314245, -0.181057, -0.121432, 0.297503, 0.431436, 0.617775, 1.22263, 2.24301, 4.50572, 19.8101, 19.6558, 19.4275, 19.2857, 19.0344, 18.85, 18.5859, 18.3322, 19.4712
16, 0.17746, 0.0158944, -0.0609431, -0.146689, -0.149299, -0.127775, -0.170676, -0.291171, -0.359625, -0.360944, -0.338696, -0.305625, -0.308686, -0.261031, -0.318564, -0.227969, -0.138739, -0.0739725, -0.0524269, -0.0302944, 0.0424143, 0.223437, 0.389418, 0.520627, 0.740968, 0.946261, 1.33088, 1.99809, 3.37284, 20.3789, 20.2257, 20.1051, 19.9508, 19.7226, 19.5807, 19.3294, 19.145, 18.8809, 18.6272, 19.7663
17, 0.212029, 0.0204554, 0.00507216, 0.00650644, -0.112717, -0.164583, -0.149935, -0.197774, -0.189442, -0.270538, -0.189877, -0.214543, -0.313786, -0.372892, -0.357637, -0.345962, -0.314559, -0.190879, -0.114926, 0.0181522, 0.134293, 0.130222, 0.123644, 0.189573, 0.272221, 0.438679, 0.801277, 0.924933, 1.05309, 1.30765, 1.95849, 2.1052, 3.37001, 5.8498, 19.5235, 19.2722, 19.0878, 18.8237, 18.57, 19.709
18, 0.0280248, -0.252445, -0.410577, -0.51, -0.331355, -0.219295, -0.170301, -0.205112, -0.236976, -0.208517, -0.113726, 0.0853319, 0.29966, 0.30601, 0.46149, 0.416688, 0.43766, 0.532616, 0.436432, 0.466123, 0.605138, 0.720042, 0.538553, 0.512149, 0.73779, 0.486242, 0.664719, 0.581161, 0.473967, 0.339801, 0.37647, 0.255865, 0.101584, 0.2171, 0.114495, -0.0240238, -0.0110811, -0.275144, -0.392725, -1.02084
19, 0.214404, -0.15041, -0.191017, -0.28145, -0.349366, -0.336327, -0.403353, -0.318746, -0.183069, -0.16639, -0.0840082, -0.0598217, 0.0146117, 0.154247, 0.155833, 0.143461, 0.313195, 0.30924, 0.339144, 0.293364, 0.424791, 0.386887, 0.359283, 0.355611, 0.234267, 0.175647, 0.245409, 0.31038, 0.164594, 0.206658, 0.0312968, 0.215878, 0.21389, 0.025375, 0.00302316, -0.071033, -0.146717, -0.132066, -0.454772, -0.608172
20, -0.648229, -0.397956, -0.234729, -0.186917, -0.08391, -0.059745, 0.0086741, 0.149861, 0.262073, 0.338586, 0.348289, 0.482013, 0.461219, 0.558379, 0.610181, 0.584605, 0.692559, 0.675998, 0.82452, 0.982478, 1.11697, 1.32931, 1.42147, 1.5376, 1.56148, 1.5729, 2.03884, 1.96261, 2.35527, 2.38476, 2.67785, 3.25039, 4.48241, 6.04591, 19.7196, 19.4683, 19.2839, 19.0198, 18.7661, 19.9051
