AA, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36, Bin37, Bin38, Bin39, Bin40
1, -2.69138, -1.2367, -0.859152, -0.705001, -0.541256, -0.443027, -0.293659, -0.372946, -0.291693, -0.341607, -0.309254, -0.293659, -0.136557, 0.0554663, 0.211941, 0.385829, 0.536111, 0.536111, 0.876194, 1.31382, 1.70468, 1.84444, 2.68069, 2.94306, 5.93879, 19.7543, 19.7543, 19.7543, 19.7543, 19.7543, 19.7543, 19.7543, 19.7543, 19.7543, 19.7543, 19.7543, 19.7543, 19.7543, 19.7543, 19.7543
2, -0.246186, 0.221622, 0.239322, 0.263419, 0.20423, 0.187136, 0.366073, -0.00269053, 0.0851708, 0.0257474, -0.154167, -0.0303421, -0.087753, -0.249843, -0.227701, -0.174049, -0.337158, -0.296197, -0.32369, -0.282161, -0.253486, -0.249843, -0.292706, -0.260732, -0.108985, -0.104775, -0.146103, 0.0599806, 0.0649681, 0.0800818, 0.164788, 0.14293, 0.281881, 0.758115, 0.543004, 0.495751, 0.768166, 0.981259, 1.12918, -0.679347
3, -1.36804, -0.531705, -0.313319, -0.21733, -0.261133, -0.29277, -0.309923, -0.147804, -0.278832, -0.264698, -0.289304, -0.359685, -0.316703, -0.449389, -0.391534, -0.555932, -0.422401, -0.316703, -0.261133, -0.131675, -0.147804, -0.0468783, 0.0123646, -0.024506, 0.16965, 0.317411, 0.439183, 0.39005, 0.545343, 0.748684, 0.682309, 0.798946, 1.38467, 1.87715, 2.7346, 2.23816, 5.37366, 5.37366, 19.1892, 19.1892
4, -1.16128, -0.216184, -0.0912114, -0.0615552, -0.144937, -0.221898, -0.0944529, -0.198842, -0.269195, -0.352576, -0.329819, -0.536979, -0.536979, -0.528628, -0.573718, -0.443331, -0.500996, -0.450157, -0.445611, -0.285367, -0.285367, -0.187112, -0.0240721, 0.00767655, 0.121435, 0.240726, 0.320768, 0.440391, 0.628253, 0.601936, 0.975449, 1.24444, 1.28218, 1.68764, 2.02797, 2.99983, 4.25259, 19.4544, 19.4544, 19.4544
5, -2.95246, -1.65017, -1.16315, -0.920205, -0.56353, -0.460151, -0.0935261, 0.223144, 0.0606246, 0.37078, 0.599621, 0.753772, 0.787673, 1.21053, 1.67006, 1.67006, 1.59002, 2.54553, 2.36321, 2.07553, 2.76867, 2.36321, 2.54553, 4.15497, 3.46182, 3.05636, 17.9705, 2.76867, 17.9705, 4.15497, 17.9705, 17.9705, 17.9705, 17.9705, 17.9705, 17.9705, 17.9705, 17.9705, 17.9705, 17.9705
6, -1.07683, -0.117273, 0.0798948, 0.159937, 0.0798948, -0.057635, -0.0687463, -0.188369, -0.183455, -0.277421, -0.212583, -0.226835, -0.168567, -0.303971, -0.363311, -0.423209, -0.494267, -0.419325, -0.483377, -0.350888, -0.193259, -0.395702, -0.226835, -0.111996, -0.0293045, -0.0959959, -0.00014794, 0.10587, 0.262216, 0.466312, 0.735302, 0.925058, 0.881256, 1.06931, 1.21773, 1.9517, 1.5744, 1.83391, 2.08523, 2.08523
7, -0.404638, 0.268837, 0.383378, 0.290719, 0.295154, 0.230616, 0.0908536, 0.222317, 0.340616, -0.069489, 0.00414422, -0.267631, -0.188643, -0.129387, -0.314611, -0.38457, -0.483151, -0.501352, -0.548327, -0.555946, -0.497336, -0.493303, -0.521194, -0.37779, -0.295099, -0.188643, -0.213001, -0.0220868, 0.222317, 0.146734, 0.322183, 0.383378, 0.485508, 0.762495, 0.762495, 1.09613, 1.36745, 1.6682, 1.6859, 1.50656
8, -2.38872, -1.06363, -0.97544, -0.897506, -0.878711, -0.910564, -0.811788, -0.727161, -0.696835, -0.589539, -0.52649, -0.412272, -0.33652, -0.239866, 0.0932297, 0.591354, 1.22788, 1.21875, 2.02741, 4.30979, 19.7347, 19.7347, 19.7347, 19.7347, 19.7347, 19.7347, 19.7347, 19.7347, 19.7347, 19.7347, 19.7347, 19.7347, 19.7347, 19.7347, 19.7347, 19.7347, 19.7347, 19.7347, 19.7347, 19.7347
9, -1.65707, -0.760262, -0.764638, -0.545852, -0.387162, -0.279676, -0.314523, -0.507066, -0.436862, -0.250897, -0.354797, -0.466715, -0.198451, -0.272559, -0.151198, -0.11004, 0.104735, 0.125789, -0.0222644, 0.158224, 0.180447, -0.175104, 0.262364, 0.406404, 0.608641, 0.392417, 0.378624, 0.66175, 0.907883, 0.591546, 0.884894, 0.955511, 1.37325, 1.89649, 1.77871, 1.83587, 2.58964, 3.05965, 3.97594, 2.47186
10, -2.86266, -1.33613, -0.919131, -0.627913, -0.491486, -0.360272, -0.221435, 0.00246843, 0.102352, 0.222764, 0.199344, 0.327598, 0.493218, 0.53767, 0.676783, 0.518377, 0.618795, 1.18017, 1.24389, 0.874142, 1.21791, 1.31194, 1.29796, 1.72447, 2.04826, 1.93704, 2.14064, 3.3774, 2.39657, 3.17673, 2.68425, 2.31653, 2.68425, 3.62871, 3.08972, 4.88148, 5.57462, 5.57462, 5.57462, 19.3901
11, -2.75199, -1.23641, -0.880348, -0.626703, -0.524546, -0.449095, -0.331116, -0.289706, -0.0117803, -0.00935015, 0.148457, 0.120365, 0.213185, 0.234692, 0.662136, 0.503912, 0.726039, 0.952997, 0.720976, 0.921647, 1.0676, 1.09659, 1.23856, 1.57843, 1.70518, 1.86611, 1.93171, 2.03895, 2.24804, 2.13804, 2.54351, 2.48288, 2.75115, 3.0648, 3.61135, 3.81202, 3.9298, 3.9298, 6.00924, 19.8248
12, 0.585058, 0.947173, 1.17032, 0.984214, 0.827371, 0.795623, 0.560057, 0.517754, 0.405906, 0.0418509, -0.0118293, -0.126899, -0.120668, -0.18423, -0.295146, -0.323609, -0.300382, -0.487912, -0.481397, -0.427693, -0.445917, -0.509326, -0.468239, -0.387828, -0.436846, -0.448172, -0.363614, -0.326157, -0.218815, -0.284592, -0.123788, 0.227118, 0.188067, 0.200916, 0.454696, 0.500158, 0.720399, 0.819339, 1.24093, 0.664046
