AA, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36, Bin37, Bin38, Bin39, Bin40
1, -0.496392, -0.361334, -0.24071, -0.224629, -0.123868, -0.0757359, 0.0227583, -0.10441, -0.064237, -0.106709, -0.101516, -0.0760996, 0.013258, 0.18919, 0.289284, 0.429876, 0.492164, 0.445665, 0.745761, 1.0927, 1.37142, 1.4971, 2.23284, 2.3894, 5.23843, 19.0109, 18.9031, 18.7868, 18.6239, 18.5951, 18.4098, 18.2601, 18.1498, 17.8897, 17.7869, 17.5811, 17.3096, 17.1558, 16.8992, 17.9562
2, 1.9488, 1.09699, 0.857763, 0.743791, 0.621618, 0.554427, 0.682491, 0.265845, 0.312627, 0.260646, 0.0535705, 0.187218, 0.0620623, -0.116119, -0.150358, -0.130002, -0.381106, -0.386643, -0.454123, -0.503277, -0.58675, -0.597185, -0.740561, -0.814392, -0.809347, -0.848125, -0.997257, -0.907522, -1.06542, -1.0791, -1.17971, -1.35123, -1.32261, -1.10651, -1.42439, -1.67741, -1.67658, -1.61722, -1.72595, -2.47746
3, 0.82694, 0.343662, 0.305123, 0.263042, 0.156255, 0.0745215, 0.00649457, 0.120732, -0.0513768, -0.0297997, -0.0815658, -0.142125, -0.166887, -0.315666, -0.314191, -0.511885, -0.466349, -0.407149, -0.391566, -0.35279, -0.481068, -0.394221, -0.43549, -0.578166, -0.530711, -0.425939, -0.411971, -0.577453, -0.585042, -0.410494, -0.662185, -0.695211, -0.219817, 0.01252, 0.767205, 0.0650028, 2.92891, 2.77517, 16.334, 17.3911
4, 1.0337, 0.659184, 0.52723, 0.418817, 0.272451, 0.145394, 0.221965, 0.0696936, -0.0417389, -0.117678, -0.122081, -0.319419, -0.387164, -0.394905, -0.496375, -0.399284, -0.544944, -0.540603, -0.576044, -0.506483, -0.618632, -0.534454, -0.471927, -0.545984, -0.578926, -0.502625, -0.530386, -0.527112, -0.502132, -0.557243, -0.369044, -0.249718, -0.32231, -0.176984, 0.0605756, 0.826671, 1.80785, 16.8559, 16.5993, 17.6563
5, -0.757473, -0.774798, -0.544709, -0.439832, -0.146141, -0.0928599, 0.222892, 0.491679, 0.28808, 0.605678, 0.807359, 0.971331, 0.937489, 1.34425, 1.74741, 1.71411, 1.54607, 2.45508, 2.23278, 1.85441, 2.43541, 2.01587, 2.09768, 3.60131, 2.76146, 2.31301, 17.1193, 1.80117, 16.8401, 2.99579, 16.626, 16.4763, 16.366, 16.1059, 16.0031, 15.7973, 15.5257, 15.372, 15.1153, 16.1724
6, 1.11816, 0.758094, 0.698337, 0.64031, 0.497283, 0.309656, 0.247671, 0.0801665, 0.0440005, -0.0425228, -0.00484554, -0.00927582, -0.0187513, -0.170248, -0.285967, -0.379162, -0.538214, -0.509772, -0.61381, -0.572004, -0.526523, -0.743045, -0.67469, -0.665657, -0.729666, -0.839346, -0.851302, -0.861633, -0.868169, -0.692867, -0.609192, -0.569099, -0.723234, -0.795321, -0.749667, -0.221463, -0.87034, -0.76457, -0.769905, 0.287113
7, 1.79035, 1.1442, 1.00182, 0.771092, 0.712542, 0.597907, 0.407271, 0.490852, 0.568072, 0.165409, 0.211882, -0.0500716, -0.0388276, 0.00433603, -0.237268, -0.340523, -0.527099, -0.591798, -0.67876, -0.777061, -0.8306, -0.840646, -0.969048, -0.931451, -0.99546, -0.931993, -1.06416, -0.98959, -0.908068, -1.01244, -1.02231, -1.11078, -1.11898, -1.10213, -1.2049, -1.07703, -1.07729, -0.93028, -1.16923, -0.291553
8, -0.193739, -0.188265, -0.356998, -0.417134, -0.461322, -0.543272, -0.495371, -0.458625, -0.46938, -0.354641, -0.318752, -0.194712, -0.186705, -0.106142, 0.170573, 0.635401, 1.18393, 1.1283, 1.89698, 4.08868, 19.4015, 19.3874, 19.2869, 19.1811, 19.0344, 18.9914, 18.8836, 18.7672, 18.6044, 18.5756, 18.3902, 18.2406, 18.1303, 17.8701, 17.7673, 17.5616, 17.29, 17.1363, 16.8796, 17.9366
9, 0.537918, 0.115105, -0.146197, -0.06548, 0.030226, 0.0876151, 0.0018945, -0.238531, -0.209406, -0.0159992, -0.147059, -0.249155, -0.0486356, -0.138836, -0.0738548, -0.065993, 0.0607877, 0.0353423, -0.152697, -0.0628914, -0.152817, -0.522446, -0.185491, -0.147257, -0.0917208, -0.350933, -0.47253, -0.305753, -0.222501, -0.567632, -0.4596, -0.538646, -0.231243, 0.0318657, -0.188683, -0.33729, 0.1449, 0.461162, 1.1208, 0.673744
10, -0.667678, -0.460761, -0.30069, -0.147541, -0.0740974, 0.00701971, 0.0949823, 0.271004, 0.329807, 0.457663, 0.407082, 0.545158, 0.643033, 0.671393, 0.754126, 0.562424, 0.574848, 1.08973, 1.11346, 0.653027, 0.884649, 0.9646, 0.850101, 1.17081, 1.3479, 1.19369, 1.28948, 2.40989, 1.26618, 2.01755, 1.33976, 0.822369, 1.07976, 1.76408, 1.12232, 2.70832, 3.12988, 2.97614, 2.71949, 17.592
