AA, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36, Bin37, Bin38, Bin39, Bin40
1, -2.65088, -1.18209, -0.84844, -0.630972, -0.519244, -0.423456, -0.420825, -0.363201, -0.35056, -0.361804, -0.34418, -0.417525, -0.244807, 0.0321963, 0.108619, 0.304454, 0.278932, 0.433525, 0.826682, 1.41126, 1.83542, 1.88704, 2.62766, 3.05418, 5.11256, 20.7198, 20.7198, 20.7198, 20.7198, 20.7198, 20.7198, 20.7198, 20.7198, 20.7198, 20.7198, 20.7198, 20.7198, 20.7198, 20.7198, 20.7198
2, 0.0569489, 0.423356, 0.481234, 0.438135, 0.275864, 0.248807, 0.321179, 0.114506, 0.102017, 0.00092105, -0.00387512, -0.101068, -0.162799, -0.14218, -0.176313, -0.306988, -0.338295, -0.233695, -0.24754, -0.316367, -0.24754, -0.273452, -0.24754, -0.160074, -0.19493, -0.125373, -0.136609, -0.0521335, -0.0551684, 0.0569489, 0.107351, 0.147356, 0.166083, 0.382632, 0.348027, 0.602261, 0.67817, 0.813054, 0.986033, -0.833241
3, -1.23835, -0.387882, -0.332872, -0.18924, -0.222133, -0.184452, -0.214399, -0.201899, -0.2175, -0.304898, -0.373418, -0.364103, -0.370765, -0.472934, -0.409833, -0.444968, -0.491937, -0.400853, -0.302057, -0.244982, -0.212845, -0.169947, -0.0692654, -0.0888216, 0.135203, 0.326374, 0.356146, 0.350666, 0.457242, 0.662313, 0.802261, 1.01686, 1.27657, 1.7207, 2.19286, 2.9211, 4.05608, 6.2533, 20.0688, 20.0688
4, -0.929562, -0.214981, -0.142889, -0.0757324, -0.0964855, -0.125583, -0.206968, -0.176627, -0.259582, -0.308528, -0.337189, -0.407325, -0.554057, -0.591526, -0.584459, -0.517659, -0.561341, -0.464013, -0.434241, -0.368969, -0.267186, -0.258491, -0.113036, -0.0356201, -0.000918501, 0.167935, 0.31155, 0.344919, 0.585175, 0.680993, 0.963104, 1.14543, 1.36857, 1.64887, 2.38714, 2.95061, 3.72831, 20.377, 20.377, 20.377
5, -2.85837, -1.51703, -1.18404, -0.909999, -0.814442, -0.47199, -0.358967, -0.0569374, 0.105922, 0.260072, 0.317231, 0.501234, 0.819688, 0.891662, 1.03591, 1.03591, 1.24621, 1.72906, 1.87748, 1.9183, 2.15192, 1.96086, 2.3883, 2.4573, 3.15044, 3.30459, 3.99774, 3.71006, 4.40321, 5.09635, 18.9119, 18.9119, 18.9119, 18.9119, 18.9119, 18.9119, 18.9119, 18.9119, 18.9119, 18.9119
6, -0.787285, 0.0278244, 0.0570728, 0.0942864, 0.068554, 0.0278244, -0.0219156, -0.0155664, -0.0530708, -0.199302, -0.172443, -0.257638, -0.254299, -0.206345, -0.292039, -0.309598, -0.388666, -0.453753, -0.414642, -0.491392, -0.461938, -0.43857, -0.393043, -0.309598, -0.230609, -0.118376, 0.0124225, 0.16803, 0.196492, 0.389899, 0.452316, 0.613839, 0.709946, 0.946335, 1.27176, 1.43881, 1.596, 2.04495, 2.15031, 2.01216
7, -0.256896, 0.450958, 0.37434, 0.423559, 0.428979, 0.395138, 0.221906, 0.188593, 0.178671, 0.0356645, -0.00857467, -0.123364, -0.202524, -0.241263, -0.340861, -0.350878, -0.455657, -0.506688, -0.520803, -0.553208, -0.524301, -0.492372, -0.435256, -0.466074, -0.381146, -0.299759, -0.216872, -0.133738, -0.0178879, 0.10004, 0.250287, 0.30158, 0.462131, 0.635504, 0.829024, 1.2372, 1.41952, 1.64878, 1.70557, 1.41465
8, -2.34845, -1.16458, -0.936571, -0.911447, -0.884742, -0.844755, -0.851049, -0.780055, -0.688984, -0.58501, -0.513901, -0.340063, -0.390269, -0.305689, 0.08572, 0.568614, 0.869018, 1.31295, 2.06672, 4.14616, 20.6007, 20.6007, 20.6007, 20.6007, 20.6007, 20.6007, 20.6007, 20.6007, 20.6007, 20.6007, 20.6007, 20.6007, 20.6007, 20.6007, 20.6007, 20.6007, 20.6007, 20.6007, 20.6007, 20.6007
9, -1.45619, -0.679451, -0.586274, -0.351837, -0.481348, -0.390582, -0.368973, -0.416375, -0.361665, -0.308955, -0.390582, -0.418687, -0.205883, -0.295985, -0.228482, -0.159091, -0.214418, 0.0101434, -0.0780493, -0.038309, 0.0352794, 0.0761014, 0.0389224, 0.222705, 0.399777, 0.353733, 0.510387, 0.487265, 0.602194, 0.776853, 0.99809, 1.00766, 1.09817, 1.43254, 1.23321, 1.82341, 2.15554, 2.87946, 2.87946, 2.56101
10, -2.78558, -1.29515, -0.934536, -0.700366, -0.508313, -0.379629, -0.284319, -0.055842, 0.00762753, 0.115841, 0.16797, 0.240793, 0.340971, 0.467991, 0.552748, 0.605724, 0.570096, 0.634635, 0.805819, 0.82822, 1.08092, 1.25329, 1.45562, 1.4376, 1.79088, 1.74938, 2.03977, 2.21776, 2.41843, 2.59127, 2.71141, 2.69036, 3.0352, 3.38351, 3.72835, 3.9225, 4.36434, 5.46295, 20.3771, 20.3771
