AA, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36, Bin37, Bin38, Bin39, Bin40
1, -0.531675, -0.325607, -0.227779, -0.171281, -0.118763, -0.0990607, -0.10699, -0.0846503, -0.113819, -0.127398, -0.128256, -0.213982, -0.0557677, 0.18371, 0.204947, 0.348127, 0.308279, 0.386185, 0.709568, 1.22736, 1.5725, 1.57947, 2.22443, 2.57768, 4.53692, 20.0427, 19.9298, 19.8417, 19.7302, 19.5827, 19.4446, 19.3288, 19.2209, 19.0011, 18.8676, 18.5929, 18.3981, 18.1926, 17.9855, 19.185
2, 2.17616, 1.27983, 1.1019, 0.897826, 0.676345, 0.573203, 0.635014, 0.393057, 0.338759, 0.235328, 0.212049, 0.102475, 0.0262404, 0.00933367, -0.0799842, -0.263315, -0.308948, -0.281035, -0.364655, -0.500268, -0.510457, -0.581024, -0.650769, -0.63657, -0.770578, -0.802495, -0.926678, -0.930268, -1.04478, -1.08018, -1.16789, -1.24365, -1.33281, -1.33611, -1.50424, -1.52469, -1.64358, -1.71421, -1.74832, -2.36806
3, 0.880861, 0.468596, 0.287789, 0.270451, 0.178348, 0.139944, 0.0994359, 0.076652, 0.0192421, -0.0704912, -0.157494, -0.160559, -0.181726, -0.32142, -0.313504, -0.401295, -0.46259, -0.448193, -0.419171, -0.428883, -0.475761, -0.477519, -0.472494, -0.565317, -0.440445, -0.350749, -0.433924, -0.527468, -0.532373, -0.474813, -0.472977, -0.374145, -0.22233, 0.00196256, 0.340588, 0.794141, 1.73433, 3.72603, 17.3345, 18.534
4, 1.18964, 0.641497, 0.477773, 0.383959, 0.303996, 0.198812, 0.106867, 0.101924, -0.0228401, -0.0741211, -0.121265, -0.203781, -0.365017, -0.440013, -0.48813, -0.473986, -0.531994, -0.511353, -0.551355, -0.55287, -0.530103, -0.566063, -0.516264, -0.512116, -0.576566, -0.509187, -0.478519, -0.533215, -0.404441, -0.456133, -0.312135, -0.245578, -0.130328, -0.0698671, 0.534869, 0.823654, 1.40656, 17.8498, 17.6427, 18.8422
5, -0.739162, -0.660552, -0.56338, -0.450308, -0.413961, -0.147595, -0.0451321, 0.221613, 0.342663, 0.494479, 0.533155, 0.704778, 1.00873, 1.04318, 1.13224, 1.07958, 1.27555, 1.68172, 1.76036, 1.7344, 1.889, 1.65329, 1.98508, 1.9808, 2.5748, 2.62747, 3.20767, 2.83193, 3.41359, 3.95923, 17.6366, 17.5209, 17.413, 17.1931, 17.0596, 16.7849, 16.5901, 16.3846, 16.1775, 17.377
6, 1.33192, 0.884303, 0.677734, 0.553977, 0.469035, 0.35222, 0.291919, 0.262984, 0.183671, 0.0351044, 0.043481, -0.0540942, -0.0652595, -0.0548312, -0.195711, -0.265925, -0.35932, -0.501093, -0.531756, -0.675293, -0.724855, -0.746142, -0.796271, -0.786093, -0.806256, -0.795498, -0.777647, -0.710104, -0.793123, -0.747227, -0.822922, -0.777164, -0.78895, -0.772403, -0.580512, -0.688143, -0.725753, -0.48232, -0.584045, 0.477342
7, 1.86231, 1.30744, 0.995001, 0.88325, 0.82946, 0.719533, 0.535741, 0.467144, 0.415413, 0.270071, 0.207349, 0.0801795, -0.0134848, -0.0897497, -0.244532, -0.307205, -0.42631, -0.554028, -0.637917, -0.737109, -0.787217, -0.799944, -0.838484, -0.942569, -0.956793, -0.976882, -1.00694, -1.01187, -1.0075, -1.03709, -1.02495, -1.08942, -1.03677, -1.08323, -1.02325, -0.889759, -0.902233, -0.87849, -1.02878, -0.120164
8, -0.229248, -0.308098, -0.31591, -0.451756, -0.48426, -0.52036, -0.537214, -0.501504, -0.452243, -0.350604, -0.297977, -0.136519, -0.20123, -0.154176, 0.182049, 0.612287, 0.898365, 1.26561, 1.94961, 3.96226, 20.3378, 20.2932, 20.1975, 20.1242, 20.0251, 19.9236, 19.8107, 19.7226, 19.6111, 19.4636, 19.3255, 19.2097, 19.1018, 18.882, 18.7485, 18.4738, 18.279, 18.0735, 17.8664, 19.0659
9, 0.663013, 0.177027, 0.0343872, 0.107854, -0.0808663, -0.0661869, -0.055138, -0.137824, -0.124923, -0.0745481, -0.174658, -0.215143, -0.0168432, -0.144471, -0.132154, -0.115418, -0.185071, -0.0371968, -0.195163, -0.22221, -0.227637, -0.231471, -0.364306, -0.253791, -0.17587, -0.323389, -0.279683, -0.39087, -0.387421, -0.360273, -0.277148, -0.383344, -0.400723, -0.286195, -0.619059, -0.303545, -0.166207, 0.352195, 0.145109, 1.02619
10, -0.666374, -0.438667, -0.313875, -0.240675, -0.107832, -0.0552336, 0.0295159, 0.222709, 0.244369, 0.350248, 0.383894, 0.444336, 0.53001, 0.619505, 0.649076, 0.649396, 0.599443, 0.587295, 0.688705, 0.644319, 0.818006, 0.945721, 1.05239, 0.961101, 1.21523, 1.07225, 1.2497, 1.33962, 1.42881, 1.45414, 1.43617, 1.29936, 1.5363, 1.66477, 1.87608, 1.79555, 2.04259, 2.93568, 17.6427, 18.8423
11, -0.537118, -0.386516, -0.329744, -0.231568, -0.165439, -0.105641, -0.0223177, 0.048107, 0.10433, 0.19792, 0.278053, 0.358558, 0.439671, 0.480686, 0.522764, 0.480919, 0.600124, 0.531232, 0.591641, 0.583587, 0.579116, 0.59102, 0.661438, 0.861537, 0.729488, 0.856023, 0.814685, 0.945407, 0.992615, 0.996076, 1.32059, 1.50434, 1.20885, 1.42792, 1.42501, 1.35617, 1.88351, 1.56677, 2.51236, 5.50366
12, 2.88885, 1.98365, 1.765, 1.3196, 1.20959, 1.09702, 0.816093, 0.706213, 0.53193, 0.391445, 0.276187, 0.129726, 0.107569, -0.055195, -0.181762, -0.221812, -0.332793, -0.448073, -0.571768, -0.643791, -0.714065, -0.783006, -0.842898, -0.954497, -1.03379, -1.1474, -1.13381, -1.20412, -1.23589, -1.279, -1.35416, -1.34383, -1.39218, -1.44371, -1.49205, -1.5852, -1.5698, -1.69625, -1.55924, -1.20572
13, -0.436721, -0.193925, -0.132241, -0.0229205, -0.090714, -0.0393548, -0.00354955, -0.00434751, 0.0969445, 0.0666634, 0.29221, 0.300135, 0.245424, 0.39714, 0.256433, 0.319513, 0.464464, 0.366424, 0.228596, 0.389899, 0.388176, 0.379888, 0.444574, 0.339218, 0.229596, 0.273628, 0.519078, 0.466105, 0.428732, 0.425802, 0.310163, 0.36767, 0.574858, 0.81764, 0.426279, 0.677688, 0.15747, 0.444429, 0.843478, 1.75533
14, -0.443978, -0.390679, -0.388727, -0.241132, -0.19244, -0.136258, -0.0653018, 0.00325362, 0.113824, 0.173553, 0.239517, 0.466809, 0.481369, 0.449219, 0.623261, 0.547154, 0.729826, 0.633178, 0.788526, 0.664031, 0.613453, 0.59313, 0.663185, 0.656008, 0.675416, 0.684755, 0.305844, 0.4013, 0.470702, 0.565922, 0.43886, 0.505417, 0.556128, 0.305515, 0.318587, 0.423392, 0.228597, 0.131293, 0.435032, 0.568219
15, 0.5825, 0.202324, 0.0776768, 0.0722706, 0.0205144, -0.0910926, -0.17361, -0.144132, -0.269561, -0.168975, -0.323877, -0.308239, -0.274608, -0.333689, -0.377587, -0.415377, -0.389745, -0.421053, -0.476929, -0.412001, -0.448015, -0.399025, -0.340254, -0.0719873, -0.00507778, 0.316813, 0.417206, 0.804035, 1.14314, 1.91192, 4.33876, 18.7316, 18.6238, 18.4039, 18.2704, 17.9957, 17.8009, 17.5954, 17.3883, 18.5878
16, 0.182907, -0.0164685, -0.147121, -0.15394, -0.208574, -0.24965, -0.230478, -0.364329, -0.333337, -0.390576, -0.376945, -0.376029, -0.384214, -0.289792, -0.232154, -0.215673, -0.0678627, 0.0230845, 0.0333532, 0.0679407, 0.0956932, 0.348831, 0.440386, 0.635383, 0.961115, 1.17158, 1.48667, 2.07815, 3.49814, 19.2456, 19.1075, 18.9917, 18.8838, 18.664, 18.5304, 18.2558, 18.061, 17.8554, 17.6484, 18.8479
17, 0.166005, -0.0260336, 0.0163525, -0.0793681, -0.112856, -0.142978, -0.145036, -0.194451, -0.190319, -0.225412, -0.215046, -0.214663, -0.33146, -0.348255, -0.400704, -0.359601, -0.303285, -0.104061, -0.127382, 0.0223103, 0.0794655, 0.225198, 0.203846, 0.278778, 0.50088, 0.53105, 0.769765, 0.887145, 1.09302, 1.23722, 1.89403, 2.80789, 4.30943, 18.5983, 18.4647, 18.19, 17.9952, 17.7897, 17.5826, 18.7822
18, 0.0538032, -0.187605, -0.309762, -0.321201, -0.3696, -0.274175, -0.157635, -0.178159, -0.162591, -0.056937, 0.0556086, 0.0945216, 0.399788, 0.208111, 0.3823, 0.306477, 0.240095, 0.436701, 0.311357, 0.319372, 0.493059, 0.512942, 0.352747, 0.398826, 0.519303, 0.1982, 0.497785, 0.148994, 0.159402, -0.0421754, 0.125094, -0.0142015, -0.232095, -0.294308, -0.240628, -0.454688, -0.402624, -0.333704, -0.731845, -1.1504
19, 0.269614, -0.135873, -0.17265, -0.210422, -0.205649, -0.180179, -0.207477, -0.279425, -0.165749, -0.186603, -0.0832806, -0.0296245, 0.0546931, 0.0545158, 0.137403, 0.152527, 0.24212, 0.106675, 0.20198, 0.201443, 0.289793, 0.182372, 0.207831, 0.143184, 0.129864, 0.101772, 0.0790711, 0.0659698, -0.0633162, -0.0378729, -0.125796, -0.116397, -0.100238, -0.0754806, -0.232823, -0.542193, -0.508147, -0.435461, -0.661239, -0.719741
20, -0.660944, -0.413309, -0.298251, -0.258703, -0.141915, -0.0302228, 0.0435385, 0.108017, 0.169539, 0.22317, 0.255624, 0.344391, 0.382495, 0.443886, 0.491686, 0.459579, 0.537626, 0.583954, 0.766722, 0.953225, 1.07448, 1.09263, 1.14114, 1.28835, 1.3478, 1.37097, 1.70874, 1.89001, 1.93572, 2.23716, 2.50451, 3.18725, 5.27658, 5.05674, 18.7387, 18.464, 18.2692, 18.0637, 17.8566, 19.0562
