AA, SS, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36
1, 1, -3.42626, -1.26532, 0.320042, 1.46041, 1.99609, 2.13817, 2.20934, 2.23424, 2.34993, 2.83898, 3.75527, 4.01763, 3.42985, 3.87787, 5.06746, 6.32022, 20.8289, 6.32022, 7.01337, 20.8289, 7.01337, 7.01337, 20.8289, 7.01337, 6.32022, 7.01337, 7.01337, 20.8289, 20.8289, 20.8289, 20.8289, 20.8289, 20.8289, 20.8289, 20.8289, 20.8289
1, 2, -2.2213, -2.16199, -2.02077, -1.6369, -1.07021, -0.290675, 0.622436, 1.40984, 3.22513, 4.76557, 5.17104, 5.17104, 5.17104, 3.91827, 3.46629, 3.22513, 3.09159, 3.5616, 3.66696, 3.29923, 4.47789, 5.17104, 19.6797, 5.17104, 19.6797, 19.6797, 19.6797, 5.17104, 4.25475, 4.47789, 3.91827, 5.86418, 5.86418, 5.86418, 19.6797, 19.6797
1, 3, -2.51761, -2.28403, -1.67869, -0.964895, -0.39102, -0.0992139, 0.187288, 0.588047, 1.21754, 2.09919, 2.26046, 2.45283, 1.41138, 1.13716, 1.2859, 1.92399, 2.59944, 3.80927, 4.44526, 4.56305, 4.56305, 4.00343, 4.24459, 4.44526, 4.69658, 4.07754, 4.00343, 4.07754, 5.94934, 20.458, 20.458, 6.64249, 20.458, 20.458, 20.458, 20.458
2, 1, -3.35743, -1.43502, -0.528195, 0.568278, 1.27433, 1.78949, 2.10659, 2.72776, 3.26676, 3.53869, 5.21267, 4.36537, 3.17579, 4.0087, 4.23184, 4.70184, 4.36537, 6.31128, 20.1268, 6.31128, 20.1268, 20.1268, 20.1268, 20.1268, 5.61813, 20.1268, 20.1268, 20.1268, 20.1268, 20.1268, 20.1268, 20.1268, 20.1268, 20.1268, 20.1268, 20.1268
2, 2, -2.48015, -2.24258, -1.88017, -1.32954, -0.922918, 0.0498137, 1.24006, 2.5965, 2.65712, 3.63795, 19.2452, 19.2452, 4.3311, 4.73656, 3.12713, 2.33867, 2.72166, 2.79065, 3.35027, 3.12713, 19.2452, 19.2452, 19.2452, 5.42971, 19.2452, 19.2452, 19.2452, 19.2452, 5.42971, 19.2452, 19.2452, 19.2452, 19.2452, 19.2452, 19.2452, 19.2452
2, 3, -2.30438, -2.1291, -1.83285, -1.38719, -0.808302, -0.374205, 0.0693201, 0.9059, 2.03482, 2.65386, 2.42502, 2.05032, 1.34939, 0.820133, 0.625708, 1.13403, 1.9751, 2.84191, 3.7243, 4.12976, 4.59977, 4.59977, 5.11059, 5.51606, 5.11059, 5.51606, 4.82291, 3.81131, 20.0247, 6.2092, 20.0247, 20.0247, 20.0247, 20.0247, 20.0247, 20.0247
3, 1, -3.2896, -1.77015, -0.464581, 0.426031, 0.967042, 2.2038, 1.93718, 2.23198, 4.17789, 3.99556, 3.70788, 3.30242, 2.69628, 2.45512, 3.22237, 4.40103, 5.78732, 5.78732, 19.6028, 19.6028, 19.6028, 19.6028, 19.6028, 5.78732, 19.6028, 19.6028, 19.6028, 19.6028, 19.6028, 19.6028, 19.6028, 19.6028, 19.6028, 19.6028, 19.6028, 19.6028
3, 2, -2.48273, -2.27317, -1.84621, -1.38827, -0.510311, 0.380662, 1.41865, 1.80952, 2.9991, 4.94501, 4.94501, 3.8464, 4.25186, 2.86557, 1.76696, 1.38966, 1.72613, 1.76696, 2.1118, 2.54711, 3.8464, 4.94501, 3.8464, 18.7605, 4.94501, 18.7605, 18.7605, 4.94501, 4.94501, 4.25186, 18.7605, 18.7605, 4.94501, 18.7605, 18.7605, 18.7605
3, 3, -2.3101, -2.0865, -1.574, -1.20499, -0.734279, -0.214171, 0.0880087, 0.617703, 1.31882, 1.59853, 1.49317, 1.17732, 0.594172, 0.265203, -0.0999434, 0.338989, 0.951401, 1.72229, 2.36294, 3.31392, 3.6214, 4.35537, 4.89437, 4.76084, 5.74167, 5.45398, 4.64305, 5.23084, 5.45398, 4.64305, 20.6558, 6.84028, 20.6558, 20.6558, 20.6558, 20.6558
4, 1, -3.29866, -1.87603, -0.265965, 0.895928, 1.79478, 2.25741, 2.47566, 2.50035, 2.82194, 3.88665, 5.09062, 4.10979, 3.35602, 3.14471, 3.70433, 3.70433, 5.49609, 5.09062, 6.18923, 6.18923, 20.0047, 6.18923, 20.0047, 20.0047, 20.0047, 20.0047, 20.0047, 20.0047, 20.0047, 20.0047, 20.0047, 20.0047, 20.0047, 20.0047, 20.0047, 20.0047
