AA, SS, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36
1, 1, -0.583959, 0.778363, 1.7949, 2.40335, 2.31031, 1.80318, 1.2459, 0.706039, 0.185641, 0.173806, 0.815133, 1.20295, 1.06503, 1.90374, 3.35828, 4.48123, 18.6773, 3.72611, 4.20234, 17.8727, 3.72169, 3.6093, 17.2843, 3.47262, 2.94973, 3.44445, 3.37453, 16.8597, 16.7874, 16.747, 16.5694, 16.5405, 16.4005, 16.2834, 16.0207, 14.8477
1, 2, 0.621002, -0.118307, -0.54591, -0.693958, -0.755989, -0.625662, -0.341006, -0.118367, 1.06084, 2.1004, 2.2309, 2.35635, 2.80622, 1.94414, 1.75711, 1.38614, 0.939979, 0.967485, 0.85593, 0.343042, 1.18621, 1.76697, 16.1352, 1.63029, 16.3092, 16.1108, 16.0409, 1.20183, 0.213223, 0.395979, -0.341197, 1.5758, 1.43577, 1.31876, 14.8716, 13.6985
1, 3, 0.324693, -0.240351, -0.203832, -0.0219543, -0.076795, -0.434201, -0.776154, -0.940156, -0.946749, -0.565981, -0.679676, -0.361856, -0.953437, -0.836977, -0.423275, 0.0850003, 0.44782, 1.21516, 1.63423, 1.60685, 1.27137, 0.599366, 0.70005, 0.904515, 1.32608, 0.50862, 0.364591, 0.108336, 1.90782, 16.3761, 16.1985, 2.3541, 16.0296, 15.9126, 15.6499, 14.4768
2, 1, -0.515128, 0.60866, 0.946664, 1.51122, 1.58855, 1.45451, 1.14315, 1.19956, 1.10247, 0.873519, 2.27253, 1.55068, 0.810972, 2.03456, 2.52266, 2.86286, 2.21376, 3.71717, 17.3158, 3.35509, 16.8351, 16.7227, 16.5822, 16.586, 2.24764, 16.5579, 16.488, 16.1576, 16.0853, 16.0449, 15.8673, 15.8384, 15.6984, 15.5814, 15.3187, 14.1456
2, 2, 0.36216, -0.198902, -0.405311, -0.386604, -0.608694, -0.285173, 0.276614, 1.06829, 0.492836, 0.972779, 16.3051, 16.4305, 1.96628, 2.76243, 1.41795, 0.499681, 0.570045, 0.196541, 0.53924, 0.170934, 15.9535, 15.8412, 15.7007, 1.88896, 15.8747, 15.6763, 15.6064, 15.276, 1.38819, 15.1633, 14.9858, 14.9568, 14.8168, 14.6998, 14.4371, 13.264
2, 3, 0.537923, -0.0854217, -0.357993, -0.444247, -0.494077, -0.709192, -0.894122, -0.622304, -0.129469, -0.0113163, -0.515121, -0.764366, -1.01542, -1.154, -1.08347, -0.704957, -0.176517, 0.247796, 0.913269, 1.17357, 1.30809, 1.1957, 1.56605, 1.97531, 1.7401, 1.94714, 1.18407, -0.157892, 15.9832, 2.12729, 15.7652, 15.7363, 15.5963, 15.4793, 15.2166, 14.0435
3, 1, -0.447295, 0.27353, 1.01028, 1.36897, 1.28127, 1.86882, 0.973734, 0.703772, 2.0136, 1.33039, 0.767746, 0.487729, 0.331466, 0.480987, 1.5132, 2.56204, 3.63571, 3.19321, 16.7918, 16.6466, 16.3112, 16.1988, 16.0583, 2.24658, 16.2323, 16.0339, 15.964, 15.6336, 15.5613, 15.5209, 15.3434, 15.3145, 15.1744, 15.0574, 14.7947, 13.6216
3, 2, 0.359576, -0.229488, -0.371352, -0.44533, -0.196087, 0.0456746, 0.455207, 0.281312, 0.834814, 2.27984, 2.00487, 1.03171, 1.88705, 0.891436, 0.05778, -0.449326, -0.425482, -0.827157, -0.699233, -0.409078, 0.554718, 1.54095, 0.301856, 15.2198, 1.57452, 15.1916, 15.1217, 0.975808, 0.903488, 0.169952, 14.501, 14.4721, 0.516599, 14.2151, 13.9524, 12.7793
3, 3, 0.532206, -0.0428246, -0.0991358, -0.262048, -0.420055, -0.549157, -0.875433, -0.910501, -0.845468, -1.06664, -1.44696, -1.63737, -1.77064, -1.70893, -1.80912, -1.5, -1.20021, -0.871828, -0.448087, 0.357727, 0.329724, 0.951309, 1.34983, 1.22009, 2.37117, 1.88507, 1.00422, 1.26164, 1.41246, 0.561144, 16.3963, 2.5519, 16.2274, 16.1104, 15.8477, 14.6746
4, 1, -0.456358, 0.167648, 1.20889, 1.83887, 2.10901, 1.92242, 1.51222, 0.97215, 0.657651, 1.22148, 2.15049, 1.2951, 0.991205, 1.17058, 1.99515, 1.86534, 3.34447, 2.49651, 3.3782, 3.23304, 16.7131, 2.78517, 16.4602, 16.464, 16.6343, 16.4358, 16.3659, 16.0355, 15.9632, 15.9228, 15.7453, 15.7164, 15.5763, 15.4593, 15.1966, 14.0235
4, 2, 0.445858, -0.235748, -0.419786, -0.405744, -0.463306, -0.600758, -0.153696, 0.353126, 0.538024, 1.33642, 0.773775, 1.59237, 2.04224, 0.561124, 0.82608, 0.863322, 0.00415056, 0.0211854, 0.497417, 1.0454, 1.80853, 15.5117, 1.55566, 15.375, 15.5452, 15.3468, 1.46137, 14.9465, 1.05868, 14.8338, 14.6562, 0.811823, 0.671794, -0.138369, -0.401078, 12.9345
4, 3, 0.353315, -0.129388, -0.256724, -0.227091, -0.285216, -0.429154, -0.608832, -0.595515, -0.420668, -0.51064, -0.376031, -0.797776, -0.776899, -1.01947, -1.03662, -0.788517, -0.268235, 0.101761, 0.780229, 1.11199, 1.72096, 1.06958, 1.62225, 1.62605, 1.28548, 1.7802, 0.92182, 1.19759, 1.53074, 2.87664, 16.5146, 16.4857, 16.3457, 16.2286, 15.9659, 14.7929
5, 1, -0.387358, 0.233901, 0.80977, 1.09, 0.752638, 1.0271, 0.260491, 0.133985, 1.10734, 0.606454, 0.619173, -0.554662, -0.00947937, 0.737879, 1.56245, 2.81893, 16.3218, 15.8793, 15.6624, 15.5172, 15.1818, 15.0694, 14.9289, 14.9327, 15.1029, 14.9045, 1.01908, 14.5042, 14.4319, 14.3915, 14.214, 14.185, 14.045, 13.928, 13.6653, 12.4922
5, 2, 0.411245, -0.10221, -0.380743, -0.608451, -0.870339, -0.286991, 0.0788064, 0.822378, 1.79573, 15.8035, 15.5285, 15.654, 16.1039, 16.4945, 1.5577, 0.616954, 1.8084, 0.672759, 1.14899, 0.598362, 0.262875, 15.0646, 14.9241, 14.9279, 15.0982, 14.8998, 14.8298, 14.4995, 14.4272, -0.121891, 14.2092, 14.1803, 14.0403, 13.9232, 13.6605, 12.4875
5, 3, 0.677932, -0.0512724, -0.487813, -0.56364, -0.712621, -0.702133, -0.78971, -0.803295, 0.413007, 1.29841, 2.40975, 1.84205, -0.150428, -0.751385, -0.716003, -0.751786, -0.862177, -1.23322, -0.756985, 1.0074, 2.0582, 15.7613, 1.11219, 1.11599, 15.7949, 1.78096, -0.0807166, 1.38068, 1.30836, 0.574824, 14.9059, 14.877, 14.737, 14.62, 14.3573, 13.1842
