AA, SS, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36
1, 1, -3.42361, -1.27063, 0.318069, 1.37715, 1.93782, 2.08092, 2.13357, 2.17027, 2.30514, 2.86342, 3.6861, 3.72958, 3.54726, 3.89866, 4.89719, 6.14995, 6.43763, 6.8431, 6.8431, 21.3518, 7.53625, 6.43763, 21.3518, 6.8431, 6.14995, 6.8431, 6.8431, 21.3518, 21.3518, 21.3518, 21.3518, 21.3518, 21.3518, 21.3518, 21.3518, 21.3518
1, 2, -2.25309, -2.19474, -1.98597, -1.58972, -1.03819, -0.297921, 0.611159, 1.50964, 2.89594, 3.85735, 5.03601, 5.32369, 5.03601, 4.0244, 3.64971, 3.1642, 3.37778, 3.64971, 3.85735, 3.58909, 4.81286, 5.03601, 5.72915, 5.32369, 6.4223, 6.4223, 5.72915, 5.32369, 4.22507, 4.34286, 4.22507, 5.03601, 5.32369, 6.4223, 6.4223, 6.4223
1, 3, -2.51797, -2.25694, -1.67504, -0.9891, -0.442077, -0.175603, 0.135935, 0.501156, 1.14483, 2.0525, 2.38407, 2.47342, 1.50789, 1.17754, 1.3717, 1.87325, 2.66891, 3.5909, 4.10172, 4.5813, 4.5813, 4.25588, 4.5813, 4.4382, 4.4382, 4.25588, 4.20181, 4.37366, 6.04763, 20.9618, 7.14625, 6.4531, 20.9618, 20.9618, 20.9618, 20.9618
2, 1, -3.35632, -1.46714, -0.421072, 0.585806, 1.22116, 1.69406, 2.09662, 2.47211, 3.08036, 3.40757, 5.23212, 3.89712, 3.15268, 3.62268, 4.2025, 5.0498, 4.53897, 6.14841, 6.84156, 6.84156, 20.6571, 20.6571, 20.6571, 20.6571, 5.74294, 20.6571, 20.6571, 20.6571, 20.6571, 20.6571, 20.6571, 20.6571, 20.6571, 20.6571, 20.6571, 20.6571
2, 2, -2.45982, -2.28146, -1.88648, -1.35225, -0.833213, 0.0960484, 1.16889, 2.64289, 2.99956, 4.09817, 19.8596, 19.8596, 4.43465, 4.94547, 3.21087, 2.64289, 2.23742, 2.82521, 3.55918, 3.33603, 5.35094, 6.04408, 19.8596, 5.35094, 6.04408, 19.8596, 19.8596, 5.35094, 5.35094, 19.8596, 19.8596, 19.8596, 6.04408, 19.8596, 19.8596, 19.8596
2, 3, -2.29444, -2.13849, -1.85168, -1.40674, -0.838879, -0.380406, 0.139579, 0.967224, 1.96575, 2.49638, 2.44081, 2.14976, 1.51377, 1.02785, 0.750915, 1.23955, 1.81762, 2.58599, 3.65383, 4.34698, 4.79897, 4.44229, 4.79897, 5.13544, 5.13544, 5.64626, 4.44229, 4.25997, 6.05173, 6.74488, 20.5604, 20.5604, 20.5604, 20.5604, 20.5604, 20.5604
3, 1, -3.27476, -1.76554, -0.528269, 0.301813, 0.861429, 1.77772, 1.84834, 2.22971, 3.16401, 3.69011, 3.36468, 2.85386, 2.51739, 2.40491, 2.92285, 3.69011, 5.15644, 5.15644, 20.0706, 20.0706, 20.0706, 20.0706, 20.0706, 5.56191, 6.25506, 20.0706, 20.0706, 20.0706, 20.0706, 20.0706, 20.0706, 20.0706, 20.0706, 20.0706, 20.0706, 20.0706
3, 2, -2.47429, -2.28119, -1.83473, -1.33454, -0.518251, 0.157241, 1.25087, 1.84464, 3.15297, 4.06926, 4.06926, 3.84612, 3.6638, 2.62235, 1.74199, 1.39512, 1.46657, 1.95905, 2.15972, 2.41104, 4.35695, 4.06926, 4.06926, 19.2711, 4.76241, 4.76241, 19.2711, 4.76241, 4.06926, 4.76241, 19.2711, 19.2711, 5.45556, 19.2711, 19.2711, 19.2711
3, 3, -2.32364, -2.08515, -1.6033, -1.19695, -0.742628, -0.222768, 0.150684, 0.682107, 1.32261, 1.57173, 1.45395, 1.19971, 0.666021, 0.284783, -0.0103645, 0.371051, 0.971592, 1.7875, 2.44457, 3.29977, 3.70524, 4.34432, 4.89086, 4.80385, 5.34285, 5.67932, 4.51617, 4.39839, 5.67932, 4.58071, 7.28876, 7.28876, 7.28876, 21.1043, 21.1043, 21.1043
4, 1, -3.30265, -1.82245, -0.305405, 0.794125, 1.66465, 2.11382, 2.18872, 2.24588, 2.73728, 3.46965, 4.38594, 3.85531, 3.16217, 2.92733, 3.39269, 4.20362, 4.89677, 5.30223, 6.68853, 6.68853, 20.504, 6.68853, 6.68853, 20.504, 20.504, 20.504, 20.504, 20.504, 20.504, 20.504, 20.504, 20.504, 20.504, 20.504, 20.504, 20.504
