AA, SS, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36
1, 1, -0.573938, 0.76872, 1.78325, 2.30922, 2.25388, 1.76141, 1.17542, 0.641981, 0.145785, 0.204896, 0.733158, 0.889051, 1.15037, 1.90834, 3.11235, 4.24704, 4.2591, 4.25833, 4.01549, 18.3228, 4.22318, 3.01369, 17.8061, 3.33728, 2.73727, 3.23216, 3.17174, 17.4459, 17.2745, 17.2287, 17.1062, 17.0436, 16.9752, 16.86, 16.5, 15.4815
1, 2, 0.596577, -0.155391, -0.520792, -0.657652, -0.722134, -0.617434, -0.34699, -0.0186439, 0.736587, 1.19883, 2.08307, 2.48316, 2.63911, 2.03409, 1.86488, 1.26129, 1.19924, 1.06494, 1.02975, 0.560117, 1.49979, 1.61206, 2.18351, 1.81787, 3.00962, 2.81136, 2.05779, 1.41781, 0.147822, 0.219755, -0.0205138, 0.727896, 0.947161, 1.93058, 1.57058, 0.552006
1, 3, 0.331703, -0.217595, -0.209863, -0.0570334, -0.12602, -0.495116, -0.822213, -1.02713, -1.01452, -0.606024, -0.568866, -0.367114, -0.889003, -0.812778, -0.41314, -0.0296617, 0.490376, 1.00613, 1.27412, 1.55233, 1.26823, 0.831934, 1.03565, 0.932379, 1.02552, 0.644938, 0.530447, 0.467783, 1.97038, 16.8387, 2.90066, 2.14499, 16.5852, 16.47, 16.11, 15.0915
2, 1, -0.506646, 0.572212, 1.04411, 1.51787, 1.53721, 1.37455, 1.13848, 0.94382, 0.921004, 0.749048, 2.27918, 1.05658, 0.755781, 1.63236, 2.41766, 3.14689, 2.36044, 3.56364, 4.01395, 3.81259, 17.344, 17.2331, 17.1114, 17.1512, 2.33026, 17.0461, 16.9857, 16.7512, 16.5798, 16.534, 16.4115, 16.349, 16.2805, 16.1653, 15.8053, 14.7868
2, 2, 0.389848, -0.242117, -0.421303, -0.420186, -0.517156, -0.223465, 0.210738, 1.1146, 0.840209, 1.43965, 16.9067, 17.0191, 2.03775, 2.95515, 1.42603, 0.739977, 0.0588866, 0.240441, 0.731572, 0.307064, 2.03787, 2.62014, 16.3139, 1.84512, 2.6314, 16.2487, 16.1882, 1.44506, 1.27368, 15.7365, 15.614, 15.5515, 1.66756, 15.3679, 15.0079, 13.9893
2, 3, 0.555232, -0.0991383, -0.386503, -0.474678, -0.522823, -0.69992, -0.81857, -0.561064, -0.193599, -0.162139, -0.512128, -0.690775, -0.883127, -0.962469, -1.03392, -0.663364, -0.360911, 0.00122705, 0.826229, 1.31801, 1.4859, 1.01835, 1.25332, 1.62962, 1.72276, 2.03533, 0.77093, 0.354095, 1.97448, 2.62177, 16.3148, 16.2523, 16.1839, 16.0687, 15.7087, 14.6901
3, 1, -0.425085, 0.273805, 0.936911, 1.23388, 1.17749, 1.45821, 0.890189, 0.701416, 1.00466, 1.03159, 0.411746, 0.0133272, 0.120492, 0.414591, 1.13802, 1.7872, 2.97791, 2.57168, 17.243, 17.0416, 16.7575, 16.6466, 16.5249, 2.05609, 2.84238, 16.4596, 16.3992, 16.1647, 15.9933, 15.9475, 15.825, 15.7625, 15.694, 15.5788, 15.2188, 14.2003
3, 2, 0.375382, -0.241837, -0.369555, -0.402472, -0.202194, -0.162272, 0.292717, 0.316352, 0.993621, 1.41074, 1.11632, 1.00559, 1.2669, 0.632027, -0.0428487, -0.507794, -0.71196, -0.625716, -0.667883, -0.617933, 1.04388, 0.645322, 0.523618, 15.7653, 1.34973, 1.15147, 15.5997, 0.856536, -0.00798929, 0.639308, 15.0255, 14.963, 1.07903, 14.7793, 14.4193, 13.4008
3, 3, 0.526028, -0.045799, -0.138125, -0.264879, -0.426572, -0.542281, -0.807465, -0.846182, -0.836742, -1.08679, -1.49899, -1.64082, -1.73087, -1.70553, -1.7952, -1.53186, -1.20694, -0.797268, -0.383035, 0.270804, 0.392171, 0.920376, 1.34522, 1.29803, 1.93017, 2.06838, 0.844807, 0.49251, 1.60207, 0.457604, 3.04317, 2.98065, 2.91223, 16.6125, 16.2525, 15.234
4, 1, -0.45298, 0.216902, 1.15977, 1.72619, 1.9807, 1.7943, 1.23057, 0.717588, 0.577932, 0.811131, 1.433, 1.01478, 0.765272, 0.93701, 1.60786, 2.30071, 2.71823, 2.71747, 3.86092, 3.65956, 17.191, 3.26459, 3.14288, 16.9982, 17.0914, 16.8931, 16.8327, 16.5982, 16.4268, 16.3809, 16.2584, 16.1959, 16.1275, 16.0123, 15.6523, 14.6337
