AA, SS, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36
1, 1, -3.45324, -1.07846, 0.657309, 1.80669, 2.18139, 2.49984, 1.71708, 2.05355, 2.09438, 2.78752, 5.27243, 3.32652, 3.88614, 3.88614, 5.27243, 19.0879, 19.0879, 19.0879, 19.0879, 19.0879, 19.0879, 19.0879, 19.0879, 19.0879, 19.0879, 19.0879, 19.0879, 19.0879, 19.0879, 19.0879, 19.0879, 19.0879, 19.0879, 19.0879, 19.0879, 19.0879
1, 2, -2.27347, -2.34943, -1.97058, -1.42229, -0.870219, -0.267586, 0.821457, 2.43089, 3.27819, 2.58505, 4.3768, 18.1923, 4.3768, 18.1923, 4.3768, 4.3768, 4.3768, 3.68366, 18.1923, 4.3768, 18.1923, 18.1923, 18.1923, 4.3768, 18.1923, 4.3768, 4.3768, 18.1923, 18.1923, 18.1923, 18.1923, 18.1923, 4.3768, 18.1923, 18.1923, 18.1923
1, 3, -2.52105, -2.17393, -1.66645, -1.12433, -0.497372, -0.345972, 0.0428058, 0.229392, 1.328, 1.94704, 3.60527, 2.68898, 1.55758, 1.27799, 1.38065, 1.62427, 3.89295, 3.60527, 3.89295, 3.89295, 4.99157, 18.8071, 4.99157, 4.29842, 18.8071, 4.99157, 4.29842, 4.99157, 18.8071, 18.8071, 18.8071, 18.8071, 18.8071, 18.8071, 18.8071, 18.8071
2, 1, -3.38438, -1.38854, -0.0307424, 0.629253, 0.874375, 2.15531, 1.97299, 2.51198, 3.76475, 3.76475, 18.2734, 3.76475, 2.84846, 4.45789, 18.2734, 18.2734, 3.76475, 18.2734, 4.45789, 18.2734, 18.2734, 18.2734, 18.2734, 18.2734, 18.2734, 18.2734, 18.2734, 18.2734, 18.2734, 18.2734, 18.2734, 18.2734, 18.2734, 18.2734, 18.2734, 18.2734
2, 2, -2.45801, -2.39921, -1.91104, -1.26732, -0.472754, 0.278213, 1.53098, 4.01588, 17.8314, 17.8314, 17.8314, 17.8314, 4.01588, 17.8314, 4.01588, 4.01588, 1.37683, 2.91727, 17.8314, 3.32274, 17.8314, 17.8314, 17.8314, 17.8314, 17.8314, 17.8314, 17.8314, 17.8314, 17.8314, 17.8314, 17.8314, 17.8314, 17.8314, 17.8314, 17.8314, 17.8314
2, 3, -2.27536, -2.14674, -1.91468, -1.43629, -0.831401, -0.485754, 0.226938, 1.19038, 2.61176, 2.25509, 2.25509, 2.25509, 2.07276, 1.19038, 1.29957, 1.61323, 1.3388, 2.76591, 18.3732, 4.55767, 18.3732, 3.45906, 4.55767, 18.3732, 4.55767, 18.3732, 18.3732, 4.55767, 4.55767, 18.3732, 18.3732, 18.3732, 18.3732, 18.3732, 18.3732, 18.3732
3, 1, -3.23003, -1.7319, -0.593358, -0.136599, 0.409944, 1.26739, 2.11469, 2.11469, 1.82701, 3.2133, 3.2133, 1.96054, 1.82701, 1.82701, 2.11469, 2.52016, 17.722, 3.90645, 17.722, 17.722, 17.722, 17.722, 17.722, 17.722, 17.722, 17.722, 17.722, 17.722, 17.722, 17.722, 17.722, 17.722, 17.722, 17.722, 17.722, 17.722
3, 2, -2.45758, -2.3556, -1.83656, -1.16382, -0.152224, -0.152224, 1.0334, 1.35185, 17.2468, 3.4313, 3.4313, 2.73815, 2.73815, 2.73815, 2.73815, 2.045, 0.946389, 3.4313, 1.48539, 2.045, 17.2468, 3.4313, 17.2468, 17.2468, 3.4313, 17.2468, 17.2468, 17.2468, 2.73815, 17.2468, 17.2468, 17.2468, 17.2468, 17.2468, 17.2468, 17.2468
3, 3, -2.39635, -2.05816, -1.68704, -1.1696, -0.736405, -0.183544, 0.443757, 0.991192, 1.63474, 1.66753, 1.33106, 1.33106, 0.894342, 0.341342, 0.148749, 0.443757, 0.80605, 2.12429, 2.98929, 3.68244, 3.45929, 18.8842, 5.06873, 5.06873, 5.06873, 18.8842, 3.97012, 18.8842, 18.8842, 4.37558, 18.8842, 18.8842, 18.8842, 18.8842, 18.8842, 18.8842
4, 1, -3.33255, -1.68443, -0.182669, 0.553038, 1.49131, 1.81673, 2.43577, 1.74262, 4.38168, 3.28307, 18.1972, 4.38168, 4.38168, 2.99538, 2.99538, 18.1972, 18.1972, 18.1972, 18.1972, 18.1972, 18.1972, 18.1972, 18.1972, 18.1972, 18.1972, 18.1972, 18.1972, 18.1972, 18.1972, 18.1972, 18.1972, 18.1972, 18.1972, 18.1972, 18.1972, 18.1972
