AA, SS, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36
1, 1, -0.610397, 0.966933, 2.14477, 2.75198, 2.49482, 2.21757, 0.703026, 0.489488, -0.150992, 0.12301, 2.26647, 0.369722, 1.41172, 1.884, 3.41793, 17.1357, 16.8955, 16.4639, 16.2295, 15.9451, 15.8569, 15.5916, 15.647, 15.722, 15.5595, 15.3732, 15.3165, 15.2386, 14.7775, 14.8857, 15.0177, 14.5895, 14.9717, 14.8465, 13.963, 13.1681
1, 2, 0.569369, -0.30404, -0.483126, -0.477001, -0.556789, -0.549853, -0.192598, 0.866828, 1.03282, -0.079468, 1.37085, 15.2355, 1.90239, 16.1902, 2.5223, 2.42454, 2.18436, 1.05964, 15.3338, 1.23399, 14.9613, 14.696, 14.7514, 1.01085, 14.6638, 0.662076, 0.605381, 14.3429, 13.8819, 13.9901, 14.122, 13.6938, 0.26054, 13.9509, 13.0674, 12.2725
1, 3, 0.321791, -0.128539, -0.178986, -0.179039, -0.183941, -0.628239, -0.971249, -1.33467, -0.917364, -0.71747, 0.599315, -0.267817, -0.916838, -0.724144, -0.473854, -0.327996, 1.70051, 0.98125, 1.03448, 0.750138, 1.76053, 15.3108, 1.55064, 0.93246, 15.2786, 1.27684, 0.526995, 1.14218, 14.4967, 14.6049, 14.7368, 14.3086, 14.6908, 14.5656, 13.6821, 12.8872
2, 1, -0.541542, 0.656844, 1.45672, 1.57454, 1.18781, 1.87304, 0.958932, 0.947918, 1.51938, 1.10023, 15.2674, 0.80795, 0.374039, 2.45576, 16.4189, 16.3211, 1.5723, 15.6494, 1.59942, 15.1306, 15.0424, 14.7771, 14.8325, 14.9074, 14.7449, 14.5587, 14.502, 14.424, 13.963, 14.0712, 14.2031, 13.7749, 14.1571, 14.032, 13.1485, 12.3535
2, 2, 0.384835, -0.353825, -0.423585, -0.322034, -0.159323, -0.00405421, 0.516921, 2.45182, 15.586, 15.1669, 14.8254, 14.8746, 1.54147, 15.8293, 2.16138, 2.06362, -0.815621, 0.293248, 14.9729, 0.17992, 14.6004, 14.3351, 14.3905, 14.4654, 14.3029, 14.1167, 14.06, 13.982, 13.521, 13.6292, 13.7611, 13.3329, 13.7151, 13.59, 12.7065, 11.9115
2, 3, 0.567482, -0.101354, -0.427217, -0.491003, -0.51797, -0.768021, -0.787118, -0.373691, 0.366393, -0.409427, -0.750871, -0.701711, -0.401652, -0.811763, -0.554927, -0.339034, -0.853651, 0.14189, 15.5147, 1.41486, 15.1421, -0.0372622, 1.11675, 15.0072, 1.02919, 14.6585, 14.6018, 0.708285, 0.247251, 14.171, 14.3029, 13.8747, 14.2569, 14.1318, 13.2483, 12.4533
3, 1, -0.387188, 0.313486, 0.894101, 0.808688, 0.723375, 0.985128, 1.10064, 0.550626, -0.418358, 0.548792, 0.207348, -0.996255, -0.647406, -0.175127, 0.260191, 0.567892, 15.5295, 1.28243, 14.8635, 14.5791, 14.4909, 14.2256, 14.281, 14.356, 14.1935, 14.0072, 13.9505, 13.8726, 13.4115, 13.5198, 13.6517, 13.2235, 13.6057, 13.4805, 12.597, 11.8021
3, 2, 0.385261, -0.310213, -0.349104, -0.218537, 0.161207, -0.434491, 0.0193451, -0.212212, 15.0014, 0.766782, 0.425339, -0.218649, 0.263732, 0.736011, 0.883647, 0.0927352, -1.24606, 0.807274, -1.37309, -1.09781, 14.0158, -0.0650254, 13.8059, 13.8808, -0.0971825, 13.5321, 13.4754, 13.3974, -1.57227, 13.0446, 13.1765, 12.7483, 13.1305, 13.0054, 12.1219, 11.327
3, 3, 0.44649, -0.0127722, -0.199581, -0.224308, -0.422975, -0.465811, -0.570298, -0.572874, -0.610626, -0.996981, -1.6749, -1.62574, -1.58007, -1.6608, -1.70575, -1.50851, -1.3864, -0.499731, 0.130815, 0.53962, 0.228252, 15.3879, 1.62781, 1.70277, 1.54025, 15.1695, 0.198693, 15.0349, 14.5738, 0.173376, 14.814, 14.3858, 14.768, 14.6428, 13.7593, 12.9644
4, 1, -0.489709, 0.36096, 1.30479, 1.49833, 1.80474, 1.53446, 1.42171, 0.178556, 2.13631, 0.618554, 15.1912, 1.42488, 1.90726, 0.993247, 1.14088, 16.2449, 16.0047, 15.5732, 15.3387, 15.0544, 14.9662, 14.7009, 14.7563, 14.8312, 14.6687, 14.4825, 14.4258, 14.3478, 13.8868, 13.995, 14.1269, 13.6987, 14.0809, 13.9558, 13.0723, 12.2773
