AA, SS, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36
1, 1, -3.40798, -1.33856, 0.220509, 1.13352, 1.76829, 1.87709, 2.16861, 2.09451, 2.29995, 2.9418, 3.34727, 3.45263, 3.70394, 3.94511, 4.55124, 5.64985, 5.24439, 20.1585, 6.343, 20.1585, 20.1585, 5.64985, 20.1585, 6.343, 5.64985, 6.343, 6.343, 20.1585, 20.1585, 20.1585, 20.1585, 20.1585, 20.1585, 20.1585, 20.1585, 20.1585
1, 2, -2.30292, -2.18398, -1.92272, -1.56354, -1.04278, -0.324363, 0.512491, 1.45177, 2.37976, 3.82668, 5.21297, 5.21297, 5.21297, 3.82668, 3.82668, 2.81508, 3.82668, 3.82668, 3.82668, 4.11436, 5.21297, 4.51982, 4.51982, 19.0285, 5.21297, 19.0285, 5.21297, 5.21297, 3.82668, 3.82668, 4.51982, 4.11436, 5.21297, 19.0285, 5.21297, 5.21297
1, 3, -2.51745, -2.2303, -1.67069, -0.980712, -0.522674, -0.254282, 0.0704688, 0.452052, 0.945333, 2.00139, 2.37608, 2.4386, 1.72945, 1.2282, 1.58213, 1.8836, 2.54038, 3.23353, 3.67536, 5.17944, 4.48629, 4.48629, 5.87259, 4.48629, 3.79315, 4.48629, 4.77397, 5.17944, 5.87259, 19.6881, 5.87259, 5.87259, 19.6881, 19.6881, 19.6881, 19.6881
2, 1, -3.34598, -1.54416, -0.298865, 0.606322, 1.24572, 1.45158, 2.11655, 2.11655, 2.70434, 3.13512, 5.00692, 3.39749, 3.21517, 3.06101, 3.90831, 5.70007, 5.70007, 5.70007, 19.5156, 19.5156, 19.5156, 19.5156, 19.5156, 19.5156, 5.70007, 19.5156, 19.5156, 19.5156, 19.5156, 19.5156, 19.5156, 19.5156, 19.5156, 19.5156, 19.5156, 19.5156
2, 2, -2.42607, -2.29418, -1.88689, -1.41973, -0.799192, 0.107375, 0.957364, 2.44275, 3.31822, 4.92766, 18.7432, 18.7432, 4.92766, 4.92766, 3.1359, 2.98175, 2.15507, 2.84821, 3.54136, 3.82904, 4.23451, 4.92766, 18.7432, 4.92766, 4.92766, 18.7432, 18.7432, 4.23451, 4.92766, 18.7432, 18.7432, 18.7432, 4.92766, 18.7432, 18.7432, 18.7432
2, 3, -2.28204, -2.15337, -1.86358, -1.43275, -0.898122, -0.350713, 0.255879, 1.01658, 1.69904, 2.33031, 2.55345, 2.33031, 1.72054, 1.52383, 0.857836, 1.34449, 1.76499, 2.18189, 3.2466, 4.85604, 4.85604, 4.85604, 4.45057, 4.45057, 5.54918, 5.54918, 3.75742, 19.3647, 5.54918, 19.3647, 19.3647, 19.3647, 19.3647, 19.3647, 19.3647, 19.3647
3, 1, -3.25591, -1.7665, -0.637928, 0.230268, 0.832065, 1.33761, 1.6079, 2.26715, 2.77798, 3.36576, 2.89576, 2.5773, 2.49029, 2.5773, 2.77798, 3.36576, 4.28205, 4.9752, 18.7907, 18.7907, 18.7907, 18.7907, 18.7907, 4.9752, 4.9752, 18.7907, 18.7907, 18.7907, 18.7907, 18.7907, 18.7907, 18.7907, 18.7907, 18.7907, 18.7907, 18.7907
3, 2, -2.4634, -2.26077, -1.80759, -1.28712, -0.674355, -0.081678, 1.04679, 2.34607, 3.03922, 3.44468, 3.44468, 17.9533, 3.44468, 2.19192, 1.42978, 1.19339, 1.30462, 2.05839, 3.03922, 2.34607, 17.9533, 3.44468, 4.13783, 17.9533, 17.9533, 3.44468, 17.9533, 4.13783, 4.13783, 17.9533, 17.9533, 17.9533, 17.9533, 17.9533, 17.9533, 17.9533
3, 3, -2.32522, -2.09312, -1.63813, -1.1881, -0.766021, -0.260208, 0.206468, 0.737428, 1.22223, 1.47093, 1.41377, 1.20405, 0.771915, 0.311459, 0.180237, 0.42464, 1.10956, 1.83604, 2.47959, 3.14099, 4.12182, 3.96767, 4.81497, 4.81497, 4.81497, 5.91358, 4.52728, 3.34863, 5.91358, 4.52728, 5.91358, 19.7291, 5.91358, 19.7291, 19.7291, 19.7291
4, 1, -3.30058, -1.74976, -0.417997, 0.691852, 1.49224, 1.96603, 1.72487, 2.02855, 2.37149, 2.97763, 3.51663, 3.38309, 2.68995, 2.57216, 3.06464, 19.278, 4.07624, 5.46254, 19.278, 19.278, 19.278, 19.278, 5.46254, 19.278, 19.278, 19.278, 19.278, 19.278, 19.278, 19.278, 19.278, 19.278, 19.278, 19.278, 19.278, 19.278
4, 2, -2.46328, -2.23466, -1.87287, -1.27198, -0.837317, -0.15522, 0.744722, 1.87073, 3.66249, 4.35564, 4.35564, 18.1712, 3.25703, 2.96935, 2.2762, 2.96935, 2.05305, 2.2762, 2.7462, 4.35564, 3.25703, 18.1712, 18.1712, 18.1712, 18.1712, 18.1712, 3.66249, 3.66249, 4.35564, 18.1712, 4.35564, 4.35564, 18.1712, 18.1712, 18.1712, 18.1712
4, 3, -2.44275, -2.18253, -1.73252, -1.1786, -0.6211, -0.137581, 0.337602, 0.791709, 1.55251, 1.96803, 2.5201, 1.75097, 1.387, 0.87957, 0.723963, 1.05174, 1.65788, 2.5201, 3.16195, 3.8551, 4.21177, 4.54825, 4.77139, 4.77139, 4.54825, 4.07824, 3.96046, 4.77139, 5.46454, 5.46454, 6.15768, 19.9732, 19.9732, 19.9732, 19.9732, 19.9732
5, 1, -3.26019, -1.68695, -0.6735, 0.0613197, 0.61563, 1.0211, 1.34652, 1.96556, 2.30203, 3.91147, 17.727, 17.727, 2.81286, 2.30203, 3.21832, 3.91147, 17.727, 17.727, 17.727, 17.727, 17.727, 17.727, 17.727, 17.727, 17.727, 17.727, 17.727, 17.727, 17.727, 17.727, 17.727, 17.727, 17.727, 17.727, 17.727, 17.727
5, 2, -2.37188, -2.25602, -1.88638, -1.46833, -0.852302, -0.382298, 0.703892, 2.05382, 17.8152, 17.8152, 17.8152, 17.8152, 17.8152, 17.8152, 3.30658, 2.61343, 3.99973, 2.20797, 2.90112, 3.30658, 17.8152, 3.99973, 17.8152, 17.8152, 3.99973, 17.8152, 17.8152, 17.8152, 17.8152, 17.8152, 17.8152, 17.8152, 17.8152, 17.8152, 17.8152, 17.8152
5, 3, -2.08716, -2.0511, -1.91733, -1.68652, -1.10687, -0.500021, -0.0378605, 0.680604, 1.70511, 3.24555, 18.1597, 3.24555, 2.39826, 1.70511, 1.04833, 1.01196, 1.51095, 2.55241, 3.24555, 3.24555, 3.65102, 3.65102, 18.1597, 18.1597, 18.1597, 18.1597, 3.65102, 4.34417, 18.1597, 3.65102, 18.1597, 18.1597, 18.1597, 18.1597, 18.1597, 18.1597
6, 1, -3.33419, -1.64243, -0.211029, 0.603262, 1.26656, 1.49708, 1.98956, 2.35057, 2.84701, 3.54015, 4.38745, 3.6943, 3.00116, 4.09977, 3.54015, 3.87663, 5.48606, 19.3016, 19.3016, 19.3016, 19.3016, 19.3016, 5.48606, 5.48606, 5.48606, 19.3016, 19.3016, 19.3016, 19.3016, 19.3016, 19.3016, 19.3016, 19.3016, 19.3016, 19.3016, 19.3016
6, 2, -2.41363, -2.26802, -1.86316, -1.44947, -0.91165, 0.127448, 0.889588, 1.96003, 2.36549, 18.2604, 4.44494, 18.2604, 4.44494, 3.75179, 3.75179, 2.65318, 2.49903, 2.04704, 4.44494, 4.44494, 4.44494, 4.44494, 18.2604, 18.2604, 4.44494, 18.2604, 18.2604, 18.2604, 18.2604, 4.44494, 4.44494, 18.2604, 4.44494, 18.2604, 18.2604, 18.2604
6, 3, -2.3793, -2.1956, -1.78155, -1.33465, -0.783024, -0.162254, 0.277579, 0.936358, 1.68508, 1.90822, 2.14938, 2.24469, 1.52685, 1.12955, 1.09729, 1.39028, 1.94459, 3.29451, 3.44866, 4.14181, 5.24042, 19.0559, 19.0559, 19.0559, 4.54728, 4.54728, 3.85413, 4.54728, 19.0559, 19.0559, 19.0559, 19.0559, 19.0559, 19.0559, 19.0559, 19.0559
7, 1, -3.3618, -1.55784, -0.113084, 0.709402, 1.61115, 1.69723, 2.4482, 2.35722, 2.92777, 3.88328, 4.79957, 3.78797, 3.29549, 2.92777, 4.10642, 6.18587, 5.08725, 6.18587, 20.0014, 5.49272, 20.0014, 6.18587, 20.0014, 5.08725, 20.0014, 20.0014, 20.0014, 20.0014, 20.0014, 20.0014, 20.0014, 20.0014, 20.0014, 20.0014, 20.0014, 20.0014
7, 2, -2.43144, -2.24078, -1.96068, -1.36804, -0.85296, 0.00557993, 1.13339, 2.45515, 3.33062, 3.55376, 4.94005, 18.7556, 4.24691, 3.33062, 3.33062, 4.94005, 2.86061, 2.63747, 3.33062, 3.84144, 3.84144, 4.24691, 18.7556, 18.7556, 18.7556, 4.94005, 4.24691, 4.24691, 4.94005, 18.7556, 4.94005, 18.7556, 4.94005, 18.7556, 18.7556, 18.7556
7, 3, -2.45947, -2.20161, -1.8019, -1.17875, -0.69385, -0.0148203, 0.419083, 0.83664, 1.73127, 1.99542, 2.1731, 2.06774, 1.49394, 1.17165, 1.36217, 1.45256, 2.29088, 2.98403, 3.81071, 3.67718, 19.5721, 5.75662, 4.65801, 5.06347, 4.37033, 4.65801, 4.37033, 4.65801, 19.5721, 5.75662, 19.5721, 19.5721, 19.5721, 19.5721, 19.5721, 19.5721
8, 1, -3.26275, -1.41286, -0.212399, 0.440628, 0.851727, 1.14507, 1.75121, 1.29168, 1.83822, 1.75121, 1.52807, 1.34575, 1.07912, 1.1226, 1.19159, 1.1226, 1.67117, 1.83822, 2.44436, 3.54297, 3.31983, 3.31983, 4.92926, 3.83065, 3.83065, 18.7448, 18.7448, 4.92926, 18.7448, 18.7448, 18.7448, 18.7448, 18.7448, 18.7448, 18.7448, 18.7448
8, 2, -1.99477, -1.71814, -1.52477, -1.1419, -0.810444, -0.437518, 0.0201333, 0.381923, 1.02506, 1.15511, 1.51976, 2.43605, 4.73863, 3.35234, 3.35234, 4.73863, 2.43605, 2.25373, 2.09957, 1.56058, 1.30464, 1.02506, 1.21227, 0.448173, 0.787388, 0.867431, 0.76834, 0.867431, 0.564245, 0.71328, 0.490137, 0.261295, 0.153665, 0.238822, 0.490137, 1.30464
8, 3, -2.26546, -1.85015, -1.28908, -0.770298, -0.453902, -0.100947, 0.253256, 0.471122, 0.642973, 0.844222, 1.13403, 1.32062, 1.12134, 0.732829, 0.718684, 0.421915, 0.3039, 0.318853, 0.351392, 0.522877, 0.741413, 0.791497, 0.873303, 0.927188, 0.879882, 1.08019, 1.27061, 1.36251, 1.70327, 1.79782, 1.96864, 2.12771, 2.43473, 2.49927, 3.06725, 3.88556
9, 1, -3.1873, -1.92063, -0.770966, 0.0543532, 0.449007, 1.17494, 1.14215, 2.17825, 2.37892, 3.18985, 3.88299, 3.47753, 2.63023, 2.27356, 2.9667, 4.57614, 4.57614, 4.57614, 4.57614, 18.3917, 18.3917, 18.3917, 4.57614, 18.3917, 18.3917, 18.3917, 18.3917, 18.3917, 18.3917, 18.3917, 18.3917, 18.3917, 18.3917, 18.3917, 18.3917, 18.3917
9, 2, -2.4007, -2.25708, -1.77786, -1.53288, -0.950127, -0.0914657, 0.824825, 2.61658, 3.12741, 18.0415, 18.0415, 18.0415, 4.22602, 3.53288, 3.12741, 2.83973, 2.14658, 2.0288, 3.53288, 2.61658, 3.53288, 18.0415, 18.0415, 3.53288, 18.0415, 18.0415, 18.0415, 3.53288, 4.22602, 18.0415, 18.0415, 4.22602, 18.0415, 4.22602, 18.0415, 18.0415
9, 3, -2.20492, -2.07898, -1.80637, -1.51397, -1.03518, -0.532164, 0.13411, 0.99156, 1.58292, 2.37785, 2.93747, 2.1837, 1.79804, 1.14571, 0.812219, 0.889777, 1.16676, 1.55118, 3.071, 3.9183, 3.9183, 3.63062, 5.01691, 4.32376, 18.8324, 5.01691, 3.40747, 4.32376, 3.9183, 5.01691, 18.8324, 18.8324, 18.8324, 18.8324, 18.8324, 18.8324
10, 1, -3.3263, -1.61558, -0.357764, 0.342501, 0.869327, 1.20097, 1.81841, 2.91702, 19.5051, 4.591, 4.99646, 5.68961, 4.99646, 19.5051, 4.30331, 5.68961, 19.5051, 19.5051, 4.99646, 19.5051, 5.68961, 19.5051, 19.5051, 19.5051, 19.5051, 5.68961, 19.5051, 19.5051, 19.5051, 19.5051, 19.5051, 19.5051, 19.5051, 19.5051, 19.5051, 19.5051
10, 2, -2.71928, -2.36981, -1.7449, -1.01937, -0.116271, 1.04404, 2.65347, 3.79861, 3.66507, 19.56, 5.74452, 19.56, 19.56, 5.74452, 19.56, 5.05137, 4.35822, 5.74452, 5.05137, 19.56, 5.05137, 19.56, 19.56, 19.56, 19.56, 19.56, 19.56, 19.56, 5.74452, 19.56, 19.56, 19.56, 19.56, 19.56, 19.56, 19.56
10, 3, -2.31476, -2.25463, -2.05396, -1.62328, -0.73598, 0.252968, 1.41902, 2.23578, 3.57078, 4.08161, 4.48707, 18.9957, 4.08161, 4.48707, 3.38846, 3.10078, 3.23431, 3.38846, 4.08161, 18.9957, 18.9957, 18.9957, 18.9957, 18.9957, 5.18022, 18.9957, 18.9957, 5.18022, 18.9957, 18.9957, 18.9957, 18.9957, 18.9957, 18.9957, 18.9957, 18.9957
11, 1, -3.33801, -1.61689, -0.334581, 0.457657, 1.07076, 1.91966, 2.71942, 2.94256, 3.41257, 4.32886, 4.61654, 4.0104, 3.84335, 3.70025, 4.21108, 4.32886, 5.02201, 20.2238, 6.4083, 20.2238, 20.2238, 20.2238, 5.71515, 20.2238, 6.4083, 20.2238, 20.2238, 20.2238, 20.2238, 20.2238, 20.2238, 20.2238, 20.2238, 20.2238, 20.2238, 20.2238
11, 2, -2.63697, -2.34528, -1.78952, -1.17301, -0.425578, 0.707299, 1.7304, 2.96515, 5.73774, 5.73774, 5.73774, 19.5532, 5.04459, 5.04459, 3.94598, 4.35144, 3.33984, 4.35144, 4.63912, 5.73774, 5.04459, 19.5532, 19.5532, 19.5532, 19.5532, 19.5532, 19.5532, 19.5532, 19.5532, 19.5532, 19.5532, 19.5532, 19.5532, 19.5532, 19.5532, 19.5532
11, 3, -2.48761, -2.3107, -1.89064, -1.26925, -0.430767, 0.325802, 1.0032, 1.76089, 2.91079, 3.90932, 3.55265, 3.65801, 2.71974, 1.69635, 1.49852, 1.98403, 2.8595, 3.45734, 4.75662, 4.24579, 19.6707, 4.46894, 5.85523, 5.16208, 4.75662, 4.46894, 4.46894, 5.85523, 19.6707, 19.6707, 19.6707, 19.6707, 19.6707, 19.6707, 19.6707, 19.6707
12, 1, -3.35843, -1.53489, -0.174671, 0.774001, 1.2933, 1.81124, 2.12302, 2.34009, 2.7011, 3.63937, 3.89069, 3.89069, 2.79207, 3.00338, 3.89069, 4.04484, 19.6521, 5.14345, 5.8366, 5.8366, 19.6521, 19.6521, 5.14345, 5.8366, 5.14345, 19.6521, 19.6521, 19.6521, 19.6521, 19.6521, 19.6521, 19.6521, 19.6521, 19.6521, 19.6521, 19.6521
12, 2, -2.49764, -2.28637, -1.84235, -1.40025, -0.644646, 0.0101819, 1.16286, 2.50264, 3.29109, 3.80192, 18.716, 4.20738, 4.90053, 3.51424, 4.20738, 3.29109, 2.70331, 3.29109, 3.80192, 3.80192, 4.90053, 18.716, 18.716, 4.90053, 18.716, 18.716, 18.716, 18.716, 18.716, 4.90053, 4.90053, 4.90053, 18.716, 18.716, 18.716, 18.716
12, 3, -2.43061, -2.18174, -1.82742, -1.32503, -0.647905, -0.111856, 0.473217, 1.15184, 2.08265, 2.26987, 2.53813, 2.10735, 1.68535, 1.27444, 1.1234, 1.59153, 1.63734, 2.33049, 3.31132, 4.18679, 4.40993, 19.6117, 5.79623, 4.69761, 5.79623, 4.69761, 5.10308, 4.69761, 5.10308, 19.6117, 19.6117, 19.6117, 19.6117, 19.6117, 19.6117, 19.6117
13, 1, -3.33476, -1.56637, -0.213229, 0.479918, 0.802002, 1.34673, 1.45593, 2.14908, 2.41144, 3.10459, 18.5295, 4.71402, 4.02088, 4.02088, 3.61541, 4.02088, 18.5295, 18.5295, 18.5295, 18.5295, 18.5295, 18.5295, 18.5295, 18.5295, 18.5295, 18.5295, 18.5295, 18.5295, 18.5295, 18.5295, 18.5295, 18.5295, 18.5295, 18.5295, 18.5295, 18.5295
13, 2, -2.41895, -2.24953, -1.85077, -1.52909, -0.870899, -0.0900463, 0.959776, 2.39486, 4.0043, 17.8198, 17.8198, 17.8198, 17.8198, 17.8198, 4.0043, 2.618, 2.39486, 3.31115, 2.39486, 4.0043, 17.8198, 17.8198, 17.8198, 17.8198, 17.8198, 17.8198, 17.8198, 17.8198, 17.8198, 17.8198, 17.8198, 17.8198, 17.8198, 17.8198, 17.8198, 17.8198
13, 3, -2.28577, -2.13746, -1.93969, -1.4621, -0.971372, -0.173446, 0.203364, 0.784393, 2.89461, 3.58775, 18.0964, 3.18229, 2.33499, 1.50831, 1.57285, 1.39053, 1.79599, 2.48914, 3.18229, 4.2809, 4.2809, 4.2809, 4.2809, 18.0964, 3.18229, 18.0964, 4.2809, 18.0964, 4.2809, 18.0964, 18.0964, 18.0964, 18.0964, 18.0964, 18.0964, 18.0964
