AA, SS, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36
1, 1, -0.541025, 0.689631, 1.65697, 2.03801, 2.08904, 1.57382, 1.24158, 0.579494, 0.181432, 0.298846, 0.388191, 0.601473, 1.26927, 1.92597, 2.62402, 3.62514, 3.01483, 17.6068, 3.49312, 17.012, 16.7658, 2.21219, 16.5671, 2.84858, 2.19128, 2.68219, 2.64113, 16.3493, 16.0879, 15.9782, 15.8659, 15.8766, 15.7695, 15.6628, 15.3089, 14.4956
1, 2, 0.564033, -0.155787, -0.486255, -0.659039, -0.722028, -0.627634, -0.414548, -0.0632412, 0.261239, 1.18372, 2.25389, 2.36181, 2.7783, 1.80754, 1.89945, 0.790358, 1.59711, 1.27496, 0.976798, 0.967818, 1.82026, 1.08216, 0.928391, 15.5341, 1.7544, 15.3677, 1.5111, 1.40374, -0.243917, -0.353616, 0.227169, -0.167544, 0.823924, 14.5328, 0.363399, -0.449892
1, 3, 0.349497, -0.202112, -0.234225, -0.0762155, -0.201924, -0.557553, -0.85657, -1.06296, -1.17319, -0.641572, -0.582999, -0.412557, -0.705218, -0.790941, -0.345095, -0.141115, 0.310819, 0.681814, 0.825484, 2.0329, 1.09358, 1.04863, 2.28115, 0.991874, 0.334573, 0.825484, 1.0721, 1.37021, 1.80199, 15.5078, 1.57993, 1.59068, 15.2991, 15.1924, 14.8385, 14.0252
2, 1, -0.479032, 0.484035, 1.1376, 1.51082, 1.56648, 1.14831, 1.18951, 0.601541, 0.585821, 0.492164, 2.04785, 0.54633, 0.780495, 1.04188, 1.98109, 3.67535, 3.47051, 3.14836, 16.6657, 16.369, 16.1229, 16.0779, 15.9241, 16.0212, 2.2415, 15.8548, 15.8137, 15.7064, 15.445, 15.3353, 15.2229, 15.2337, 15.1265, 15.0199, 14.666, 13.8527
2, 2, 0.440885, -0.265989, -0.450426, -0.515237, -0.478441, -0.195897, 0.0303253, 0.927737, 1.1997, 2.2847, 15.7841, 15.892, 2.49299, 2.90852, 1.20867, 0.957028, -0.0744959, 0.296499, 0.691483, 0.682503, 0.841795, 1.48999, 15.1517, 1.43324, 1.46908, 15.0824, 15.0413, 0.42528, 0.857062, 14.5629, 14.4505, 14.4613, 0.538609, 14.2474, 13.8936, 13.0803
2, 3, 0.584915, -0.125182, -0.427119, -0.528254, -0.577371, -0.653985, -0.67116, -0.498428, -0.419482, -0.31265, -0.405626, -0.520849, -0.714127, -0.495305, -1.06939, -0.680227, -0.464569, -0.369827, 0.39672, 1.7095, 1.46332, 1.41837, 0.859139, 0.956154, 2.09061, 1.88838, 0.0555542, 15.5555, 1.47859, 15.1844, 15.072, 15.0828, 14.9756, 14.869, 14.5151, 13.7018
3, 1, -0.388959, 0.26169, 0.798533, 1.13476, 1.15282, 1.03434, 0.680865, 0.752137, 0.659457, 0.722804, -0.0633197, -0.273852, 0.0556233, 0.558167, 0.850753, 1.34104, 2.05249, 2.42348, 15.9408, 15.6442, 15.398, 15.353, 15.1993, 1.48078, 1.51663, 15.1299, 15.0888, 14.9815, 14.7201, 14.6104, 14.4981, 14.5088, 14.4017, 14.295, 13.9411, 13.1278
3, 2, 0.403551, -0.232575, -0.37113, -0.382624, -0.353604, -0.384949, 0.119748, 0.831058, 0.920699, 0.801724, 0.485604, 15.1022, 1.01001, 0.172782, -0.497443, -0.831327, -0.924947, -0.493327, 0.189338, -0.800471, 14.5606, 0.00701698, 0.546397, 14.4589, 14.4948, -0.216127, 14.2515, 0.328601, 0.0672359, 13.773, 13.6607, 13.6714, 13.5643, 13.4576, 13.1038, 12.2905
3, 3, 0.541728, -0.0649325, -0.201673, -0.283601, -0.44527, -0.563479, -0.720571, -0.777584, -0.896288, -1.17203, -1.54531, -1.64711, -1.66276, -1.70768, -1.74699, -1.60008, -1.12001, -0.715675, -0.370288, -0.00555179, 0.729104, 0.530002, 1.22353, 1.32055, 1.35639, 2.25277, 0.825413, -0.4606, 1.84298, 0.346991, 1.62092, 15.4472, 1.52453, 15.2334, 14.8795, 14.0662
4, 1, -0.433628, 0.278432, 1.01846, 1.59635, 1.81299, 1.66276, 0.797828, 0.513537, 0.252975, 0.334671, 0.557548, 0.531938, 0.255277, 0.553027, 1.13742, 17.2533, 1.84668, 2.91082, 16.4282, 16.1315, 15.8853, 15.8404, 1.8711, 15.7836, 15.8195, 15.6172, 15.5762, 15.4688, 15.2075, 15.0978, 14.9854, 14.9961, 14.889, 14.7823, 14.4285, 13.6152
4, 2, 0.403667, -0.206471, -0.43641, -0.367485, -0.516566, -0.458491, -0.182317, 0.355721, 1.54397, 1.71268, 1.39656, 15.32, 0.822358, 0.950208, 0.348976, 0.944627, -0.176509, -0.275517, -0.103677, 1.2091, -0.135687, 14.7335, 14.5797, 14.6767, 14.7126, 14.5103, -0.0393778, -0.146736, 0.285046, 13.9909, 0.0629843, 0.0737371, 13.7821, 13.6754, 13.3216, 12.5083
4, 3, 0.424205, -0.154342, -0.296063, -0.274104, -0.300349, -0.440852, -0.589437, -0.723303, -0.566004, -0.674928, -0.438979, -1.10019, -1.04767, -1.13957, -1.20326, -0.972979, -0.571688, -0.0316168, 0.312074, 0.708559, 0.819061, 1.11058, 1.17996, 1.27697, 1.08967, 0.417434, 0.25859, 0.962162, 1.39394, 1.28425, 1.86503, 15.6913, 15.5841, 15.4775, 15.1236, 14.3103
5, 1, -0.393238, 0.341236, 0.762961, 0.965816, 0.936381, 0.717824, 0.419479, 0.450545, 0.183511, 1.26851, 14.7679, 14.8758, 0.378185, 0.282892, 1.2911, 1.88675, 15.4974, 15.1753, 14.8771, 14.5804, 14.3343, 14.2893, 14.1355, 14.2326, 14.2684, 14.0662, 14.0251, 13.9177, 13.6564, 13.5467, 13.4343, 13.4451, 13.3379, 13.2312, 12.8774, 12.0641
5, 2, 0.495068, -0.227831, -0.449915, -0.563835, -0.531551, -0.685569, -0.223147, 0.538806, 15.6967, 15.1723, 14.8562, 14.9641, 15.3806, 15.7961, 1.37936, 0.588716, 1.77017, -0.343746, 0.0512374, 0.16004, 14.4225, 0.562063, 14.2238, 14.3208, 0.541156, 14.1544, 14.1134, 14.006, 13.7446, 13.6349, 13.5226, 13.5333, 13.4262, 13.3195, 12.9657, 12.1524
5, 3, 0.779786, -0.0229052, -0.480865, -0.782023, -0.786122, -0.803292, -0.964899, -0.834408, -0.41341, 0.602596, 15.2006, 0.394397, -0.0364141, -0.314029, -0.878894, -1.01276, -0.718611, 0.000691071, 0.395675, 0.0990127, 0.258305, 0.213353, 14.5682, 14.6653, 14.7011, 14.4989, -0.0508516, 0.534937, 14.0891, -0.529274, 13.867, 13.8778, 13.7706, 13.6639, 13.3101, 12.4968
6, 1, -0.467241, 0.385758, 1.22543, 1.50776, 1.58731, 1.19381, 1.06252, 0.835557, 0.728488, 0.897196, 1.42837, 0.843148, 0.566487, 2.08063, 1.61293, 1.85191, 3.2565, 16.7499, 16.4517, 16.155, 15.9089, 15.8639, 1.89463, 1.99165, 2.02749, 15.6408, 15.5997, 15.4923, 15.231, 15.1213, 15.0089, 15.0197, 14.9125, 14.8058, 14.452, 13.6387
6, 2, 0.453322, -0.23983, -0.426702, -0.54497, -0.590899, -0.175823, -0.0374508, 0.445017, 0.246976, 15.6175, 1.48586, 15.4093, 2.01027, 1.73265, 1.82457, 0.628459, 0.269463, -0.504675, 1.59506, 1.2984, 1.05222, 1.00727, 14.669, 14.766, 0.986364, 14.5996, 14.5586, 14.4512, 14.1899, 0.264644, 0.152281, 13.9785, 0.0558889, 13.7647, 13.4109, 12.5976
6, 3, 0.48765, -0.167414, -0.345092, -0.430156, -0.462274, -0.465525, -0.64946, -0.578654, -0.433443, -0.734739, -0.809697, -0.606466, -0.907819, -0.889588, -0.829934, -0.634442, -0.284977, 0.742798, 0.598785, 0.99527, 1.84771, 15.6183, 15.4645, 15.5615, 1.0887, 0.886467, 0.152258, 0.738047, 14.9853, 14.8756, 14.7633, 14.774, 14.6669, 14.5602, 14.2064, 13.3931
