AA, SS, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36
1, 1, 5.86395, 5.86395, 5.1708, 5.1708, 2.68589, 2.12628, 3.09136, 3.66672, 5.1708, 19.6795, 5.86395, 19.6795, 5.86395, 5.86395, 5.86395, 19.6795, 19.6795, 4.25451, 19.6795, 0.814091, -0.594392, -1.41261, -1.47689, -1.28989, -1.1991, -1.14546, -1.02361, -1.00194, -0.935109, -0.834321, -1.07724, -0.352659, 1.99275, 5.1708, 19.6795, 19.6795
1, 2, 20.419, 20.419, 20.419, 4.99402, 3.83087, 3.13772, 3.4254, 4.52401, 4.99402, 20.419, 20.419, 20.419, 5.91031, 20.419, 6.60345, 20.419, 6.60345, 3.77024, 20.419, 1.38852, 0.419306, -0.0923445, -0.117971, -0.0545567, -0.0571208, -0.031179, -0.340633, -0.920567, -1.45329, -1.75825, -2.2137, -1.70277, 0.226727, 2.24675, 3.65902, 4.52401
1, 3, 5.26676, 6.36537, 4.28593, 3.27433, 1.20059, 0.0906101, 0.936026, 1.94653, 2.81002, 4.06279, 4.75593, 5.67222, 5.67222, 4.97908, 4.97908, 4.28593, 4.16815, 2.72779, 20.1809, 6.36537, 3.59278, 3.1465, 2.37639, 1.82208, 1.21788, 0.93165, 0.868204, 0.150764, -0.0130541, -1.16188, -2.92406, -2.08654, 0.310933, 2.67649, 4.75593, 6.36537
2, 1, 19.2416, 19.2416, 19.2416, 5.42605, 4.03976, 1.96031, 3.02816, 3.63429, 3.34661, 5.42605, 19.2416, 19.2416, 19.2416, 5.42605, 19.2416, 19.2416, 19.2416, 4.7329, 19.2416, 1.59741, 0.244267, -0.575364, -1.18465, -1.56972, -1.62234, -1.44918, -1.36517, -1.26106, -1.0931, -0.722418, -0.728807, 0.147936, 2.16795, 5.42605, 5.42605, 19.2416
2, 2, 19.9544, 19.9544, 6.13887, 5.44572, 2.91999, 2.58352, 2.96081, 4.75257, 5.04025, 6.13887, 19.9544, 19.9544, 19.9544, 19.9544, 19.9544, 19.9544, 19.9544, 6.13887, 19.9544, 1.97998, 0.386294, -0.259729, -0.403606, -0.955369, -1.01419, -0.931858, -1.00396, -1.35222, -1.3792, -1.57804, -1.68678, -1.045, 0.649929, 2.4753, 4.34711, 4.75257
2, 3, 4.78803, 5.88664, 4.09488, 2.70859, 0.629149, -0.412305, -0.040282, 1.21382, 2.59081, 4.50035, 4.78803, 5.1935, 5.88664, 4.78803, 19.7022, 5.1935, 4.50035, 3.24759, 19.7022, 4.78803, 3.24759, 2.99627, 1.91635, 1.8262, 1.31193, 0.74498, 0.381312, -0.0050002, -0.389999, -1.55702, -2.79028, -1.89157, 1.07446, 3.17859, 19.7022, 19.7022
3, 1, 18.7341, 18.7341, 18.7341, 4.91856, 2.21051, 1.42205, 1.69968, 2.72134, 4.91856, 18.7341, 4.91856, 18.7341, 18.7341, 18.7341, 18.7341, 18.7341, 18.7341, 4.91856, 18.7341, 2.08535, 0.452652, -0.338935, -0.889582, -1.06538, -1.3693, -1.40759, -1.57972, -1.66069, -1.53978, -1.04244, -0.414158, 0.549113, 2.08535, 4.22541, 18.7341, 4.91856
3, 2, 6.63438, 20.4499, 20.4499, 5.53577, 3.02346, 1.95225, 2.70255, 3.86179, 20.4499, 20.4499, 6.63438, 20.4499, 20.4499, 20.4499, 20.4499, 20.4499, 20.4499, 6.63438, 20.4499, 1.92485, 0.390211, -0.373223, -0.575702, -0.796922, -0.775364, -1.03184, -1.48144, -1.64735, -1.63972, -1.41249, -1.26366, -0.50845, 1.15374, 2.82772, 3.68994, 4.55494
3, 3, 4.70819, 3.8609, 3.50422, 2.11793, -0.409799, -1.45407, -1.03374, 0.395161, 1.93561, 3.03422, 4.89052, 4.19737, 4.19737, 4.70819, 5.11366, 5.40134, 4.55404, 3.50422, 20.3155, 4.70819, 3.36446, 2.38908, 2.88904, 3.13266, 2.56813, 1.89478, 0.924005, 0.31169, -0.00133556, -1.24591, -2.58856, -1.84787, 0.716129, 3.50422, 4.55404, 5.80681
4, 1, 3.99888, 18.913, 4.40435, 18.913, 2.38944, 2.00645, 1.80166, 3.15158, 4.40435, 3.99888, 4.40435, 18.913, 18.913, 5.09749, 18.913, 5.09749, 18.913, 18.913, 18.913, 1.54214, -0.0441712, -0.622819, -0.626093, -0.58268, -0.716638, -1.20513, -1.47479, -1.62514, -1.77877, -1.44354, -0.913775, -0.0672936, 2.00645, 5.09749, 18.913, 18.913
