AA, SS, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36
1, 1, 0.565255, -0.151058, 0.0273489, 1.24302, 0.831721, 1.35186, 2.31851, 2.85177, 4.23155, 18.3424, 3.76626, 16.897, 2.67755, 2.44931, 2.58067, 16.387, 16.5168, 1.3355, 12.2782, -1.29296, -1.55634, -1.65642, -1.38272, -0.749203, -0.426808, -0.345736, -0.192715, -0.0664347, 0.121273, 0.535506, 1.06696, 1.06006, 1.30265, 2.2525, 15.1545, 14.3884
1, 2, 15.1203, 14.404, 15.2755, 1.06623, 1.97669, 2.3633, 2.65256, 3.70906, 4.05477, 19.0819, 18.3213, 17.6365, 2.72391, 17.0043, 3.32017, 17.1265, 3.44078, 0.851237, 13.0177, -0.718535, -0.542644, -0.336153, -0.023799, 0.486128, 0.715172, 0.768547, 0.490258, 0.0149426, -0.396908, -0.388426, -0.0694961, -0.290056, -0.463365, -0.671552, -0.865899, -0.767074
1, 3, -0.0319316, 0.350367, -0.85752, -0.653452, -0.653585, -0.683807, 0.163181, 1.13158, 1.87078, 2.72571, 2.65825, 2.88975, 2.48583, 1.56444, 1.6958, 0.993453, 1.00547, -0.191218, 12.7796, 4.25832, 2.63083, 2.90269, 2.47056, 2.36276, 1.99017, 1.73138, 1.69909, 1.08627, 1.04333, 0.207944, -0.779858, -0.673821, -0.379159, -0.241805, 0.23102, 1.07429
2, 1, 13.9429, 13.2266, 14.0981, 1.49827, 2.18558, 1.1859, 2.25531, 2.81934, 2.40736, 4.08897, 17.1439, 16.4591, 16.0552, 2.01142, 15.9583, 15.9491, 16.0789, 1.8139, 11.8403, -0.509644, -0.717683, -0.819172, -1.09047, -1.02903, -0.850043, -0.649456, -0.53428, -0.325548, -0.0367147, 0.64741, 1.41539, 1.56065, 1.47786, 2.50775, 0.901136, 13.9505
2, 2, 14.6557, 13.9394, 0.995416, 1.51794, 1.06582, 1.8091, 2.18797, 3.93762, 4.10101, 4.80179, 17.8567, 17.1719, 16.768, 16.5397, 16.6711, 16.6619, 16.7917, 3.21986, 12.5531, -0.12707, -0.575656, -0.503537, -0.309433, -0.414684, -0.241892, -0.132132, -0.17307, -0.416712, -0.322816, -0.208212, 0.457421, 0.36771, -0.0401636, -0.442993, -0.177808, -0.538515
2, 3, -0.51066, -0.128361, -1.04857, -1.21919, -1.22502, -1.18672, -0.813128, 0.398859, 1.65156, 3.16327, 2.69035, 2.41102, 2.70025, 1.3734, 16.4189, 1.90102, 1.33767, 0.328583, 12.3009, 2.68098, 2.28564, 2.75246, 2.01052, 2.36689, 2.08423, 1.54471, 1.2122, 0.930509, 0.666382, -0.187192, -0.646085, -0.478853, 0.384368, 0.260296, 15.1772, 14.4111
3, 1, 13.4354, 12.7191, 13.5906, 0.990779, 0.356339, 0.647636, 0.926839, 1.90638, 3.97931, 17.397, 2.82088, 15.9516, 15.5477, 15.3194, 15.4508, 15.4416, 15.5714, 1.99956, 11.3328, -0.0217063, -0.509297, -0.582743, -0.79541, -0.524691, -0.597005, -0.607863, -0.748831, -0.725181, -0.483396, 0.327383, 1.73004, 1.96183, 1.39526, 1.30712, 14.2092, -0.372526
3, 2, 1.33569, 14.4349, 15.3064, 1.60798, 1.16929, 1.17783, 1.92971, 3.04683, 19.5106, 19.1128, 4.53669, 17.6674, 17.2635, 17.0353, 17.1666, 17.1574, 17.2872, 3.71537, 13.0486, -0.182206, -0.571739, -0.617031, -0.481529, -0.256237, -0.00307118, -0.232118, -0.650551, -0.711837, -0.583342, -0.0426641, 0.880537, 0.904265, 0.463647, -0.0905823, -0.834976, -0.73615
3, 3, -0.590497, -2.15411, -1.63923, -1.80985, -2.26397, -2.22848, -1.80659, -0.419795, 0.99636, 1.69714, 2.79283, 1.4149, 1.01097, 1.29356, 1.83038, 2.10886, 1.39137, 0.585218, 12.9142, 2.60114, 2.40251, 2.14527, 2.98321, 3.67334, 3.34042, 2.69451, 1.7549, 1.2472, 1.05505, 0.123914, -0.444358, -0.435159, 0.0260368, 0.585924, 0.0291294, 0.51572
4, 1, -1.29981, 12.898, -0.739106, 14.9852, 0.535271, 1.23203, 1.02881, 2.33663, 3.4651, 2.6618, 2.30666, 16.1305, 15.7266, 1.68286, 15.6297, 1.80501, 15.7503, 15.994, 11.5117, -0.564909, -1.00612, -0.866628, -0.53192, -0.0419958, 0.0556548, -0.405401, -0.6439, -0.689628, -0.72239, -0.07371, 1.23042, 1.34542, 1.31636, 2.17919, 14.3881, 13.6219
4, 2, 0.888346, 14.6807, 15.5522, 1.56611, 2.13564, 2.41689, 3.1629, 3.58032, 19.7564, 19.3586, 18.598, 17.9132, 17.5093, 17.2811, 17.4124, 17.4032, 3.02436, 2.57489, -0.521113, -0.0143611, -0.232368, -0.319216, -0.0565009, 0.366419, 0.238507, -0.0181192, -0.316728, -0.627207, -0.702137, -0.375497, 0.505192, 0.438906, -0.0324842, -0.368847, -0.863606, -0.975852
4, 3, -2.55472, -1.88474, -2.74779, -2.48309, -2.83388, -2.74372, -2.10641, -1.03282, 0.551962, 2.10004, 2.03258, 0.366963, 0.0965692, 0.0224849, 0.559304, 1.24325, 0.120293, -0.734649, 11.6431, 1.73553, 2.18749, 2.27702, 1.79669, 2.87919, 1.85804, 2.05831, 1.90089, 1.97473, 1.69014, 0.341038, -0.181781, -0.111845, 0.710144, 1.61743, 14.5195, 13.7533
5, 1, 13.1713, 12.455, 13.3265, 14.5422, 0.720876, 0.935633, 2.49535, 3.14639, 17.5308, 17.1329, 16.3723, 15.6875, 15.2836, 15.0554, 15.1867, 15.1775, 1.49181, 15.551, 11.0687, -0.160614, -0.980289, -0.969216, -0.917765, -0.726405, -0.939688, -0.839204, -0.585358, -0.241884, 0.312708, 0.672459, 1.09491, 1.35767, 2.17264, 1.73619, 13.9451, 13.1789
5, 2, 13.8156, 13.0992, 13.9708, 15.1865, 1.6528, 2.44488, 2.57998, 2.87434, 4.35949, 17.7772, 17.0166, 16.3318, 15.9278, 15.6996, 15.831, 15.8218, 15.9516, 1.68658, 11.7129, -0.274056, -0.94642, -0.572695, -0.397054, -0.191267, -0.358693, -0.262843, -0.316095, -0.439054, -0.532437, -0.0419615, 0.564607, 0.685582, 0.0547649, -0.564003, 0.0806722, -0.6855
5, 3, 14.5994, 13.883, 0.939085, 0.76846, 0.336544, 0.143333, 0.777091, 1.39638, 2.0078, 4.05231, 3.98485, 17.1156, 16.7116, 16.4834, 16.6148, 16.6056, 2.22671, 0.966307, 12.4967, 17.791, 2.72269, 2.61985, 2.28489, 2.98563, 2.182, 1.77027, 1.56632, 1.16584, 0.838132, -0.18294, -0.793897, -0.599738, -0.0280912, 0.119716, 15.3731, 14.607
6, 1, 13.6063, 12.89, 13.7615, -0.224596, -0.165888, 0.677478, 1.09776, 3.17591, 17.9657, 17.5679, 2.9918, 16.1225, 15.7186, 15.4904, 15.6217, 15.6125, 15.7423, 2.17048, 11.5037, -0.31341, -0.947643, -0.820754, -1.07975, -0.86661, -0.736735, -0.797902, -0.5973, -0.404729, -0.0865855, 0.564906, 1.70425, 1.88707, 1.69134, 0.784889, 14.3801, 13.6139
6, 2, 14.4968, 13.7804, 0.143342, 0.953546, -0.772071, 0.786683, 2.72219, 4.47184, 4.34755, 18.4584, 17.6978, 17.013, 16.6091, 16.3808, 16.5122, 16.503, 16.6328, 2.36779, 12.3942, -0.0189338, 0.2222, -0.318307, -0.114152, 0.10226, -0.0231331, -0.16731, -0.341438, -0.461684, -0.674779, -0.222735, 0.602821, 0.27626, -0.0807901, -0.305653, 0.0687311, -0.409759
6, 3, 15.2222, -0.695898, -1.07711, -0.623578, -0.0904128, -0.0402776, 0.287109, 1.12827, 2.99357, 5.36832, 3.5091, 3.92293, 17.3345, 17.1063, 2.72897, 17.2284, 2.44411, 1.84049, 13.1196, 2.51891, 2.65241, 2.27194, 2.6887, 2.68174, 2.46706, 2.14854, 1.74939, 1.28654, 0.815769, -0.118724, -0.795764, -0.612575, -0.187227, -0.489563, -0.30442, 15.2298
7, 1, 0.2251, -0.491214, 14.1959, 1.59601, 1.10467, 1.41717, 2.11189, 2.91708, 3.8914, 2.80042, 17.2416, 2.04817, 16.1529, 15.9247, 16.056, 16.0468, 2.36112, 2.60479, -1.87751, 0.472299, -0.488014, -0.818091, -1.08522, -0.881538, -0.648967, -0.656559, -0.49756, -0.395053, -0.154418, 0.175814, 1.36904, 1.5894, 1.22278, 0.996056, 0.998877, 14.0482
7, 2, 1.02617, 14.1254, 0.488259, 1.70393, 1.58031, 2.14924, 2.66164, 4.81675, 4.69246, 4.98778, 18.0427, 17.3579, 16.954, 16.7257, 16.8571, 16.8479, 3.16218, 2.71271, 12.7391, 0.346602, 0.345627, 0.223115, 0.0355224, 0.064258, 0.209597, 0.0919581, -0.204993, -0.426714, -0.526045, -0.313016, 0.280644, -0.0156232, -0.344121, -0.525267, -0.765007, -0.575668
7, 3, -1.07837, -0.408386, -1.83942, -1.49922, -1.17481, -1.11844, -0.655165, 0.447857, 1.67164, 3.17093, 2.12264, 2.131, 1.72707, 1.49884, 1.63019, 0.116917, 1.05765, 0.741705, -1.79468, 0.609193, 2.24677, 2.8779, 2.9282, 3.01181, 3.24342, 2.79543, 2.27863, 2.06479, 1.56925, 0.270807, -0.76317, -0.769293, -0.259623, 0.0492638, -0.0169081, 0.315532
8, 1, -0.160119, 12.9391, -0.00487838, 15.0263, 0.576351, -0.168444, -0.927578, -0.403772, -0.562848, -0.917005, -1.34114, -0.688424, -0.686884, -1.16643, -0.0906175, 0.4598, -0.326688, 0.140127, -2.26272, -3.18907, -2.10751, -1.2167, -0.751192, -0.425536, -0.218185, -0.173169, -0.280512, 0.0314491, 0.152321, 0.627867, 1.72594, 2.05148, 2.1459, 16.0358, 14.4292, -0.152514
8, 2, 0.056715, 14.2545, 1.31057, 1.83309, 1.96079, 1.15781, -0.652107, -0.579538, -0.00668851, -0.329798, -0.439456, -0.87175, -1.38634, -1.92346, -1.95916, -2.15166, -2.48631, -2.62408, -2.73904, -2.19117, -1.0996, -0.278994, 0.209597, 0.568215, 0.707164, 0.394129, 0.0822481, -0.210374, -0.480515, -0.247372, 0.51027, 0.513011, 0.125572, -0.489631, -0.904109, -1.40202
8, 3, -0.855321, -1.42853, -0.825244, -0.950749, -0.574869, -1.19704, -2.05502, -2.73599, -2.93416, -2.95174, -2.9409, -2.9145, -2.86152, -2.766, -2.77565, -2.71334, -2.54504, -2.26887, -1.34849, 4.35122, 4.39771, 4.13502, 3.71923, 3.86346, 3.13622, 2.8574, 2.62572, 2.75421, 2.89953, 1.92957, 1.46838, 1.45426, 1.91803, 2.84683, 16.442, 15.6758
9, 1, 13.4138, 12.6975, 13.5691, 0.969228, 1.4334, 1.92537, 1.55922, 3.38891, 17.7733, 17.3754, 16.6148, 15.93, 15.5261, 15.2979, 15.4292, 15.42, 15.5498, 15.7935, 11.3112, -0.428919, -0.977594, -1.39889, -0.987703, -0.868581, -0.824451, -0.618622, -0.312354, -0.0480131, -0.52358, 0.452707, 1.68935, 2.30239, 1.43433, 1.97871, 14.1876, -0.394076
9, 2, 14.1423, 13.426, 0.48207, 0.311444, 1.97959, 1.5189, 2.14462, 2.86465, 3.29998, 4.28844, 17.3433, 16.6586, 16.2546, 16.0264, 2.34224, 2.33304, 16.2784, 1.32022, 12.0397, -0.310174, -0.562176, -0.504392, -0.371617, -0.605731, -0.405692, -0.316454, -0.350418, -0.450184, -0.304664, -0.0149636, 0.59423, 0.603689, 0.21693, 0.509998, -0.508832, 0.334434
9, 3, 0.291414, -1.11805, -0.246492, -0.534901, -0.512561, -0.492579, 0.0381366, 1.13756, 2.51079, 3.84756, 4.18557, 3.50078, 3.09685, 16.6841, 2.99997, 2.99078, 1.51114, 1.57249, 12.6975, 17.9917, 3.93501, 3.33139, 3.04522, 2.01175, 1.55021, 1.35613, 1.2852, 1.13199, 0.961208, -0.114607, -0.741233, -0.615431, 0.217882, 0.320433, 1.06519, 0.992166
