AA, SS, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36
1, 1, 5.3207, 5.03302, 5.3207, 5.03302, 2.73044, 2.10183, 2.95358, 3.71127, 4.80988, 6.41932, 5.72617, 20.2348, 5.72617, 6.41932, 5.72617, 6.41932, 20.2348, 4.11673, 20.2348, 20.2348, 20.2348, 20.2348, 20.2348, 0.938677, -0.629939, -1.41547, -1.50077, -1.31174, -1.2337, -1.19055, -1.05942, -1.0102, -0.91697, -0.873702, -0.967155, -0.188685
1, 2, 7.08176, 7.08176, 20.8973, 5.47232, 3.99071, 3.11146, 3.52641, 4.19138, 5.29, 20.8973, 7.08176, 7.08176, 6.38861, 7.08176, 7.08176, 6.38861, 6.38861, 3.52641, 20.8973, 20.8973, 20.8973, 20.8973, 20.8973, 1.43631, 0.271613, -0.192031, -0.227457, -0.0906693, -0.0798667, -0.0650169, -0.354862, -0.946374, -1.48556, -1.81538, -2.2061, -1.70256
1, 3, 4.56744, 5.26059, 4.23097, 3.15645, 1.22458, 0.146192, 0.916781, 1.97968, 2.958, 4.09744, 4.56744, 5.48373, 5.77141, 5.48373, 5.07827, 4.6728, 3.73453, 2.99882, 20.6855, 20.6855, 20.6855, 20.6855, 20.6855, 5.07827, 3.43604, 2.77568, 2.24505, 1.78243, 1.26055, 0.953823, 0.810901, 0.247288, -0.0585133, -1.2398, -2.93497, -2.13378
2, 1, 6.03714, 19.8527, 6.03714, 4.93853, 3.32909, 2.16594, 2.70494, 3.55223, 3.63925, 6.03714, 6.03714, 6.03714, 19.8527, 6.03714, 19.8527, 19.8527, 19.8527, 4.93853, 19.8527, 19.8527, 19.8527, 19.8527, 19.8527, 1.58279, 0.22003, -0.618299, -1.18834, -1.59089, -1.63142, -1.45395, -1.39416, -1.22408, -1.067, -0.767473, -0.667273, 0.208196
2, 2, 6.65862, 6.65862, 6.65862, 4.86686, 2.94504, 2.53148, 2.99506, 4.17371, 5.04918, 5.96547, 6.65862, 20.4741, 6.65862, 20.4741, 20.4741, 20.4741, 6.65862, 5.27232, 20.4741, 20.4741, 20.4741, 20.4741, 6.65862, 1.74596, 0.446011, -0.191509, -0.440585, -0.93274, -1.02248, -0.94777, -1.03167, -1.31109, -1.41665, -1.59565, -1.73618, -1.11329
2, 3, 4.04042, 5.64985, 3.77805, 2.75948, 0.562258, -0.442586, -0.0354249, 1.12807, 2.5818, 4.04042, 4.95671, 5.24439, 6.343, 5.24439, 6.343, 4.39709, 4.73356, 3.12413, 20.1585, 20.1585, 20.1585, 20.1585, 20.1585, 4.55124, 3.12413, 2.70542, 1.91218, 1.54721, 1.23706, 0.666248, 0.216132, -0.0655275, -0.376012, -1.55615, -2.8078, -1.84012
3, 1, 5.42813, 19.2436, 5.42813, 3.81869, 1.81721, 1.30099, 1.59949, 2.48369, 3.81869, 19.2436, 4.04183, 19.2436, 19.2436, 19.2436, 19.2436, 19.2436, 5.42813, 4.73498, 19.2436, 19.2436, 19.2436, 19.2436, 19.2436, 1.90177, 0.286463, -0.364887, -0.894439, -1.06714, -1.3787, -1.40813, -1.56764, -1.63578, -1.53222, -1.0349, -0.435505, 0.640635
3, 2, 6.38557, 20.8942, 7.07872, 5.46928, 2.88906, 1.87471, 2.52484, 3.90066, 7.07872, 20.8942, 7.07872, 20.8942, 7.07872, 20.8942, 20.8942, 7.07872, 20.8942, 5.69242, 20.8942, 20.8942, 20.8942, 20.8942, 20.8942, 1.89133, 0.399117, -0.372525, -0.541499, -0.781469, -0.819323, -1.05458, -1.45533, -1.64549, -1.65391, -1.43447, -1.30266, -0.580927
3, 3, 4.18992, 3.82701, 3.74363, 2.06467, -0.363959, -1.41151, -0.968778, 0.379097, 1.95856, 3.24893, 4.56461, 4.4776, 4.65992, 4.88306, 5.17075, 5.0166, 4.76528, 3.17832, 20.778, 20.778, 20.778, 20.778, 20.778, 4.39756, 2.97352, 2.41921, 2.64502, 2.80362, 2.44072, 1.74215, 0.848824, 0.260546, -0.0639203, -1.25547, -2.63289, -1.86202
4, 1, 4.01116, 19.4361, 4.23431, 4.23431, 2.2194, 1.81394, 1.79196, 2.73023, 4.52199, 4.52199, 4.52199, 19.4361, 19.4361, 5.6206, 19.4361, 4.92745, 19.4361, 19.4361, 19.4361, 19.4361, 19.4361, 19.4361, 19.4361, 1.41591, -0.0798414, -0.607909, -0.667256, -0.631302, -0.851744, -1.25256, -1.50709, -1.6279, -1.73632, -1.35668, -0.859442, -0.0423583
