AA, SS, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36
1, 1, 0.327395, -0.670528, 0.216369, 1.19007, 0.857475, 1.29977, 2.12723, 2.83702, 3.83628, 5.0684, 3.65748, 17.4666, 2.55248, 3.00236, 2.38802, 3.14209, 17.1073, 1.24842, 12.0395, -0.166623, -0.166623, -0.166623, 12.1936, -1.11987, -1.5464, -1.64282, -1.37901, -0.73937, -0.428516, -0.36507, -0.213131, -0.0810808, 0.137615, 0.501915, 1.2058, 1.24843
1, 2, 2.08845, 1.37821, 15.7929, 1.62937, 2.11775, 2.3094, 2.70005, 3.31714, 4.31639, 19.5463, 5.01307, 4.31353, 3.21492, 3.6648, 3.7436, 3.11139, 3.26109, 0.658097, 12.7019, 0.495816, 0.495816, 0.495816, 12.856, -0.622242, -0.644848, -0.419377, -0.105699, 0.481698, 0.725322, 0.760459, 0.491426, -0.0172499, -0.430976, -0.439763, -0.0331466, -0.265449
1, 3, -0.425869, -0.442963, -0.873367, -0.686498, -0.648384, -0.655871, 0.0904271, 1.10543, 1.9844, 2.74652, 2.49875, 2.7155, 2.59772, 2.06678, 1.74011, 1.39558, 0.607009, 0.130513, 12.4902, 0.284085, 0.284085, 0.284085, 12.6443, 3.01971, 2.51958, 2.54833, 2.36681, 2.3548, 2.06574, 1.7793, 1.65719, 1.17641, 0.996071, 0.135815, -0.762013, -0.696673
2, 1, 1.04383, 14.1491, 0.932807, 1.09558, 1.45613, 1.36388, 1.87858, 2.67799, 2.66564, 4.68622, 3.96845, 3.26891, 16.679, 2.62019, 16.5145, 16.5754, 16.7251, 2.07022, 11.6573, -0.548798, -0.548798, -0.548798, 11.8114, -0.475756, -0.69643, -0.845645, -1.06658, -1.01852, -0.826231, -0.62847, -0.54787, -0.29496, -0.0124181, 0.608144, 1.50568, 1.64531
2, 2, 1.66531, 0.955067, 1.55428, 1.02391, 1.07208, 1.72942, 2.1687, 3.29947, 4.07558, 4.61455, 4.58993, 17.7059, 3.48493, 17.0572, 17.136, 17.1969, 3.5311, 2.40401, 12.2788, 0.0726779, 0.0726779, 0.0726779, -1.38261, -0.312588, -0.47045, -0.418855, -0.318827, -0.360373, -0.217294, -0.122294, -0.185381, -0.381963, -0.36207, -0.220035, 0.436772, 0.323817
2, 3, -0.952892, -0.0536957, -1.32628, -1.08347, -1.3107, -1.24465, -0.861779, 0.253822, 1.6082, 2.6895, 2.88802, 2.47616, 3.16931, 1.82743, 3.00485, 1.11987, 1.60604, 0.255815, 11.9631, -0.242938, -0.242938, -0.242938, 12.1173, 2.49269, 2.20766, 2.47807, 2.03394, 2.11958, 2.04224, 1.49172, 1.06242, 0.863596, 0.678573, -0.180535, -0.634846, -0.403006
3, 1, 0.434818, 13.5401, 0.323792, -0.0242623, -0.0557528, 0.498929, 0.773131, 1.60944, 2.84509, 17.8927, 1.97314, 16.4754, 16.0699, 15.8267, 15.9055, 15.9664, 2.3006, 1.86667, 11.0483, -1.15781, -1.15781, -1.15781, 11.2024, -0.156784, -0.629998, -0.592233, -0.772681, -0.494772, -0.573515, -0.582657, -0.721351, -0.706653, -0.477637, 0.340714, 1.73745, 2.07775
3, 2, 1.39226, 15.1907, 1.97438, 1.62633, 1.0161, 1.07265, 1.69849, 3.02642, 6.10511, 19.5433, 5.01003, 18.126, 3.90502, 17.4773, 17.5561, 3.80149, 17.7667, 2.82411, 12.6989, 0.492777, 0.492777, 0.492777, 12.853, -0.16722, -0.517344, -0.599872, -0.41974, -0.209102, -0.0141351, -0.229102, -0.609046, -0.716367, -0.599326, -0.058852, 0.870298, 0.856184
3, 3, -0.803391, -1.87654, -1.3607, -1.77828, -2.23692, -2.21357, -1.79513, -0.495146, 0.984958, 1.89802, 2.49592, 1.70937, 1.48623, 1.46611, 1.8326, 1.73937, 1.63776, 0.310007, 12.5826, 0.376567, 0.376567, 0.376567, 12.7368, 2.33901, 2.05706, 2.19187, 2.76678, 3.37599, 3.24591, 2.56763, 1.69511, 1.18967, 0.990664, 0.120145, -0.459937, -0.424914
4, 1, -0.982144, 13.7326, -0.870027, 0.391357, 0.346443, 1.01188, 0.965607, 1.85599, 3.54839, 3.17107, 2.4533, 16.6679, 16.2624, 2.20365, 16.098, 1.65023, 16.3086, 16.5678, 11.2407, -0.965337, -0.965337, -0.965337, 11.3949, -0.642641, -0.996302, -0.835255, -0.545498, -0.0589345, -0.0465559, -0.427086, -0.660803, -0.698778, -0.681732, 0.0189377, 1.31351, 1.39475
