AA, SS, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36
1, 1, 18.192, 4.37646, 18.192, 18.192, 3.27784, 2.29701, 3.27784, 3.68331, 18.192, 18.192, 18.192, 18.192, 18.192, 18.192, 18.192, 18.192, 18.192, 18.192, 18.192, 1.89155, -0.419335, -1.45249, -1.59225, -1.3139, -1.25476, -1.1765, -1.17262, -1.13293, -0.970652, -0.911811, -0.72949, 0.113776, 3.68331, 18.192, 18.192, 18.192
1, 2, 4.95739, 18.7729, 18.7729, 18.7729, 4.26424, 4.26424, 3.85878, 3.16563, 4.95739, 18.7729, 18.7729, 18.7729, 18.7729, 18.7729, 18.7729, 18.7729, 18.7729, 3.85878, 18.7729, 1.8219, 0.1616, -0.380147, -0.427104, -0.160603, -0.0924652, -0.0398215, -0.201665, -0.865655, -1.47071, -1.77004, -2.18068, -1.64926, 0.468754, 3.16563, 4.95739, 18.7729
1, 3, 4.51573, 18.3312, 18.3312, 3.41712, 1.05, -0.0168679, 0.754532, 1.87667, 2.90629, 3.82258, 4.51573, 18.3312, 18.3312, 18.3312, 18.3312, 18.3312, 4.51573, 4.51573, 18.3312, 18.3312, 3.82258, 3.41712, 2.43629, 1.80768, 1.29686, 0.665584, 0.878145, 0.665584, -0.0589794, -1.03723, -2.93957, -2.14484, 0.778062, 3.12944, 18.3312, 18.3312
2, 1, 17.8254, 17.8254, 17.8254, 17.8254, 2.62356, 3.31671, 2.62356, 17.8254, 17.8254, 17.8254, 4.00986, 17.8254, 17.8254, 17.8254, 17.8254, 17.8254, 17.8254, 17.8254, 17.8254, 2.40042, 0.181214, -0.554493, -1.27335, -1.66003, -1.61416, -1.49953, -1.41949, -1.18864, -1.0271, -0.794166, -0.511933, 0.483495, 2.40042, 17.8254, 17.8254, 17.8254
2, 2, 18.3196, 4.50412, 18.3196, 4.50412, 2.20154, 2.71236, 3.11783, 18.3196, 4.50412, 18.3196, 18.3196, 18.3196, 18.3196, 18.3196, 18.3196, 18.3196, 18.3196, 18.3196, 18.3196, 1.50839, 0.612301, -0.0602268, -0.332161, -0.997137, -1.0604, -1.07561, -1.09059, -1.1199, -1.39028, -1.49729, -1.77064, -1.17263, 1.17192, 3.11783, 18.3196, 4.50412
2, 3, 3.99514, 3.99514, 3.30199, 3.30199, 0.561151, -0.386889, 0.103318, 0.699301, 2.3857, 17.8106, 17.8106, 3.99514, 17.8106, 17.8106, 17.8106, 3.99514, 17.8106, 3.30199, 17.8106, 3.30199, 3.30199, 1.9157, 1.9157, 0.999406, 0.950615, 0.468777, -0.0302138, -0.115736, -0.335595, -1.48966, -2.80615, -1.72845, 1.51023, 3.30199, 2.20338, 17.8106
3, 1, 17.2278, 17.2278, 17.2278, 3.41225, 1.46634, 0.927341, 1.33281, 1.62049, 3.41225, 17.2278, 3.41225, 17.2278, 17.2278, 17.2278, 17.2278, 17.2278, 17.2278, 17.2278, 17.2278, 1.62049, 0.0110498, -0.4379, -1.0421, -0.850433, -1.4781, -1.46295, -1.4781, -1.61163, -1.50773, -0.931558, -0.4379, 1.80281, 3.41225, 17.2278, 17.2278, 17.2278
3, 2, 18.705, 18.705, 18.705, 18.705, 2.49162, 1.55731, 2.32456, 3.7909, 18.705, 18.705, 18.705, 18.705, 18.705, 18.705, 18.705, 18.705, 18.705, 4.19637, 18.705, 2.0563, 0.684821, -0.433497, -0.504114, -0.734504, -0.81093, -1.02938, -1.39462, -1.63844, -1.6939, -1.40391, -1.34686, -0.591126, 1.63142, 3.09775, 3.7909, 18.705
3, 3, 3.57759, 3.57759, 18.4917, 2.2783, -0.214151, -1.48078, -0.929604, 0.372133, 1.90361, 3.2899, 18.4917, 18.4917, 18.4917, 18.4917, 3.98305, 4.6762, 4.6762, 3.2899, 18.4917, 3.2899, 2.73029, 2.88444, 2.73029, 2.73029, 1.90361, 1.4181, 0.804997, 0.101487, 0.041469, -1.12894, -2.63569, -1.85322, 1.24221, 3.98305, 18.4917, 18.4917
4, 1, 17.3858, 17.3858, 17.3858, 17.3858, 3.57031, 2.87717, 2.4717, 2.18402, 17.3858, 17.3858, 17.3858, 17.3858, 17.3858, 17.3858, 17.3858, 17.3858, 17.3858, 17.3858, 17.3858, 1.6244, -0.0132041, -0.55682, -0.836404, -0.692365, -0.962285, -1.41329, -1.62264, -1.62818, -1.60583, -1.16588, -0.760418, -0.167355, 2.87717, 17.3858, 17.3858, 17.3858
