AA, SS, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36
1, 1, 12.6155, -1.50539, 11.9736, 13.8906, 1.27756, 1.49435, 2.35232, 2.75477, 17.2482, 16.9002, 16.1753, 15.3848, 15.0182, 14.8751, 14.6949, 15.0229, 15.0872, 15.2583, 10.3642, -0.28197, -1.33386, -1.62652, -1.38409, -0.655756, -0.366637, -0.295378, -0.28524, -0.210407, 0.0646366, 0.386625, 1.39405, 1.49315, 2.62634, 14.4585, 12.8491, 11.9736
1, 2, -0.619076, 12.8911, 12.5546, 14.4715, 2.26396, 3.46158, 2.93326, 2.23709, 4.0136, 17.4811, 16.7563, 15.9657, 15.5991, 15.456, 15.2759, 15.6039, 15.6681, 0.925119, 10.9452, -0.351623, -0.752921, -0.554177, -0.218939, 0.497545, 0.795654, 0.841305, 0.685716, 0.0568706, -0.435426, -0.471605, -0.0571425, -0.269885, -0.588217, -0.567785, -0.385462, 12.5546
1, 3, -1.06074, 12.4494, 12.1129, -0.884281, -0.950292, -0.819535, -0.17099, 0.948132, 1.96251, 2.53079, 2.49911, 15.5241, 15.1574, 15.0143, 14.8342, 15.1622, 1.41092, 1.58207, 10.5035, 16.1577, 2.90806, 3.24309, 2.64446, 2.46583, 2.18497, 1.54671, 1.76553, 1.58811, 0.976309, 0.261208, -0.816027, -0.76547, -0.27891, -0.603979, 12.9884, 12.1129
2, 1, 12.2489, 11.9435, 11.607, 13.524, 0.623274, 2.51404, 1.69804, 16.8968, 16.8816, 16.5336, 1.99324, 15.0182, 14.6516, 14.5085, 14.3283, 14.6563, 14.7206, 14.8917, 9.99763, 0.226898, -0.733307, -0.728522, -1.06518, -1.00188, -0.726043, -0.618407, -0.53211, -0.266116, 0.00819116, 0.50427, 1.61161, 1.86287, 1.34345, 14.0919, 12.4825, 11.607
2, 2, 12.7432, -1.37773, 12.1013, 0.202721, 0.201249, 1.90969, 2.19231, 17.3911, 3.56033, 17.0278, 16.303, 15.5125, 15.1458, 15.0027, 14.8226, 15.1506, 15.2148, 15.386, 10.4919, -0.66513, -0.30222, -0.234256, -0.123996, -0.338989, -0.17228, -0.194482, -0.203209, -0.19737, -0.354993, -0.198857, 0.352899, 0.206741, 0.114945, -0.61559, 12.9768, -1.7142
2, 3, -1.58133, -1.88671, -2.91633, -0.999409, -1.43914, -1.18956, -0.822204, -0.229241, 1.44191, 16.5189, 15.794, 1.18796, 14.6368, 14.4937, 14.3136, 0.826088, 14.7058, 0.368331, 9.98292, 1.12847, 2.38747, 1.74167, 2.12386, 1.65755, 1.83873, 1.3499, 0.857167, 0.80679, 0.699693, -0.191223, -0.682605, -0.349073, 0.453259, -0.431426, -3.13947, 11.5923
3, 1, 11.6513, 11.3459, 11.0094, -0.889153, -0.53395, 0.124673, 0.407284, 0.691945, 2.46846, 15.936, 1.39563, 14.4206, 14.054, 13.9109, 13.7307, 14.0587, 14.1229, 14.2941, 9.40003, -0.553032, -0.903471, -0.61193, -0.833935, -0.192285, -0.589983, -0.581824, -0.590721, -0.689108, -0.472445, 0.366878, 1.68564, 3.18218, 2.35528, 13.4943, 11.8849, 11.0094
3, 2, 13.1286, 12.8232, 12.4867, 14.4036, 0.491331, 0.754641, 1.39904, 2.86236, 17.7612, 17.4132, 16.6884, 15.8978, 15.5312, 15.3881, 15.208, 15.536, 15.6002, 1.26271, 10.8773, -0.117219, -0.2297, -0.607526, -0.295949, -0.0763566, 0.0771886, -0.148254, -0.50724, -0.715919, -0.658607, -0.10547, 0.776683, 0.788248, 0.574445, -0.635663, -1.55195, 12.4867
3, 3, -1.99888, -2.30426, 12.2734, -2.0231, -2.21444, -2.28345, -1.85513, -0.556409, 0.959823, 1.99811, 16.4751, 15.6845, 15.3179, 15.1748, 0.486023, 1.50715, 1.57139, 0.356244, 10.664, 1.11638, 1.81577, 2.71041, 2.93845, 3.38844, 2.79173, 2.29923, 1.69238, 1.02401, 1.07676, 0.169499, -0.512148, -0.473847, 0.185239, 0.249634, 13.1489, 12.2734
4, 1, 11.8094, 11.504, 11.1675, 13.0844, 1.57003, 2.0745, 1.54618, 1.25548, 16.442, 16.094, 15.3692, 14.5786, 14.212, 14.0689, 13.8888, 14.2168, 14.281, 14.4522, 9.55809, -0.549115, -0.927725, -0.730849, -0.628239, -0.0342174, -0.0741658, -0.532166, -0.735261, -0.705656, -0.570546, 0.132553, 1.36312, 1.21202, 1.8202, 13.6524, 12.043, 11.1675
