AA, SS, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36
1, 1, 5.64985, 5.64985, 6.343, 5.64985, 3.77805, 3.12413, 3.77805, 4.95671, 5.24439, 6.343, 6.343, 20.1585, 6.343, 20.1585, 6.343, 6.343, 20.1585, 4.73356, 20.1585, 2.06634, 0.369192, -0.264999, -0.365083, -0.212356, -0.149239, -0.138576, 0.0644799, 0.171301, 0.283878, 0.209603, 0.314723, 1.2131, 3.34727, 4.55124, 5.64985, 20.1585
1, 2, 19.0285, 5.21297, 19.0285, 19.0285, 3.82668, 2.26853, 3.13353, 3.82668, 19.0285, 19.0285, 5.21297, 5.21297, 19.0285, 5.21297, 19.0285, 4.51982, 5.21297, 2.50492, 19.0285, 0.882238, -0.494139, -0.839118, -0.887348, -0.664765, -0.65066, -0.675907, -0.973237, -1.56239, -2.08885, -2.48142, -2.72369, -2.24982, -0.480761, 1.11863, 2.72806, 3.42121
1, 3, 4.08083, 4.48629, 4.08083, 3.1, 1.54185, 0.535049, 1.13639, 2.28907, 3.57, 4.48629, 4.48629, 5.17944, 5.87259, 19.6881, 5.17944, 5.87259, 3.30764, 3.67536, 19.6881, 4.26315, 3.30764, 2.40685, 2.18371, 1.9023, 1.54185, 1.31871, 0.888981, 0.549577, 0.0584566, -1.22661, -2.75292, -2.01687, 0.483515, 2.37608, 3.92668, 19.6881
2, 1, 5.70007, 19.5156, 5.70007, 5.00692, 3.75416, 3.06101, 3.13512, 3.90831, 4.60146, 19.5156, 19.5156, 5.70007, 19.5156, 19.5156, 19.5156, 19.5156, 19.5156, 5.70007, 19.5156, 2.14472, 0.981573, 0.0760544, -0.372973, -0.811673, -0.868006, -0.65777, -0.645564, -0.388973, -0.253171, -0.0429313, 0.166682, 0.999592, 2.8097, 4.60146, 19.5156, 19.5156
2, 2, 4.92766, 18.7432, 18.7432, 3.82904, 3.1359, 1.88313, 2.52976, 2.84821, 4.92766, 4.92766, 4.92766, 18.7432, 4.92766, 18.7432, 18.7432, 18.7432, 4.92766, 3.82904, 4.92766, 0.976412, 0.0223814, -0.581732, -1.04105, -1.34711, -1.51488, -1.41622, -1.55392, -1.7853, -1.99005, -2.15741, -2.30868, -1.7096, -0.375649, 1.83661, 2.62507, 3.82904
2, 3, 3.75742, 19.3647, 3.93975, 3.2466, 0.934064, -0.0153362, 0.443239, 1.63716, 3.15129, 3.75742, 5.54918, 19.3647, 19.3647, 19.3647, 5.54918, 4.16289, 5.54918, 3.35196, 19.3647, 5.54918, 3.35196, 3.06428, 2.41369, 1.78798, 1.69904, 1.08328, 0.499328, 0.334248, 0.155557, -1.0642, -2.33577, -1.23753, 1.24512, 3.93975, 19.3647, 4.85604
3, 1, 4.9752, 18.7907, 4.9752, 3.87659, 2.26715, 2.14199, 2.41025, 3.58891, 3.87659, 18.7907, 4.28205, 18.7907, 18.7907, 18.7907, 18.7907, 18.7907, 4.9752, 4.9752, 18.7907, 2.5773, 0.986216, 0.486564, 0.0479463, -0.292658, -0.475838, -0.509597, -0.711775, -0.718532, -0.656012, -0.195284, 0.390233, 1.39168, 3.02929, 18.7907, 18.7907, 18.7907
3, 2, 4.13783, 17.9533, 4.13783, 3.44468, 1.24746, 0.309188, 0.703842, 2.52839, 4.13783, 17.9533, 17.9533, 17.9533, 4.13783, 17.9533, 17.9533, 4.13783, 17.9533, 4.13783, 17.9533, 0.206004, -1.22815, -1.88319, -2.00636, -2.30312, -2.47017, -2.66345, -2.95391, -3.18534, -3.21333, -3.04376, -2.92007, -2.28542, -0.666191, 0.841993, 2.05839, 2.05839
3, 3, 3.96767, 4.12182, 4.30414, 2.15238, -0.0396653, -1.00808, -0.549451, 0.610273, 2.30266, 4.30414, 4.12182, 5.22043, 19.7291, 5.22043, 19.7291, 4.81497, 5.91358, 2.91785, 19.7291, 4.81497, 2.73552, 2.61774, 2.47959, 2.58137, 2.6947, 1.83604, 0.971936, 0.475499, 0.0358423, -1.05527, -2.46343, -1.63234, 0.807633, 2.96914, 4.81497, 4.81497
4, 1, 4.76939, 19.278, 4.76939, 4.07624, 2.82348, 2.41801, 2.68995, 3.51663, 5.46254, 19.278, 5.46254, 19.278, 19.278, 19.278, 19.278, 5.46254, 19.278, 19.278, 19.278, 2.24366, 0.940748, 0.520894, 0.451901, 0.419111, 0.0734645, -0.150592, -0.39825, -0.513815, -0.580097, -0.117194, 0.338572, 1.19986, 2.97763, 4.76939, 19.278, 19.278
