AA, SS, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36
1, 1, 0.0290155, -0.743025, 0.36055, 0.904484, 0.730089, 1.07718, 1.68621, 2.78377, 2.9963, 3.75246, 3.12942, 16.2518, 2.01263, 15.509, 1.75914, 1.86792, 15.9101, 0.805489, 11.6404, -1.03959, -1.64054, -1.66329, -1.40568, -0.793782, -0.494182, -0.466006, -0.257214, -0.0939933, 0.159076, 0.443718, 1.38159, 1.53869, 1.63361, 0.877298, 0.486004, 14.2614
1, 2, 15.1583, 0.570784, 14.7967, 16.0338, 2.52941, 1.97228, 2.79238, 3.40444, 18.5311, 18.1886, 3.75008, 3.05693, 16.4488, 2.31413, 16.1953, 1.79544, 2.71523, 0.327539, 12.2611, -0.472997, -0.753181, -0.486718, -0.177253, 0.504502, 0.755089, 0.747356, 0.455761, -0.0769963, -0.46296, -0.496614, 0.0938666, -0.173533, -0.443723, -0.804625, -0.685093, -0.725188
1, 3, -0.543085, -0.909661, -0.904699, -0.648446, -0.509184, -0.51497, 0.0414694, 1.11306, 2.31884, 2.89268, 2.26964, 2.26964, 2.53914, 16.0355, 1.59251, 2.39443, 0.0561298, 0.744214, 12.1669, 2.15415, 2.29483, 2.00548, 2.14004, 2.31779, 2.19384, 1.98821, 1.56421, 1.28121, 0.93058, 0.00442545, -0.689134, -0.694354, -0.233214, -0.300939, -0.240248, 14.7879
2, 1, 0.432316, 13.4758, 0.070703, 0.614638, 1.05928, 1.36715, 1.39636, 2.08846, 2.70645, 17.2781, 16.6551, 2.14642, 15.5383, 15.2191, 15.2848, 15.3936, 15.6202, 2.12508, 11.3505, -0.60812, -0.675079, -0.969156, -1.06049, -1.04002, -0.859867, -0.632118, -0.614176, -0.301184, -0.0248904, 0.544266, 1.58663, 1.67827, 1.44913, 1.2806, 14.7048, 13.9716
2, 2, 0.99173, 14.0352, 14.4456, 0.768587, 1.77285, 1.5211, 2.12283, 2.36019, 4.36448, 4.02203, 3.39899, 16.5213, 2.2822, 15.7785, 15.8442, 15.953, 2.36414, 1.58588, -1.90556, -0.444602, -0.30244, -0.295113, -0.396736, -0.243619, -0.174915, -0.0587415, -0.190702, -0.365681, -0.429938, -0.238381, 0.443093, 0.300903, -0.404391, -0.152417, -0.853867, -0.383135
2, 3, -1.2063, 13.6289, -1.38559, -0.841658, -1.45679, -1.40517, -0.991493, 0.121341, 1.56031, 1.824, 2.99271, 16.1151, 15.6914, 15.3723, 1.62244, 0.344923, 1.95786, 0.080998, 11.5037, 3.10037, 1.99934, 2.3231, 2.03021, 1.86367, 2.01121, 1.41296, 0.834747, 0.726067, 0.687868, -0.172973, -0.611793, -0.254828, 0.188577, 0.922915, 14.858, -0.383942
3, 1, -0.376751, 12.6667, -0.738364, -0.599895, -0.511926, 0.363929, 0.587293, 1.68486, 1.89739, 16.4691, 1.33736, 15.1529, 14.7292, 14.4101, 14.4757, 14.5845, 0.995654, 1.31601, 10.5415, -0.259735, -0.754631, -0.642842, -0.723764, -0.605197, -0.551894, -0.56814, -0.764582, -0.714939, -0.511926, 0.307718, 1.72598, 1.98616, 1.58452, 15.3857, 13.8957, 13.1625
3, 2, 1.23323, 14.2767, 0.871617, 1.41555, 0.915733, 0.978482, 1.32824, 3.0717, 4.60598, 18.079, 17.456, 16.7628, 2.5237, 16.02, 16.0857, 2.37899, 16.4211, 2.92599, 12.1515, -0.183684, -0.521642, -0.565248, -0.330715, -0.168304, -0.0988757, -0.274645, -0.559368, -0.734396, -0.621892, -0.0934091, 0.863033, 0.756414, 0.336392, -0.115712, -0.389224, -1.12247
3, 3, -0.736211, -1.3541, -0.761352, -1.67603, -2.17067, -2.13806, -1.72434, -0.6457, 0.971532, 2.63056, 1.8252, 2.23066, 16.3157, 1.48785, 16.0622, 1.25685, 2.5821, -0.0932689, 12.1279, 2.626, 1.64275, 2.13641, 2.35595, 2.91691, 3.26672, 2.42557, 1.5672, 1.12716, 0.828, 0.095802, -0.47961, -0.389788, 0.0109373, 0.212155, 0.568075, -0.165166
4, 1, -0.829966, 12.9067, -1.19158, -0.647645, -0.203001, 0.392553, 0.619586, 1.36518, 3.23593, 16.709, 2.27044, 15.3928, 14.9692, 14.65, 14.7157, 1.00894, 15.0511, 15.3715, 10.7814, -0.840783, -1.0475, -0.855916, -0.567213, -0.140831, -0.249995, -0.456538, -0.698461, -0.757625, -0.683415, 0.138405, 1.42692, 1.54693, 1.28546, 1.11693, 14.1357, 13.4024
4, 2, 15.3919, 14.6198, 15.0303, 2.45184, 2.35749, 1.65376, 2.62046, 3.23252, 18.7646, 18.4222, 17.7991, 17.106, 16.6824, 16.3632, 16.4289, 16.5376, 2.94878, 1.32323, 12.4946, -0.239446, -0.36548, -0.257863, -0.101051, 0.291429, 0.275802, 0.0853274, -0.367278, -0.693675, -0.805743, -0.279772, 0.529081, 0.468357, 0.0282383, -0.34793, -0.674686, -0.0861719
