AA, SS, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36
1, 1, -3.34695, -1.57745, 0.127856, 1.23881, 2.10071, 2.20118, 2.75069, 3.29979, 3.2067, 3.25217, 3.25217, 3.32449, 3.2067, 2.7367, 2.85448, 2.02976, 1.67103, 1.63809, 1.63347, 2.05754, 3.04307, 3.96884, 4.71078, 5.91475, 7.01337, 6.32022, 20.8289, 7.01337, 20.8289, 7.01337, 20.8289, 7.01337, 7.01337, 20.8289, 20.8289, 20.8289
1, 2, -2.72459, -2.24414, -1.43764, -0.609707, 0.379386, 1.29984, 1.82113, 1.80374, 2.05752, 2.36768, 1.83883, 1.89389, 1.50747, 1.22945, 1.20074, 0.901339, 0.555916, 0.484286, 1.0935, 1.99298, 2.86845, 4.25475, 5.17104, 3.91827, 4.07242, 3.91827, 4.25475, 5.86418, 5.86418, 4.47789, 2.97381, 1.89389, 1.65949, 4.47789, 19.6797, 5.86418
1, 3, -2.38056, -1.92216, -1.26369, -0.722693, -0.372328, -0.0692536, 0.0371889, 0.379089, 0.450124, 0.412005, 0.607005, 0.413976, 0.354628, 0.332569, 0.199947, 0.104347, -0.0155242, 0.264061, 0.825376, 1.56108, 2.51535, 3.59796, 3.24129, 3.34665, 3.93444, 4.44526, 4.15758, 3.42361, 3.64675, 3.38439, 3.11613, 2.92891, 3.11613, 3.38439, 4.56305, 20.458
2, 1, -3.23324, -1.89776, -0.558772, 0.456209, 1.4991, 2.10659, 2.3223, 2.75593, 2.81477, 3.05318, 3.01544, 3.05318, 3.60323, 2.75593, 2.1524, 2.28593, 1.82264, 1.86863, 2.26823, 2.48264, 3.22024, 4.0087, 20.1268, 20.1268, 20.1268, 6.31128, 20.1268, 20.1268, 20.1268, 20.1268, 20.1268, 6.31128, 6.31128, 20.1268, 20.1268, 20.1268
2, 2, -2.73423, -2.21185, -1.53631, -0.758553, 0.432499, 1.33537, 1.57956, 1.42238, 1.81879, 1.96398, 2.02851, 1.62305, 1.38666, 1.55851, 1.16703, 0.804738, 0.738363, 0.738363, 1.30258, 2.86476, 4.3311, 4.73656, 5.42971, 4.73656, 4.73656, 5.42971, 5.42971, 4.73656, 5.42971, 3.63795, 3.12713, 3.82027, 3.4838, 5.42971, 19.2452, 19.2452
2, 3, -2.29227, -1.91613, -1.38114, -0.96705, -0.58314, -0.255384, -0.0330186, -0.0952442, 0.222753, 0.522229, 0.482357, 0.492177, 0.456632, 0.314802, 0.16895, 0.284949, 0.505422, 0.745373, 1.25338, 1.9751, 2.77522, 3.7243, 3.64426, 3.50115, 3.81131, 3.7243, 3.90662, 4.01198, 3.81131, 3.81131, 3.07371, 3.31883, 3.50115, 4.82291, 5.51606, 6.2092
3, 1, -3.09867, -2.07978, -0.834082, -0.0763078, 0.257894, 1.34467, 1.8555, 2.29082, 2.49149, 2.65183, 2.49149, 2.32159, 2.32159, 2.00313, 1.98066, 1.95868, 2.26096, 2.65183, 2.95411, 3.22237, 4.40103, 4.17789, 5.78732, 5.78732, 19.6028, 19.6028, 19.6028, 19.6028, 5.09418, 19.6028, 19.6028, 19.6028, 5.78732, 19.6028, 19.6028, 19.6028
3, 2, -2.37287, -2.21195, -1.63978, -0.992526, -0.657109, 0.039735, 0.467673, 0.526169, 0.68233, 0.801875, 1.05319, 1.25613, 1.09486, 1.25613, 1.28145, 1.68691, 1.72613, 1.47927, 2.30595, 2.86557, 3.33557, 4.25186, 4.94501, 18.7605, 4.25186, 18.7605, 4.94501, 3.55872, 3.33557, 1.85397, 1.38966, 1.61281, 2.1118, 3.15325, 3.33557, 18.7605
3, 3, -2.10375, -1.86406, -1.53073, -1.23779, -0.889896, -0.53435, -0.271233, -0.205497, 0.0558221, 0.284922, 0.400929, 0.4534, 0.629679, 0.51413, 0.69395, 1.17385, 1.57759, 1.935, 2.21531, 2.21531, 2.74593, 3.03362, 3.20269, 3.47298, 3.34377, 3.25676, 3.40629, 2.81493, 2.76274, 2.48357, 2.63559, 2.48357, 2.29698, 1.72229, 2.14893, 3.1514
4, 1, -3.19942, -1.9621, -0.603111, 0.468922, 1.30643, 1.68942, 1.80721, 2.57832, 2.45156, 2.82194, 2.85703, 2.55165, 1.98454, 1.78251, 1.83252, 1.87175, 2.40504, 2.29741, 3.14471, 3.24479, 3.79134, 3.99201, 6.18923, 6.18923, 20.0047, 20.0047, 20.0047, 20.0047, 20.0047, 20.0047, 20.0047, 20.0047, 20.0047, 20.0047, 20.0047, 20.0047
4, 2, -2.50319, -2.19213, -1.55137, -0.997869, -0.363627, 0.381706, 0.823539, 1.20838, 1.63447, 1.6037, 1.27156, 1.11122, 0.85171, 0.837525, 0.880697, 0.730757, 0.866099, 1.27156, 1.73291, 2.32762, 3.30845, 18.9157, 4.00159, 5.10021, 4.40706, 3.30845, 1.84211, 3.02076, 2.79762, 2.39215, 2.39215, 2.26699, 3.02076, 2.90298, 3.71391, 5.10021
4, 3, -2.16873, -1.91631, -1.4597, -1.04948, -0.723928, -0.469779, -0.210796, 0.00869755, 0.232321, 0.343828, 0.377915, 0.580128, 0.553326, 0.45277, 0.678158, 0.967089, 0.984744, 1.31665, 1.9216, 2.46992, 2.75386, 3.02673, 3.22088, 3.37504, 3.17436, 3.00731, 3.04653, 2.7689, 2.45874, 2.14637, 2.23117, 2.32383, 1.68555, 0.894769, 1.47792, 2.62782
5, 1, -3.16852, -1.91855, -0.669955, 0.483533, 0.78672, 1.6134, 2.35534, 1.82471, 2.09297, 3.04848, 3.04848, 3.04848, 1.82471, 1.47987, 1.94987, 1.13156, 1.22393, 1.94987, 1.71348, 2.09297, 3.04848, 3.96477, 18.4734, 18.4734, 18.4734, 18.4734, 18.4734, 4.65792, 18.4734, 18.4734, 18.4734, 18.4734, 18.4734, 18.4734, 18.4734, 18.4734
5, 2, -2.35353, -2.25758, -1.83452, -0.693941, 0.234326, 1.06965, 1.39507, 1.25197, 1.60864, 1.51767, 1.51767, 0.891966, 0.27114, 1.01558, 0.964287, 0.891966, -0.206646, -0.047314, 1.70873, 2.86141, 3.55455, 18.4687, 4.65317, 3.55455, 4.65317, 3.96002, 3.96002, 3.04373, 3.55455, 2.86141, 2.70726, 2.45594, 2.86141, 3.04373, 18.4687, 18.4687
5, 3, -1.98575, -1.77861, -1.40356, -0.969087, -0.582364, -0.337094, -0.30611, -0.337094, -0.316545, -0.126582, 0.0123434, 0.0123434, -0.0437461, 0.151384, -0.101157, 0.0717668, 0.764914, 1.13037, 1.47868, 1.98259, 3.55812, 3.40397, 4.25127, 4.65673, 3.74044, 3.15266, 2.86497, 3.15266, 3.15266, 2.78493, 2.86497, 2.57729, 3.74044, 3.96359, 3.55812, 19.1654
6, 1, -3.26946, -1.72851, -0.622851, 0.475761, 1.5971, 2.03766, 2.03766, 2.25635, 2.53665, 3.11857, 3.5781, 3.42395, 2.97197, 2.73081, 2.66181, 2.27882, 1.68098, 1.87335, 2.30181, 2.97197, 3.2298, 5.36986, 6.06301, 19.8785, 19.8785, 19.8785, 19.8785, 19.8785, 6.06301, 19.8785, 19.8785, 6.06301, 19.8785, 19.8785, 6.06301, 19.8785
6, 2, -2.72828, -2.24982, -1.51389, -0.546658, 0.439995, 1.05238, -0.0288394, 0.795336, 1.89395, 2.22245, 2.16839, 1.81699, 1.89395, 1.93477, 1.64709, 1.181, 1.10549, 1.08747, 1.55748, 2.9156, 4.41968, 4.41968, 4.41968, 5.11282, 4.01421, 18.9283, 4.41968, 5.11282, 4.41968, 3.72653, 3.16691, 3.72653, 4.01421, 18.9283, 18.9283, 18.9283
6, 3, -2.23822, -1.97121, -1.62682, -1.08195, -0.532445, -0.234381, 0.0847847, 0.335726, 0.39803, 0.523431, 0.639192, 0.586082, 0.548023, 0.519391, 0.239806, 0.441833, 0.527488, 0.879528, 1.05609, 2.4219, 2.9883, 3.46787, 3.46787, 4.42338, 4.42338, 4.42338, 5.33967, 3.08838, 2.85477, 3.46787, 3.95338, 3.46787, 3.08838, 3.73023, 6.03282, 6.03282
7, 1, -3.27149, -1.81646, -0.376308, 0.882987, 1.90226, 2.54581, 2.6476, 3.08943, 2.80175, 3.23896, 3.37711, 3.17644, 3.37711, 2.54581, 2.36888, 2.15116, 2.00951, 1.68251, 1.20489, 2.24213, 3.1176, 4.88119, 5.9798, 20.4885, 6.67295, 20.4885, 6.67295, 20.4885, 6.67295, 6.67295, 6.67295, 20.4885, 20.4885, 20.4885, 20.4885, 20.4885
7, 2, -2.75814, -2.23697, -1.45944, -0.370057, 0.533913, 1.44681, 2.02784, 1.91343, 1.71768, 1.59252, 1.6957, 1.71768, 1.55405, 1.24768, 0.949635, 0.589872, 0.656811, 0.664533, 0.832998, 1.99799, 3.91491, 4.42573, 4.8312, 5.52435, 4.42573, 5.52435, 4.42573, 19.3399, 4.13805, 3.73259, 3.22176, 2.88529, 4.42573, 5.52435, 19.3399, 19.3399
7, 3, -2.26141, -2.00185, -1.52434, -0.907173, -0.438001, -0.0614917, 0.0880922, 0.237563, 0.3578, 0.455817, 0.576653, 0.380162, 0.48051, 0.333527, 0.312174, 0.233216, 0.400467, 0.561479, 1.06331, 1.63042, 2.35928, 3.14774, 3.72756, 4.16939, 3.5334, 4.06403, 3.72756, 4.16939, 3.80166, 3.59402, 4.4207, 3.5334, 3.96872, 5.268, 4.75718, 4.75718
8, 1, -3.17412, -1.84322, -0.723176, 0.300683, 0.90264, 1.06139, 1.46685, 1.55094, 1.56864, 1.78733, 2.12825, 2.03864, 2.01047, 2.54947, 2.50295, 2.8214, 2.59826, 2.54947, 2.37511, 2.06763, 1.83279, 2.29815, 4.49538, 3.80223, 4.20769, 3.80223, 3.80223, 4.90084, 4.20769, 4.90084, 5.59399, 3.98455, 3.80223, 5.59399, 19.4095, 19.4095
8, 2, -2.20139, -1.84399, -1.21174, -0.63361, 0.241415, 1.25835, 1.74019, 1.58604, 2.01212, 1.92251, 2.18202, 2.07666, 1.67119, 1.2882, 0.209999, -0.0234009, 1.00052, 0.934562, 0.934562, 1.08341, 0.966998, 2.01212, 2.48213, 3.17527, 3.6861, 3.28063, 2.99295, 1.74019, -0.0515718, 0.823897, 1.01195, 0.220362, -0.153355, -0.617967, -0.742733, 0.0706855
8, 3, -2.30745, -1.83854, -1.19941, -0.592729, 0.00065083, 0.400124, 0.84395, 0.899959, 1.0207, 1.05806, 1.0392, 0.746864, 0.626409, 0.39744, 0.244439, 0.158514, 0.0872252, 0.253684, 0.411841, 0.9044, 1.41622, 1.90018, 2.06104, 2.37421, 2.58932, 2.57344, 2.57344, 2.38068, 2.18119, 1.73746, 1.26703, 0.873719, 0.443152, 0.20829, 0.0423747, 0.580298
9, 1, -3.11519, -1.9401, -0.885778, -0.271653, 0.431347, 1.3088, 1.64527, 2.56156, 1.67917, 2.96703, 2.64857, 2.48152, 2.56156, 2.1561, 2.05073, 2.05073, 1.82759, 1.75063, 1.49112, 2.21325, 2.96703, 18.862, 18.862, 18.862, 5.04647, 18.862, 18.862, 18.862, 18.862, 18.862, 18.862, 5.04647, 18.862, 18.862, 18.862, 18.862
9, 2, -2.3681, -2.17434, -1.74589, -1.62227, -0.218278, 0.828149, 1.43995, 1.57348, 0.954442, 1.90995, 1.77019, 1.96125, 1.68681, 1.07704, 0.935394, 0.794812, 0.657191, 0.954442, 2.1331, 2.70846, 3.11393, 4.21254, 4.21254, 18.7212, 4.21254, 4.21254, 3.51939, 4.90569, 4.21254, 4.21254, 2.82624, 3.80707, 3.11393, 4.90569, 18.7212, 18.7212
