AA, SS, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36
1, 1, -0.564723, 0.396067, 1.35123, 1.78491, 2.02254, 1.71113, 2.01917, 2.4204, 2.1423, 2.13694, 2.12107, 2.23036, 2.21347, 1.82677, 2.03025, 1.26247, 0.899395, 0.752501, 0.385919, 0.14524, 0.457741, 0.73547, 0.989226, 1.87531, 2.88937, 2.20073, 16.7684, 3.14369, 17.3946, 3.76785, 17.8929, 4.43818, 4.6536, 18.5781, 18.512, 17.8088
1, 2, 0.0576359, -0.270622, -0.21426, -0.0636081, 0.301214, 0.809785, 1.08962, 0.924347, 0.993121, 1.25245, 0.707734, 0.799765, 0.514238, 0.319524, 0.376513, 0.134048, -0.215721, -0.4013, -0.15405, 0.0806836, 0.283119, 1.02137, 1.44948, -0.121168, -0.0515744, -0.20121, 0.194295, 1.99451, 2.42993, 1.23237, 0.0378223, -0.681294, -0.700273, 2.22708, 17.3628, 2.84406
1, 3, 0.401662, 0.0513542, -0.0403135, -0.176594, -0.4505, -0.559304, -0.694323, -0.500304, -0.614275, -0.703224, -0.524093, -0.680151, -0.638609, -0.577362, -0.624284, -0.662943, -0.787161, -0.621525, -0.422173, -0.351216, -0.0699801, 0.364591, -0.480265, -0.692791, -0.189562, 0.325779, 0.0971301, -0.446061, 0.212504, 0.138873, 0.180137, 0.35373, 0.756363, 1.13359, 2.24615, 17.4379
2, 1, -0.451021, 0.0757612, 0.664606, 1.00231, 1.42092, 1.61654, 1.59079, 1.87654, 1.75037, 1.93796, 1.88435, 1.95906, 2.60999, 1.846, 1.32817, 1.51864, 1.05101, 0.983044, 1.02068, 0.570341, 0.634906, 0.775322, 16.4052, 16.0874, 16.0028, 2.1918, 16.0663, 16.2571, 16.6925, 16.8813, 17.1908, 3.7361, 3.95152, 17.876, 17.8099, 17.1067
2, 2, 0.0479919, -0.238337, -0.312935, -0.212454, 0.354326, 0.845316, 0.848052, 0.542985, 0.754394, 0.848746, 0.897416, 0.528922, 0.393423, 0.64858, 0.3428, 0.0374478, -0.0332732, -0.147223, 0.0550276, 0.952463, 1.74577, 1.50319, 1.70816, 0.697123, 0.612566, 1.31023, 1.36926, 0.866892, 1.99546, 0.392434, 0.191137, 1.24509, 1.12404, 3.17891, 16.9283, 16.2251
2, 3, 0.489956, 0.0573861, -0.157764, -0.420951, -0.661312, -0.745434, -0.76453, -0.974637, -0.841647, -0.593, -0.648741, -0.60195, -0.536605, -0.595129, -0.655281, -0.482342, -0.266214, -0.140213, 0.00582848, 0.0627993, 0.189885, 0.490924, -0.0772991, -0.538286, -0.312689, -0.395186, -0.153831, 0.142308, 0.377059, 0.565792, 0.137721, 0.743648, 1.14139, 2.57211, 3.19916, 3.18908
3, 1, -0.316449, -0.106266, 0.389296, 0.469791, 0.179722, 0.854621, 1.12399, 1.41142, 1.42709, 1.5366, 1.36039, 1.22746, 1.32835, 1.0932, 1.15643, 1.19139, 1.48933, 1.76624, 1.70656, 1.31008, 1.8157, 0.944512, 2.06577, 1.74788, 15.4788, 15.4834, 15.5424, 15.7332, 1.65993, 16.3573, 16.6668, 17.0276, 3.42756, 17.352, 17.2859, 16.5827
3, 2, 0.409355, -0.23843, -0.416403, -0.446427, -0.735282, -0.450316, -0.263839, -0.353224, -0.38207, -0.313354, -0.0779087, 0.162003, 0.101625, 0.3462, 0.457217, 0.919623, 0.954498, 0.593688, 1.0584, 0.953269, 0.750239, 1.01849, 1.22346, 14.7211, 0.127864, 14.641, 0.88456, -0.310956, -0.0986787, -1.39155, -1.54633, -0.96238, -0.247967, 0.902445, 1.01867, 15.7404
3, 3, 0.678473, 0.109459, -0.307353, -0.69169, -0.968068, -1.0244, -1.00274, -1.08489, -1.00858, -0.830307, -0.730169, -0.640727, -0.363558, -0.395801, -0.130281, 0.406562, 0.805953, 1.04942, 0.967757, 0.303007, 0.160602, -0.199757, -0.518861, -0.566458, -0.780227, -0.862723, -0.654158, -1.05474, -0.671509, -0.761947, -0.300403, -0.0916148, -0.0627792, -0.52852, -0.167966, 0.131279
4, 1, -0.417199, 0.0114165, 0.620267, 1.01502, 1.22826, 1.19937, 1.0757, 1.69892, 1.38716, 1.70671, 1.72593, 1.45752, 0.991304, 0.872584, 1.00829, 1.10445, 1.63341, 1.41183, 1.89716, 1.3325, 1.20601, 0.758635, 2.46768, 2.14979, 15.8807, 15.8853, 15.9443, 16.1351, 16.5705, 16.7592, 17.0688, 17.4296, 17.645, 17.7539, 17.6878, 16.9846
4, 2, 0.279028, -0.218616, -0.327988, -0.45177, -0.441799, -0.108344, 0.0920275, 0.328992, 0.57007, 0.488468, 0.140466, 0.0170941, -0.141527, -0.0724052, 0.0564665, -0.0365332, 0.0944622, 0.385978, 0.48536, 0.415318, 0.723113, 15.6823, 0.280038, 1.06076, 0.28306, -0.811038, -2.21834, -0.848908, -0.636631, -0.853363, -0.543834, -0.308193, 0.661, 0.652176, 1.39701, 2.08008
4, 3, 0.613491, 0.0572029, -0.236324, -0.50338, -0.802101, -0.95983, -0.942307, -0.870695, -0.832079, -0.771401, -0.753183, -0.513999, -0.439911, -0.45716, -0.146073, 0.199799, 0.213108, 0.431061, 0.674052, 0.557619, 0.168529, -0.206645, -0.50067, -0.664406, -0.949634, -1.11217, -1.01392, -1.10077, -0.975506, -1.09915, -0.704823, -0.25136, -0.674209, -1.35604, -0.838982, -0.3923
5, 1, -0.386301, 0.0549677, 0.553423, 1.02963, 0.708547, 1.12335, 1.62382, 0.945314, 1.02857, 1.93325, 1.91738, 1.95436, 0.83147, 0.569936, 1.12564, 0.36427, 0.452297, 1.06428, 0.465933, 0.180673, 0.46315, 0.7314, 14.7519, 14.434, 14.3494, 14.3539, 14.413, 0.788249, 15.0392, 15.2279, 15.5374, 15.8982, 16.1137, 16.2226, 16.1565, 15.4533
5, 2, 0.428693, -0.284068, -0.611139, -0.147842, 0.156153, 0.579597, 0.663558, 0.372576, 0.544245, 0.402443, 0.386574, -0.202161, -0.722097, 0.10565, 0.140056, 0.124676, -0.978282, -0.9329, 0.461178, 0.949108, 0.969222, 15.2353, 0.931612, -0.484887, 0.529168, -0.159464, -0.100431, -0.825943, 0.120304, -0.384111, -0.228733, -0.119243, 0.501643, 0.792924, 16.1518, 15.4486
5, 3, 0.796469, 0.194902, -0.180178, -0.422988, -0.660536, -0.827145, -1.03762, -1.21649, -1.38094, -1.24181, -1.11875, -1.08178, -1.03698, -0.758546, -0.925388, -0.695524, -0.00672239, 0.244788, 0.231131, 0.0702868, 0.972789, 0.170598, 0.529715, 0.617293, -0.383555, -0.966827, -1.19548, -0.717015, -0.281594, -0.460585, -0.0710146, 0.00210769, 1.38068, 1.71278, 1.24122, 16.1453
6, 1, -0.487238, 0.245003, 0.600527, 1.02186, 1.51893, 1.54761, 1.30615, 1.37695, 1.47225, 2.00334, 2.447, 2.32983, 1.97873, 1.82087, 1.83758, 1.51153, 0.909347, 0.987769, 1.05426, 1.05967, 0.644464, 2.13649, 2.34146, 15.8391, 15.7545, 15.759, 15.8181, 16.0088, 2.62876, 16.633, 16.9425, 3.48782, 17.5188, 17.6277, 3.74611, 16.8584
