AA, SS, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36
1, 1, -3.34891, -1.54353, 0.0717356, 1.19412, 1.9679, 2.3105, 2.69996, 3.05891, 3.1174, 3.20551, 3.1174, 3.28775, 3.15422, 2.78266, 2.8449, 2.09817, 1.73111, 1.63088, 1.59871, 1.99107, 2.83577, 3.84737, 5.05134, 6.14995, 7.53625, 6.43763, 7.53625, 7.53625, 5.92681, 6.8431, 7.53625, 7.53625, 7.53625, 21.3518, 21.3518, 21.3518
1, 2, -2.73337, -2.25446, -1.46077, -0.536149, 0.396434, 1.18055, 1.879, 1.85795, 2.01558, 2.31143, 1.879, 1.91144, 1.67737, 1.24615, 1.12899, 0.933362, 0.682507, 0.555831, 1.05166, 1.93366, 2.86695, 4.11971, 5.03601, 4.22507, 4.11971, 4.34286, 4.63054, 5.32369, 5.03601, 3.85735, 3.055, 2.14563, 2.04027, 4.0244, 6.4223, 6.4223
1, 3, -2.38639, -1.93842, -1.28648, -0.716635, -0.289781, -0.0307717, 0.103087, 0.350541, 0.472949, 0.478019, 0.619752, 0.449213, 0.358402, 0.32405, 0.218689, 0.126056, 0.0503539, 0.21967, 0.764431, 1.45927, 2.35046, 3.33958, 3.38505, 3.33958, 4.20181, 3.85041, 4.01075, 3.48269, 3.74505, 3.195, 3.0519, 2.73953, 2.94155, 3.38505, 4.5813, 20.9618
2, 1, -3.25127, -1.83759, -0.46296, 0.563035, 1.49922, 1.97402, 2.19717, 2.76402, 2.74721, 2.87126, 2.92953, 3.05737, 3.20397, 2.7985, 2.16873, 2.13203, 1.74781, 1.72957, 2.20683, 2.36422, 2.87126, 3.84582, 6.14841, 6.84156, 20.6571, 6.14841, 20.6571, 6.84156, 6.84156, 6.84156, 20.6571, 6.84156, 6.14841, 20.6571, 20.6571, 20.6571
2, 2, -2.74054, -2.2384, -1.5071, -0.676137, 0.475739, 1.33455, 1.71335, 1.57818, 1.7266, 1.8852, 1.90095, 1.83939, 1.51148, 1.33455, 1.07427, 0.845586, 0.812975, 0.771084, 1.43891, 2.54758, 3.55918, 3.7415, 4.94547, 3.96464, 4.94547, 4.65779, 5.35094, 4.65779, 4.65779, 3.7415, 3.27149, 2.99956, 3.7415, 4.94547, 19.8596, 19.8596
2, 3, -2.26212, -1.90877, -1.4287, -0.958582, -0.576312, -0.258189, -0.0407108, -0.0213149, 0.261769, 0.504601, 0.440428, 0.420518, 0.383574, 0.272531, 0.213999, 0.297571, 0.470115, 0.651307, 1.16893, 1.91656, 2.60174, 3.21852, 3.31089, 3.56682, 3.60938, 3.85451, 3.56682, 3.85451, 3.91166, 3.65383, 3.08132, 3.0313, 3.526, 4.44229, 5.64626, 6.74488
3, 1, -3.10568, -2.02591, -0.850729, -0.114844, 0.39427, 1.34978, 1.63008, 2.05036, 2.2297, 2.42642, 2.26607, 2.32323, 2.2297, 1.84834, 1.89835, 1.78915, 2.14418, 2.40491, 2.7287, 2.67154, 3.69011, 4.4633, 6.25506, 5.56191, 6.25506, 20.0706, 20.0706, 20.0706, 5.56191, 20.0706, 20.0706, 20.0706, 6.25506, 20.0706, 20.0706, 20.0706
3, 2, -2.40037, -2.18553, -1.62025, -1.03365, -0.555709, 0.00882113, 0.418606, 0.521085, 0.764211, 0.840438, 1.11175, 1.11175, 0.944699, 1.1651, 1.12483, 1.52373, 1.74199, 1.58436, 2.36452, 2.89061, 2.68297, 4.76241, 4.76241, 19.2711, 3.6638, 19.2711, 4.06926, 3.6638, 3.05766, 2.12335, 1.62692, 1.69436, 2.32006, 2.8165, 3.25833, 19.2711
3, 3, -2.11336, -1.8596, -1.52424, -1.19777, -0.872333, -0.545635, -0.304113, -0.200655, 0.0149706, 0.228281, 0.353386, 0.433348, 0.599158, 0.589257, 0.777012, 1.19293, 1.51421, 1.85503, 2.12397, 2.21985, 2.74546, 2.88204, 3.16162, 3.29977, 3.06925, 3.31847, 3.35693, 2.90673, 2.73488, 2.45248, 2.6348, 2.3761, 2.31894, 1.81649, 2.19501, 3.22831
4, 1, -3.2002, -1.91503, -0.613969, 0.37317, 1.22894, 1.67789, 1.79069, 2.29408, 2.23418, 2.64548, 2.73728, 2.33182, 1.92635, 1.69132, 1.82099, 1.79069, 2.35779, 2.19989, 2.62808, 2.99965, 3.46965, 3.64401, 5.99538, 5.99538, 5.99538, 20.504, 6.68853, 20.504, 20.504, 20.504, 20.504, 20.504, 20.504, 20.504, 20.504, 20.504
