AA, SS, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36
1, 1, -0.552279, 0.424297, 1.28291, 1.71855, 1.87681, 1.80027, 1.93244, 2.13546, 2.02946, 2.06233, 1.96403, 2.17963, 2.14665, 1.85894, 2.0074, 1.3168, 0.954755, 0.749922, 0.335737, 0.0975757, 0.308604, 0.673257, 1.3337, 2.14195, 3.44481, 2.33706, 3.5065, 3.65803, 2.41081, 3.59244, 4.60755, 4.98321, 5.15661, 19.0508, 19.0012, 18.321
1, 2, 0.0632564, -0.286631, -0.249595, -0.0117209, 0.305339, 0.670322, 1.11148, 0.934506, 0.927636, 1.16825, 0.725629, 0.80332, 0.669803, 0.322431, 0.291499, 0.151993, -0.0938486, -0.32513, -0.211311, 0.0401709, 0.339791, 0.945605, 1.31837, 0.21707, 0.0282764, 0.242287, 0.600796, 1.44547, 1.52001, 0.606695, 0.12631, -0.407403, -0.339358, 1.72343, 4.07178, 3.39153
1, 3, 0.410236, 0.029411, -0.0753017, -0.192207, -0.380876, -0.541002, -0.664437, -0.572904, -0.614995, -0.66516, -0.533624, -0.658907, -0.649162, -0.599669, -0.618807, -0.655313, -0.726001, -0.661291, -0.498541, -0.434221, -0.176704, 0.165476, -0.332591, -0.66842, 0.11037, -0.25016, -0.0189916, -0.395528, 0.229057, -0.0556515, 0.123209, 0.186492, 0.561923, 1.08407, 2.23078, 17.931
2, 1, -0.45464, 0.130242, 0.748215, 1.08746, 1.40813, 1.46379, 1.42964, 1.84057, 1.65927, 1.72809, 1.77616, 1.94925, 2.19641, 1.87479, 1.33123, 1.35066, 0.971451, 0.848607, 0.943855, 0.470727, 0.344104, 0.671715, 2.43077, 2.83355, 16.5656, 2.04784, 16.6273, 2.96334, 3.32556, 3.5909, 17.7284, 4.28852, 3.76878, 18.3561, 18.3066, 17.6263
2, 2, 0.0560917, -0.270572, -0.295928, -0.151709, 0.384644, 0.824323, 0.945826, 0.65473, 0.638651, 0.742022, 0.747572, 0.73127, 0.50392, 0.410834, 0.236774, 0.0642171, 0.0366195, -0.109877, 0.175941, 0.654084, 1.03202, 0.567389, 1.22783, -0.0433627, 0.854033, 0.557218, 1.32119, 0.779575, 1.1418, 0.490843, 0.342801, 0.446525, 1.36187, 2.64449, 17.5091, 16.8288
2, 3, 0.534507, 0.0590592, -0.217523, -0.434154, -0.667407, -0.768419, -0.808235, -0.94476, -0.826174, -0.638578, -0.712948, -0.687602, -0.62399, -0.651188, -0.623497, -0.483798, -0.30624, -0.229654, -0.0940447, 0.0230708, 0.0745815, 0.0444073, -0.406748, -0.441182, -0.482056, -0.246066, -0.462922, -0.0237087, 0.395671, 0.403179, 0.152622, 0.478269, 1.14637, 2.14131, 3.29575, 3.71411
3, 1, -0.309055, -0.05808, 0.360446, 0.409584, 0.303175, 0.839551, 0.86256, 1.12692, 1.14176, 1.28324, 1.1127, 1.21511, 1.22214, 0.924619, 1.06085, 1.00778, 1.36783, 1.52395, 1.46572, 0.778045, 1.16295, 1.28919, 2.53742, 1.5539, 2.16362, 15.97, 16.0408, 16.1924, 2.04592, 16.8199, 17.1419, 17.5175, 3.87543, 17.7696, 17.7201, 17.0398
3, 2, 0.396256, -0.217698, -0.409075, -0.509219, -0.646804, -0.50141, -0.348918, -0.402361, -0.323733, -0.302741, -0.0416231, 0.00363285, -0.0628651, 0.24138, 0.287329, 0.742364, 0.965631, 0.703396, 1.10154, 0.997117, 0.155809, 1.5883, 1.04477, 15.2631, -0.427639, 15.1705, 0.0395196, -0.214415, -0.45833, -1.1273, -1.30178, -0.858678, -0.0595669, 0.515523, 0.907818, 16.2403
3, 3, 0.68327, 0.108226, -0.31306, -0.673343, -0.963428, -1.05587, -1.07164, -1.1241, -1.07297, -0.914898, -0.79999, -0.674772, -0.408406, -0.334462, -0.0604845, 0.411563, 0.73785, 0.974074, 0.860998, 0.32636, 0.218302, -0.292071, -0.556015, -0.708232, -1.02219, -0.782106, -0.672813, -0.971483, -0.781113, -0.79818, -0.293897, -0.176934, -0.0606875, -0.484492, -0.15551, 0.197548
4, 1, -0.403572, 0.052801, 0.597206, 0.897598, 1.13785, 1.16766, 1.02316, 1.37063, 1.14624, 1.5023, 1.58391, 1.2237, 0.91879, 0.767597, 0.983497, 1.00932, 1.58144, 1.31893, 1.36511, 1.10616, 0.942491, 0.469896, 2.27774, 1.98738, 1.90394, 16.4035, 2.65878, 16.6258, 16.988, 17.2534, 17.5753, 17.951, 18.1244, 18.2031, 18.1535, 17.4733
