AA, SS, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36
1, 1, -3.38644, -1.33287, 0.248549, 1.53476, 2.18139, 2.13694, 2.78752, 2.43922, 3.88614, 3.88614, 3.88614, 3.66299, 3.19299, 2.70748, 2.70748, 2.63337, 1.74607, 1.71708, 1.21199, 1.90513, 2.63337, 3.19299, 19.0879, 19.0879, 19.0879, 19.0879, 19.0879, 19.0879, 3.66299, 19.0879, 19.0879, 19.0879, 19.0879, 19.0879, 19.0879, 19.0879
1, 2, -2.8025, -2.24327, -1.3662, -0.228365, 0.299267, 0.639135, 2.43089, 2.43089, 2.29736, 2.43089, 1.28576, 1.81186, 2.76737, 1.28576, 0.739219, 1.0446, 0.911069, 0.713243, 1.19875, 1.8919, 3.68366, 18.1923, 18.1923, 18.1923, 18.1923, 18.1923, 18.1923, 4.3768, 4.3768, 2.76737, 2.76737, 2.99051, 3.27819, 2.76737, 18.1923, 18.1923
1, 3, -2.45268, -1.96307, -1.24676, -0.643224, -0.0453869, 0.0217524, 0.163252, 0.328127, 0.480706, 0.584846, 0.491756, 0.548914, 0.337605, 0.406598, 0.291085, 0.237976, 0.0937259, 0.212442, 0.701106, 1.55758, 2.50666, 3.38213, 4.29842, 3.60527, 4.99157, 4.29842, 3.89295, 3.38213, 4.99157, 2.91212, 3.04566, 2.59367, 2.35251, 2.91212, 4.29842, 18.8071
2, 1, -3.30598, -1.69057, -0.176835, 0.846976, 1.62468, 1.46216, 2.15531, 4.45789, 2.66613, 2.84846, 3.0716, 3.0716, 3.35928, 3.35928, 2.15531, 1.89294, 1.97299, 1.68531, 2.51198, 3.0716, 2.66613, 3.35928, 18.2734, 18.2734, 18.2734, 4.45789, 18.2734, 18.2734, 18.2734, 18.2734, 18.2734, 18.2734, 18.2734, 18.2734, 18.2734, 18.2734
2, 2, -2.8193, -2.27012, -1.28243, -0.60909, 0.581895, 1.45093, 1.93644, 1.53098, 1.24329, 1.53098, 1.81866, 2.62959, 1.93644, 1.45093, 1.02015, 0.837829, 1.53098, 1.24329, 1.37683, 2.06997, 4.01588, 17.8314, 17.8314, 4.01588, 17.8314, 17.8314, 17.8314, 17.8314, 4.01588, 4.01588, 17.8314, 2.40644, 17.8314, 17.8314, 17.8314, 17.8314
2, 3, -2.19343, -1.8991, -1.49677, -0.987507, -0.529925, -0.169717, -0.133677, -0.0574497, 0.175644, 0.568687, 0.294991, 0.200962, 0.398788, 0.226938, 0.323564, 0.253606, 0.568687, 0.480133, 1.22547, 1.84962, 2.61176, 2.76591, 2.76591, 4.55767, 3.86452, 4.55767, 2.94823, 3.86452, 3.86452, 4.55767, 3.17138, 2.36045, 3.45906, 3.86452, 4.55767, 18.3732
3, 1, -3.11552, -1.87737, -0.92983, -0.136599, 0.86193, 1.50856, 1.26739, 1.50856, 1.70923, 2.11469, 1.70923, 2.52016, 1.82701, 1.96054, 1.60387, 0.81541, 1.96054, 2.52016, 1.96054, 2.11469, 2.52016, 3.90645, 17.722, 17.722, 17.722, 17.722, 17.722, 17.722, 17.722, 17.722, 17.722, 17.722, 17.722, 17.722, 17.722, 17.722
3, 2, -2.4795, -2.20349, -1.45905, -0.975424, -0.257584, 0.173199, 0.340253, 0.486856, 0.866346, 0.598082, 1.48539, 0.723245, 0.340253, 1.48539, 0.723245, 2.33268, 1.82186, 1.48539, 2.045, 2.33268, 1.48539, 17.2468, 17.2468, 17.2468, 17.2468, 17.2468, 17.2468, 17.2468, 2.73815, 17.2468, 1.63954, 1.63954, 2.73815, 3.4313, 17.2468, 17.2468
3, 3, -2.11741, -1.85687, -1.51744, -1.22284, -0.817375, -0.491952, -0.234575, -0.234575, -0.183544, 0.11997, 0.315139, 0.443757, 0.626078, 0.820234, 0.925595, 1.37985, 1.57222, 1.77289, 1.73652, 2.17836, 2.98929, 2.50378, 3.12282, 4.37558, 2.23552, 3.45929, 3.45929, 3.45929, 2.8715, 2.58382, 2.17836, 2.12429, 2.12429, 1.97769, 2.42967, 2.98929
4, 1, -3.2444, -1.75605, -0.501123, 0.449854, 1.24619, 1.67363, 2.30224, 2.30224, 1.60909, 2.43577, 2.43577, 1.89677, 1.98378, 1.98378, 1.54847, 1.74262, 2.43577, 2.30224, 2.99538, 2.77224, 2.99538, 2.99538, 18.1972, 4.38168, 18.1972, 18.1972, 18.1972, 18.1972, 18.1972, 18.1972, 18.1972, 18.1972, 18.1972, 18.1972, 18.1972, 18.1972
