AA, SS, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36
1, 1, -0.571793, 0.625374, 1.44113, 2.0219, 2.063, 1.63, 1.94907, 1.44246, 2.77788, 2.70685, 2.69113, 2.56284, 2.17735, 1.793, 1.89486, 1.83875, 0.987726, 0.853923, -0.102702, -0.0457817, 0.152098, -0.108433, 15.3081, 14.9834, 14.8598, 15.0508, 15.0177, 14.9717, 0.147501, 15.802, 16.2328, 16.6316, 16.7214, 16.7152, 16.7615, 16.2328
1, 2, 0.0121406, -0.285026, -0.173613, 0.258774, 0.180879, 0.132197, 1.59244, 1.43414, 1.18911, 1.25161, 0.0907596, 0.711702, 1.75172, 0.371287, -0.0733969, 0.24998, 0.152725, -0.149915, -0.115938, -0.0590174, 1.20238, 14.8909, 14.4125, 14.0877, 13.9641, 14.1552, 14.122, 0.26054, 0.861314, -0.51855, -0.0877668, 0.534153, 0.911639, 0.394659, 15.8658, 15.3372
1, 3, 0.361961, -0.00483072, -0.0541738, -0.156085, -0.163775, -0.485186, -0.675202, -0.668628, -0.627549, -0.594437, -0.703247, -0.551239, -0.678037, -0.507877, -0.52153, -0.556645, -0.664618, -0.650716, -0.613582, -0.393337, 0.0253852, 0.0807072, 0.518626, -0.499297, 0.763384, 0.261291, -0.177326, -0.734137, 1.47607, -0.373792, 0.190522, 0.137313, -0.0140452, 0.539417, 1.97195, 15.9519
2, 1, -0.491333, 0.267668, 1.01575, 1.33412, 1.50629, 0.955224, 1.31685, 3.46114, 1.55788, 1.66917, 1.8766, 1.97145, 2.34364, 2.44481, 1.34269, 1.09832, 1.21464, 0.822147, 1.1973, 1.12068, 0.184861, 0.057861, 14.4936, 14.1688, 14.0452, 0.420767, 14.2031, 14.1571, 14.7579, 14.9875, 15.4183, 15.817, 15.9069, 15.9007, 15.9469, 15.4183
2, 2, -0.00465836, -0.311873, -0.0898499, -0.121951, 0.463507, 0.943995, 1.09799, 0.534221, 0.135038, 0.351692, 0.623655, 1.52943, 0.920798, 0.536458, 0.207535, 0.0432085, 0.772632, 0.380136, 0.0621365, 0.119057, 1.53461, 14.53, 14.0516, -0.0886859, 13.6032, 13.7943, 13.7611, 13.7151, 0.500392, 0.729966, 14.9763, -0.049913, 15.4648, 15.4587, 15.5049, 14.9763
2, 3, 0.621213, 0.0591436, -0.304183, -0.500368, -0.648313, -0.676655, -0.972131, -1.0542, -0.932611, -0.610597, -0.900012, -0.899191, -0.616855, -0.687538, -0.489051, -0.541014, -0.189657, -0.383025, -0.0892223, -0.101295, 0.130487, -0.535509, -1.01388, 0.453103, -0.363659, 0.520544, -1.12205, -0.251741, 0.349033, 1.27175, 0.316243, -0.0959112, 1.0925, 1.49182, 2.2312, 15.518
3, 1, -0.300881, 0.0808692, 0.262755, 0.35054, 0.743542, 1.00162, 0.42894, 0.511802, 0.600972, 0.935409, 0.514225, 1.42, 0.811368, 1.04607, 0.791251, 0.0207894, 1.2022, 1.657, 0.645853, 0.163777, 0.0388838, 0.605031, 13.9422, 13.6174, 13.4938, 13.6848, 13.6517, 13.6057, 14.2065, 14.436, 14.8668, 15.2656, 15.3554, 15.3493, 15.3955, 14.8668
3, 2, 0.335143, -0.245252, -0.266469, -0.488285, -0.375972, -0.333739, -0.498201, -0.509898, -0.241909, -0.581202, 0.290383, -0.376908, -0.67539, 0.57091, -0.0893702, 1.53806, 1.06351, 0.622227, 0.730312, 0.381768, -0.995889, 13.9454, 13.467, 13.1422, 13.0186, 13.2097, 13.1765, 13.1305, -0.777343, 13.9609, -1.2156, -0.816822, 0.371595, 1.05859, 14.9203, 14.3917
3, 3, 0.697229, 0.101377, -0.324857, -0.735701, -0.935763, -0.99889, -1.07303, -1.23133, -1.2918, -1.05931, -0.879863, -0.656397, -0.389565, -0.0942411, 0.112979, 0.58523, 0.813878, 0.909734, 0.421836, 0.227442, 0.508014, -0.797641, -0.656973, 0.271014, -1.99267, -0.577836, -0.610988, -0.656973, -0.643986, -0.702094, -0.676776, -0.332067, -0.242263, -0.39502, 0.103204, 0.134154
4, 1, -0.42976, 0.202195, 0.691463, 0.936993, 1.1278, 1.16669, 1.46378, 1.30548, 0.500835, 1.25649, 1.24077, 0.796619, 0.968141, 1.06931, 0.735851, 0.948002, 1.67743, 1.43908, 1.6807, 0.821326, 0.514111, -0.306036, 14.4174, 0.277111, 13.969, 14.1601, 14.1269, 14.0809, 14.6817, 14.9113, 15.3421, 15.7408, 15.8306, 15.8245, 15.8707, 15.3421
4, 2, 0.346845, -0.303906, -0.404908, -0.492919, -0.559449, -0.533566, 0.666394, 0.641626, 0.866597, 0.102421, 0.192063, -0.0808125, -0.139403, 0.590373, 0.286768, 0.710229, 0.523362, 0.323237, 0.0723771, 0.0239368, 14.9185, 14.0984, -0.195502, 13.2952, -0.643892, 13.3627, -0.485989, 13.2835, 0.0687995, -0.800238, -0.880281, -0.481505, 0.119124, -0.867859, 1.25782, 14.5447
4, 3, 0.6406, 0.0114032, -0.270199, -0.526183, -0.817177, -0.930624, -1.05962, -0.898441, -0.952122, -0.93614, -0.938786, -0.740038, -0.625895, -0.446563, 0.0248301, 0.0787575, 0.378619, 0.806021, 0.746532, 0.151128, -0.336671, -0.50623, -0.291455, -0.903913, -0.33438, -1.59024, -0.869624, -0.445606, -1.17983, -1.05034, -0.40825, -0.543556, -0.520444, -0.183653, -0.542879, -0.666079
5, 1, -0.322092, 0.215273, 0.365907, 0.710283, 0.952053, 0.745825, 0.231987, 1.1723, 15.5695, 15.4984, 0.568586, 15.5776, 1.15341, 0.561431, -0.783628, 0.681286, 0.312098, 0.389605, -0.244247, 0.218138, -1.00537, 13.3763, -0.917591, 12.5731, 12.4495, 12.6406, 12.6074, 12.5614, 13.1622, 13.3918, 13.8226, 14.2214, 14.3112, 14.305, 14.3512, 13.8226
5, 2, 0.385487, -0.413285, -0.712323, -0.445908, -0.204138, 1.19907, 0.644412, 0.486112, 0.885437, 1.21987, 0.511007, 0.893539, 0.978049, 0.568391, -0.118206, 0.91139, 0.388051, 1.536, 0.679003, 0.448242, -0.487582, -0.209116, 13.128, 12.8032, 12.6796, 12.8707, 12.8375, 12.7916, -0.423186, -0.886759, 0.237171, -1.30996, 0.725751, 14.5351, 14.5813, 14.0527
5, 3, 0.887801, 0.0987331, -0.475607, -0.723026, -0.699944, -0.847332, -0.921019, -0.885163, -1.21981, -1.37307, -1.08341, -0.791852, -0.904052, -0.606174, -0.587696, -0.441867, 0.606011, 0.0156881, -0.173478, 1.49288, 14.778, 0.142375, -0.335997, 13.1547, 13.0311, -1.28648, -0.626484, -2.05876, -0.764842, -0.535268, -0.50995, -0.622, 0.384095, 14.8866, 1.11733, 14.4042
6, 1, -0.493006, 0.345942, 0.9027, 1.28601, 1.11581, 1.73886, 1.69502, 2.63533, 1.60754, 1.35419, 2.03162, 2.53194, 1.00701, 2.31215, 1.21004, 1.22803, 1.08199, 1.85264, 0.525641, -0.458893, 0.234524, -0.362479, 14.361, 14.0362, 13.9126, 14.1036, 14.0705, 14.0245, 14.6253, 14.8548, 15.2856, 15.6844, 15.7742, 15.768, 15.8143, 15.2856
6, 2, -0.00573555, -0.367841, -0.318461, 0.400128, 0.893213, 1.27785, 1.63948, 1.48118, 1.082, 0.605507, 0.995253, 0.173812, 0.0760009, 0.716165, 1.37764, 0.584706, 0.738765, 0.00534195, -0.0407234, 15.4411, 14.9108, 0.27513, 13.6123, 13.2875, 13.1639, 13.3549, 13.3218, 13.2758, 13.8766, 0.290634, 0.721417, 1.12019, 0.51685, 15.0194, 15.0656, 14.5369
6, 3, 0.575769, -0.00266608, -0.390108, -0.504536, -0.664989, -0.785858, -0.691908, -0.909049, -0.600696, -0.671725, -0.770825, -0.452832, -0.668426, -0.621326, -0.793903, -0.35024, -0.183343, -0.215837, -0.0695302, 0.998991, 1.16178, 14.8503, 0.556408, 14.0471, 13.9235, -0.799539, 0.265922, -0.878676, -0.277902, 1.05028, 15.2966, 1.87984, 1.2765, 1.96349, 15.8252, 15.2966
7, 1, -0.511993, 0.312707, 1.09783, 1.47298, 1.94836, 2.20167, 1.46469, 2.22268, 2.2935, 3.13876, 2.02443, 1.42613, 1.51064, 1.61181, 1.55952, 1.44398, 1.25711, 0.682297, 0.863289, 0.169903, 0.584007, 1.70977, 15.0469, 14.7221, 14.5985, 14.7896, 14.7564, 14.7104, 15.3112, 1.72527, 15.9716, 16.3703, 16.4601, 16.454, 16.5002, 15.9716
7, 2, -0.0551481, -0.289328, -0.143189, 0.431403, 0.694914, 1.07955, 1.1535, 1.68835, 1.57685, 2.89211, 0.391489, 0.891803, 0.75317, 0.959698, 0.486194, 0.386406, 0.540466, -0.743004, -0.378785, 1.02187, 0.20383, -0.328635, 14.1071, 13.7823, 13.6587, 13.8498, 13.8166, 13.7706, 14.3714, 14.601, 0.523117, 0.516428, 0.606232, 15.5142, 15.5604, 15.0318
7, 3, 0.520838, -0.022156, -0.212329, -0.484911, -0.426618, -0.698829, -0.536688, -0.673481, -0.53986, -0.638287, -0.815849, -0.754901, -0.501315, -0.644125, -0.611945, -0.492853, -0.700774, -0.662487, -0.253817, -0.150376, -0.121119, -0.248119, -0.033343, 14.556, 0.616879, 0.807934, -0.32383, 14.5443, 1.32957, 0.172851, 0.38049, 1.29009, 1.09221, 16.2879, 1.82545, 15.8054
