AA, SS, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36
1, 1, -3.33959, -1.5412, -0.078621, 1.02488, 1.69861, 2.65412, 2.5818, 2.9418, 2.81664, 2.97571, 2.75948, 3.12413, 3.04716, 2.90901, 2.87727, 2.09451, 1.85436, 1.58941, 1.69861, 1.90035, 2.5818, 3.94511, 5.64985, 6.343, 20.1585, 6.343, 6.343, 20.1585, 20.1585, 6.343, 6.343, 20.1585, 20.1585, 20.1585, 20.1585, 20.1585
1, 2, -2.71903, -2.27867, -1.54047, -0.504056, 0.476773, 1.28115, 1.81177, 1.77898, 1.84568, 2.16845, 2.44038, 1.9941, 1.74724, 1.26173, 1.20564, 0.950291, 0.869166, 0.63826, 0.922512, 1.84568, 2.64802, 3.60353, 4.51982, 4.51982, 3.82668, 5.21297, 5.21297, 5.21297, 4.51982, 3.82668, 3.42121, 2.50492, 2.91039, 4.51982, 5.21297, 19.0285
1, 3, -2.37043, -1.9626, -1.34925, -0.732711, -0.18887, 0.0348567, 0.234232, 0.300433, 0.520729, 0.589383, 0.707801, 0.488092, 0.375419, 0.274165, 0.23068, 0.129584, 0.189007, 0.132794, 0.66858, 1.23786, 2.02244, 2.92815, 3.47469, 3.23353, 4.77397, 3.1, 3.79315, 3.67536, 3.67536, 2.98222, 2.92815, 2.47139, 2.92815, 3.67536, 4.77397, 19.6881
2, 1, -3.26781, -1.75984, -0.342561, 0.709639, 1.46597, 1.93887, 2.01119, 2.56458, 2.65555, 2.60903, 2.75563, 3.06101, 2.70434, 2.75563, 2.20356, 1.9624, 1.57294, 1.52568, 2.03651, 2.06249, 2.4812, 3.75416, 5.00692, 5.70007, 19.5156, 19.5156, 19.5156, 5.70007, 5.70007, 5.70007, 19.5156, 19.5156, 5.70007, 19.5156, 19.5156, 19.5156
2, 2, -2.71774, -2.26828, -1.53849, -0.552983, 0.508816, 1.29007, 1.88313, 1.93192, 1.83661, 1.93192, 1.7496, 2.03728, 1.59545, 1.01563, 0.957364, 0.920323, 0.738001, 0.679161, 1.7496, 2.36271, 2.84821, 2.84821, 4.23451, 3.31822, 4.92766, 3.82904, 4.92766, 4.23451, 4.23451, 3.82904, 3.1359, 2.52976, 3.82904, 4.23451, 18.7432, 18.7432
2, 3, -2.22693, -1.89798, -1.49048, -0.93086, -0.579866, -0.29436, -0.0191603, 0.155557, 0.3787, 0.449318, 0.419285, 0.3787, 0.250867, 0.211646, 0.26598, 0.339698, 0.373034, 0.551972, 1.00589, 1.83561, 2.33031, 2.7766, 3.06428, 3.46974, 3.2466, 3.93975, 3.35196, 3.60327, 4.16289, 3.2466, 3.06428, 2.91013, 3.60327, 4.16289, 19.3647, 19.3647
3, 1, -3.11796, -1.94547, -0.859611, -0.189586, 0.618491, 1.31164, 1.36428, 1.83971, 1.97947, 2.14199, 2.08483, 2.26715, 2.20261, 1.54121, 1.83971, 2.03076, 1.97947, 1.97947, 2.67261, 2.14199, 3.36576, 18.7907, 18.7907, 4.9752, 4.9752, 18.7907, 18.7907, 18.7907, 18.7907, 18.7907, 18.7907, 18.7907, 18.7907, 18.7907, 18.7907, 18.7907
3, 2, -2.42037, -2.11407, -1.64907, -1.14537, -0.436881, -0.12485, 0.35364, 0.526912, 0.918954, 1.09331, 1.09331, 1.04679, 1.04679, 0.879733, 1.04679, 1.04679, 1.73993, 1.94061, 2.75154, 3.44468, 2.75154, 17.9533, 4.13783, 17.9533, 2.75154, 17.9533, 3.03922, 3.44468, 2.75154, 2.34607, 2.52839, 1.94061, 2.75154, 2.19192, 2.75154, 17.9533
3, 3, -2.13553, -1.84944, -1.51059, -1.07668, -0.850307, -0.595191, -0.408987, -0.173197, 0.00821623, 0.142137, 0.257586, 0.380189, 0.515415, 0.704092, 0.950733, 1.16865, 1.34923, 1.70889, 2.10692, 2.25002, 2.65548, 2.73552, 3.08036, 2.77808, 3.02321, 3.42867, 3.20553, 2.96914, 2.61774, 2.33006, 2.91785, 2.25002, 2.47959, 2.02176, 2.2247, 3.61099
4, 1, -3.18639, -1.86393, -0.670862, 0.179333, 1.08051, 1.65587, 1.63389, 1.87902, 2.13033, 2.41801, 2.62932, 2.13033, 1.79897, 1.4552, 1.90719, 1.65587, 2.24366, 1.9968, 1.96603, 2.68995, 3.15995, 3.38309, 5.46254, 19.278, 4.76939, 19.278, 5.46254, 19.278, 19.278, 19.278, 19.278, 19.278, 19.278, 19.278, 19.278, 19.278
