AA, SS, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36
1, 1, -0.521325, 0.418757, 1.11471, 1.51873, 1.59151, 2.10055, 1.76547, 1.95256, 1.68752, 1.788, 1.57589, 1.98397, 2.01323, 1.95319, 2.00242, 1.28931, 1.06132, 0.710842, 0.423607, 0.0642756, 0.146288, 0.921299, 1.96284, 2.42841, 16.1749, 2.25494, 2.38682, 16.3426, 16.4536, 3.09529, 3.39947, 17.6106, 17.7322, 17.7772, 17.7264, 17.0273
1, 2, 0.0992335, -0.318718, -0.347137, -0.010212, 0.369668, 0.727574, 0.99544, 0.789744, 0.716554, 0.980743, 1.25679, 0.853945, 0.7133, 0.305899, 0.330798, 0.145093, 0.076125, -0.240309, -0.352492, 0.00960096, 0.212508, 0.579727, 0.832813, 0.605234, -0.156906, 1.12491, 1.25679, 1.39705, 0.814955, 0.578967, 0.477682, -0.0430102, 0.484112, 2.13851, 2.78083, 15.8973
1, 3, 0.447833, -0.00264054, -0.155919, -0.238866, -0.295974, -0.518715, -0.582102, -0.688807, -0.608392, -0.598322, -0.475794, -0.652059, -0.658517, -0.681664, -0.64416, -0.675614, -0.604033, -0.745775, -0.606423, -0.598216, -0.413074, -0.0956585, -0.21232, -0.68106, 0.790392, -0.988063, -0.163038, -0.140555, -0.0295065, -0.265495, -0.015382, -0.0765415, 0.501875, 1.29405, 2.34183, 16.5569
2, 1, -0.449549, 0.200113, 0.850768, 1.20348, 1.35886, 1.3853, 1.19486, 1.57534, 1.52643, 1.42132, 1.57204, 1.92086, 1.6704, 1.7998, 1.32872, 1.1572, 0.779897, 0.647116, 0.761507, 0.226411, 0.0456825, 0.730355, 1.31991, 1.78548, 15.532, 15.4275, 15.5594, 1.88415, 1.9952, 2.45236, 16.5721, 16.9677, 3.2738, 17.1343, 17.0834, 16.3844
2, 2, 0.100524, -0.308325, -0.345159, -0.0591383, 0.401711, 0.736499, 1.0668, 0.942684, 0.707492, 0.744218, 0.566008, 0.897134, 0.561516, 0.0598044, 0.0825238, 0.115125, -0.0550394, -0.199408, 0.474599, 0.526632, 0.412701, -0.175592, 0.547498, -0.596371, 0.944074, -0.259018, 0.971473, 0.418591, 0.52964, 0.581334, 0.192367, -0.0181704, 1.40277, 1.8532, 16.311, 15.612
2, 3, 0.591334, 0.0619719, -0.297147, -0.437016, -0.686971, -0.847932, -0.835495, -0.833684, -0.750421, -0.738388, -0.764309, -0.761451, -0.783069, -0.744183, -0.60886, -0.4655, -0.420006, -0.326597, -0.269114, -0.000462384, -0.105205, -0.247211, -0.622734, -0.444847, -0.736983, -0.148315, -0.604224, -0.212644, 0.458021, -0.00111131, 0.120747, 0.362196, 1.177, 1.78158, 16.9326, 16.2335
3, 1, -0.299691, 0.0144846, 0.333718, 0.304258, 0.511387, 0.758067, 0.547948, 0.850466, 0.850346, 0.954281, 0.901233, 1.127, 1.16868, 0.585384, 0.964865, 1.22556, 1.18643, 1.1009, 1.39761, 0.305912, 0.930249, 15.7669, 15.1037, 1.06061, 0.991618, 14.7026, 14.8345, 14.9748, 15.0858, 15.543, 15.8472, 16.2428, 16.3644, 16.4094, 16.3586, 15.6595
3, 2, 0.397897, -0.154118, -0.455739, -0.65153, -0.543986, -0.678422, -0.462694, -0.462328, -0.210167, -0.0943984, -0.0902876, -0.0933636, 0.0128515, -0.0760956, 0.171947, 0.241589, 0.946894, 1.06204, 1.47653, 1.60861, 0.316022, 14.9295, 0.450818, 14.0388, -1.23205, 13.8653, -0.916966, -0.371236, -0.953334, -0.90164, -0.415138, -0.607326, 0.325262, -0.189394, 0.319392, 14.8221
3, 3, 0.682736, 0.110513, -0.317258, -0.582834, -0.957411, -1.14876, -1.22532, -1.16244, -1.12091, -1.04557, -0.926009, -0.759962, -0.51852, -0.251737, 0.0758929, 0.363448, 0.556189, 0.830317, 0.831912, 0.413942, 0.219968, -0.288282, -0.606647, -1.13651, -0.960376, -0.65939, -0.750656, -0.846779, -1.08713, -0.917651, -0.0256844, -0.297915, 0.0533172, -0.359555, -0.207445, 0.479797
4, 1, -0.368121, 0.0960267, 0.522467, 0.673177, 0.973405, 1.1023, 0.817561, 0.889777, 1.00121, 1.23031, 1.44573, 0.990181, 0.765039, 0.499374, 1.03235, 0.850676, 1.45062, 1.11823, 0.691025, 0.853873, 0.724438, 0.359288, 1.77552, 15.3635, 0.785807, 15.19, 1.50635, 15.4621, 15.5732, 16.0303, 16.3345, 16.7301, 16.8518, 16.8967, 16.8459, 16.1469
