AA, SS, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36
1, 1, -1.8841, 0.0648126, 0.541152, 0.686864, 1.03517, 1.72832, 1.4832, 1.06334, 1.97963, 1.44064, 1.4832, 0.629705, -0.487256, -0.878479, -1.19544, -1.02676, -0.0908407, 1.21749, 4.61869, -0.0352709, 1.1847, 2.3161, 2.82693, 3.92554, 3.00925, 2.82693, 4.61869, 2.82693, 3.00925, 2.67278, 2.13378, 0.812027, -1.1049, -1.54673, -0.801846, -0.264112
1, 2, 1.67789, 3.11114, 2.78572, 3.11114, 2.96804, 2.9035, 2.73165, 2.0385, 2.09257, 1.53295, 0.491499, -0.184699, -0.857701, -1.35565, -1.47068, -1.27473, -0.550449, 0.413397, 6.36923, 1.29406, 2.45721, 2.9035, 3.19118, 2.63157, 3.0734, 2.70567, 3.27819, 3.15036, 3.23374, 2.78572, 2.0385, 0.702808, -0.825952, -1.49978, -1.57099, -1.28616
1, 3, -0.829493, 0.730824, 1.10777, 1.05498, 0.865536, 1.24648, 1.18281, 1.10777, 1.5658, 1.77711, 1.70342, 0.916457, -0.0928804, -0.962211, -1.24675, -1.06643, -0.374652, 0.708351, 5.52661, 4.967, 20.7284, 6.91291, 20.7284, 6.21976, 4.428, 5.30347, 5.52661, 6.91291, 6.21976, 3.86839, 1.68716, -0.15014, -2.12415, -1.78827, -0.443371, 0.118322
2, 1, -2.54704, -0.285809, 0.34597, 0.233492, 0.751435, 2.13773, 1.1392, 1.59873, 1.59873, 1.59873, 1.51869, 0.39476, -0.501328, -0.8142, -0.44896, -0.260166, 0.420078, 0.682442, 17.8991, 1.25043, 1.88641, 17.8991, 4.08364, 4.08364, 4.08364, 2.69734, 4.08364, 2.69734, 17.8991, 3.39049, 2.69734, 0.716343, -0.946799, -0.966217, -0.752643, -0.404997
2, 2, 1.13393, 1.85448, 2.3171, 2.47617, 2.51126, 2.54763, 2.84773, 3.20441, 2.28812, 1.09853, 0.183982, -0.599076, -1.35172, -1.6543, -1.40646, -1.06329, -0.379112, 0.628528, 19.659, 1.43674, 2.44227, 2.58537, 3.20441, 2.95309, 2.51126, 2.95309, 4.45717, 3.54088, 3.89755, 2.66541, 1.36613, 0.318011, -0.802927, -1.20318, -1.13568, -1.25656
2, 3, -0.983928, 0.211312, 0.413874, 0.335971, 0.710859, 0.925472, 1.11632, 0.439667, 1.34064, 1.45186, 1.04422, 0.368618, -0.528012, -1.02922, -0.963118, -0.78103, -0.584167, 0.368618, 6.4823, 3.53786, 5.38369, 6.4823, 20.2978, 5.78915, 20.2978, 6.4823, 5.78915, 5.38369, 5.09601, 4.17971, 2.76873, 0.300215, -1.95888, -1.70694, -0.471384, 0.129671
3, 1, -2.63567, -1.09268, -0.29417, -0.24538, 0.757922, 1.01575, 1.54638, 1.36406, 1.14091, 0.352457, 0.135393, -0.0828608, -0.194086, 0.447767, 0.481669, 0.211379, 0.553128, 1.20991, 17.6645, -0.639671, 0.383229, 2.05721, 3.84896, 17.6645, 3.84896, 17.6645, 2.46267, 17.6645, 3.84896, 3.84896, 2.46267, 1.20991, -0.468523, -0.121327, -0.158368, 0.160085
3, 2, 0.975367, 1.92905, 1.57237, 1.46202, 1.21237, 1.88253, 1.77489, 1.57237, 1.14493, 0.194444, -0.511229, -0.698036, -0.706605, -1.00785, -0.666565, -0.29429, 0.094561, 0.479329, 4.05728, -0.975772, 0.237369, 1.28469, 2.0558, 2.33451, 1.92905, 1.95314, 1.88253, 2.40862, 2.33451, 2.20098, 1.08175, 0.0794663, -0.92633, -1.24901, -1.22998, -1.48477
3, 3, -1.13834, -0.63592, -0.557546, -0.579454, -0.445461, -0.0497009, 0.470566, 0.627135, 0.727543, 0.197817, -0.18636, -0.454905, -0.322194, -0.19858, -0.135929, 0.0877536, 0.0717105, 0.0124911, 5.31081, 3.88369, 4.79998, 20.9181, 20.9181, 20.9181, 6.40942, 6.00396, 7.10257, 6.40942, 6.40942, 4.39452, 2.86846, 0.443274, -1.70386, -1.57725, -0.240211, 0.412969
4, 1, -2.60211, -0.628959, 0.0392908, 0.623804, 0.412495, 1.25979, 2.20425, 0.258344, 0.512578, 0.0558201, -0.140295, -0.484564, -0.180569, 0.594817, 0.0897216, 0.365975, 0.854328, 0.716177, 3.45702, 0.0558201, 1.15443, 1.84758, 1.31695, 17.9657, 2.35841, 2.20425, 1.75227, 4.15016, 4.15016, 3.45702, 1.66526, 0.81796, -0.382435, -0.645626, -0.371624, -0.0983306
