AA, SS, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36
1, 1, -0.959401, -0.168846, -0.111844, -0.222401, -0.156435, 0.237052, -0.0841188, -0.397773, 0.353312, 0.279273, 1.07658, 0.903375, 0.405596, 0.230367, -0.224146, -0.193029, 0.389515, 0.974655, -0.580751, -0.960539, -0.372264, 0.185839, 0.384439, 1.44422, 0.326951, -0.517291, 0.665091, -1.19651, -0.855188, -0.529852, 0.035366, 0.813937, 0.594399, -0.143067, -0.0683278, 0.227715
1, 2, 2.60259, 2.87748, 2.13272, 2.20187, 1.77643, 1.41223, 1.16433, 0.577387, 0.466248, 0.371591, 0.0848807, 0.0889714, 0.0351505, -0.246807, -0.49939, -0.440999, -0.0700937, 0.170561, 1.16979, 0.368793, 0.900246, 0.773233, 0.74869, 0.150239, 0.391097, -0.638548, -0.675406, -0.873083, -0.630699, -0.416915, -0.0599153, 0.704718, 0.873342, -0.0961228, -0.837475, -0.794329
1, 3, 0.0952059, 0.497165, 0.454778, 0.145711, -0.32607, -0.244784, -0.384505, -0.353341, -0.0605193, 0.615748, 1.2968, 1.19013, 0.799971, 0.146636, -0.275457, -0.232702, 0.105703, 0.465514, 0.327174, 4.04173, 19.1715, 4.78264, 18.2859, 3.73844, 1.7457, 1.95925, 1.57302, 2.88947, 2.35532, 0.665755, -0.411255, -0.14823, -0.424854, -0.38461, 0.290146, 0.610149
2, 1, -1.62234, -0.519467, -0.307026, -0.675773, -0.440171, 0.646463, -0.428114, 0.137618, -0.0275878, 0.43737, 1.11207, 0.66843, 0.391524, 0.294646, 0.522335, 0.573562, 0.900433, 0.439605, 12.6997, 0.325158, 0.329448, 15.7689, 1.64115, 1.60231, 1.40134, -0.646876, 0.130041, -1.3261, 14.0347, 0.187861, 0.598928, 0.718253, 0.752496, 0.437445, -0.0191249, 0.08683
2, 2, 2.05863, 1.62082, 1.66411, 1.5669, 1.31965, 1.05636, 1.28042, 1.74329, 0.661795, -0.0628307, -0.222637, -0.325406, -0.458872, -0.545452, -0.435167, -0.229563, 0.101243, 0.385691, 14.4595, 0.511477, 0.8853, 0.455102, 0.761916, 0.471766, -0.171041, -0.391129, 0.503571, -0.482563, 0.0331141, -0.537221, -0.73229, 0.319921, 0.896368, 0.200478, -0.402164, -0.764736
2, 3, -0.0592282, -0.0223469, -0.239122, -0.573294, -0.480747, -0.565794, -0.45099, -1.02145, -0.285684, 0.2905, 0.637602, 0.642288, 0.36484, 0.0796216, 0.00817727, 0.0526986, -0.103812, 0.125781, 1.28286, 2.61259, 3.82672, 4.35203, 17.8553, 3.30783, 17.6155, 3.13808, 1.83555, 1.36025, 1.23157, 0.977084, 0.670311, 0.302125, -0.259581, -0.303283, 0.262134, 0.621498
3, 1, -1.71097, -1.32634, -0.947166, -1.15464, -0.433684, -0.475514, -0.0209343, -0.0970562, -0.485406, -0.808905, -0.271226, 0.190809, 0.698765, 1.55661, 1.45296, 1.04511, 1.03348, 0.967071, 12.465, -1.56494, -1.17374, -0.0730603, 1.40647, 15.1831, 1.16666, 14.3203, -1.49093, 13.641, -0.0154747, 0.646333, 0.364254, 1.21182, 1.23077, 1.28233, 0.575149, 0.651912
3, 2, 1.90007, 1.69539, 0.919374, 0.552758, 0.0207616, 0.39126, 0.207581, 0.111256, -0.481394, -0.966918, -0.917847, -0.424366, 0.186247, 0.101, 0.30473, 0.539438, 0.574916, 0.236492, -1.14216, -1.90104, -1.3196, -0.845577, -0.386694, -0.146816, -0.753255, -1.39108, -2.07107, -1.61482, -1.52993, -1.00165, -1.01667, 0.0813763, 0.772965, 0.154653, -0.496462, -0.992943
3, 3, -0.213645, -0.869579, -1.21054, -1.48872, -1.63707, -1.54097, -1.09675, -0.833979, -0.898777, -0.963545, -0.592978, -0.181235, 0.570658, 0.910266, 0.835366, 0.921482, 0.552066, -0.230346, 0.111368, 2.95842, 3.24302, 18.7878, 18.4756, 18.4368, 3.72712, 2.65973, 3.14897, 2.38598, 2.54498, 1.19189, 0.770045, 0.445184, -0.00456139, -0.173592, 0.493306, 0.904796
4, 1, -1.67741, -0.862617, -0.613705, -0.285461, -0.779111, -0.231473, 0.63694, -1.20277, -1.11374, -1.10554, -0.546913, -0.210894, 0.712283, 1.70366, 1.06102, 1.1997, 1.33468, 0.473341, -1.74242, -0.869448, -0.402534, -0.282686, -1.12554, 15.4843, -0.323895, -1.13997, -2.20133, 0.126723, 0.285725, 0.254386, -0.433159, 0.81987, 1.31686, 0.758036, 0.361894, 0.393496
4, 2, 2.02151, 2.05996, 2.28725, 2.23165, 1.40569, 0.902434, 1.2451, 0.492634, -0.0948441, -0.568156, -0.97792, -0.330991, 0.387446, 0.378559, 0.473162, 0.738145, 0.771848, 0.771169, -1.11406, -2.00631, -1.66772, -0.609839, -0.0747665, -0.256703, -0.728552, -0.608772, -1.05781, -1.90418, -1.26714, -1.28222, -0.776661, 0.175263, 0.60369, -0.230806, -0.745079, -0.995494
4, 3, -0.831495, -0.995325, -0.845586, -1.02897, -1.33522, -1.15697, -1.06582, -1.21779, -1.56773, -1.53752, -1.369, -0.667662, 0.175107, 0.356239, 0.287948, 0.269026, 0.065935, -0.680264, -0.0288618, 19.6703, 5.22305, 18.4653, 2.72809, 2.9124, 17.9132, 17.2513, 2.82642, 2.75657, 2.22243, 1.01244, 1.97355, 1.28476, 1.08298, 1.31155, 1.55511, 2.13018
5, 1, -0.893328, -0.281905, -0.656791, -0.461075, -0.0502688, -0.195778, 15.3354, 15.4416, 0.362315, 0.539591, -0.209743, 0.72186, 1.03566, 1.30572, 0.839666, 0.976537, 0.432108, 1.05265, 11.7033, -0.929063, -0.666943, -0.141631, -0.0483906, -0.780373, -0.981348, -0.950121, -0.866351, -0.936194, -0.777192, -0.115384, 14.8043, 0.381107, -0.433814, 0.00227276, -0.168219, -0.109805
5, 2, 1.50702, 0.434609, 1.66393, 1.17127, 1.63615, 0.643339, 1.05977, 1.16597, 0.0664515, -0.230731, -0.392277, -0.662359, -0.406531, -0.22748, -0.164936, -0.193385, -0.296787, 0.128179, -0.174464, -0.26974, 1.07011, 0.948801, 0.0175362, -0.346722, -0.490537, -0.398686, -0.314916, 14.817, -0.225758, -0.57555, -0.474638, 0.392157, 0.854974, 0.176734, -0.435911, -0.625234
5, 3, 0.588321, 0.824122, 0.710166, 0.591518, 0.377, 0.24919, -0.0246838, 0.125191, 0.135189, 0.433912, 0.656439, 0.746592, 1.03224, 1.03863, 1.0127, 0.625302, 0.499161, 0.520704, 1.10536, 3.7701, 18.5633, 3.07593, 17.6778, 17.639, 17.438, 1.16882, 1.25259, 1.58822, 1.74722, 1.71588, 0.274562, -0.344858, -0.767116, -0.82951, -0.14479, 0.516235
6, 1, -1.39788, -0.624026, -0.960672, -1.0277, -1.12772, -0.446549, -0.379497, -0.0109328, -0.176139, 1.20511, 0.301626, 0.7306, -0.324195, -0.238254, 0.580927, 0.579162, 0.736614, 0.944981, 12.3688, 0.119448, 1.50265, 0.929354, 1.31028, 15.087, 0.377319, 0.408546, -1.29944, 13.5448, -0.111673, -0.143012, 0.268056, 0.921463, 1.10826, 0.79972, 0.209618, 0.506924
6, 2, 2.19623, 1.92137, 1.94029, 1.63523, 1.50704, -0.989846, -0.152686, 1.64299, 0.496959, 0.110165, -0.215765, -0.379538, -0.470861, -0.466085, -0.328262, -0.0588332, 0.134477, 1.15652, 0.389575, 0.520613, 1.08761, 1.06085, 0.661618, -0.111186, 0.341766, 0.298885, -0.667168, -1.26764, -1.21986, -0.909453, -0.652536, 0.509521, 0.669571, 0.0313814, -0.467564, -0.635752
