AA, SS, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36
1, 1, -2.27829, -0.346944, 0.266161, 0.322673, 0.649886, 0.948379, 0.825777, 0.845195, 1.40972, 1.08814, 0.926873, 0.202309, -0.703618, -1.16052, -1.54734, -1.41942, -0.699443, 0.602633, 18.5925, 18.5925, 18.5925, 18.5925, 4.77702, -0.206586, 1.01582, 2.21207, 2.5798, 2.69758, 2.47444, 2.69758, 4.08387, 2.69758, 3.16758, 2.21207, 1.51892, 0.35818
1, 2, 1.02729, 2.40428, 2.36791, 2.52206, 2.42297, 2.46144, 2.40428, 1.66588, 1.46601, 0.937944, 0.0165386, -0.737633, -1.38704, -1.90478, -2.03684, -1.83571, -1.11826, -0.0069919, 6.39327, 20.2088, 20.2088, 20.2088, 20.2088, 0.726839, 1.83939, 2.28239, 2.5866, 2.23438, 2.25013, 2.10281, 2.99207, 2.44202, 2.83792, 2.18857, 1.46601, 0.211181
1, 3, -1.46121, 0.122973, 0.492917, 0.501983, 0.354883, 0.714257, 0.498346, 0.503806, 0.923977, 1.12311, 0.987035, 0.285052, -0.711778, -1.57609, -1.87719, -1.70611, -1.03298, 0.0743012, 5.01832, 20.6256, 20.6256, 20.6256, 20.6256, 3.86564, 20.6256, 6.81008, 20.6256, 5.01832, 4.17102, 4.73064, 4.61286, 5.71147, 5.01832, 3.19916, 1.23793, -0.821835
2, 1, -2.68824, -0.707682, -0.136638, 0.0388108, 0.479123, 1.23823, 0.615698, 1.4389, 1.28475, 1.33354, 0.832763, 0.109763, -0.776675, -1.09126, -0.938588, -0.701168, -0.0527564, 0.358978, 18.1448, 18.1448, 18.1448, 18.1448, 18.1448, 0.591601, 1.76432, 3.63612, 3.63612, 4.32927, 3.63612, 2.38336, 3.23066, 2.38336, 2.71983, 2.24983, 1.84436, 0.286219
2, 2, 0.662472, 1.62353, 2.07208, 2.17117, 2.17117, 2.07208, 2.40478, 2.57663, 1.77969, 0.635197, -0.194001, -1.01982, -1.78168, -2.09239, -1.80656, -1.46312, -0.769976, 0.299366, 19.8579, 19.8579, 19.8579, 19.8579, 19.8579, 0.967195, 2.09113, 2.37881, 2.74653, 2.57663, 2.17117, 2.60838, 3.64447, 2.74653, 3.09793, 2.05338, 0.973465, -0.0352734
2, 3, -1.54041, -0.376786, -0.0643749, -0.0919729, 0.196665, 0.367201, 0.510826, 0.107107, 0.706853, 0.769271, 0.437653, -0.263974, -1.06182, -1.55378, -1.53872, -1.40046, -1.08809, -0.0919729, 5.7631, 20.2718, 20.2718, 20.2718, 20.2718, 2.95974, 4.66449, 6.45625, 6.45625, 4.84681, 5.35763, 6.45625, 5.7631, 4.66449, 4.66449, 3.56587, 2.26659, -0.147698
3, 1, -2.72367, -1.31315, -0.415547, -0.308126, 0.395384, 0.482395, 0.899289, 0.832597, 0.865387, 0.334759, 0.0324781, -0.287292, -0.244275, 0.107702, 0.0324781, 0.13945, 0.354562, 0.740224, 18.0821, 18.0821, 18.0821, 18.0821, 18.0821, -0.616217, 0.315341, 2.18714, 3.57344, 18.0821, 3.57344, 4.26658, 2.47483, 18.0821, 3.57344, 2.18714, 2.32067, 1.13109
3, 2, 0.444598, 1.28126, 1.13241, 1.03132, 0.581957, 1.38525, 1.30626, 1.14311, 0.58811, -0.243187, -1.00515, -1.19642, -1.25966, -1.5074, -1.16055, -0.802803, -0.345317, -0.0180253, 5.67571, 19.4912, 19.4912, 19.4912, 4.06627, -1.38133, -0.224191, 0.734064, 1.76368, 1.70541, 1.34497, 1.54857, 1.54857, 1.80451, 1.78389, 1.56483, 0.551743, -0.300644
3, 3, -1.61817, -1.05403, -0.925344, -0.948543, -0.881584, -0.404531, 0.0340441, 0.162856, 0.299891, -0.191745, -0.576747, -0.819737, -0.698069, -0.62028, -0.583019, -0.388384, -0.342872, -0.372524, 5.18486, 20.9463, 20.9463, 20.9463, 20.9463, 3.25956, 4.35818, 7.13077, 20.9463, 6.43762, 5.74447, 5.33901, 6.03215, 5.52133, 5.74447, 3.87267, 2.29448, -0.0546215
4, 1, -2.74039, -0.859536, -0.175438, 0.359705, 0.375209, 0.978744, 1.44305, 0.230027, 0.375209, -0.193296, -0.333443, -0.509333, -0.341106, 0.164644, -0.129347, 0.115251, 0.329399, 0.390957, 18.3496, 18.3496, 18.3496, 18.3496, 3.43548, -0.317938, 0.796422, 2.04919, 1.64372, 3.84094, 2.58818, 2.33687, 1.70088, 4.53409, 3.1478, 2.45465, 1.23825, 0.622069
