AA, SS, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36
1, 1, -0.921311, -0.154967, 0.0261669, -0.184228, -0.10104, -0.127607, -0.30948, -0.225335, 0.25508, 0.402034, 0.973306, 0.957722, 0.669331, 0.425988, -0.0972466, -0.117863, 0.234531, 0.793573, 13.2548, -1.36419, -1.36419, -1.36419, -0.823809, -0.704949, -0.113871, 0.537722, 0.552456, 0.602627, 0.23889, -0.218778, 0.598245, -0.799828, -0.140419, -0.443299, -0.0465494, 0.826202
1, 2, 2.38427, 2.59626, 2.12792, 2.01516, 1.67205, 1.38545, 1.26902, 0.595348, 0.311367, 0.251837, 0.0629718, 0.0177789, -0.0140885, -0.318272, -0.586752, -0.534151, -0.184285, 0.183947, 1.05555, 0.252051, 0.252051, 0.252051, 14.6079, 0.228476, 0.709698, 0.608043, 0.559263, 0.13943, 0.0145857, -0.813551, -0.49356, -1.05538, -0.470084, -0.466797, -0.0994615, 0.679203
1, 3, -0.10423, 0.314949, 0.252923, -0.00491863, -0.396043, -0.361729, -0.636911, -0.566724, -0.230667, 0.436999, 1.03347, 1.04046, 0.661171, 0.0104122, -0.4271, -0.40455, -0.0990087, 0.265241, -0.319397, 0.668867, 0.668867, 0.668867, 15.0248, 3.36728, 19.4959, 5.13573, 18.5983, 2.92337, 1.93548, 1.81428, 1.12723, 2.21406, 1.71032, 0.543793, -0.327546, -0.353813
2, 1, -1.33125, -0.515706, -0.376632, -0.468091, -0.271803, 0.162242, -0.519559, 0.368368, 0.130103, 0.647431, 0.879196, 0.865175, 0.596274, 0.495239, 0.511504, 0.600394, 0.881218, 0.549918, 12.8071, -1.81194, -1.81194, -1.81194, 12.544, 0.0932382, 0.63463, 1.96177, 1.60878, 2.23432, 1.40058, -0.532997, -0.25497, -1.11405, -0.588169, -0.405541, 0.27889, 0.754241
2, 2, 2.01945, 1.8155, 1.83208, 1.66427, 1.42024, 0.996091, 1.26953, 1.5061, 0.625045, -0.0509102, -0.147567, -0.264411, -0.408728, -0.505888, -0.356473, -0.161562, 0.163998, 0.490305, 14.5202, -0.0988458, -0.0988458, -0.0988458, 14.257, 0.468833, 0.961434, 0.704458, 0.719192, 0.481681, -0.0643773, -0.307975, 0.158846, -0.750875, -0.210071, -0.601985, -0.592009, 0.432749
2, 3, -0.183427, -0.184809, -0.304369, -0.598874, -0.554261, -0.708785, -0.624431, -0.963423, -0.447791, 0.0831636, 0.484086, 0.491438, 0.311131, 0.0327227, -0.0886314, -0.0988994, -0.154112, 0.0989665, 0.42538, 0.315032, 0.315032, 0.315032, 14.6709, 2.46138, 3.5348, 4.7819, 4.42891, 2.75186, 3.12209, 3.53989, 2.27747, 1.16708, 1.35649, 0.910505, 0.701118, 0.320325
3, 1, -1.36669, -1.12117, -0.655541, -0.815028, -0.355542, -0.593591, -0.235968, -0.237933, -0.289257, -0.351348, 0.0789113, 0.46812, 1.12867, 1.69421, 1.48257, 1.44101, 1.28854, 0.931163, 12.7444, -1.87463, -1.87463, -1.87463, 12.4813, -1.11458, -0.81435, 0.512794, 1.5461, 15.9871, 1.33789, 1.35023, -1.0108, 14.5847, 0.265436, -0.468227, 0.755201, 1.59911
3, 2, 1.80158, 1.47323, 0.892418, 0.524415, -0.168969, 0.309261, 0.171002, 0.0725772, -0.566534, -0.929294, -0.958715, -0.441009, 0.113285, 0.0790991, 0.289539, 0.498758, 0.588658, 0.172914, 0.337988, -0.465508, -0.465508, -0.465508, -1.53456, -1.87969, -1.35388, -0.940285, -0.263656, -0.389537, -0.890572, -1.36778, -1.93706, -1.6929, -1.52411, -1.09054, -1.01373, 0.167378
3, 3, -0.261193, -0.862051, -1.16534, -1.45544, -1.63251, -1.48052, -1.10121, -0.907674, -0.854753, -0.877852, -0.530313, -0.0643247, 0.67488, 0.966224, 0.867073, 0.913177, 0.591102, -0.181585, -0.152864, 0.989551, 0.989551, 0.989551, 15.3454, 2.7612, 3.22849, 5.45642, 18.9189, 4.34267, 3.50893, 2.42265, 2.54653, 2.02392, 2.43647, 1.2173, 0.72901, 0.413401
4, 1, -1.38341, -0.66756, -0.415432, -0.147197, -0.375717, -0.0972422, 0.307792, -0.840503, -0.779436, -0.879403, -0.287009, 0.246079, 1.03184, 1.75115, 1.32074, 1.41681, 1.26337, 0.581896, 13.0119, -1.60712, -1.60712, -1.60712, -2.16535, -0.816301, -0.333269, 0.374836, -0.38362, 1.74599, 0.352637, -0.57949, -1.78475, 1.03669, -0.160204, -0.20072, -0.327218, 1.09009
4, 2, 1.86249, 1.68439, 1.92147, 1.83689, 1.03734, 0.834166, 0.851856, 0.213485, -0.379472, -0.853079, -1.15528, -0.496937, 0.194587, 0.263804, 0.3122, 0.519842, 0.537844, 0.502827, -0.13173, -0.242079, -0.242079, -0.242079, -1.78114, -2.13559, -1.7658, -0.772425, -0.287087, -0.661724, -1.1239, -1.0062, -1.41513, -1.95498, -1.536, -1.32058, -0.902779, 0.000687823
4, 3, -0.482134, -0.679704, -0.555852, -0.72009, -0.995492, -0.867961, -0.809092, -0.942109, -1.19199, -1.19476, -0.993122, -0.304717, 0.534156, 0.711917, 0.62138, 0.634911, 0.45219, -0.320037, -0.475734, 1.02336, 1.02336, 1.02336, 15.3793, 5.97306, 6.03488, 4.79707, 3.52779, 3.46018, 18.7445, 18.0637, 2.98579, 3.66716, 2.47027, 1.67599, 2.26689, 1.64614
5, 1, -1.00838, -0.581115, -0.800524, -0.474368, 0.128906, 0.0551601, 15.7573, 0.620232, 0.536117, 0.0883639, -0.208715, 0.613593, 0.688805, 0.879371, 0.789478, 0.795098, 0.160883, 0.377624, 11.5548, -3.06416, -3.06416, -3.06416, 11.2917, -1.35313, -1.09716, -0.206731, -0.336578, -0.627334, -0.767927, -1.22559, -1.10172, -1.1135, -0.230945, -0.964608, 15.3271, 0.409584
5, 2, 1.64231, 0.835055, 1.60348, 1.23479, 1.7167, 0.964199, 1.15005, 0.927095, 0.236845, -0.272602, -0.350042, -0.520958, -0.37991, -0.120255, -0.122989, -0.160018, -0.308712, -0.138713, 13.6535, -0.965536, -0.965536, -0.965536, -0.425151, -0.242665, 0.867934, 1.01642, 0.257967, -0.21511, 0.0497619, -0.138573, -0.101709, 1.67827, 0.25824, -0.524213, -0.218436, 0.646489
5, 3, -0.0125027, 0.0651957, 0.00272123, -0.152147, -0.252277, -0.402133, -0.587818, -0.48487, -0.581888, -0.299937, -0.00770798, 0.108929, 0.358304, 0.339063, 0.298481, -0.000438662, -0.170845, -0.205041, 0.284893, -0.518602, -0.518602, -0.518602, 13.8373, 2.82167, 3.39431, 2.1565, 2.90213, 3.52766, 3.38707, 0.760346, 0.75069, 1.02659, 0.705173, 0.076871, -0.713545, -1.09096
6, 1, -1.20937, -0.451536, -0.668731, -0.619786, -0.640667, -0.406111, -0.295483, 0.0205584, 0.208378, 0.964597, 0.518482, 0.88369, 0.261536, 0.279697, 0.555265, 0.745824, 0.87993, 0.925353, -1.20211, -2.0056, -2.0056, -2.0056, 12.3503, 0.203261, 1.21416, 0.851824, 1.41512, 2.04066, 0.801453, -0.390184, -1.14178, -0.054943, 0.82761, 0.787094, 0.624227, 0.842433
6, 2, 2.16619, 1.81794, 1.87368, 1.5786, 1.45236, -0.548631, 0.189956, 1.30265, 0.4035, 0.154597, -0.167871, -0.371275, -0.464624, -0.460047, -0.348832, -0.0786752, 0.22287, 1.15043, 14.1468, -0.472196, -0.472196, -0.472196, -0.624959, 0.470176, 0.92841, 1.16146, 0.597156, -0.00945266, 0.137636, -0.019927, -0.706981, -1.12423, -0.971187, -0.699923, -0.43975, 0.477559
6, 3, -0.25355, -0.201038, -0.17919, -0.381681, -0.494129, -0.519531, -0.334348, -0.230401, -0.417072, 0.166095, 0.45478, 0.597855, 0.445612, 0.201794, 0.059347, -0.036238, 0.0238607, 0.507524, 14.8394, 0.220376, 0.220376, 0.220376, 14.5763, 3.56064, 3.44014, 2.74133, 2.94796, 2.32073, 1.64114, 1.24801, 0.167912, 0.918273, 0.414532, -0.319131, -0.813355, -1.02127
7, 1, -1.24353, -0.340203, -0.148387, -0.0890791, -0.10996, 0.063971, 0.129863, 0.228492, 0.0776859, 0.424862, 0.975081, 0.796757, 0.71139, 0.472078, 0.275768, 0.130148, 0.482298, 0.965437, -0.671402, -1.4749, -1.4749, -1.4749, 12.881, 0.454383, 1.05172, 0.283918, 1.54037, 16.3869, 0.821334, 1.05681, 0.487542, 0.475764, -0.0279782, 0.40151, -0.03465, 0.192697
