AA, SS, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36
1, 1, -1.89349, 0.11696, 1.03325, 0.8791, 0.8791, 1.21557, 0.522425, 16.6405, 2.13186, 1.43872, 1.21557, 0.627785, -0.00820348, -0.542286, -1.36464, -1.23543, -0.576188, 0.260061, 16.6405, 0.340103, 0.8791, 16.6405, 2.13186, 2.82501, 2.13186, 16.6405, 16.6405, 16.6405, 16.6405, 16.6405, 1.7264, 0.185953, -0.888562, -1.36464, -0.785908, -0.470827
1, 2, 1.24432, 2.57346, 2.97893, 2.97893, 2.82477, 3.67207, 4.07754, 2.28578, 1.59263, 1.27418, 0.522189, -0.31072, -0.991367, -1.5626, -1.70783, -1.46764, -0.517582, 0.986495, 18.5862, 1.00948, 1.88031, 2.82477, 4.77068, 2.57346, 2.97893, 2.97893, 3.67207, 3.16125, 3.38439, 2.82477, 2.28578, 1.21534, -0.76665, -1.21828, -1.34521, -1.03746
1, 3, -0.933789, 0.688608, 1.11605, 1.13286, 0.961901, 1.4492, 0.947717, 0.866591, 1.52152, 1.8092, 1.47273, 0.97629, -0.112613, -1.16463, -1.38265, -1.24165, -0.644675, 0.840949, 19.0259, 4.11178, 19.0259, 19.0259, 19.0259, 19.0259, 5.2104, 19.0259, 5.2104, 19.0259, 19.0259, 4.51725, 3.13095, 0.141492, -2.0758, -1.62908, -0.183231, 0.575667
2, 1, -2.10724, -0.94149, -0.0660211, 0.85027, 1.13795, 1.54342, 0.157122, 0.85027, 2.23656, 16.0521, 0.444805, 1.54342, 0.627126, -0.471486, -0.982312, -0.653808, 0.627126, 0.290654, 16.0521, 0.627126, 16.0521, 16.0521, 16.0521, 16.0521, 16.0521, 16.0521, 2.23656, 2.23656, 2.23656, 2.23656, 2.23656, 0.85027, -1.05927, -1.16463, -0.94149, -1.02153
2, 2, 0.95116, 2.30571, 2.43924, 2.99885, 2.18792, 1.74609, 2.77571, 2.43924, 2.18792, 0.696267, 0.258012, -0.556496, -1.43494, -1.90642, -1.36743, -0.97144, -0.209973, 0.774229, 18.2007, 1.2941, 2.99885, 3.692, 3.692, 3.692, 2.59339, 2.99885, 3.28653, 3.28653, 4.38515, 2.99885, 1.49478, 0.919411, -0.791003, -1.22798, -1.03095, -1.07017
2, 3, -1.05511, -0.0538391, 0.501438, 0.819892, 0.77907, 1.05351, 0.739849, 1.25711, 1.02753, 1.00221, 0.428413, 0.116382, -0.607224, -1.14372, -1.15245, -1.04225, -0.656015, 0.702109, 18.5066, 3.08166, 3.99795, 18.5066, 18.5066, 4.69109, 18.5066, 18.5066, 18.5066, 18.5066, 18.5066, 3.3048, 3.08166, 0.739849, -1.7289, -1.61518, -0.473693, 0.116382
3, 1, -2.47376, -1.16038, -0.333698, -0.0925362, 0.359449, 0.225917, 0.695921, 0.5136, 0.919065, 0.919065, 0.5136, -0.63908, -0.179548, 0.359449, -0.333698, 0.108134, 0.695921, 0.695921, 16.1209, 0.108134, 0.359449, 2.30536, 16.1209, 16.1209, 16.1209, 16.1209, 16.1209, 16.1209, 2.30536, 0.695921, 1.61221, 1.20675, -0.527854, 0.00277395, 0.359449, -0.179548
3, 2, 0.751591, 1.33938, 1.33938, 1.40837, 0.751591, 1.8502, 1.74484, 1.64953, 0.828552, 0.218786, -0.474361, -0.714746, -0.963208, -1.22043, -0.662103, -0.53754, 0.240765, 0.55092, 17.8629, -0.788854, 0.383866, 1.40837, 2.43799, 1.8502, 1.40837, 1.74484, 2.43799, 2.66113, 2.25567, 2.10152, 1.27484, 0.751591, -0.963208, -1.17832, -1.12872, -1.37752
3, 3, -1.36089, -0.591089, -0.452837, -0.496053, -0.566053, 0.34322, 0.430868, 0.446253, 0.795206, 0.282185, -0.227324, -0.281184, -0.266089, -0.239112, -0.303407, -0.101107, 0.064318, 0.124282, 19.1216, 3.10884, 4.20745, 19.1216, 19.1216, 5.30607, 5.30607, 19.1216, 19.1216, 5.30607, 19.1216, 19.1216, 4.61292, 0.731354, -1.82563, -1.3685, -0.231269, 0.336252
4, 1, -2.58061, -0.592144, -0.0957071, 0.933912, 1.8502, 1.8502, 1.44474, 1.44474, 0.59744, -0.0957071, 0.346126, -0.0957071, -0.229238, 0.751591, 0.0584436, 0.933912, -0.0957071, 0.59744, 2.54335, -0.347022, 0.933912, 2.54335, 16.3589, 2.54335, 16.3589, 2.54335, 1.8502, 16.3589, 16.3589, 1.8502, 1.8502, 0.751591, -0.592144, -1.04017, -0.401089, -0.289863
