AA, SS, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36
1, 1, -0.988378, -0.202461, 0.268585, -0.171967, -0.326686, -0.508371, -1.12019, 14.9698, 0.48616, 0.280897, 0.820864, 0.98175, 1.03057, 0.704443, -0.28135, -0.324948, -0.0713272, -0.0441509, 11.4848, -0.635921, -0.716341, 14.5424, -0.384783, 0.242183, -0.541811, 13.0375, 12.4483, 12.487, 12.5483, 13.2051, -0.822791, -0.125292, 0.806446, -0.0665597, -0.181622, -0.00575409
1, 2, 2.14944, 2.25404, 2.21426, 1.92786, 1.61899, 1.94813, 2.43492, 0.615022, -0.0530717, 0.116359, 0.127481, 0.0432451, 0.0474063, -0.315866, -0.62453, -0.557155, -0.0127221, 0.682284, 13.4305, 0.0334601, 0.284872, 0.726645, 2.25404, -0.00936715, 0.305251, -0.624092, -0.520192, -0.992304, -0.707791, -0.610628, -0.263411, 0.904092, 0.928358, 0.0798084, -0.740921, -0.572385
1, 3, -0.0286782, 0.369187, 0.351387, 0.0817926, -0.243885, -0.274746, -0.694898, -0.804165, -0.124185, 0.651381, 1.07802, 1.33025, 0.92616, 0.0821007, -0.299353, -0.331167, -0.139815, 0.536737, 13.8702, 3.13576, 17.4305, 16.9278, 16.5093, 16.4431, 2.53672, 15.4229, 1.01813, 14.8724, 14.9337, 1.08185, 0.581766, -0.169752, -0.380787, -0.330995, 0.421055, 1.04074
2, 1, -1.20213, -1.26091, -0.830686, -0.200797, -0.0678344, -0.180526, -1.48549, -0.820486, 0.590862, 14.8943, 0.0500962, 1.89738, 1.6659, 0.775243, 0.100983, 0.256678, 1.13199, -0.0135575, 10.8964, -0.348898, 14.4566, 13.9539, 13.5354, 13.4692, 13.3784, 12.4491, -1.9557, -1.91699, -1.85562, -1.19884, -0.312625, 0.539026, 0.635735, 0.133452, -0.337204, -0.55646
2, 2, 1.85627, 1.98628, 1.67457, 1.94779, 0.982136, 0.0221468, 1.13309, 0.768481, 0.54222, -0.461551, -0.136696, -0.202531, -0.396163, -0.659693, -0.284131, -0.0609541, 0.294887, 0.470017, 13.045, 0.31808, 1.40341, 1.59387, 1.17535, 1.10917, -0.0802864, -0.604165, -0.90573, -0.867016, 0.292965, -0.43655, -1.05441, 0.608167, 0.904005, 0.0701038, -0.426667, -0.605101
2, 3, -0.149999, -0.37326, -0.263227, -0.231174, -0.426716, -0.670436, -0.902765, -0.41365, -0.618171, -0.155605, 0.0337048, 0.470347, 0.431549, 0.103011, -0.0691562, -0.131763, -0.151154, 0.397898, 13.3509, 2.10563, 2.40251, 16.4085, 15.99, 2.10827, 15.8329, 14.9036, 14.3143, 14.3531, 14.4144, -0.130603, 0.532466, 0.428605, -0.0338942, -0.317097, 0.130593, 0.581455
3, 1, -1.56865, -1.4798, -1.09836, -1.1436, -0.846337, -1.49803, -0.946693, -1.15716, -0.726638, -0.238754, 0.118891, -0.285115, 0.859225, 1.60618, 0.749597, 1.01862, 1.20078, 0.39171, 10.9652, -0.86789, -1.23599, 0.20723, 13.6042, 13.538, 13.4472, 12.5179, 11.9286, 11.9673, -1.78682, -2.73948, -0.936977, 0.895503, 1.16715, 1.30086, 0.963735, 0.285525
3, 2, 1.6567, 1.01996, 0.574712, 0.357304, -0.454195, 0.12626, 0.102228, -0.0212236, -0.817151, -0.939032, -0.869069, -0.360781, 0.0755654, 0.0262985, 0.421193, 0.372946, 0.745625, 0.246709, 12.7072, -1.76488, -1.21157, -0.689759, -0.0786556, -0.732624, -1.2653, -1.85817, -1.75427, -1.49242, -1.83651, -1.33388, -1.27435, 0.440347, 0.7318, 0.119766, -0.524436, -0.912449
3, 3, -0.455781, -0.91051, -1.2175, -1.54712, -1.77184, -1.38072, -1.21175, -1.2245, -0.850497, -0.875634, -0.622033, 0.0727812, 0.772684, 1.00762, 0.779888, 0.809379, 0.569178, -0.17993, 13.9659, 2.13282, 2.61201, 17.0234, 16.6049, 2.72324, 2.63239, 15.5186, 14.9293, 1.15251, 15.0294, 15.6862, 2.06373, 0.42011, -0.130626, -0.0704111, 0.373017, 0.801325
4, 1, -1.6755, -0.911565, -0.860372, -0.117154, 0.644417, 0.12626, -0.197876, -0.226018, -1.04826, -1.25353, -0.0485827, 0.258258, 0.809535, 1.99832, 1.14174, 1.8444, 0.409153, 0.293229, -2.61235, -1.32305, -0.661528, 0.445221, 13.8422, -0.0394769, 13.6852, -1.05967, -2.34206, 12.2053, 12.2667, -1.5852, -0.698986, 0.440347, 1.10286, 0.257917, 0.203198, 0.17521
