AA, SS, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36
1, 1, 0.40283, 2.28256, 3.0849, 3.0108, 3.39856, 3.20751, 3.39856, 3.57041, 3.77805, 3.85809, 3.39856, 2.81664, 2.28256, 1.67956, 1.28676, 1.33237, 1.75803, 3.25196, 20.1585, 2.97571, 4.73356, 5.24439, 6.343, 4.73356, 5.24439, 5.64985, 6.343, 5.64985, 20.1585, 4.55124, 3.94511, 3.16495, 1.61561, 1.29958, 1.72788, 2.02551
1, 2, 0.950291, 2.26853, 2.57391, 2.44038, 2.44038, 2.44038, 2.57391, 1.9941, 1.4753, 0.895483, 0.131567, -0.745453, -1.33668, -1.8679, -2.02553, -1.83281, -1.21513, 0.0654768, 19.0285, 0.758624, 1.91713, 2.12193, 2.21724, 2.64802, 1.81177, 1.88077, 3.60353, 2.12193, 3.13353, 2.03492, 1.30095, 0.137797, -1.32372, -1.72725, -1.77267, -1.55322
1, 3, -1.1662, 0.452052, 0.784991, 0.930945, 0.909743, 1.15409, 0.725093, 0.938113, 1.17211, 1.31871, 1.1452, 0.520729, -0.418982, -1.19046, -1.5658, -1.40051, -0.730001, 0.2816, 5.17944, 3.67536, 19.6881, 19.6881, 19.6881, 4.48629, 5.87259, 4.77397, 4.48629, 5.17944, 4.48629, 3.23353, 1.63848, -0.728643, -2.58401, -2.1955, -0.86438, -0.0107352
2, 1, 0.0617172, 1.76825, 2.14472, 2.60903, 2.92748, 3.13512, 3.06101, 5.00692, 3.62063, 3.62063, 3.06101, 2.44198, 1.57294, 1.35627, 1.36934, 1.63963, 2.11655, 2.92748, 19.5156, 2.70434, 4.31378, 5.00692, 5.70007, 19.5156, 5.70007, 4.60146, 5.70007, 5.00692, 4.31378, 4.09063, 3.75416, 2.52202, 1.31805, 0.999592, 1.31805, 1.62253
2, 2, 0.610168, 1.88313, 2.44275, 2.21961, 2.52976, 2.44275, 2.36271, 2.52976, 1.63182, 0.708148, -0.15994, -1.06131, -1.79377, -2.04495, -1.80575, -1.48087, -0.795929, 0.416797, 18.7432, 0.902304, 2.03728, 2.52976, 2.52976, 2.44275, 2.2886, 2.73043, 3.54136, 2.2886, 2.52976, 1.66956, 0.957364, -0.102782, -1.15228, -1.61048, -1.47592, -1.49071
2, 3, -1.26426, -0.0997901, 0.350687, 0.339698, 0.525304, 0.579371, 0.795594, 0.761692, 0.904793, 0.924211, 0.848704, -0.0856054, -0.729337, -1.18422, -1.26316, -1.19252, -0.681297, 0.291689, 5.54918, 3.35196, 5.54918, 19.3647, 5.54918, 4.85604, 4.45057, 19.3647, 19.3647, 4.45057, 4.85604, 4.16289, 2.55345, 0.240916, -1.89272, -1.91819, -0.70272, -0.0418028
3, 1, -0.767803, 0.442601, 1.54121, 1.7171, 2.03076, 2.03076, 2.33614, 2.41025, 2.5773, 2.33614, 1.88416, 1.75632, 1.88416, 1.67936, 1.7171, 2.26715, 2.08483, 2.26715, 18.7907, 1.44884, 2.41025, 4.9752, 4.9752, 18.7907, 4.9752, 4.9752, 4.28205, 18.7907, 18.7907, 4.28205, 4.9752, 3.18344, 1.7171, 1.7171, 1.75632, 1.574
3, 2, 0.206004, 0.959776, 1.19339, 1.00234, 0.225807, 1.1421, 1.1421, 1.04679, 0.331167, -0.339507, -1.26934, -1.44942, -1.53892, -1.66429, -1.41125, -0.968116, -0.506561, -0.304822, 4.13783, -1.45316, -0.447138, 0.309188, 2.05839, 1.36524, 1.1421, 1.73993, 1.57288, 1.24746, 1.42978, 1.04679, 0.148846, -0.467341, -1.68225, -2.01703, -1.97142, -2.20253
3, 3, -1.5394, -0.918375, -0.657305, -0.675348, -0.727604, -0.202314, 0.151527, 0.264604, 0.400149, 0.0136807, -0.316903, -0.571057, -0.435561, -0.459742, -0.439051, -0.314933, -0.175467, -0.164064, 5.91358, 3.27452, 4.81497, 5.91358, 19.7291, 5.91358, 5.91358, 4.81497, 5.22043, 5.22043, 5.22043, 3.51568, 1.90624, -0.179992, -2.1808, -1.95621, -0.605569, -0.0927751
4, 1, -0.575335, 1.10583, 1.87902, 2.20444, 2.4668, 2.75449, 2.97763, 2.37149, 2.5181, 1.79897, 1.59134, 1.82495, 1.79897, 1.82495, 1.87902, 1.93618, 2.20444, 2.24366, 19.278, 1.55051, 2.62932, 5.46254, 5.46254, 5.46254, 5.46254, 5.46254, 4.07624, 19.278, 4.36392, 4.07624, 2.89759, 2.68995, 1.43718, 1.57072, 1.96603, 1.82495
