AA, SS, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36
1, 1, -1.21907, -0.495051, -0.148126, -0.506372, -0.311496, -0.811617, -0.693671, -0.517042, -0.257911, 0.290483, 0.506702, 0.675834, 0.72728, 0.335393, -0.179682, -0.294478, -0.250029, 0.484908, 12.3834, -0.502908, 0.619537, 0.630627, 1.3133, -0.434783, 0.0559355, -0.170349, 0.0378519, -0.581448, 14.1935, -0.775362, -0.271971, 0.829332, 0.951193, 0.324727, -0.0246604, 0.0182448
1, 2, 2.21168, 2.37421, 2.22417, 1.8065, 1.61361, 1.30455, 1.36497, 0.789931, 0.322629, 0.211162, 0.122997, -0.00297023, -0.00866817, -0.328776, -0.608673, -0.576359, -0.339907, 0.181716, 14.1366, 0.1633, 0.686398, 0.391457, 0.0708239, 0.362966, -0.49339, -1.05615, 0.181674, -1.22608, 0.0517856, -0.408396, -0.0328391, 0.685472, 0.895149, 0.18119, -0.641922, -0.677199
1, 3, 0.0303014, 0.492845, 0.370361, 0.232177, 0.0180858, -0.0466343, -0.548739, -0.33094, -0.0454544, 0.5695, 1.07174, 1.19832, 0.844141, 0.283771, -0.213832, -0.208948, 0.080338, 0.332951, 0.222699, 3.01515, 18.3925, 17.8927, 17.4768, 2.13635, 3.50254, 1.77217, 0.999545, 1.76654, 1.33966, 0.725327, 0.239805, -0.245857, -0.430026, -0.35195, 0.201481, 0.800398
2, 1, -1.29328, -0.74246, -0.821404, -0.641237, -0.515672, -0.617099, -0.764316, 1.18637, -0.14843, 0.319922, 0.436057, 0.568071, 0.284561, 0.278999, 0.169804, 0.279687, 0.375393, 0.427335, 12.0073, -0.507371, 0.466654, 0.660066, 0.937269, 14.6141, 0.778521, -0.951841, -0.338175, -0.957475, -1.38435, -0.969067, -0.196013, 0.453305, 0.920527, 0.291645, -0.167593, -0.117831
2, 2, 1.81879, 1.93606, 2.04025, 1.53297, 1.65023, 1.25416, 1.101, 1.27284, 0.426387, -0.0289325, -0.22127, -0.371582, -0.518518, -0.558589, -0.441653, -0.277186, 0.0265387, 0.480277, 13.7986, 0.254221, 0.753789, 0.74653, 0.330586, 0.104934, -0.0693243, -0.259241, 0.0667428, -1.11217, -0.604743, -0.826514, -0.429183, 0.392133, 1.01383, 0.245198, -0.397929, -0.667447
2, 3, -0.267143, -0.258378, -0.263323, -0.55845, -0.565734, -0.820732, -0.677619, -0.706741, -0.512149, -0.0243792, 0.575865, 0.392609, 0.334405, 0.0906334, -0.110578, -0.20034, -0.0703392, 0.143659, 0.393063, 2.49237, 4.05418, 17.37, 3.1385, 2.30671, 1.88114, 16.1635, 15.6786, 0.838291, 1.51002, 1.45531, 0.955395, 0.524322, 0.0618774, -0.274015, 0.16376, 0.56995
3, 1, -1.71055, -1.65585, -1.01266, -1.12091, -1.00014, -1.30921, -1.07694, -0.99805, -0.779504, -0.552315, -0.328549, 0.294671, 1.00803, 1.01435, 0.92982, 1.31946, 0.755919, 0.179253, 11.6947, -1.35062, -1.02462, 1.04059, 0.624648, 14.3015, 0.4659, -0.16585, -1.34394, 13.2386, 13.5048, -0.365397, 1.43728, 1.52698, 1.73184, 1.42141, 0.682937, 0.245888
3, 2, 1.74231, 1.34038, 1.11857, 0.643375, -0.326043, 0.281182, 0.208072, 0.117541, -0.546587, -0.74891, -1.00299, -0.432017, 0.0640055, 0.14975, 0.280525, 0.563248, 0.643584, 0.0863364, -0.479104, -1.77356, -1.40296, -1.14636, 0.186891, -0.644897, -0.888148, -0.92206, -1.57406, -1.82564, -1.37705, -1.12161, -0.910023, 0.355253, 0.811534, 0.166331, -0.565751, -1.05159
3, 3, -0.397019, -0.931696, -1.12605, -1.42823, -1.67337, -1.45715, -1.17642, -1.05856, -0.871524, -0.789642, -0.444475, 0.0524248, 0.773449, 0.960377, 0.8588, 0.822512, 0.580759, -0.166826, 0.902725, 2.5602, 3.46523, 4.06411, 17.4637, 3.50952, 3.48941, 1.75905, 1.67957, 1.75342, 2.01969, 0.953368, 0.453456, 0.248682, -0.0809323, -0.166766, 0.406178, 0.664245
4, 1, -1.66049, -1.13503, -0.817262, -0.775978, -0.706503, -0.727887, -0.577853, -1.17921, -0.981114, -1.23189, -0.763773, 0.220895, 0.780447, 1.01753, 0.949331, 0.846083, 0.733128, 0.0133613, 12.0397, -1.39135, -0.947952, 1.38553, 0.969582, 0.830941, 0.810834, 0.179084, -1.69216, 13.5835, -1.06436, -0.713611, -0.782739, 0.891084, 1.30952, 1.13262, 0.750239, 0.354433
4, 2, 1.89175, 1.5935, 1.63707, 1.62119, 1.04882, 1.28629, 0.615347, 0.214661, -0.375701, -0.868245, -1.00268, -0.278136, 0.35502, 0.554008, 0.523143, 0.647123, 0.607654, 0.618774, -0.764977, -1.8934, -1.39432, -0.760596, -0.370915, -0.866231, -1.19871, -1.29494, -1.49221, -1.74687, -1.59393, -0.919128, -0.574208, 0.147342, 0.640297, -0.163162, -0.813113, -1.03736
4, 3, -0.828591, -1.12854, -1.01833, -1.21198, -1.39824, -1.37039, -1.36939, -1.42936, -1.49321, -1.57081, -1.31126, -0.712369, 0.163595, 0.321024, 0.211614, 0.24251, 0.134829, -0.673483, -0.450467, 4.25153, 18.1248, 17.625, 17.2091, 3.25494, 17.0503, 16.4186, 2.11814, 16.0075, 2.45825, 1.71039, 2.00899, 1.31699, 1.06802, 1.32376, 1.79555, 2.19651
5, 1, -1.09608, -0.976716, -0.684924, -0.381275, 0.342126, 0.726207, 14.4686, -0.728417, 14.5249, -0.431718, 0.754859, 0.658615, 0.482003, 0.51079, 0.976309, 0.720592, 0.0292186, -0.324304, 10.7857, -1.91134, -1.3146, 0.13157, 13.5311, -0.423015, -0.443122, -1.76802, -1.55982, -1.48597, 12.5958, -1.67988, 14.3438, 0.617957, 0.679713, 0.336495, -0.0982521, -0.557774
5, 2, 1.45511, 1.39802, 1.02961, 1.19745, 1.34104, 1.5428, 1.182, 0.088171, 0.0596202, -0.544665, -0.685675, -0.645061, -0.696865, -0.339629, -0.404327, -0.386847, -0.615389, -0.701638, 12.7009, -0.602271, 0.349281, 0.437333, 0.0213892, 0.105891, 1.47208, -0.258283, 0.355383, 0.42923, 0.695498, -0.611982, -0.264595, 0.636037, 1.43176, 0.865402, 0.154401, -0.402982
