AA-Triplet, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36, Bin37, Bin38, Bin39, Bin40
1, -2.50075, -2.23314, -1.99272, -1.12903, -0.727687, -0.567345, -0.117428, 0.140401, 0.232774, 0.575719, 1.26887, 1.26887, 2.97361, 1.875, 3.66676, 3.66676, 17.4823, 2.97361, 17.4823, 17.4823, 17.4823, 17.4823, 17.4823, 17.4823, 17.4823, 17.4823, 17.4823, 17.4823, 17.4823, 17.4823, 17.4823, 17.4823, 17.4823, 17.4823, 17.4823, 17.4823, 17.4823, 17.4823, 17.4823, 17.4823
2, -2.57444, -2.05239, -1.70945, -1.49479, -0.843028, -0.728617, -0.843028, 0.202941, 0.976131, 0.465305, 1.66928, 1.66928, 1.66928, 16.5834, 16.5834, 16.5834, 16.5834, 16.5834, 16.5834, 16.5834, 16.5834, 16.5834, 16.5834, 16.5834, 16.5834, 16.5834, 16.5834, 16.5834, 16.5834, 16.5834, 16.5834, 16.5834, 16.5834, 16.5834, 16.5834, 16.5834, 16.5834, 16.5834, 16.5834, 16.5834
3, -2.48361, -2.07163, -1.60554, -1.33848, -1.25332, -0.880643, -0.778861, -0.154706, 0.943906, 0.761584, 1.16705, 0.473902, 1.8602, 2.55334, 16.3689, 16.3689, 16.3689, 16.3689, 16.3689, 16.3689, 16.3689, 16.3689, 16.3689, 16.3689, 16.3689, 16.3689, 16.3689, 16.3689, 16.3689, 16.3689, 16.3689, 16.3689, 16.3689, 16.3689, 16.3689, 16.3689, 16.3689, 16.3689, 16.3689, 16.3689
4, -2.10116, -2.17291, -1.79401, -1.36582, -1.13401, -1.08956, -0.349895, -0.637577, 0.209721, -0.301105, 1.08519, 0.615186, 1.08519, 1.59601, 16.5101, 2.69463, 2.69463, 16.5101, 16.5101, 16.5101, 16.5101, 16.5101, 16.5101, 16.5101, 16.5101, 16.5101, 16.5101, 16.5101, 16.5101, 16.5101, 16.5101, 16.5101, 16.5101, 16.5101, 16.5101, 16.5101, 16.5101, 16.5101, 16.5101, 16.5101
5, -2.6401, -2.02699, -1.33385, -0.966123, -0.966123, -0.714808, -0.155193, 1.2311, 0.132489, -0.378336, 0.132489, -0.560658, 1.2311, 0.537954, 15.0466, 15.0466, 15.0466, 15.0466, 15.0466, 15.0466, 15.0466, 15.0466, 15.0466, 15.0466, 15.0466, 15.0466, 15.0466, 15.0466, 15.0466, 15.0466, 15.0466, 15.0466, 15.0466, 15.0466, 15.0466, 15.0466, 15.0466, 15.0466, 15.0466, 15.0466
6, -2.56728, -2.11418, -1.61949, -1.26281, -0.597837, -0.885519, -1.0033, -0.651904, 0.346625, 16.108, 1.19392, 2.29253, 2.29253, 16.108, 16.108, 16.108, 16.108, 16.108, 16.108, 16.108, 16.108, 16.108, 16.108, 16.108, 16.108, 16.108, 16.108, 16.108, 16.108, 16.108, 16.108, 16.108, 16.108, 16.108, 16.108, 16.108, 16.108, 16.108, 16.108, 16.108
7, -2.46595, -2.21736, -1.92764, -1.46742, -0.952256, -0.259109, 0.391479, 0.103797, -0.0139862, 1.08463, 1.26695, 0.796944, 1.77777, 2.87639, 2.87639, 16.6919, 16.6919, 16.6919, 16.6919, 16.6919, 16.6919, 16.6919, 16.6919, 16.6919, 16.6919, 16.6919, 16.6919, 16.6919, 16.6919, 16.6919, 16.6919, 16.6919, 16.6919, 16.6919, 16.6919, 16.6919, 16.6919, 16.6919, 16.6919, 16.6919
8, -2.13311, -2.0387, -1.92893, -1.40326, -1.46663, -0.824776, -0.935124, -0.164418, 0.0506931, 0.561519, 1.19013, 2.17096, 3.26957, 0.966984, 17.0851, 2.57642, 17.0851, 1.88327, 17.0851, 17.0851, 17.0851, 17.0851, 17.0851, 17.0851, 17.0851, 17.0851, 17.0851, 17.0851, 17.0851, 17.0851, 17.0851, 17.0851, 17.0851, 17.0851, 17.0851, 17.0851, 17.0851, 17.0851, 17.0851, 17.0851
9, -2.55542, -2.15526, -1.98242, -1.30796, -1.00786, -0.784714, 0.378437, 0.378437, 0.196115, 1.98787, 1.98787, 1.98787, 15.8034, 15.8034, 15.8034, 15.8034, 15.8034, 15.8034, 15.8034, 15.8034, 15.8034, 15.8034, 15.8034, 15.8034, 15.8034, 15.8034, 15.8034, 15.8034, 15.8034, 15.8034, 15.8034, 15.8034, 15.8034, 15.8034, 15.8034, 15.8034, 15.8034, 15.8034, 15.8034, 15.8034
10, -2.63926, -2.51273, -1.83344, -1.16745, -0.36097, -0.086533, 0.372999, 0.911996, 1.75929, 1.47161, 16.6734, 2.85791, 2.85791, 2.85791, 16.6734, 16.6734, 16.6734, 16.6734, 16.6734, 16.6734, 16.6734, 16.6734, 16.6734, 16.6734, 16.6734, 16.6734, 16.6734, 16.6734, 16.6734, 16.6734, 16.6734, 16.6734, 16.6734, 16.6734, 16.6734, 16.6734, 16.6734, 16.6734, 16.6734, 16.6734
11, -2.5277, -2.5141, -1.59666, -1.28391, -0.708543, -0.402169, 0.134136, 0.102387, 0.795535, 1.62221, 2.46951, 2.87498, 1.95869, 1.3709, 3.56812, 3.56812, 3.56812, 17.3836, 17.3836, 17.3836, 17.3836, 17.3836, 17.3836, 17.3836, 17.3836, 17.3836, 17.3836, 17.3836, 17.3836, 17.3836, 17.3836, 17.3836, 17.3836, 17.3836, 17.3836, 17.3836, 17.3836, 17.3836, 17.3836, 17.3836
12, -2.41309, -1.82222, -1.41675, -0.833954, -0.84877, -1.44145, -1.86037, -0.706799, 0.0749013, 1.98444, 2.27213, 17.1862, 3.37074, 17.1862, 17.1862, 17.1862, 17.1862, 17.1862, 17.1862, 17.1862, 17.1862, 17.1862, 17.1862, 17.1862, 17.1862, 17.1862, 17.1862, 17.1862, 17.1862, 17.1862, 17.1862, 17.1862, 17.1862, 17.1862, 17.1862, 17.1862, 17.1862, 17.1862, 17.1862, 17.1862
13, -2.54328, -2.47943, -1.60615, -0.913007, -1.40255, -0.741156, 0.421995, 1.33829, 1.33829, 1.33829, 15.8469, 15.8469, 15.8469, 2.03143, 15.8469, 2.03143, 15.8469, 15.8469, 15.8469, 15.8469, 15.8469, 15.8469, 15.8469, 15.8469, 15.8469, 15.8469, 15.8469, 15.8469, 15.8469, 15.8469, 15.8469, 15.8469, 15.8469, 15.8469, 15.8469, 15.8469, 15.8469, 15.8469, 15.8469, 15.8469
